index,name,document,type,inner invocations,external invocations,calls,visits,length,lines,modifier,commit,full text,moved,removed,gpt text,gpt response,code summary
1,DELETION_FLAG,deletion flag ,Field,,,,,66,1,25,,"static public final String DELETION_FLAG = ""flagged_for_deletion"";",False,False,,False,
2,DOUBLE_CLICK_SECONDARY,double click secondary ,Field,,,,,131,2,26,,"static private final String DOUBLE_CLICK_SECONDARY =
      ""Click ‚Äö√Ñ√∂‚àö‚Ä†‚àö‚àÇ‚Äö√†√∂‚àö¬¢¬¨¬®¬¨¬Æ¬¨¬®¬¨¬¢‚Äö√Ñ√∂‚àö‚Ä†‚àö‚àÇ¬¨¬®¬¨¬¢‚Äö√Ñ√∂‚àö√ë‚àö‚àÇ‚Äö√†√∂‚àö√´‚Äö√†√∂‚Äö√†√á¬¨¬®¬¨¬Æ¬¨¬®¬¨√Ü‚Äö√Ñ√∂‚àö‚Ä†‚àö‚àÇ‚Äö√†√∂‚àö¬±‚Äö√Ñ√∂‚àö√ë‚àö‚àÇ‚Äö√†√∂‚àö√´‚Äö√†√∂‚Äö√†¬¥Yes‚Äö√Ñ√∂‚àö‚Ä†‚àö‚àÇ‚Äö√†√∂‚àö¬¢¬¨¬®¬¨¬Æ¬¨¬®¬¨¬¢‚Äö√Ñ√∂‚àö‚Ä†‚àö‚àÇ¬¨¬®¬¨¬¢‚Äö√Ñ√∂‚àö√ë‚àö‚àÇ‚Äö√†√∂‚àö√´‚Äö√†√∂‚Äö√†√á¬¨¬®¬¨¬Æ¬¨¬®¬¨√Ü‚Äö√Ñ√∂‚àö‚Ä†‚àö‚àÇ‚Äö√†√∂‚àö¬∞‚Äö√†√∂‚àö√Ü‚Äö√†√∂‚Äö√†√®‚âà√≠¬¨¬© to install this library to your sketchbook..."";",False,False,,False,
3,DISCOVERY_INTERNAL_ERROR_MESSAGE,discovery internal error message ,Field,,,,,157,2,26,,"static private final String DISCOVERY_INTERNAL_ERROR_MESSAGE =
        ""An internal error occured while searching for contributions in the downloaded file."";",False,False,,False,
4,DISCOVERY_NONE_FOUND_ERROR_MESSAGE,discovery none found error message ,Field,,,,,152,2,26,,"static private final String DISCOVERY_NONE_FOUND_ERROR_MESSAGE =
      ""Maybe it's just us, but it looks like there are no contributions in this file."";",False,False,,False,
5,ERROR_OVERWRITING_PROPERTIES_MESSAGE,error overwriting properties message ,Field,,,,,111,2,26,,"static private final String ERROR_OVERWRITING_PROPERTIES_MESSAGE =
      ""Error overwriting .properties file."";",False,False,,False,
6,ANY_CATEGORY,any category ,Field,,,,,41,1,24,,"static final String ANY_CATEGORY = ""Any"";",True,True,,False,
7,ICON_WIDTH,icon width width of each contribution icon ,Field,,,,,75,2,24,"/** 
 * Width of each contribution icon. 
 */
","/** Width of each contribution icon. */
  static final int ICON_WIDTH = 25;",True,True,"/** 
 * Width of each contribution icon. 
 */
",False,"/** 
 * Width of each contribution icon. 
 */
"
8,ICON_HEIGHT,icon height height of each contribution icon ,Field,,,,,77,2,24,"/** 
 * Height of each contribution icon. 
 */
","/** Height of each contribution icon. */
  static final int ICON_HEIGHT = 20;",True,True,"/** 
 * Height of each contribution icon. 
 */
",False,"/** 
 * Height of each contribution icon. 
 */
"
9,dialog,dialog ,Field,,,,,14,1,0,,JFrame dialog;,True,True,,False,
10,filterField,filter field ,Field,,,,,24,1,0,,FilterField filterField;,True,True,,False,
11,scrollPane,scroll pane ,Field,,,,,23,1,0,,JScrollPane scrollPane;,True,True,,False,
12,contributionListPanel,contribution list panel ,Field,StatusPanel.setErrorMessage(String) StatusPanel.clearErrorMessage(),,,,44,1,0,,ContributionListPanel contributionListPanel;,True,True,,False,
13,statusBar,status bar ,Field,,,,,22,1,0,,StatusPanel statusBar;,True,True,,False,
