index,name,document,type,inner invocations,external invocations,calls,visits,length,lines,modifier,commit,full text,moved,removed,gpt text,gpt response,code summary
1,DEFAULT_MAX_SIZE,default max size ,Field,,,,,63,1,26,,private static final long   DEFAULT_MAX_SIZE  = Long.MAX_VALUE;,False,False,,False,
2,DEFAULT_MAX_COUNT,default max count ,Field,,,,,66,1,26,,private static final int    DEFAULT_MAX_COUNT = Integer.MAX_VALUE;,False,False,,False,
3,CACHE_PREFIX,cache prefix ,Field,,,,,55,1,26,,"private static final String CACHE_PREFIX      = ""cdu_"";",False,False,,False,
4,TYPE_BYTE,type byte ,Field,,,,,54,1,26,,"private static final String TYPE_BYTE         = ""by_"";",False,False,,False,
5,TYPE_STRING,type string ,Field,,,,,54,1,26,,"private static final String TYPE_STRING       = ""st_"";",False,False,,False,
6,TYPE_JSON_OBJECT,type json object ,Field,,,,,54,1,26,,"private static final String TYPE_JSON_OBJECT  = ""jo_"";",False,False,,False,
7,TYPE_JSON_ARRAY,type json array ,Field,,,,,54,1,26,,"private static final String TYPE_JSON_ARRAY   = ""ja_"";",False,False,,False,
8,TYPE_BITMAP,type bitmap ,Field,,,,,54,1,26,,"private static final String TYPE_BITMAP       = ""bi_"";",False,False,,False,
9,TYPE_DRAWABLE,type drawable ,Field,,,,,54,1,26,,"private static final String TYPE_DRAWABLE     = ""dr_"";",False,False,,False,
10,TYPE_PARCELABLE,type parcelable ,Field,,,,,54,1,26,,"private static final String TYPE_PARCELABLE   = ""pa_"";",False,False,,False,
11,TYPE_SERIALIZABLE,type serializable ,Field,,,,,54,1,26,,"private static final String TYPE_SERIALIZABLE = ""se_"";",False,False,,False,
12,CACHE_MAP,cache map ,Field,,,,,77,1,26,,"private static final Map<String, CacheDiskUtils> CACHE_MAP = new HashMap<>();",False,False,,False,
13,mCacheKey,m cache key ,Field,,,,,41,1,18,,private final String           mCacheKey;,False,False,,False,
14,mCacheDir,m cache dir ,Field,,,,,41,1,18,,private final File             mCacheDir;,False,False,,False,
15,mMaxSize,m max size ,Field,,,,,40,1,18,,private final long             mMaxSize;,False,False,,False,
16,mMaxCount,m max count ,Field,,,,,41,1,18,,private final int              mMaxCount;,False,False,,False,
17,mDiskCacheManager,m disk cache manager ,Field,,,,,49,1,2,,private       DiskCacheManager mDiskCacheManager;,False,False,,False,
18,getInstance(),get instance return the single link cache disk utils instance cache directory data data package cache cache utils cache size unlimited cache count unlimited return the single link cache disk utils instance ,Method,,com.blankj.utilcode.util.CacheDiskStaticUtils+getDefaultCacheDiskUtils() com.blankj.utilcode.util.CacheDoubleUtils+getInstance(),"com.blankj.utilcode.util.CacheDiskUtils+getInstance(String,long,int) com.blankj.utilcode.util.CacheDiskUtils+getInstance(String,long,int)",com.blankj.utilcode.util.CacheDiskUtils+DEFAULT_MAX_SIZE com.blankj.utilcode.util.CacheDiskUtils+DEFAULT_MAX_COUNT,398,11,9,"/** 
 * Return the single  {@link CacheDiskUtils} instance.<p>cache directory: /data/data/package/cache/cacheUtils</p> <p>cache size: unlimited</p> <p>cache count: unlimited</p>
 * @return the single {@link CacheDiskUtils} instance
 */
","/**
     * Return the single {@link CacheDiskUtils} instance.
     * <p>cache directory: /data/data/package/cache/cacheUtils</p>
     * <p>cache size: unlimited</p>
     * <p>cache count: unlimited</p>
     *
     * @return the single {@link CacheDiskUtils} instance
     */
    public static CacheDiskUtils getInstance() {
        return getInstance("""", DEFAULT_MAX_SIZE, DEFAULT_MAX_COUNT);
    }",False,False,"This method returns the single instance of the CacheDiskUtils class with default cache directory, unlimited cache size, and unlimited cache count.",False,The code defines a method called `getInstance()` which returns a single instance of the `CacheDiskUtils` class. The method creates a cache directory with a default path and sets the cache size and count to unlimited.
19,getInstance(String),get instance cache name return the single link cache disk utils instance cache directory data data package cache cache utils cache size unlimited cache count unlimited param cache name the name of cache return the single link cache disk utils instance ,Method,,,"com.blankj.utilcode.util.CacheDiskUtils+getInstance(String,long,int) com.blankj.utilcode.util.CacheDiskUtils+getInstance(String,long,int)",com.blankj.utilcode.util.CacheDiskUtils+DEFAULT_MAX_SIZE com.blankj.utilcode.util.CacheDiskUtils+DEFAULT_MAX_COUNT,470,12,9,"/** 
 * Return the single  {@link CacheDiskUtils} instance.<p>cache directory: /data/data/package/cache/cacheUtils</p> <p>cache size: unlimited</p> <p>cache count: unlimited</p>
 * @param cacheName The name of cache.
 * @return the single {@link CacheDiskUtils} instance
 */
","/**
     * Return the single {@link CacheDiskUtils} instance.
     * <p>cache directory: /data/data/package/cache/cacheUtils</p>
     * <p>cache size: unlimited</p>
     * <p>cache count: unlimited</p>
     *
     * @param cacheName The name of cache.
     * @return the single {@link CacheDiskUtils} instance
     */
    public static CacheDiskUtils getInstance(final String cacheName) {
        return getInstance(cacheName, DEFAULT_MAX_SIZE, DEFAULT_MAX_COUNT);
    }",False,False,"This method returns a single instance of the CacheDiskUtils class with default cache size and count, using the provided cache name.",False,"This code defines a method called `getInstance` in the `CacheDiskUtils` class. It returns a single instance of `CacheDiskUtils` with a specified cache name, default cache size, and default cache count. The cache directory is set to `/data/data/package/cache/cacheUtils`."
