index,name,document,type,inner invocations,external invocations,calls,visits,length,lines,modifier,commit,full text,moved,removed,gpt text,gpt response,code summary
1,DeviceUtils(),device utils ,Method,,,java.lang.UnsupportedOperationException+UnsupportedOperationException(String),,107,3,2,,"private DeviceUtils() {
        throw new UnsupportedOperationException(""u can't instantiate me..."");
    }",False,False,"The function of this method is to prevent the instantiation of the DeviceUtils class by throwing an UnsupportedOperationException with the message ""u can't instantiate me..."".",False,"The code defines a private constructor for a class called DeviceUtils, which throws an exception to prevent instantiation of the class. This is typically used to create utility classes that only contain static methods and should not be instantiated."
2,isDeviceRooted(),is device rooted return whether device is rooted return code true yes code false no ,Method,,,java.io.File+exists() java.io.File+File(String) java.io.File+exists(),,614,17,9,"/** 
 * Return whether device is rooted.
 * @return {@code true}: yes<br> {@code false}: no
 */
","/**
     * Return whether device is rooted.
     *
     * @return {@code true}: yes<br>{@code false}: no
     */
    public static boolean isDeviceRooted() {
        String su = ""su"";
        String[] locations = {""/system/bin/"", ""/system/xbin/"", ""/sbin/"", ""/system/sd/xbin/"",
                ""/system/bin/failsafe/"", ""/data/local/xbin/"", ""/data/local/bin/"", ""/data/local/"",
                ""/system/sbin/"", ""/usr/bin/"", ""/vendor/bin/""};
        for (String location : locations) {
            if (new File(location + su).exists()) {
                return true;
            }
        }
        return false;
    }",False,False,"This method checks if the device is rooted by searching for the presence of the ""su"" file in various system directories. If the file is found in any of the directories, it returns true indicating that the device is rooted. Otherwise, it returns false.",True,"This code defines a method called `isDeviceRooted()` that checks if a device is rooted by searching for the presence of the ""su"" binary file in various system directories. It returns `true` if the file is found in any of the directories, indicating that the device is rooted, otherwise it returns `false`."
3,isAdbEnabled(),is adb enabled return whether adb is enabled return code true yes code false no ,Method,,,com.blankj.utilcode.util.Utils+getApp() com.blankj.utilcode.util.Utils+getApp(),,372,12,9,"/** 
 * Return whether ADB is enabled.
 * @return {@code true}: yes<br> {@code false}: no
 */
","/**
     * Return whether ADB is enabled.
     *
     * @return {@code true}: yes<br>{@code false}: no
     */
    @RequiresApi(api = Build.VERSION_CODES.JELLY_BEAN_MR1)
    public static boolean isAdbEnabled() {
        return Settings.Secure.getInt(
                Utils.getApp().getContentResolver(),
                Settings.Global.ADB_ENABLED, 0
        ) > 0;
    }",False,False,"This method checks if ADB (Android Debug Bridge) is enabled by retrieving the value of the ADB_ENABLED setting from the device's global settings. It returns true if ADB is enabled, and false otherwise.",True,"This code defines a method called ""isAdbEnabled()"" that checks whether ADB (Android Debug Bridge) is enabled on the device. It uses the Settings.Secure class to retrieve the value of the ADB_ENABLED setting and returns true if it is greater than 0, indicating that ADB is enabled, and false otherwise."
4,getSDKVersionName(),get sdk version name return the version name of device s system return the version name of device s system ,Method,,,,,222,8,9,"/** 
 * Return the version name of device's system.
 * @return the version name of device's system
 */
","/**
     * Return the version name of device's system.
     *
     * @return the version name of device's system
     */
    public static String getSDKVersionName() {
        return android.os.Build.VERSION.RELEASE;
    }",False,False,This method returns the version name of the device's system.,True,"This code defines a method called ""getSDKVersionName"" that returns the version name of the device's system. It retrieves the version name from the ""android.os.Build.VERSION.RELEASE"" property."
5,getSDKVersionCode(),get sdk version code return version code of device s system return version code of device s system ,Method,,,,,211,8,9,"/** 
 * Return version code of device's system.
 * @return version code of device's system
 */
","/**
     * Return version code of device's system.
     *
     * @return version code of device's system
     */
    public static int getSDKVersionCode() {
        return android.os.Build.VERSION.SDK_INT;
    }",False,False,This method returns the version code of the device's system.,True,"This code defines a method called ""getSDKVersionCode"" that returns the version code of the device's system. It uses the ""android.os.Build.VERSION.SDK_INT"" property to retrieve the version code."
6,getAndroidID(),get android id return the android id of device return the android id of device ,Method,,,com.blankj.utilcode.util.Utils+getApp() com.blankj.utilcode.util.Utils+getApp(),,370,13,9,"/** 
 * Return the android id of device.
 * @return the android id of device
 */
","/**
     * Return the android id of device.
     *
     * @return the android id of device
     */
    @SuppressLint(""HardwareIds"")
    public static String getAndroidID() {
        String id = Settings.Secure.getString(
                Utils.getApp().getContentResolver(),
                Settings.Secure.ANDROID_ID
        );
        return id == null ? """" : id;
    }",False,False,"This method serves to retrieve the Android ID of the device. It uses the Settings.Secure class to get the Android ID and returns it as a string. If the ID is null, it returns an empty string.",True,"This code defines a method called ""getAndroidID"" that retrieves the unique Android ID of the device. It uses the Settings.Secure class to access the Android ID and returns it as a string. The method also handles the case where the ID is null by returning an empty string."
7,getMacAddress(),get mac address return the mac address must hold code uses permission android name android permission access wifi state code uses permission android name android permission internet return the mac address ,Method,,,com.blankj.utilcode.util.DeviceUtils+getMacAddress(String[]) com.blankj.utilcode.util.DeviceUtils+getMacAddress(String[]),,422,11,9,"/** 
 * Return the MAC address. <p>Must hold  {@code <uses-permission android:name=""android.permission.ACCESS_WIFI_STATE"" />}, {@code <uses-permission android:name=""android.permission.INTERNET"" />}</p>
 * @return the MAC address
 */
","/**
     * Return the MAC address.
     * <p>Must hold {@code <uses-permission android:name=""android.permission.ACCESS_WIFI_STATE"" />},
     * {@code <uses-permission android:name=""android.permission.INTERNET"" />}</p>
     *
     * @return the MAC address
     */
    @RequiresPermission(allOf = {ACCESS_WIFI_STATE, INTERNET})
    public static String getMacAddress() {
        return getMacAddress((String[]) null);
    }",False,False,This method returns the MAC address. It requires the permissions ACCESS_WIFI_STATE and INTERNET. It calls another method to get the MAC address.,True,"This code defines a method called ""getMacAddress"" that returns the MAC address of the device. It requires the permissions ""ACCESS_WIFI_STATE"" and ""INTERNET"" to be granted. The method internally calls another overloaded version of ""getMacAddress"" with a null argument."
8,getMacAddress(String),get mac address excepts return the mac address must hold code uses permission android name android permission access wifi state code uses permission android name android permission internet return the mac address ,Method,,,"com.blankj.utilcode.util.DeviceUtils+getMacAddressByNetworkInterface() com.blankj.utilcode.util.DeviceUtils+getMacAddressByNetworkInterface() com.blankj.utilcode.util.DeviceUtils+isAddressNotInExcepts(String,String[]) com.blankj.utilcode.util.DeviceUtils+isAddressNotInExcepts(String,String[]) com.blankj.utilcode.util.DeviceUtils+getMacAddressByInetAddress() com.blankj.utilcode.util.DeviceUtils+getMacAddressByInetAddress() com.blankj.utilcode.util.DeviceUtils+isAddressNotInExcepts(String,String[]) com.blankj.utilcode.util.DeviceUtils+isAddressNotInExcepts(String,String[]) com.blankj.utilcode.util.DeviceUtils+getMacAddressByWifiInfo() com.blankj.utilcode.util.DeviceUtils+getMacAddressByWifiInfo() com.blankj.utilcode.util.DeviceUtils+isAddressNotInExcepts(String,String[]) com.blankj.utilcode.util.DeviceUtils+isAddressNotInExcepts(String,String[]) com.blankj.utilcode.util.DeviceUtils+getMacAddressByFile() com.blankj.utilcode.util.DeviceUtils+getMacAddressByFile() com.blankj.utilcode.util.DeviceUtils+isAddressNotInExcepts(String,String[]) com.blankj.utilcode.util.DeviceUtils+isAddressNotInExcepts(String,String[])",,1019,27,9,"/** 
 * Return the MAC address. <p>Must hold  {@code <uses-permission android:name=""android.permission.ACCESS_WIFI_STATE"" />}, {@code <uses-permission android:name=""android.permission.INTERNET"" />}</p>
 * @return the MAC address
 */
","/**
     * Return the MAC address.
     * <p>Must hold {@code <uses-permission android:name=""android.permission.ACCESS_WIFI_STATE"" />},
     * {@code <uses-permission android:name=""android.permission.INTERNET"" />}</p>
     *
     * @return the MAC address
     */
    @RequiresPermission(allOf = {ACCESS_WIFI_STATE, INTERNET})
    public static String getMacAddress(final String... excepts) {
        String macAddress = getMacAddressByNetworkInterface();
        if (isAddressNotInExcepts(macAddress, excepts)) {
            return macAddress;
        }
        macAddress = getMacAddressByInetAddress();
        if (isAddressNotInExcepts(macAddress, excepts)) {
            return macAddress;
        }
        macAddress = getMacAddressByWifiInfo();
        if (isAddressNotInExcepts(macAddress, excepts)) {
            return macAddress;
        }
        macAddress = getMacAddressByFile();
        if (isAddressNotInExcepts(macAddress, excepts)) {
            return macAddress;
        }
        return """";
    }",False,False,"This method returns the MAC address of the device. It first tries to get the MAC address using different methods, and if the address is not in the list of exceptions, it returns the address. If none of the methods return a valid address, it returns an empty string.",True,"This code defines a method called ""getMacAddress"" that returns the MAC address of the device. It uses different methods to retrieve the MAC address, such as through network interface, internet address, wifi information, and file. It requires specific permissions and allows exceptions to be specified."
9,"isAddressNotInExcepts(String,String)",is address not in excepts address excepts ,Method,,,java.lang.String+equals(Object) java.lang.String+equals(Object) java.lang.String+equals(Object) java.lang.String+equals(Object),,377,11,10,,"private static boolean isAddressNotInExcepts(final String address, final String... excepts) {
        if (excepts == null || excepts.length == 0) {
            return !""02:00:00:00:00:00"".equals(address);
        }
        for (String filter : excepts) {
            if (address.equals(filter)) {
                return false;
            }
        }
        return true;
    }",False,False,"This method checks if a given address is not present in a list of exceptions. It returns true if the address is not in the exceptions list, and false otherwise.",False,"The code defines a method named ""isAddressNotInExcepts"" that takes a string address and a variable number of string exceptions as parameters. It checks if the address is not equal to any of the exceptions and returns true if it is not, otherwise it returns false."
10,getMacAddressByWifiInfo(),get mac address by wifi info ,Method,getMacAddress(String),,com.blankj.utilcode.util.Utils+getApp() com.blankj.utilcode.util.Utils+getApp() java.lang.Throwable+printStackTrace() java.lang.Throwable+printStackTrace(),,560,14,10,,"@SuppressLint({""MissingPermission"", ""HardwareIds""})
    private static String getMacAddressByWifiInfo() {
        try {
            final WifiManager wifi = (WifiManager) Utils.getApp()
                    .getApplicationContext().getSystemService(Context.WIFI_SERVICE);
            if (wifi != null) {
                final WifiInfo info = wifi.getConnectionInfo();
                if (info != null) return info.getMacAddress();
            }
        } catch (Exception e) {
            e.printStackTrace();
        }
        return ""02:00:00:00:00:00"";
    }",False,False,"This method retrieves the MAC address of the device's Wi-Fi interface. If the Wi-Fi is enabled and connected, it returns the MAC address. Otherwise, it returns a default MAC address.",False,"This code is a method that retrieves the MAC address of the device's Wi-Fi interface. It uses the WifiManager and WifiInfo classes to access the Wi-Fi information and returns the MAC address as a string. If any exceptions occur during the process, it returns a default MAC address of ""02:00:00:00:00:00""."
