index,name,document,type,inner invocations,external invocations,calls,visits,length,lines,modifier,commit,full text,moved,removed,gpt text,gpt response,code summary
1,SWITCH_STYLE_TRIE,switch style trie ,Field,,,,,46,1,25,,public static final int SWITCH_STYLE_TRIE = 0;,False,False,,False,
2,SWITCH_STYLE_HASH,switch style hash ,Field,,,,,46,1,25,,public static final int SWITCH_STYLE_HASH = 1;,False,False,,False,
3,FIND_CLASS,find class ,Field,,,,,99,2,26,,"private static final Signature FIND_CLASS =
      Signature.parse(""Class CGLIB$findClass(String)"");",False,False,,False,
4,Ops(),ops ,Method,,,,,21,2,2,,"private Ops() {
    }",False,False,"The function of the private Ops() method is not clear without further context. It could be used for initialization, utility operations, or as a placeholder for future implementation.",True,"The code snippet defines a private constructor for a class named ""Ops"". This constructor is empty and does not take any parameters. It is likely used to prevent the instantiation of the ""Ops"" class from outside the class itself."
5,load_class_this(Emitter),load class this e ,Method,,"net.sf.cglib.MethodInterceptor+generateStatic(Emitter,Context)","net.sf.cglib.core.Ops+load_class_helper(Emitter,Type) net.sf.cglib.core.Ops+load_class_helper(Emitter,Type) net.sf.cglib.core.Emitter+getClassType() net.sf.cglib.core.Emitter+getClassType()",,101,3,9,,"public static void load_class_this(Emitter e) {
        load_class_helper(e, e.getClassType());
    }",False,True,The function of the given method is to load a class using the provided Emitter object and its class type.,True,"The code defines a static method called ""load_class_this"" that takes an ""Emitter"" object as a parameter. It calls another method called ""load_class_helper"" with the ""Emitter"" object and its class type as arguments. The purpose of this code is to load the class of the ""Emitter"" object."
6,"load_class(Emitter,Type)",load class e type ,Method,"load_method(Emitter,Method) push_object(Emitter,Object)",,"net.sf.cglib.core.Emitter+isPrimitive(Type) net.sf.cglib.core.Emitter+isPrimitive(Type) java.lang.IllegalArgumentException+IllegalArgumentException(String) net.sf.cglib.core.Emitter+getstatic(Type,String,Type) net.sf.cglib.core.Emitter+getstatic(Type,String,Type) net.sf.cglib.core.Ops+getBoxedType(Type) net.sf.cglib.core.Ops+getBoxedType(Type) net.sf.cglib.core.Ops+load_class_helper(Emitter,Type) net.sf.cglib.core.Ops+load_class_helper(Emitter,Type)",org.objectweb.asm.Type+VOID_TYPE net.sf.cglib.core.Types+CLASS,366,10,9,,"public static void load_class(Emitter e, Type type) {
        if (Emitter.isPrimitive(type)) {
            if (type == Type.VOID_TYPE) {
                throw new IllegalArgumentException(""cannot load void type"");
            }
            e.getstatic(getBoxedType(type), ""TYPE"", Types.CLASS);
        } else {
            load_class_helper(e, type);
        }
    }",False,True,"The function of this method is to load a class based on the given emitter and type. If the type is a primitive type, it checks if it is void and throws an exception if it is. Otherwise, it calls the helper method to load the class.",True,"The given code is a method named ""load_class"" that takes an Emitter object and a Type object as parameters. It checks if the Type is a primitive type, and if so, it throws an exception for void type. Otherwise, it calls the ""load_class_helper"" method to load the class."
7,"load_method(Emitter,Method)",load method e method ,Method,,"net.sf.cglib.InvocationHandler+generateStatic(Emitter,Context) net.sf.cglib.MethodInterceptor+generateStatic(Emitter,Context)","net.sf.cglib.core.Ops+load_class(Emitter,Type) net.sf.cglib.core.Ops+load_class(Emitter,Type) org.objectweb.asm.Type+getType(Class) org.objectweb.asm.Type+getType(Class) java.lang.reflect.Method+getDeclaringClass() java.lang.reflect.Method+getDeclaringClass() net.sf.cglib.core.Emitter+push(String) net.sf.cglib.core.Emitter+push(String) java.lang.reflect.Method+getName() java.lang.reflect.Method+getName() net.sf.cglib.core.Ops+push_object(Emitter,Object) net.sf.cglib.core.Ops+push_object(Emitter,Object) java.lang.reflect.Method+getParameterTypes() java.lang.reflect.Method+getParameterTypes() net.sf.cglib.core.Emitter+invoke_virtual(Type,Signature) net.sf.cglib.core.Emitter+invoke_virtual(Type,Signature)",net.sf.cglib.core.Types+CLASS net.sf.cglib.core.Signatures+GET_DECLARED_METHOD,286,6,9,,"public static void load_method(Emitter e, Method method) {
        load_class(e, Type.getType(method.getDeclaringClass()));
        e.push(method.getName());
        push_object(e, method.getParameterTypes());
        e.invoke_virtual(Types.CLASS, Signatures.GET_DECLARED_METHOD);
    }",False,True,"The function of the given method is to load a method by invoking the ""load_class"" method with the declaring class, pushing the method name, pushing the parameter types, and then invoking the virtual method ""GET_DECLARED_METHOD"" on the class.",True,"The given code is a method named ""load_method"" that takes an Emitter object and a Method object as parameters. It loads the class of the method's declaring class, pushes the method's name onto the stack, pushes the method's parameter types as objects onto the stack, and then invokes the virtual method ""GET_DECLARED_METHOD"" on the Class object."
8,"load_class_helper(Emitter,Type)",load class helper e type ,Method,"load_class_this(Emitter) load_class(Emitter,Type)",,"net.sf.cglib.core.Emitter+register(Object,FinalizeCallback) net.sf.cglib.core.Emitter+register(Object,FinalizeCallback) +() +process()",net.sf.cglib.core.Ops+FIND_CLASS,322,9,10,,"private static void load_class_helper(final Emitter e, Type type) {
        e.register(FIND_CLASS, new Emitter.FinalizeCallback() {
            public void process() {
                generateFindClass(e);
            }
        });
        e.push(emulateClassGetName(type));
        e.invoke_static_this(FIND_CLASS);
    }",False,True,"This method is used to load a class by registering a callback function, generating a findClass method, pushing the class name onto the stack, and invoking the findClass method.",True,"The code defines a private static method called ""load_class_helper"" that takes an Emitter object and a Type object as parameters. Within the method, a FinalizeCallback is registered with the Emitter object, which generates a ""findClass"" method. The ""findClass"" method is then invoked with the ""emulateClassGetName"" value of the given Type object."
9,emulateClassGetName(Type),emulate class get name type ,Method,,,"net.sf.cglib.core.Emitter+isPrimitive(Type) net.sf.cglib.core.Emitter+isPrimitive(Type) net.sf.cglib.core.Emitter+isArray(Type) net.sf.cglib.core.Emitter+isArray(Type) java.lang.String+replace(char,char) org.objectweb.asm.Type+getDescriptor() org.objectweb.asm.Type+getDescriptor() java.lang.String+replace(char,char) org.objectweb.asm.Type+getClassName() org.objectweb.asm.Type+getClassName()",,252,7,10,,"private static String emulateClassGetName(Type type) {
        if (Emitter.isPrimitive(type) || Emitter.isArray(type)) {
            return type.getDescriptor().replace('/', '.');
        } else {
            return type.getClassName();
        }
    }",True,True,"The function emulates the behavior of the getClass().getName() method for a given Type object. It returns the fully qualified class name if the type is not a primitive or an array, otherwise it returns the descriptor of the type.",False,"The given code is a private static method named ""emulateClassGetName"" that takes a ""Type"" parameter and returns a string. It checks if the type is a primitive or an array, and if so, it returns the descriptor of the type with '/' replaced by '.'. Otherwise, it returns the class name of the type."
10,generateFindClass(Emitter),generate find class e ,Method,,,"net.sf.cglib.core.Emitter+begin_method(int,Signature,Type[]) net.sf.cglib.core.Emitter+begin_method(int,Signature,Type[]) net.sf.cglib.core.Emitter+begin_block() net.sf.cglib.core.Emitter+begin_block() net.sf.cglib.core.Emitter+load_arg(int) net.sf.cglib.core.Emitter+load_arg(int) net.sf.cglib.core.Emitter+invoke_static(Type,Signature) net.sf.cglib.core.Emitter+invoke_static(Type,Signature) net.sf.cglib.core.Emitter+return_value() net.sf.cglib.core.Emitter+return_value() net.sf.cglib.core.Emitter+end_block() net.sf.cglib.core.Emitter+end_block() net.sf.cglib.core.Emitter+catch_exception(Block,Type) net.sf.cglib.core.Emitter+catch_exception(Block,Type) net.sf.cglib.core.Emitter+invoke_virtual(Type,Signature) net.sf.cglib.core.Emitter+invoke_virtual(Type,Signature) net.sf.cglib.core.Emitter+new_instance(Type) net.sf.cglib.core.Emitter+new_instance(Type) net.sf.cglib.core.Emitter+dup_x1() net.sf.cglib.core.Emitter+dup_x1() net.sf.cglib.core.Emitter+swap() net.sf.cglib.core.Emitter+swap() net.sf.cglib.core.Emitter+invoke_constructor(Type,Signature) net.sf.cglib.core.Emitter+invoke_constructor(Type,Signature) net.sf.cglib.core.Emitter+athrow() net.sf.cglib.core.Emitter+athrow()",net.sf.cglib.core.Constants+PRIVATE_FINAL_STATIC net.sf.cglib.core.Ops+FIND_CLASS net.sf.cglib.core.Types+CLASS net.sf.cglib.core.Signatures+FOR_NAME net.sf.cglib.core.Types+CLASS_NOT_FOUND_EXCEPTION net.sf.cglib.core.Types+THROWABLE net.sf.cglib.core.Signatures+GET_MESSAGE net.sf.cglib.core.Types+NO_CLASS_DEF_FOUND_ERROR net.sf.cglib.core.Types+NO_CLASS_DEF_FOUND_ERROR net.sf.cglib.core.Signatures+CSTRUCT_STRING,986,24,10,,"private static void generateFindClass(Emitter e) {
        /* generates:
           static private Class findClass(String name) throws Exception {
               try {
                   return Class.forName(name);
               } catch (java.lang.ClassNotFoundException cne) {
                   throw new java.lang.NoClassDefFoundError(cne.getMessage());
               }
           }
         */
        e.begin_method(Constants.PRIVATE_FINAL_STATIC, FIND_CLASS, null);
        Block block = e.begin_block();
        e.load_arg(0);
        e.invoke_static(Types.CLASS, Signatures.FOR_NAME);
        e.return_value();
        e.end_block();
        e.catch_exception(block, Types.CLASS_NOT_FOUND_EXCEPTION);
        e.invoke_virtual(Types.THROWABLE, Signatures.GET_MESSAGE);
        e.new_instance(Types.NO_CLASS_DEF_FOUND_ERROR);
        e.dup_x1();
        e.swap();
        e.invoke_constructor(Types.NO_CLASS_DEF_FOUND_ERROR, Signatures.CSTRUCT_STRING);
        e.athrow();
    }",False,True,"The function generates a static private method called findClass that takes a String parameter and returns a Class object. It uses the Class.forName method to find the class with the given name, and throws a NoClassDefFoundError if the class is not found.",True,"The code generates a static private method called `findClass` that takes a `String` parameter and returns a `Class` object. It uses the `Class.forName` method to find the class with the given name, and if the class is not found, it throws a `NoClassDefFoundError` with the corresponding error message."
11,create_arg_array(Emitter),create arg array e allocates and fills an object array with the arguments to the current method primitive values are inserted as their boxed object equivalents ,Method,,"net.sf.cglib.InvocationHandler+generate(Emitter,Context) net.sf.cglib.MethodInterceptor+generateAroundMethod(Emitter,Context,Method)","net.sf.cglib.core.Emitter+getArgumentTypes() net.sf.cglib.core.Emitter+getArgumentTypes() net.sf.cglib.core.Emitter+push(int) net.sf.cglib.core.Emitter+push(int) net.sf.cglib.core.Emitter+newarray() net.sf.cglib.core.Emitter+newarray() net.sf.cglib.core.Emitter+dup() net.sf.cglib.core.Emitter+dup() net.sf.cglib.core.Emitter+push(int) net.sf.cglib.core.Emitter+push(int) net.sf.cglib.core.Emitter+load_arg(int) net.sf.cglib.core.Emitter+load_arg(int) net.sf.cglib.core.Ops+box(Emitter,Type) net.sf.cglib.core.Ops+box(Emitter,Type) net.sf.cglib.core.Emitter+aastore() net.sf.cglib.core.Emitter+aastore()",,654,20,9,"/** 
 * Allocates and fills an Object[] array with the arguments to the current method. Primitive values are inserted as their boxed (Object) equivalents.
 */
","/**
     * Allocates and fills an Object[] array with the arguments to the
     * current method. Primitive values are inserted as their boxed
     * (Object) equivalents.
     */
    public static void create_arg_array(Emitter e) {
        /* generates:
           Object[] args = new Object[]{ arg1, new Integer(arg2) };
         */
        Type[] argumentTypes = e.getArgumentTypes();
        e.push(argumentTypes.length);
        e.newarray();
        for (int i = 0; i < argumentTypes.length; i++) {
            e.dup();
            e.push(i);
            e.load_arg(i);
            box(e, argumentTypes[i]);
            e.aastore();
        }
    }",False,False,The function of this method is to allocate and fill an Object[] array with the arguments to the current method. Primitive values are converted to their boxed (Object) equivalents before being inserted into the array.,True,"This code defines a method called ""create_arg_array"" that takes an Emitter object as a parameter. It creates and fills an Object[] array with the arguments passed to the current method, converting primitive values to their boxed (Object) equivalents."
12,"push(Emitter,Object[])",push e array ,Method,"push_object(Emitter,Object)","net.sf.cglib.beans.BeanMap+generateKeySet(Map,Map)","net.sf.cglib.core.Emitter+push(int) net.sf.cglib.core.Emitter+push(int) net.sf.cglib.core.Emitter+newarray(Type) net.sf.cglib.core.Emitter+newarray(Type) org.objectweb.asm.Type+getType(Class) org.objectweb.asm.Type+getType(Class) java.lang.Class+getComponentType() java.lang.Object+getClass() java.lang.Object+getClass() java.lang.Class+getComponentType() net.sf.cglib.core.Emitter+dup() net.sf.cglib.core.Emitter+dup() net.sf.cglib.core.Emitter+push(int) net.sf.cglib.core.Emitter+push(int) net.sf.cglib.core.Ops+push_object(Emitter,Object) net.sf.cglib.core.Ops+push_object(Emitter,Object) net.sf.cglib.core.Emitter+aastore() net.sf.cglib.core.Emitter+aastore()",,325,10,9,,"public static void push(Emitter e, Object[] array) {
        e.push(array.length);
        e.newarray(Type.getType(array.getClass().getComponentType()));
        for (int i = 0; i < array.length; i++) {
            e.dup();
            e.push(i);
            push_object(e, array[i]);
            e.aastore();
        }
    }",True,True,"The function of this method is to push the length of an array onto an Emitter, create a new array of the same type, and then push each element of the original array onto the new array.",True,"The code defines a method named ""push"" that takes an Emitter object and an array as parameters. It pushes the length of the array onto the Emitter stack, creates a new array of the same type as the input array, and then iterates over the input array, pushing each element onto the stack and storing it in the new array."
