index,name,document,type,inner invocations,external invocations,calls,visits,length,lines,modifier,commit,full text,moved,removed,gpt text,code summary
1,LOGGER,logger ,Field,,,,,80,1,28,,protected static final Logger LOGGER = LoggerFactory.getLogger(BpmnParse.class);,False,False,,
2,PROPERTYNAME_DOCUMENTATION,propertyname documentation ,Field,,,,,72,1,25,,"public static final String PROPERTYNAME_DOCUMENTATION = ""documentation"";",False,False,,
3,PROPERTYNAME_INITIAL,propertyname initial ,Field,,,,,60,1,25,,"public static final String PROPERTYNAME_INITIAL = ""initial"";",False,False,,
4,PROPERTYNAME_INITIATOR_VARIABLE_NAME,propertyname initiator variable name ,Field,,,,,90,1,25,,"public static final String PROPERTYNAME_INITIATOR_VARIABLE_NAME = ""initiatorVariableName"";",False,False,,
5,PROPERTYNAME_CONDITION,propertyname condition ,Field,,,,,64,1,25,,"public static final String PROPERTYNAME_CONDITION = ""condition"";",False,False,,
6,PROPERTYNAME_CONDITION_TEXT,propertyname condition text ,Field,,,,,73,1,25,,"public static final String PROPERTYNAME_CONDITION_TEXT = ""conditionText"";",False,False,,
7,PROPERTYNAME_VARIABLE_DECLARATIONS,propertyname variable declarations ,Field,,,,,87,1,25,,"public static final String PROPERTYNAME_VARIABLE_DECLARATIONS = ""variableDeclarations"";",False,False,,
8,PROPERTYNAME_TIMER_DECLARATION,propertyname timer declaration ,Field,,,,,80,1,25,,"public static final String PROPERTYNAME_TIMER_DECLARATION = ""timerDeclarations"";",False,False,,
9,PROPERTYNAME_ISEXPANDED,propertyname isexpanded ,Field,,,,,66,1,25,,"public static final String PROPERTYNAME_ISEXPANDED = ""isExpanded"";",False,False,,
10,PROPERTYNAME_START_TIMER,propertyname start timer ,Field,,,,,67,1,25,,"public static final String PROPERTYNAME_START_TIMER = ""timerStart"";",False,False,,
11,PROPERTYNAME_COMPENSATION_HANDLER_ID,propertyname compensation handler id ,Field,,,,,88,1,25,,"public static final String PROPERTYNAME_COMPENSATION_HANDLER_ID = ""compensationHandler"";",False,False,,
12,PROPERTYNAME_IS_FOR_COMPENSATION,propertyname is for compensation ,Field,,,,,82,1,25,,"public static final String PROPERTYNAME_IS_FOR_COMPENSATION = ""isForCompensation"";",False,False,,
13,PROPERTYNAME_ERROR_EVENT_DEFINITIONS,propertyname error event definitions ,Field,,,,,90,1,25,,"public static final String PROPERTYNAME_ERROR_EVENT_DEFINITIONS = ""errorEventDefinitions"";",False,False,,
14,PROPERTYNAME_EVENT_SUBSCRIPTION_DECLARATION,propertyname event subscription declaration ,Field,,,,,92,1,25,,"public static final String PROPERTYNAME_EVENT_SUBSCRIPTION_DECLARATION = ""eventDefinitions"";",False,False,,
