index,name,document,type,inner invocations,external invocations,calls,visits,length,lines,modifier,commit,full text,moved,removed,gpt text,gpt response,code summary
1,delegate,delegate ,Field,,,,,43,1,2,,private NamespacedOpenShiftClient delegate;,False,False,,False,
2,"activate(Map<String,Object>)",activate properties ,Method,,,java.util.Map+containsKey(Object) java.util.Map+containsKey(Object) java.util.Map+get(Object) java.util.Map+get(Object) java.util.Map+containsKey(Object) java.util.Map+containsKey(Object) java.util.Map+get(Object) java.util.Map+get(Object) java.util.Map+containsKey(Object) java.util.Map+containsKey(Object) java.util.Map+get(Object) java.util.Map+get(Object) java.util.Map+containsKey(Object) java.util.Map+containsKey(Object) java.util.Map+get(Object) java.util.Map+get(Object) java.util.Map+containsKey(Object) java.util.Map+containsKey(Object) java.util.Map+get(Object) java.util.Map+get(Object) java.util.Map+containsKey(Object) java.util.Map+containsKey(Object) java.util.Map+get(Object) java.util.Map+get(Object) java.util.Map+containsKey(Object) java.util.Map+containsKey(Object) java.util.Map+get(Object) java.util.Map+get(Object) java.util.Map+containsKey(Object) java.util.Map+containsKey(Object) java.util.Map+get(Object) java.util.Map+get(Object) java.util.Map+containsKey(Object) java.util.Map+containsKey(Object) java.util.Map+get(Object) java.util.Map+get(Object) java.util.Map+containsKey(Object) java.util.Map+containsKey(Object) java.util.Map+get(Object) java.util.Map+get(Object) java.util.Map+containsKey(Object) java.util.Map+containsKey(Object) java.util.Map+get(Object) java.util.Map+get(Object) java.util.Map+containsKey(Object) java.util.Map+containsKey(Object) java.util.Map+get(Object) java.util.Map+get(Object) java.util.Map+containsKey(Object) java.util.Map+containsKey(Object) java.util.Map+get(Object) java.util.Map+get(Object) java.util.Map+containsKey(Object) java.util.Map+containsKey(Object) java.util.Map+get(Object) java.util.Map+get(Object) java.util.Map+containsKey(Object) java.util.Map+containsKey(Object) java.lang.Integer+parseInt(String) java.lang.Integer+parseInt(String) java.util.Map+get(Object) java.util.Map+get(Object) java.util.Map+containsKey(Object) java.util.Map+containsKey(Object) java.lang.Integer+parseInt(String) java.lang.Integer+parseInt(String) java.util.Map+get(Object) java.util.Map+get(Object) java.util.Map+containsKey(Object) java.util.Map+containsKey(Object) java.lang.Integer+parseInt(String) java.lang.Integer+parseInt(String) java.util.Map+get(Object) java.util.Map+get(Object) java.util.Map+containsKey(Object) java.util.Map+containsKey(Object) java.util.Map+get(Object) java.util.Map+get(Object) java.util.Map+containsKey(Object) java.util.Map+containsKey(Object) java.util.Map+get(Object) java.util.Map+get(Object) java.util.Map+containsKey(Object) java.util.Map+containsKey(Object) java.util.Map+get(Object) java.util.Map+get(Object) java.lang.String+split(String) java.lang.String+split(String) java.util.Map+containsKey(Object) java.util.Map+containsKey(Object) java.util.Map+get(Object) java.util.Map+get(Object) io.fabric8.kubernetes.client.utils.URLUtils+join(String[]) io.fabric8.kubernetes.client.utils.URLUtils+join(String[]) java.util.Map+containsKey(Object) java.util.Map+containsKey(Object) java.lang.Integer+parseInt(String) java.lang.Integer+parseInt(String) java.util.Map+get(Object) java.util.Map+get(Object) java.util.Map+containsKey(Object) java.util.Map+containsKey(Object) java.lang.Long+parseLong(String) java.lang.Long+parseLong(String) java.util.Map+get(Object) java.util.Map+get(Object) java.util.Map+containsKey(Object) java.util.Map+containsKey(Object) java.lang.Long+parseLong(String) java.lang.Long+parseLong(String) java.util.Map+get(Object) java.util.Map+get(Object) io.fabric8.kubernetes.client.KubernetesClientBuilder+withConfig(Config) io.fabric8.kubernetes.client.KubernetesClientBuilder+KubernetesClientBuilder() io.fabric8.kubernetes.client.KubernetesClientBuilder+withConfig(Config),io.fabric8.openshift.client.osgi.ManagedOpenShiftClient+delegate,5022,87,1,,"@Activate
  public void activate(Map<String, Object> properties) {
    final OpenShiftConfigBuilder builder = new OpenShiftConfigBuilder();

    if (properties.containsKey(KUBERNETES_MASTER_SYSTEM_PROPERTY)) {
      builder.withMasterUrl((String) properties.get(KUBERNETES_MASTER_SYSTEM_PROPERTY));
    }
    if (properties.containsKey(KUBERNETES_API_VERSION_SYSTEM_PROPERTY)) {
      builder.withApiVersion((String) properties.get(KUBERNETES_API_VERSION_SYSTEM_PROPERTY));
    }
    if (properties.containsKey(KUBERNETES_NAMESPACE_SYSTEM_PROPERTY)) {
      builder.withNamespace((String) properties.get(KUBERNETES_NAMESPACE_SYSTEM_PROPERTY));
    }
    if (properties.containsKey(KUBERNETES_CA_CERTIFICATE_FILE_SYSTEM_PROPERTY)) {
      builder.withCaCertFile((String) properties.get(KUBERNETES_CA_CERTIFICATE_FILE_SYSTEM_PROPERTY));
    }
    if (properties.containsKey(KUBERNETES_CA_CERTIFICATE_DATA_SYSTEM_PROPERTY)) {
      builder.withCaCertData((String) properties.get(KUBERNETES_CA_CERTIFICATE_DATA_SYSTEM_PROPERTY));
    }
    if (properties.containsKey(KUBERNETES_CLIENT_CERTIFICATE_FILE_SYSTEM_PROPERTY)) {
      builder.withClientCertFile((String) properties.get(KUBERNETES_CLIENT_CERTIFICATE_FILE_SYSTEM_PROPERTY));
    }
    if (properties.containsKey(KUBERNETES_CLIENT_CERTIFICATE_DATA_SYSTEM_PROPERTY)) {
      builder.withClientCertData((String) properties.get(KUBERNETES_CLIENT_CERTIFICATE_DATA_SYSTEM_PROPERTY));
    }
    if (properties.containsKey(KUBERNETES_CLIENT_KEY_FILE_SYSTEM_PROPERTY)) {
      builder.withClientKeyFile((String) properties.get(KUBERNETES_CLIENT_KEY_FILE_SYSTEM_PROPERTY));
    }
    if (properties.containsKey(KUBERNETES_CLIENT_KEY_DATA_SYSTEM_PROPERTY)) {
      builder.withClientKeyData((String) properties.get(KUBERNETES_CLIENT_KEY_DATA_SYSTEM_PROPERTY));
    }
    if (properties.containsKey(KUBERNETES_CLIENT_KEY_ALGO_SYSTEM_PROPERTY)) {
      builder.withClientKeyAlgo((String) properties.get(KUBERNETES_CLIENT_KEY_ALGO_SYSTEM_PROPERTY));
    }
    if (properties.containsKey(KUBERNETES_CLIENT_KEY_PASSPHRASE_SYSTEM_PROPERTY)) {
      builder.withClientKeyPassphrase((String) properties.get(KUBERNETES_CLIENT_KEY_PASSPHRASE_SYSTEM_PROPERTY));
    }
    if (properties.containsKey(KUBERNETES_AUTH_BASIC_USERNAME_SYSTEM_PROPERTY)) {
      builder.withUsername((String) properties.get(KUBERNETES_AUTH_BASIC_USERNAME_SYSTEM_PROPERTY));
    }
    if (properties.containsKey(KUBERNETES_AUTH_BASIC_PASSWORD_SYSTEM_PROPERTY)) {
      builder.withPassword((String) properties.get(KUBERNETES_AUTH_BASIC_PASSWORD_SYSTEM_PROPERTY));
    }
    if (properties.containsKey(KUBERNETES_OAUTH_TOKEN_SYSTEM_PROPERTY)) {
      builder.withOauthToken((String) properties.get(KUBERNETES_OAUTH_TOKEN_SYSTEM_PROPERTY));
    }
    if (properties.containsKey(KUBERNETES_WATCH_RECONNECT_INTERVAL_SYSTEM_PROPERTY)) {
      builder.withWatchReconnectInterval(
          Integer.parseInt((String) properties.get(KUBERNETES_WATCH_RECONNECT_INTERVAL_SYSTEM_PROPERTY)));
    }
    if (properties.containsKey(KUBERNETES_WATCH_RECONNECT_LIMIT_SYSTEM_PROPERTY)) {
      builder
          .withWatchReconnectLimit(Integer.parseInt((String) properties.get(KUBERNETES_WATCH_RECONNECT_LIMIT_SYSTEM_PROPERTY)));
    }
    if (properties.containsKey(KUBERNETES_REQUEST_TIMEOUT_SYSTEM_PROPERTY)) {
      builder.withRequestTimeout(Integer.parseInt((String) properties.get(KUBERNETES_REQUEST_TIMEOUT_SYSTEM_PROPERTY)));
    }
    if (properties.containsKey(KUBERNETES_HTTP_PROXY)) {
      builder.withHttpProxy((String) properties.get(KUBERNETES_HTTP_PROXY));
    }
    if (properties.containsKey(KUBERNETES_HTTPS_PROXY)) {
      builder.withHttpsProxy((String) properties.get(KUBERNETES_HTTPS_PROXY));
    }
    if (properties.containsKey(KUBERNETES_NO_PROXY)) {
      String noProxyProperty = (String) properties.get(KUBERNETES_NO_PROXY);
      builder.withNoProxy(noProxyProperty.split("",""));
    }
    if (properties.containsKey(OPENSHIFT_URL_SYSTEM_PROPERTY)) {
      builder.withOpenShiftUrl((String) properties.get(OPENSHIFT_URL_SYSTEM_PROPERTY));
    } else {
      builder.withOpenShiftUrl(URLUtils.join(builder.getMasterUrl(), ""oapi"", builder.getOapiVersion()));
    }
    if (properties.containsKey(OPENSHIFT_BUILD_TIMEOUT_SYSTEM_PROPERTY)) {
      builder.withBuildTimeout(Integer.parseInt((String) properties.get(OPENSHIFT_BUILD_TIMEOUT_SYSTEM_PROPERTY)));
    } else {
      builder.withBuildTimeout(DEFAULT_BUILD_TIMEOUT);
    }
    if (properties.containsKey(KUBERNETES_WEBSOCKET_TIMEOUT_SYSTEM_PROPERTY)) {
      builder.withWebsocketTimeout(Long.parseLong((String) properties.get(KUBERNETES_WEBSOCKET_TIMEOUT_SYSTEM_PROPERTY)));
    }
    if (properties.containsKey(KUBERNETES_WEBSOCKET_PING_INTERVAL_SYSTEM_PROPERTY)) {
      builder.withWebsocketPingInterval(
          Long.parseLong((String) properties.get(KUBERNETES_WEBSOCKET_PING_INTERVAL_SYSTEM_PROPERTY)));
    }

    delegate = new KubernetesClientBuilder().withConfig(builder.build()).build().adapt(NamespacedOpenShiftClient.class);
  }",False,False,"The function of this method is to activate and configure an OpenShift client based on the properties provided. It sets various properties such as the master URL, API version, namespace, certificates, authentication credentials, timeouts, and proxies. Finally, it creates an instance of the OpenShift client and assigns it to the ""delegate"" variable.",False,"The code is an activation method that sets up a configuration for a Kubernetes client. It reads properties from a map and uses them to build the configuration. The resulting configuration is used to create a Kubernetes client, which is then adapted to an OpenShift client."
3,deactivate(),deactivate ,Method,,,io.fabric8.kubernetes.client.Client+close() io.fabric8.kubernetes.client.Client+close(),io.fabric8.openshift.client.osgi.ManagedOpenShiftClient+delegate,66,4,1,,"@Deactivate
  public void deactivate() {
    delegate.close();
  }",False,False,This method serves to deactivate or close the delegate object.,False,"The given code snippet is a method named ""deactivate"" that is annotated with ""@Deactivate"". It is responsible for closing the ""delegate"" object."
4,getOpenshiftUrl(),get openshift url ,Method,,,io.fabric8.openshift.client.OpenShiftClient+getOpenshiftUrl() io.fabric8.openshift.client.OpenShiftClient+getOpenshiftUrl(),io.fabric8.openshift.client.osgi.ManagedOpenShiftClient+delegate,85,4,1,,"@Override
  public URL getOpenshiftUrl() {
    return delegate.getOpenshiftUrl();
  }",False,False,This method overrides the getOpenshiftUrl() method and returns the URL obtained from the delegate object.,True,"This code is implementing a method called ""getOpenshiftUrl"" which overrides a method from a superclass or interface. It returns the URL obtained from calling the same method on a delegate object."
5,config(),config ,Method,,,io.fabric8.openshift.client.OpenShiftClient+config() io.fabric8.openshift.client.OpenShiftClient+config(),io.fabric8.openshift.client.osgi.ManagedOpenShiftClient+delegate,90,4,1,,"@Override
  public OpenShiftConfigAPIGroupDSL config() {
    return delegate.config();
  }",False,False,"The method ""config"" returns an instance of the ""OpenShiftConfigAPIGroupDSL"" class by calling the ""config"" method of the ""delegate"" object.",True,"The code snippet defines an overridden method named ""config()"" that returns an instance of the ""OpenShiftConfigAPIGroupDSL"" class. This method delegates the call to the ""config()"" method of the ""delegate"" object."
6,console(),console ,Method,,,io.fabric8.openshift.client.OpenShiftClient+console() io.fabric8.openshift.client.OpenShiftClient+console(),io.fabric8.openshift.client.osgi.ManagedOpenShiftClient+delegate,93,4,1,,"@Override
  public OpenShiftConsoleAPIGroupDSL console() {
    return delegate.console();
  }",False,False,"The method ""console"" returns an instance of the OpenShiftConsoleAPIGroupDSL class by calling the ""console"" method of the delegate object.",True,"The code snippet defines an overridden method named ""console()"" that returns an instance of the ""OpenShiftConsoleAPIGroupDSL"" class. This method is delegated to another method with the same name in the ""delegate"" object."
7,clusterAutoscaling(),cluster autoscaling ,Method,,,io.fabric8.openshift.client.OpenShiftClient+clusterAutoscaling() io.fabric8.openshift.client.OpenShiftClient+clusterAutoscaling(),io.fabric8.openshift.client.osgi.ManagedOpenShiftClient+delegate,126,4,1,,"@Override
  public OpenShiftClusterAutoscalingAPIGroupDSL clusterAutoscaling() {
    return delegate.clusterAutoscaling();
  }",False,False,"The method ""clusterAutoscaling"" returns an instance of the OpenShiftClusterAutoscalingAPIGroupDSL class.",True,"The code snippet is implementing an overridden method called ""clusterAutoscaling"" which returns an instance of the ""OpenShiftClusterAutoscalingAPIGroupDSL"" class. The method simply delegates the call to the same method in the ""delegate"" object and returns the result."
8,hive(),hive ,Method,,,io.fabric8.openshift.client.OpenShiftClient+hive() io.fabric8.openshift.client.OpenShiftClient+hive(),io.fabric8.openshift.client.osgi.ManagedOpenShiftClient+delegate,84,4,1,,"@Override
  public OpenShiftHiveAPIGroupDSL hive() {
    return delegate.hive();
  }",False,False,"This method serves as an override for the ""hive"" function in the OpenShiftHiveAPIGroupDSL class, returning the result of calling the ""hive"" function on the delegate object.",True,"The code snippet is implementing an overridden method named ""hive()"" which returns an instance of the ""OpenShiftHiveAPIGroupDSL"" class. This method is likely part of a larger class or interface and is delegating the call to another object's ""hive()"" method."
9,operator(),operator ,Method,,,io.fabric8.openshift.client.OpenShiftClient+operator() io.fabric8.openshift.client.OpenShiftClient+operator(),io.fabric8.openshift.client.osgi.ManagedOpenShiftClient+delegate,96,4,1,,"@Override
  public OpenShiftOperatorAPIGroupDSL operator() {
    return delegate.operator();
  }",False,False,"This method serves as an override for the ""operator"" function in the OpenShiftOperatorAPIGroupDSL class, returning the result of calling the ""operator"" function on the delegate object.",True,"The code snippet defines an overridden method named ""operator()"" that returns an instance of the ""OpenShiftOperatorAPIGroupDSL"" class. This method is called on an object named ""delegate"" and provides access to the ""operator()"" method of the ""OpenShiftOperatorAPIGroupDSL"" class."
10,operatorHub(),operator hub ,Method,,,io.fabric8.openshift.client.OpenShiftClient+operatorHub() io.fabric8.openshift.client.OpenShiftClient+operatorHub(),io.fabric8.openshift.client.osgi.ManagedOpenShiftClient+delegate,105,4,1,,"@Override
  public OpenShiftOperatorHubAPIGroupDSL operatorHub() {
    return delegate.operatorHub();
  }",False,False,"The method ""operatorHub"" returns an instance of the ""OpenShiftOperatorHubAPIGroupDSL"" class by calling the same method on the ""delegate"" object.",True,"This code snippet overrides the `operatorHub()` method and returns an instance of the `OpenShiftOperatorHubAPIGroupDSL` class. It delegates the method call to the `delegate` object, which is of the same type."
11,builds(),builds ,Method,,,io.fabric8.openshift.client.OpenShiftClient+builds() io.fabric8.openshift.client.OpenShiftClient+builds(),io.fabric8.openshift.client.osgi.ManagedOpenShiftClient+delegate,128,4,1,,"@Override
  public MixedOperation<Build, BuildList, BuildResource<Build, LogWatch>> builds() {
    return delegate.builds();
  }",False,False,"The method ""builds()"" returns a MixedOperation object that allows operations on Build, BuildList, and BuildResource objects. It delegates the operation to another object and returns the result.",True,"The code defines a method named ""builds()"" that overrides a method from a superclass. It returns a MixedOperation object that allows operations on Build, BuildList, and BuildResource objects, specifically for accessing and manipulating build and log watch resources."
12,componentstatuses(),componentstatuses ,Method,,,io.fabric8.kubernetes.client.KubernetesClient+componentstatuses() io.fabric8.kubernetes.client.KubernetesClient+componentstatuses(),io.fabric8.openshift.client.osgi.ManagedOpenShiftClient+delegate,172,4,1,,"@Override
  public NonNamespaceOperation<ComponentStatus, ComponentStatusList, Resource<ComponentStatus>> componentstatuses() {
    return delegate.componentstatuses();
  }",False,False,"The method ""componentstatuses"" returns a NonNamespaceOperation object that operates on ComponentStatus, ComponentStatusList, and Resource<ComponentStatus>. It delegates the operation to another object.",True,The code defines an overridden method that returns a NonNamespaceOperation object for managing the status of components. It delegates the operation to another method and returns the result.
13,buildConfigs(),build configs ,Method,,,io.fabric8.openshift.client.OpenShiftClient+buildConfigs() io.fabric8.openshift.client.OpenShiftClient+buildConfigs(),io.fabric8.openshift.client.osgi.ManagedOpenShiftClient+delegate,167,4,1,,"@Override
  public MixedOperation<BuildConfig, BuildConfigList, BuildConfigResource<BuildConfig, Void, Build>> buildConfigs() {
    return delegate.buildConfigs();
  }",False,False,"The method ""buildConfigs"" returns a MixedOperation object that allows operations on BuildConfig resources. It delegates the operation to another method with the same name.",True,This code snippet overrides a method called `buildConfigs()` and returns a `MixedOperation` object that deals with `BuildConfig` resources. The method simply delegates the call to the `buildConfigs()` method of the `delegate` object.
14,credentialsRequests(),credentials requests ,Method,,,io.fabric8.openshift.client.OpenShiftClient+credentialsRequests() io.fabric8.openshift.client.OpenShiftClient+credentialsRequests(),io.fabric8.openshift.client.osgi.ManagedOpenShiftClient+delegate,178,4,1,,"@Override
  public MixedOperation<CredentialsRequest, CredentialsRequestList, Resource<CredentialsRequest>> credentialsRequests() {
    return delegate.credentialsRequests();
  }",False,False,"The method ""credentialsRequests"" returns a MixedOperation object that operates on CredentialsRequest, CredentialsRequestList, and Resource<CredentialsRequest> types. It delegates the operation to another object.",True,"The code defines an overridden method called ""credentialsRequests"" that returns a MixedOperation object. This object is responsible for handling operations related to credentials requests, such as creating, listing, and managing them. The method simply delegates the call to the corresponding method in the delegate object."
15,deploymentConfigs(),deployment configs ,Method,,,io.fabric8.openshift.client.OpenShiftClient+deploymentConfigs() io.fabric8.openshift.client.OpenShiftClient+deploymentConfigs(),io.fabric8.openshift.client.osgi.ManagedOpenShiftClient+delegate,186,4,1,,"@Override
  public MixedOperation<DeploymentConfig, DeploymentConfigList, DeployableScalableResource<DeploymentConfig>> deploymentConfigs() {
    return delegate.deploymentConfigs();
  }",False,False,"The method ""deploymentConfigs"" returns a MixedOperation object that allows operations on DeploymentConfig, DeploymentConfigList, and DeployableScalableResource<DeploymentConfig>. It delegates the operation to another object.",True,"The code defines a method named ""deploymentConfigs"" that overrides a method from a superclass. It returns a MixedOperation object that can be used to perform operations on DeploymentConfig resources, such as creating, updating, and deleting them. The method is part of a class that implements DeployableScalableResource and provides functionality related to managing deployment configurations."
16,groups(),groups ,Method,,,io.fabric8.openshift.client.OpenShiftClient+groups() io.fabric8.openshift.client.OpenShiftClient+groups(),io.fabric8.openshift.client.osgi.ManagedOpenShiftClient+delegate,120,4,1,,"@Override
  public NonNamespaceOperation<Group, GroupList, Resource<Group>> groups() {
    return delegate.groups();
  }",False,False,"The method ""groups()"" returns a NonNamespaceOperation object that operates on Group, GroupList, and Resource<Group> types. It calls the ""groups()"" method of the delegate object and returns its result.",True,"The code snippet defines an overridden method named ""groups()"" that returns a NonNamespaceOperation object. This method delegates the call to another method named ""groups()"" from the ""delegate"" object, which is of type NonNamespaceOperation<Group, GroupList, Resource<Group>>."
17,helmChartRepositories(),helm chart repositories ,Method,,,io.fabric8.openshift.client.OpenShiftClient+helmChartRepositories() io.fabric8.openshift.client.OpenShiftClient+helmChartRepositories(),io.fabric8.openshift.client.osgi.ManagedOpenShiftClient+delegate,192,4,1,,"@Override
  public NonNamespaceOperation<HelmChartRepository, HelmChartRepositoryList, Resource<HelmChartRepository>> helmChartRepositories() {
    return delegate.helmChartRepositories();
  }",False,False,"The method ""helmChartRepositories"" returns a NonNamespaceOperation object that operates on HelmChartRepository resources. It delegates the operation to another object and returns the result.",True,"This code snippet overrides a method called `helmChartRepositories()` and returns a `NonNamespaceOperation` object that operates on `HelmChartRepository` resources. The method is delegated to another object, `delegate`, which is responsible for handling the actual logic of the operation."
18,images(),images ,Method,,,io.fabric8.openshift.client.OpenShiftClient+images() io.fabric8.openshift.client.OpenShiftClient+images(),io.fabric8.openshift.client.osgi.ManagedOpenShiftClient+delegate,120,4,1,,"@Override
  public NonNamespaceOperation<Image, ImageList, Resource<Image>> images() {
    return delegate.images();
  }",False,False,"The method ""images()"" returns a NonNamespaceOperation object that operates on Image, ImageList, and Resource<Image> types. It delegates the operation to the ""images()"" method of the delegate object.",True,This code snippet overrides the `images()` method and returns a `NonNamespaceOperation` object that operates on `Image` resources. It delegates the operation to the `images()` method of the `delegate` object.
19,imageTags(),image tags ,Method,,,io.fabric8.openshift.client.OpenShiftClient+imageTags() io.fabric8.openshift.client.OpenShiftClient+imageTags(),io.fabric8.openshift.client.osgi.ManagedOpenShiftClient+delegate,128,4,1,,"@Override
  public MixedOperation<ImageTag, ImageTagList, Resource<ImageTag>> imageTags() {
    return delegate.imageTags();
  }",False,False,"The method ""imageTags"" returns a MixedOperation object that operates on ImageTag, ImageTagList, and Resource<ImageTag> types. It delegates the operation to the ""imageTags"" method of the delegate object.",True,This code snippet overrides the `imageTags()` method and returns a `MixedOperation` object that operates on `ImageTag` resources. It delegates the actual implementation to the `imageTags()` method of the `delegate` object.
20,imageStreams(),image streams ,Method,,,io.fabric8.openshift.client.OpenShiftClient+imageStreams() io.fabric8.openshift.client.OpenShiftClient+imageStreams(),io.fabric8.openshift.client.osgi.ManagedOpenShiftClient+delegate,143,4,1,,"@Override
  public MixedOperation<ImageStream, ImageStreamList, Resource<ImageStream>> imageStreams() {
    return delegate.imageStreams();
  }",False,False,"The method ""imageStreams"" returns a MixedOperation object that operates on ImageStream, ImageStreamList, and Resource<ImageStream> types. It delegates the operation to the ""delegate"" object.",True,"This code defines a method called ""imageStreams"" that returns a MixedOperation object. The MixedOperation object is parameterized with types ImageStream, ImageStreamList, and Resource<ImageStream>. The method simply delegates the call to the ""imageStreams"" method of the delegate object."
21,imageStreamTags(),image stream tags ,Method,,,io.fabric8.openshift.client.OpenShiftClient+imageStreamTags() io.fabric8.openshift.client.OpenShiftClient+imageStreamTags(),io.fabric8.openshift.client.osgi.ManagedOpenShiftClient+delegate,158,4,1,,"@Override
  public MixedOperation<ImageStreamTag, ImageStreamTagList, Resource<ImageStreamTag>> imageStreamTags() {
    return delegate.imageStreamTags();
  }",False,False,"The method ""imageStreamTags"" returns a MixedOperation object that operates on ImageStreamTag, ImageStreamTagList, and Resource<ImageStreamTag> types. It delegates the operation to the ""imageStreamTags"" method of the delegate object.",True,This code snippet overrides the `imageStreamTags()` method and returns a `MixedOperation` object that operates on `ImageStreamTag` resources. The method delegates the actual implementation to the `delegate` object.
