index,name,document,type,inner invocations,external invocations,calls,visits,length,lines,modifier,commit,full text,moved,removed,gpt text,gpt response,code summary
1,LOG,log ,Field,,,,,75,1,26,,private static final Logger LOG = LoggerFactory.getLogger(Y5Support.class);,False,False,,False,
2,ctrlCharacteristic,ctrl characteristic ,Field,,,,,61,1,1,,public BluetoothGattCharacteristic ctrlCharacteristic = null;,True,True,,False,
3,measureCharacteristic,measure characteristic ,Field,,,,,64,1,1,,public BluetoothGattCharacteristic measureCharacteristic = null;,False,True,,False,
4,realtimeSamplesSupport,realtime samples support ,Field,,,,,54,1,2,,private RealtimeSamplesSupport realtimeSamplesSupport;,False,False,,False,
5,versionCmd,version cmd ,Field,,,,,83,1,18,,private final GBDeviceEventVersionInfo versionCmd = new GBDeviceEventVersionInfo();,True,True,,False,
6,batteryCmd,battery cmd ,Field,,,,,83,1,18,,private final GBDeviceEventBatteryInfo batteryCmd = new GBDeviceEventBatteryInfo();,True,True,,False,
7,Y5Support(),y5 support ,Method,,,nodomain.freeyourgadget.gadgetbridge.service.btle.AbstractBTLEDeviceSupport+addSupportedService(UUID) nodomain.freeyourgadget.gadgetbridge.service.btle.AbstractBTLEDeviceSupport+addSupportedService(UUID),nodomain.freeyourgadget.gadgetbridge.service.devices.jyou.y5.Y5Support+LOG nodomain.freeyourgadget.gadgetbridge.devices.jyou.JYouConstants+UUID_SERVICE_JYOU,108,4,1,,"public Y5Support() {
        super(LOG);
        addSupportedService(JYouConstants.UUID_SERVICE_JYOU);
    }",False,False,"The function of the method is to initialize a Y5Support object. It calls the constructor of the superclass with a parameter LOG, and adds a supported service with the UUID_SERVICE_JYOU constant.",False,The code defines a constructor for the Y5Support class. It calls the constructor of its superclass with a LOG parameter and adds a supported service with a specific UUID to the Y5Support object.
8,initializeDevice(TransactionBuilder),initialize device builder ,Method,,,"org.slf4j.Logger+info(String) org.slf4j.Logger+info(String) nodomain.freeyourgadget.gadgetbridge.impl.GBDevice+setState(State) nodomain.freeyourgadget.gadgetbridge.impl.GBDevice+setState(State) nodomain.freeyourgadget.gadgetbridge.impl.GBDevice+sendDeviceUpdateIntent(Context) nodomain.freeyourgadget.gadgetbridge.impl.GBDevice+sendDeviceUpdateIntent(Context) nodomain.freeyourgadget.gadgetbridge.service.AbstractDeviceSupport+getContext() nodomain.freeyourgadget.gadgetbridge.service.AbstractDeviceSupport+getContext() nodomain.freeyourgadget.gadgetbridge.service.btle.AbstractBTLEDeviceSupport+getCharacteristic(UUID) nodomain.freeyourgadget.gadgetbridge.service.btle.AbstractBTLEDeviceSupport+getCharacteristic(UUID) nodomain.freeyourgadget.gadgetbridge.service.btle.AbstractBTLEDeviceSupport+getCharacteristic(UUID) nodomain.freeyourgadget.gadgetbridge.service.btle.AbstractBTLEDeviceSupport+getCharacteristic(UUID) nodomain.freeyourgadget.gadgetbridge.service.btle.TransactionBuilder+setGattCallback(GattCallback) nodomain.freeyourgadget.gadgetbridge.service.btle.TransactionBuilder+setGattCallback(GattCallback) nodomain.freeyourgadget.gadgetbridge.service.btle.TransactionBuilder+notify(BluetoothGattCharacteristic,boolean) nodomain.freeyourgadget.gadgetbridge.service.btle.TransactionBuilder+notify(BluetoothGattCharacteristic,boolean) nodomain.freeyourgadget.gadgetbridge.service.devices.jyou.y5.Y5Support+syncSettings(TransactionBuilder) nodomain.freeyourgadget.gadgetbridge.service.devices.jyou.y5.Y5Support+syncSettings(TransactionBuilder) nodomain.freeyourgadget.gadgetbridge.impl.GBDevice+setState(State) nodomain.freeyourgadget.gadgetbridge.impl.GBDevice+setState(State) nodomain.freeyourgadget.gadgetbridge.impl.GBDevice+sendDeviceUpdateIntent(Context) nodomain.freeyourgadget.gadgetbridge.impl.GBDevice+sendDeviceUpdateIntent(Context) nodomain.freeyourgadget.gadgetbridge.service.AbstractDeviceSupport+getContext() nodomain.freeyourgadget.gadgetbridge.service.AbstractDeviceSupport+getContext() org.slf4j.Logger+info(String) org.slf4j.Logger+info(String)",nodomain.freeyourgadget.gadgetbridge.service.devices.jyou.y5.Y5Support+LOG nodomain.freeyourgadget.gadgetbridge.service.AbstractDeviceSupport+gbDevice nodomain.freeyourgadget.gadgetbridge.service.AbstractDeviceSupport+gbDevice nodomain.freeyourgadget.gadgetbridge.service.devices.jyou.y5.Y5Support+measureCharacteristic nodomain.freeyourgadget.gadgetbridge.devices.jyou.JYouConstants+UUID_CHARACTERISTIC_MEASURE nodomain.freeyourgadget.gadgetbridge.service.devices.jyou.y5.Y5Support+ctrlCharacteristic nodomain.freeyourgadget.gadgetbridge.devices.jyou.JYouConstants+UUID_CHARACTERISTIC_CONTROL nodomain.freeyourgadget.gadgetbridge.service.devices.jyou.y5.Y5Support+measureCharacteristic nodomain.freeyourgadget.gadgetbridge.service.AbstractDeviceSupport+gbDevice nodomain.freeyourgadget.gadgetbridge.service.AbstractDeviceSupport+gbDevice nodomain.freeyourgadget.gadgetbridge.service.devices.jyou.y5.Y5Support+LOG,730,22,4,,"@Override
    protected TransactionBuilder initializeDevice(TransactionBuilder builder) {
        LOG.info(""Initializing"");

        gbDevice.setState(GBDevice.State.INITIALIZING);
        gbDevice.sendDeviceUpdateIntent(getContext());

        measureCharacteristic = getCharacteristic(JYouConstants.UUID_CHARACTERISTIC_MEASURE);
        ctrlCharacteristic = getCharacteristic(JYouConstants.UUID_CHARACTERISTIC_CONTROL);

        builder.setGattCallback(this);
        builder.notify(measureCharacteristic, true);

        syncSettings(builder);

        gbDevice.setState(GBDevice.State.INITIALIZED);
        gbDevice.sendDeviceUpdateIntent(getContext());

        LOG.info(""Initialization Done"");

        return builder;
    }",True,True,"This method initializes a device by setting its state to ""initializing"", sending a device update intent, getting characteristics, setting a GATT callback, enabling notifications, syncing settings, setting the state to ""initialized"", sending a device update intent, and returning the transaction builder.",True,"This code is an overridden method that initializes a device. It sets the state of the device to ""INITIALIZING"", sends a device update intent, retrieves two characteristics, sets a GATT callback, enables notifications for the measure characteristic, synchronizes settings, sets the state of the device to ""INITIALIZED"", sends another device update intent, and finally returns the builder object."
9,"onCharacteristicChanged(BluetoothGatt,BluetoothGattCharacteristic)",on characteristic changed gatt characteristic ,Method,,,"nodomain.freeyourgadget.gadgetbridge.service.btle.AbstractBTLEDeviceSupport+onCharacteristicChanged(BluetoothGatt,BluetoothGattCharacteristic) org.slf4j.Logger+info(String) org.slf4j.Logger+info(String) org.slf4j.Logger+info(String) org.slf4j.Logger+info(String) nodomain.freeyourgadget.gadgetbridge.service.AbstractDeviceSupport+handleGBDeviceEvent(GBDeviceEventVersionInfo) nodomain.freeyourgadget.gadgetbridge.service.AbstractDeviceSupport+handleGBDeviceEvent(GBDeviceEventVersionInfo) org.slf4j.Logger+info(String) org.slf4j.Logger+info(String) nodomain.freeyourgadget.gadgetbridge.service.AbstractDeviceSupport+handleGBDeviceEvent(GBDeviceEventBatteryInfo) nodomain.freeyourgadget.gadgetbridge.service.AbstractDeviceSupport+handleGBDeviceEvent(GBDeviceEventBatteryInfo) org.slf4j.Logger+info(String) org.slf4j.Logger+info(String) java.nio.ByteBuffer+getInt() java.nio.ByteBuffer+wrap(byte[],int,int) java.nio.ByteBuffer+wrap(byte[],int,int) java.nio.ByteBuffer+getInt() org.slf4j.Logger+info(String) org.slf4j.Logger+info(String) nodomain.freeyourgadget.gadgetbridge.service.devices.jyou.y5.Y5Support+handleRealtimeSteps(int) nodomain.freeyourgadget.gadgetbridge.service.devices.jyou.y5.Y5Support+handleRealtimeSteps(int) nodomain.freeyourgadget.gadgetbridge.service.devices.jyou.y5.Y5Support+handleHeartrate(int) nodomain.freeyourgadget.gadgetbridge.service.devices.jyou.y5.Y5Support+handleHeartrate(int) org.slf4j.Logger+info(String) org.slf4j.Logger+info(String) java.lang.String+format(String,Object[]) java.lang.String+format(String,Object[])",nodomain.freeyourgadget.gadgetbridge.devices.jyou.JYouConstants+RECEIVE_HISTORY_SLEEP_COUNT nodomain.freeyourgadget.gadgetbridge.service.devices.jyou.y5.Y5Support+LOG nodomain.freeyourgadget.gadgetbridge.devices.jyou.JYouConstants+RECEIVE_BLOOD_PRESSURE nodomain.freeyourgadget.gadgetbridge.service.devices.jyou.y5.Y5Support+LOG nodomain.freeyourgadget.gadgetbridge.devices.jyou.JYouConstants+RECEIVE_DEVICE_INFO nodomain.freeyourgadget.gadgetbridge.service.devices.jyou.y5.Y5Support+versionCmd nodomain.freeyourgadget.gadgetbridge.deviceevents.GBDeviceEventVersionInfo+fwVersion nodomain.freeyourgadget.gadgetbridge.service.devices.jyou.y5.Y5Support+versionCmd nodomain.freeyourgadget.gadgetbridge.service.devices.jyou.y5.Y5Support+LOG nodomain.freeyourgadget.gadgetbridge.service.devices.jyou.y5.Y5Support+versionCmd nodomain.freeyourgadget.gadgetbridge.deviceevents.GBDeviceEventVersionInfo+fwVersion nodomain.freeyourgadget.gadgetbridge.devices.jyou.JYouConstants+RECEIVE_BATTERY_LEVEL nodomain.freeyourgadget.gadgetbridge.service.devices.jyou.y5.Y5Support+batteryCmd nodomain.freeyourgadget.gadgetbridge.deviceevents.GBDeviceEventBatteryInfo+level nodomain.freeyourgadget.gadgetbridge.service.devices.jyou.y5.Y5Support+batteryCmd nodomain.freeyourgadget.gadgetbridge.service.devices.jyou.y5.Y5Support+LOG nodomain.freeyourgadget.gadgetbridge.service.devices.jyou.y5.Y5Support+batteryCmd nodomain.freeyourgadget.gadgetbridge.deviceevents.GBDeviceEventBatteryInfo+level nodomain.freeyourgadget.gadgetbridge.devices.jyou.JYouConstants+RECEIVE_STEPS_DATA nodomain.freeyourgadget.gadgetbridge.service.devices.jyou.y5.Y5Support+LOG nodomain.freeyourgadget.gadgetbridge.devices.jyou.JYouConstants+RECEIVE_HEARTRATE nodomain.freeyourgadget.gadgetbridge.devices.jyou.JYouConstants+RECEIVE_WATCH_MAC nodomain.freeyourgadget.gadgetbridge.devices.jyou.JYouConstants+RECEIVE_GET_PHOTO nodomain.freeyourgadget.gadgetbridge.service.devices.jyou.y5.Y5Support+LOG,2454,53,1,,"@Override
    public boolean onCharacteristicChanged(BluetoothGatt gatt,
                                           BluetoothGattCharacteristic characteristic) {
        if (super.onCharacteristicChanged(gatt, characteristic)) {
            return true;
        }

        UUID characteristicUUID = characteristic.getUuid();
        byte[] data = characteristic.getValue();
        if (data.length == 0)
            return true;

        switch (data[0]) {
            case JYouConstants.RECEIVE_HISTORY_SLEEP_COUNT:
                LOG.info(""onCharacteristicChanged: "" + data[0]);
                return true;
            case JYouConstants.RECEIVE_BLOOD_PRESSURE:
                int heartRate = data[2];
                int bloodPressureHigh = data[3];
                int bloodPressureLow = data[4];
                int bloodOxygen = data[5];
                int Fatigue = data[6];
                LOG.info(""RECEIVE_BLOOD_PRESSURE: Heart rate: "" + heartRate + "" Pressure high: "" + bloodPressureHigh+ "" pressure low: "" + bloodPressureLow);
                return true;
            case JYouConstants.RECEIVE_DEVICE_INFO:
                int model = data[7];
                int fwVerNum = data[4] & 0xFF;
                versionCmd.fwVersion = (fwVerNum / 100) + ""."" + ((fwVerNum % 100) / 10) + ""."" + ((fwVerNum % 100) % 10);
                handleGBDeviceEvent(versionCmd);
                LOG.info(""Firmware version is: "" + versionCmd.fwVersion);
                return true;
            case JYouConstants.RECEIVE_BATTERY_LEVEL:
                batteryCmd.level = data[8];
                handleGBDeviceEvent(batteryCmd);
                LOG.info(""Battery level is: "" + batteryCmd.level);
                return true;
            case JYouConstants.RECEIVE_STEPS_DATA:
                int steps = ByteBuffer.wrap(data, 5, 4).getInt();
                LOG.info(""Number of walked steps: "" + steps);
                handleRealtimeSteps(steps);
                return true;
            case JYouConstants.RECEIVE_HEARTRATE:
                handleHeartrate(data[8]);
                return true;
            case JYouConstants.RECEIVE_WATCH_MAC:
                return true;
            case JYouConstants.RECEIVE_GET_PHOTO:
                return true;
            default:
                LOG.info(""Unhandled characteristic change: "" + characteristicUUID + "" code: "" + String.format(""0x%1x ..."", data[0]));
                return true;
        }
    }",False,False,The function of this method is to handle characteristic changes in a BluetoothGatt device. It checks the type of characteristic change and performs different actions based on the type of change. It also logs information about the characteristic change.,True,"This code is an implementation of the `onCharacteristicChanged` method in a BluetoothGattCallback. It handles different types of characteristic changes received from a Bluetooth device, such as blood pressure, device information, battery level, steps data, heart rate, and more, by logging the received data and handling specific events accordingly."
10,handleRealtimeSteps(int),handle realtime steps value ,Method,"onCharacteristicChanged(BluetoothGatt,BluetoothGattCharacteristic)",,org.slf4j.Logger+isDebugEnabled() org.slf4j.Logger+isDebugEnabled() org.slf4j.Logger+debug(String) org.slf4j.Logger+debug(String) nodomain.freeyourgadget.gadgetbridge.service.devices.jyou.RealtimeSamplesSupport+setSteps(int) nodomain.freeyourgadget.gadgetbridge.service.devices.jyou.y5.Y5Support+getRealtimeSamplesSupport() nodomain.freeyourgadget.gadgetbridge.service.devices.jyou.y5.Y5Support+getRealtimeSamplesSupport() nodomain.freeyourgadget.gadgetbridge.service.devices.jyou.RealtimeSamplesSupport+setSteps(int),nodomain.freeyourgadget.gadgetbridge.service.devices.jyou.y5.Y5Support+LOG nodomain.freeyourgadget.gadgetbridge.service.devices.jyou.y5.Y5Support+LOG,243,7,2,,"private void handleRealtimeSteps(int value) {
        //todo Call on connect the device
        if (LOG.isDebugEnabled()) {
            LOG.debug(""realtime steps: "" + value);
        }
        getRealtimeSamplesSupport().setSteps(value);
    }",False,False,This method handles the real-time steps by setting the steps value and logging the value if debug logging is enabled.,True,The `handleRealtimeSteps` method is a private method that takes an integer value as a parameter. It logs the value of the parameter if debug logging is enabled and then sets the steps value using the `getRealtimeSamplesSupport()` method.
