index,name,document,type,inner invocations,external invocations,calls,visits,length,lines,modifier,commit,full text,moved,removed,gpt text,gpt response,code summary
1,log,log ,Field,,,,,74,1,10,,private static Logger log = Logger.getLogger(JobExecutor.class.getName());,False,False,,False,
2,commandExecutor,command executor ,Field,setCommandExecutor(CommandExecutor),,,,42,1,4,,protected CommandExecutor commandExecutor;,False,False,,False,
3,isAutoActivate,is auto activate ,Field,setAutoActivate(boolean),,,,41,1,4,,protected boolean isAutoActivate = false;,False,False,,False,
4,maxJobsPerAcquisition,max jobs per acquisition ,Field,setMaxJobsPerAcquisition(int),,,,40,1,4,,protected int maxJobsPerAcquisition = 3;,False,False,,False,
5,waitTimeInMillis,wait time in millis ,Field,setWaitTimeInMillis(int),,,,42,1,4,,protected int waitTimeInMillis = 5 * 1000;,False,False,,False,
6,lockOwner,lock owner ,Field,setLockOwner(String),,,,58,1,4,,protected String lockOwner = UUID.randomUUID().toString();,False,False,,False,
7,lockTimeInMillis,lock time in millis ,Field,setLockTimeInMillis(int),,,,47,1,4,,protected int lockTimeInMillis = 5 * 60 * 1000;,False,False,,False,
8,queueSize,queue size ,Field,setQueueSize(int),,,,28,1,4,,protected int queueSize = 5;,True,True,,False,
9,corePoolSize,core pool size ,Field,setCorePoolSize(int),,,,31,1,4,,protected int corePoolSize = 3;,True,True,,False,
10,maxPoolSize,max pool size ,Field,setMaxPoolSize(int),,,,29,1,2,,private int maxPoolSize = 10;,True,True,,False,
11,jobAcquisitionThread,job acquisition thread ,Field,setJobAcquisitionThread(JobAcquisitionThread),,,,52,1,4,,protected JobAcquisitionThread jobAcquisitionThread;,False,True,,False,
12,threadPoolQueue,thread pool queue ,Field,setThreadPoolQueue(BlockingQueue<Runnable>),,,,50,1,4,,protected BlockingQueue<Runnable> threadPoolQueue;,True,True,,False,
13,threadPoolExecutor,thread pool executor ,Field,setThreadPoolExecutor(ThreadPoolExecutor),,,,48,1,4,,protected ThreadPoolExecutor threadPoolExecutor;,True,True,,False,
14,isActive,is active ,Field,,,,,35,1,4,,protected boolean isActive = false;,False,True,,False,
