index,name,document,type,inner invocations,external invocations,calls,visits,length,lines,modifier,commit,full text,moved,removed,gpt text,code summary
1,HOSTNAME,hostname ,Field,,,,,60,1,26,,"private static final String HOSTNAME = ""foo.googleapis.com"";",False,False,,
2,PORT,port ,Field,,,,,37,1,26,,private static final int PORT = 8080;,False,False,,
3,NODE,node ,Field,,,,,59,1,26,,private static final Node NODE = Node.getDefaultInstance();,False,False,,
4,RPC_RETRY_TASK_FILTER,rpc retry task filter ,Field,,,,,289,7,26,,"private static final FakeClock.TaskFilter RPC_RETRY_TASK_FILTER =
      new FakeClock.TaskFilter() {
        @Override
        public boolean shouldAccept(Runnable command) {
          return command.toString().contains(XdsClientImpl.RpcRetryTask.class.getSimpleName());
        }
      };",False,False,,
5,cleanupRule,cleanup rule ,Field,,,,,73,2,17,,"@Rule
  public final GrpcCleanupRule cleanupRule = new GrpcCleanupRule();",False,False,,
6,syncContext,sync context ,Field,,,,,264,7,18,,"private final SynchronizationContext syncContext = new SynchronizationContext(
      new Thread.UncaughtExceptionHandler() {
        @Override
        public void uncaughtException(Thread t, Throwable e) {
          throw new AssertionError(e);
        }
      });",False,False,,
7,fakeClock,fake clock ,Field,,,,,52,1,18,,private final FakeClock fakeClock = new FakeClock();,False,False,,
8,responseObservers,response observers ,Field,,,,,94,1,18,,private final Queue<StreamObserver<DiscoveryResponse>> responseObservers = new ArrayDeque<>();,False,False,,
9,requestObservers,request observers ,Field,,,,,92,1,18,,private final Queue<StreamObserver<DiscoveryRequest>> requestObservers = new ArrayDeque<>();,False,False,,
10,callEnded,call ended ,Field,,,,,64,1,18,,private final AtomicBoolean callEnded = new AtomicBoolean(true);,False,False,,
11,mockedDiscoveryService,mocked discovery service ,Field,,,,,74,2,2,,"@Mock
  private AggregatedDiscoveryServiceImplBase mockedDiscoveryService;",False,False,,
12,backoffPolicyProvider,backoff policy provider ,Field,,,,,61,2,2,,"@Mock
  private BackoffPolicy.Provider backoffPolicyProvider;",False,False,,
13,backoffPolicy1,backoff policy1 ,Field,,,,,45,2,2,,"@Mock
  private BackoffPolicy backoffPolicy1;",False,False,,
14,backoffPolicy2,backoff policy2 ,Field,,,,,45,2,2,,"@Mock
  private BackoffPolicy backoffPolicy2;",False,False,,
15,configWatcher,config watcher ,Field,,,,,44,2,2,,"@Mock
  private ConfigWatcher configWatcher;",False,False,,
16,clusterWatcher,cluster watcher ,Field,,,,,46,2,2,,"@Mock
  private ClusterWatcher clusterWatcher;",False,False,,
17,endpointWatcher,endpoint watcher ,Field,,,,,48,2,2,,"@Mock
  private EndpointWatcher endpointWatcher;",False,False,,
18,channel,channel ,Field,,,,,31,1,2,,private ManagedChannel channel;,False,False,,
19,xdsClient,xds client ,Field,,,,,32,1,2,,private XdsClientImpl xdsClient;,False,False,,
