index,name,document,type,inner invocations,external invocations,calls,visits,length,lines,modifier,commit,full text,moved,removed,gpt text,gpt response,code summary
1,WAITING_FOR_LOCK,waiting for lock the table name this thread is waiting to lock ,Field,,,,,136,4,25,"/** 
 * The table name this thread is waiting to lock.
 */
","/**
     * The table name this thread is waiting to lock.
     */
    public static final DebuggingThreadLocal<String> WAITING_FOR_LOCK;",False,False,"/** 
 * The table name this thread is waiting to lock.
 */
",False,"/** 
 * The table name this thread is waiting to lock.
 */
"
2,EXCLUSIVE_LOCKS,exclusive locks the table names this thread has exclusively locked ,Field,,,,,151,4,25,"/** 
 * The table names this thread has exclusively locked.
 */
","/**
     * The table names this thread has exclusively locked.
     */
    public static final DebuggingThreadLocal<ArrayList<String>> EXCLUSIVE_LOCKS;",False,False,"/** 
 * The table names this thread has exclusively locked.
 */
",False,"/** 
 * The table names this thread has exclusively locked.
 */
"
3,SHARED_LOCKS,shared locks the tables names this thread has a shared lock on ,Field,,,,,147,4,25,"/** 
 * The tables names this thread has a shared lock on.
 */
","/**
     * The tables names this thread has a shared lock on.
     */
    public static final DebuggingThreadLocal<ArrayList<String>> SHARED_LOCKS;",False,False,"/** 
 * The tables names this thread has a shared lock on.
 */
",False,"/** 
 * The tables names this thread has a shared lock on.
 */
"
4,TraceLockEvent,trace lock event the type of trace lock events ,Field,,,,,80,4,2,"/** 
 * The type of trace lock events
 */
","/**
     * The type of trace lock events
     */
    private enum TraceLockEvent",False,False,"/** 
 * The type of trace lock events
 */
",False,"/** 
 * The type of trace lock events
 */
"
5,eventText,event text ,Field,TraceLockEvent(String),,,,31,1,18,,private final String eventText;,False,False,,False,
6,TraceLockEvent(String),trace lock event event text ,Method,,,,org.h2.mvstore.db.MVTable+eventText org.h2.mvstore.db.MVTable+eventText,84,3,0,,"TraceLockEvent(String eventText) {
            this.eventText = eventText;
        }",False,False,This method assigns the value of the eventText parameter to the eventText variable of the class.,False,"The code defines a constructor method called ""TraceLockEvent"" that takes a string parameter ""eventText"". It assigns the value of ""eventText"" to the instance variable ""eventText"" of the class."
7,getEventText(),get event text ,Method,,,,org.h2.mvstore.db.MVTable+eventText,70,3,1,,"public String getEventText() {
            return eventText;
        }",False,False,"The function of the given method is to retrieve and return the value of the variable ""eventText"" as a string.",False,"The code contains a method named ""getEventText"" which returns a string. It retrieves the value of the ""eventText"" variable and returns it as the result of the method."
8,NO_EXTRA_INFO,no extra info ,Field,,,,,47,1,26,,"private static final String NO_EXTRA_INFO = """";",False,False,,False,
9,primaryIndex,primary index ,Field,,,,,36,1,2,,private MVPrimaryIndex primaryIndex;,False,False,,False,
10,indexes,indexes ,Field,,,,,67,1,18,,private final ArrayList<Index> indexes = Utils.newSmallArrayList();,False,False,,False,
11,lastModificationId,last modification id ,Field,,,,,63,1,18,,private final AtomicLong lastModificationId = new AtomicLong();,False,False,,False,
12,lockExclusiveSession,lock exclusive session ,Field,,,,,46,1,66,,private volatile Session lockExclusiveSession;,True,True,,False,
13,lockSharedSessions,lock shared sessions ,Field,,,,,109,2,18,,"private final ConcurrentHashMap<Session, Session> lockSharedSessions =
            new ConcurrentHashMap<>();",True,True,,False,
14,waitingSessions,waiting sessions the queue of sessions waiting to lock the table it is a fifo queue to prevent starvation since java s synchronized locking is biased ,Field,,,,,237,5,18,"/** 
 * The queue of sessions waiting to lock the table. It is a FIFO queue to prevent starvation, since Java's synchronized locking is biased.
 */
","/**
     * The queue of sessions waiting to lock the table. It is a FIFO queue to
     * prevent starvation, since Java's synchronized locking is biased.
     */
    private final ArrayDeque<Session> waitingSessions = new ArrayDeque<>();",False,False,"/** 
 * The queue of sessions waiting to lock the table. It is a FIFO queue to prevent starvation, since Java's synchronized locking is biased.
 */
",False,"/** 
 * The queue of sessions waiting to lock the table. It is a FIFO queue to prevent starvation, since Java's synchronized locking is biased.
 */
"
15,traceLock,trace lock ,Field,,,,,30,1,18,,private final Trace traceLock;,False,False,,False,
16,changesUntilAnalyze,changes until analyze ,Field,,,,,48,1,18,,private final AtomicInteger changesUntilAnalyze;,False,False,,False,
