index,name,document,type,inner invocations,external invocations,calls,visits,length,lines,modifier,commit,full text,moved,removed,gpt text,gpt response,code summary
1,scanIndex,scan index ,Field,,,,,24,1,2,,private Index scanIndex;,False,False,,False,
2,rowCount,row count ,Field,setRowCount(long),,,,22,1,2,,private long rowCount;,False,False,,False,
3,lockExclusiveSession,lock exclusive session ,Field,"getDeadlockDetails(ArrayList<Session>,boolean)",,,,46,1,66,,private volatile Session lockExclusiveSession;,True,True,,False,
4,lockSharedSessions,lock shared sessions ,Field,,,,,103,2,2,,"private ConcurrentHashMap<Session, Session> lockSharedSessions =
            new ConcurrentHashMap<>();",True,True,,False,
5,waitingSessions,waiting sessions the queue of sessions waiting to lock the table it is a fifo queue to prevent starvation since java s synchronized locking is biased ,Field,,,,,237,5,18,"/** 
 * The queue of sessions waiting to lock the table. It is a FIFO queue to prevent starvation, since Java's synchronized locking is biased.
 */
","/**
     * The queue of sessions waiting to lock the table. It is a FIFO queue to
     * prevent starvation, since Java's synchronized locking is biased.
     */
    private final ArrayDeque<Session> waitingSessions = new ArrayDeque<>();",False,False,"/** 
 * The queue of sessions waiting to lock the table. It is a FIFO queue to prevent starvation, since Java's synchronized locking is biased.
 */
",False,"/** 
 * The queue of sessions waiting to lock the table. It is a FIFO queue to prevent starvation, since Java's synchronized locking is biased.
 */
"
6,traceLock,trace lock ,Field,,,,,30,1,18,,private final Trace traceLock;,False,False,,False,
7,indexes,indexes ,Field,,,,,67,1,18,,private final ArrayList<Index> indexes = Utils.newSmallArrayList();,False,False,,False,
8,lastModificationId,last modification id ,Field,,,,,32,1,2,,private long lastModificationId;,False,False,,False,
9,containsLargeObject,contains large object ,Field,,,,,42,1,18,,private final boolean containsLargeObject;,True,True,,False,
10,mainIndex,main index ,Field,,,,,38,1,18,,private final PageDataIndex mainIndex;,False,False,,False,
11,changesSinceAnalyze,changes since analyze ,Field,,,,,32,1,2,,private int changesSinceAnalyze;,False,False,,False,
12,nextAnalyze,next analyze ,Field,,,,,24,1,2,,private int nextAnalyze;,False,False,,False,
13,rowIdColumn,row id column ,Field,,,,,27,1,2,,private Column rowIdColumn;,True,True,,False,
14,PageStoreTable(CreateTableData),page store table data ,Method,,,"org.h2.engine.Database+getSettings() org.h2.engine.Database+getSettings() org.h2.table.Table+getColumns() org.h2.table.Table+getColumns() org.h2.value.DataType+isLargeObject(int) org.h2.value.DataType+isLargeObject(int) org.h2.value.TypeInfo+getValueType() org.h2.table.Column+getType() org.h2.table.Column+getType() org.h2.value.TypeInfo+getValueType() org.h2.engine.Database+isPersistent() org.h2.engine.Database+isPersistent() org.h2.index.PageDataIndex+PageDataIndex(PageStoreTable,int,IndexColumn[],IndexType,boolean,Session) org.h2.table.IndexColumn+wrap(Column[]) org.h2.table.IndexColumn+wrap(Column[]) org.h2.table.Table+getColumns() org.h2.table.Table+getColumns() org.h2.index.IndexType+createScan(boolean) org.h2.index.IndexType+createScan(boolean) org.h2.index.ScanIndex+ScanIndex(PageStoreTable,int,IndexColumn[],IndexType) org.h2.table.IndexColumn+wrap(Column[]) org.h2.table.IndexColumn+wrap(Column[]) org.h2.table.Table+getColumns() org.h2.table.Table+getColumns() org.h2.index.IndexType+createScan(boolean) org.h2.index.IndexType+createScan(boolean) java.util.ArrayList+add(E) java.util.ArrayList+add(E) org.h2.engine.Database+getTrace(int) org.h2.engine.Database+getTrace(int)",org.h2.table.PageStoreTable+nextAnalyze org.h2.engine.DbSettings+analyzeAuto org.h2.engine.DbObjectBase+database org.h2.engine.DbSettings+analyzeAuto org.h2.table.Table+isHidden org.h2.table.Table+isHidden org.h2.command.ddl.CreateTableData+isHidden org.h2.table.PageStoreTable+containsLargeObject org.h2.command.ddl.CreateTableData+persistData org.h2.engine.DbObjectBase+database org.h2.table.PageStoreTable+mainIndex org.h2.command.ddl.CreateTableData+id org.h2.command.ddl.CreateTableData+persistData org.h2.command.ddl.CreateTableData+create org.h2.command.ddl.CreateTableData+session org.h2.table.PageStoreTable+scanIndex org.h2.table.PageStoreTable+mainIndex org.h2.table.PageStoreTable+mainIndex org.h2.table.PageStoreTable+scanIndex org.h2.command.ddl.CreateTableData+id org.h2.command.ddl.CreateTableData+persistData org.h2.table.PageStoreTable+indexes org.h2.table.PageStoreTable+scanIndex org.h2.table.PageStoreTable+traceLock org.h2.engine.DbObjectBase+database org.h2.message.Trace+LOCK,1013,26,1,,"public PageStoreTable(CreateTableData data) {
        super(data);
        nextAnalyze = database.getSettings().analyzeAuto;
        this.isHidden = data.isHidden;
        boolean b = false;
        for (Column col : getColumns()) {
            if (DataType.isLargeObject(col.getType().getValueType())) {
                b = true;
                break;
            }
        }
        containsLargeObject = b;
        if (data.persistData && database.isPersistent()) {
            mainIndex = new PageDataIndex(this, data.id,
                    IndexColumn.wrap(getColumns()),
                    IndexType.createScan(data.persistData),
                    data.create, data.session);
            scanIndex = mainIndex;
        } else {
            mainIndex = null;
            scanIndex = new ScanIndex(this, data.id,
                    IndexColumn.wrap(getColumns()), IndexType.createScan(data.persistData));
        }
        indexes.add(scanIndex);
        traceLock = database.getTrace(Trace.LOCK);
    }",False,False,The function of this method is to create a PageStoreTable object. It initializes various variables and creates indexes based on the provided CreateTableData object.,True,"This code initializes a PageStoreTable object by setting its properties based on the CreateTableData provided. It checks if the table contains large objects, creates the main and scan indexes based on the data, and adds the scan index to the list of indexes."
15,close(Session),close session ,Method,,,org.h2.index.Index+close(Session) org.h2.index.Index+close(Session),org.h2.table.PageStoreTable+indexes,138,6,1,,"@Override
    public void close(Session session) {
        for (Index index : indexes) {
            index.close(session);
        }
    }",False,False,This method closes all indexes associated with a session.,False,"The given code snippet represents a method named ""close"" that is overridden from a parent class or interface. This method takes a ""Session"" object as a parameter and iterates through a collection of ""Index"" objects, calling the ""close"" method on each index with the session object. The purpose of this method is to close all the indexes associated with the session."
16,"getRow(Session,long)",get row session key ,Method,,"org.h2.index.HashIndex+find(Session,SearchRow,SearchRow) org.h2.index.NonUniqueHashCursor+get() org.h2.index.PageBtreeIndex+getRow(Session,long) org.h2.index.PageBtreeIndex+readRow(Data,int,boolean,boolean) org.h2.index.PageBtreeIndex+readRow(long)","org.h2.index.Index+getRow(Session,long) org.h2.index.Index+getRow(Session,long)",org.h2.table.PageStoreTable+scanIndex,113,4,1,,"@Override
    public Row getRow(Session session, long key) {
        return scanIndex.getRow(session, key);
    }",False,False,"The function of the given method is to override the ""getRow"" method and return a row by calling the ""getRow"" method of the ""scanIndex"" object with the provided session and key parameters.",True,The given code snippet is an overridden method that returns a row from a session using a specified key. It utilizes the `scanIndex` object to retrieve the row based on the provided session and key parameters.
