index,name,document,type,inner invocations,external invocations,calls,visits,length,lines,modifier,commit,full text,moved,removed,gpt text,gpt response,code summary
1,select,select ,Field,"AbstractAggregate(Select,boolean)",,,,30,1,20,,protected final Select select;,True,True,,False,
2,distinct,distinct ,Field,"AbstractAggregate(Select,boolean)",,,,33,1,20,,protected final boolean distinct;,False,False,,False,
3,filterCondition,filter condition ,Field,setFilterCondition(Expression),,,,37,1,4,,protected Expression filterCondition;,False,False,,False,
4,over,over ,Field,setOverCondition(Window),,,,22,1,4,,protected Window over;,True,True,,False,
5,overOrderBySort,over order by sort ,Field,,,,,36,1,4,,protected SortOrder overOrderBySort;,True,True,,False,
6,lastGroupRowId,last group row id ,Field,,,,,27,1,2,,private int lastGroupRowId;,True,True,,False,
7,"createOrder(Session,ArrayList<SelectOrderBy>,int)",create order session order by offset ,Method,optimize(Session),org.h2.expression.aggregate.Aggregate+optimize(Session),"java.util.ArrayList+size() java.util.ArrayList+size() java.util.ArrayList+get(int) java.util.ArrayList+get(int) org.h2.result.SortOrder+SortOrder(Database,int[],int[],ArrayList<SelectOrderBy>) org.h2.engine.Session+getDatabase() org.h2.engine.Session+getDatabase()",org.h2.command.dml.SelectOrderBy+sortType,467,11,12,,"protected static SortOrder createOrder(Session session, ArrayList<SelectOrderBy> orderBy, int offset) {
        int size = orderBy.size();
        int[] index = new int[size];
        int[] sortType = new int[size];
        for (int i = 0; i < size; i++) {
            SelectOrderBy o = orderBy.get(i);
            index[i] = i + offset;
            sortType[i] = o.sortType;
        }
        return new SortOrder(session.getDatabase(), index, sortType, null);
    }",True,True,"This method creates a SortOrder object based on the given session, orderBy list, and offset. It initializes arrays for index and sortType, populates them with values from the orderBy list, and returns a new SortOrder object.",True,"This code defines a protected static method called `createOrder` that takes a `Session` object, an `ArrayList` of `SelectOrderBy` objects, and an offset as parameters. It creates an array of indices and an array of sort types based on the `SelectOrderBy` objects, and then returns a new `SortOrder` object with these arrays as arguments."
8,"AbstractAggregate(Select,boolean)",abstract aggregate select distinct ,Method,,,,org.h2.expression.aggregate.AbstractAggregate+select org.h2.expression.aggregate.AbstractAggregate+select org.h2.expression.aggregate.AbstractAggregate+distinct org.h2.expression.aggregate.AbstractAggregate+distinct,122,4,0,,"AbstractAggregate(Select select, boolean distinct) {
        this.select = select;
        this.distinct = distinct;
    }",False,False,"The function of the method is to initialize the ""select"" and ""distinct"" variables with the values passed as parameters.",True,The code defines a constructor for an abstract class called AbstractAggregate. The constructor takes two parameters: a Select object and a boolean value indicating whether the select statement should return distinct values. The constructor initializes the select and distinct variables of the class with the provided values.
9,setFilterCondition(Expression),set filter condition filter condition sets the filter condition param filter condition filter condition ,Method,,org.h2.command.Parser+readFilterAndOver(AbstractAggregate),org.h2.expression.aggregate.AbstractAggregate+isAggregate() org.h2.expression.aggregate.AbstractAggregate+isAggregate() org.h2.message.DbException+getUnsupportedException(String) org.h2.message.DbException+getUnsupportedException(String),org.h2.expression.aggregate.AbstractAggregate+filterCondition org.h2.expression.aggregate.AbstractAggregate+filterCondition,370,13,1,"/** 
 * Sets the FILTER condition.
 * @param filterCondition FILTER condition
 */
","/**
     * Sets the FILTER condition.
     *
     * @param filterCondition
     *            FILTER condition
     */
    public void setFilterCondition(Expression filterCondition) {
        if (isAggregate()) {
            this.filterCondition = filterCondition;
        } else {
            throw DbException.getUnsupportedException(""Window function"");
        }
    }",False,False,"This method sets the FILTER condition for a window function. If the function is not an aggregate function, it throws an exception.",False,"This code defines a method called ""setFilterCondition"" that sets the filter condition for a window function. If the function is not an aggregate function, it throws an exception indicating that window functions are not supported."
10,setOverCondition(Window),set over condition over sets the over condition param over over condition ,Method,,org.h2.command.Parser+readFilterAndOver(AbstractAggregate),,org.h2.expression.aggregate.AbstractAggregate+over org.h2.expression.aggregate.AbstractAggregate+over,182,9,1,"/** 
 * Sets the OVER condition.
 * @param over OVER condition
 */
","/**
     * Sets the OVER condition.
     *
     * @param over
     *            OVER condition
     */
    public void setOverCondition(Window over) {
        this.over = over;
    }",True,True,This method sets the OVER condition for a window.,False,"This code defines a method called ""setOverCondition"" that takes a parameter of type ""Window"" and sets the value of the ""over"" instance variable to the provided value. The method is used to set the OVER condition for a specific window."
