index,name,document,type,inner invocations,external invocations,calls,visits,length,lines,modifier,commit,full text,moved,removed,gpt text,gpt response,code summary
1,config,config the activiti config bean ,Field,setConfig(Config),,,,66,4,4,"/** 
 * The activiti config bean
 */
","/**
   * The activiti config bean
   */
  protected Config config;",False,False,"/** 
 * The activiti config bean
 */
",False,"/** 
 * The activiti config bean
 */
"
2,setConfig(Config),set config config setter for the activiti config bean param config the activiti config bean ,Method,,,,org.activiti.rest.util.ActivitiWebScript+config org.activiti.rest.util.ActivitiWebScript+config,185,9,1,"/** 
 * Setter for the activiti config bean
 * @param config The activiti config bean
 */
","/**
   * Setter for the activiti config bean
   * 
   * @param config
   *          The activiti config bean
   */
  public void setConfig(Config config) {
    this.config = config;
  }",False,False,"This method is a setter for the activiti config bean. It takes a parameter called ""config"" and assigns it to the instance variable ""this.config"".",False,"This code defines a setter method named ""setConfig"" that takes a parameter of type ""Config"" and assigns it to the ""config"" instance variable of the class. It is used to set the activiti config bean for the class."
3,"executeImpl(WebScriptRequest,Status,Cache)",execute impl req status cache the entry point for the webscript will create a model and call the execute web script so extending activiti webscripts may implement custom logic param req the webscript request param status the webscripts status param cache the webscript cache return the webscript template model ,Method,,,"java.util.HashMap+HashMap() org.activiti.rest.util.ActivitiWebScript+executeWebScript(WebScriptRequest,Status,Cache,Map<String,Object>) org.activiti.rest.util.ActivitiWebScript+executeWebScript(WebScriptRequest,Status,Cache,Map<String,Object>)",,844,28,4,"/** 
 * The entry point for the webscript. Will create a model and call the executeWebScript() so extending activiti webscripts may implement custom logic.
 * @param req The webscript request
 * @param status The webscripts status
 * @param cache The webscript cache
 * @return The webscript template model
 */
","/**
   * The entry point for the webscript.
   * 
   * Will create a model and call the executeWebScript() so extending activiti
   * webscripts may implement custom logic.
   * 
   * @param req
   *          The webscript request
   * @param status
   *          The webscripts status
   * @param cache
   *          The webscript cache
   * @return The webscript template model
   */
  @Override
  protected Map<String, Object> executeImpl(WebScriptRequest req, Status status, Cache cache) {
    // Prepare model with process engine info
    Map<String, Object> model = new HashMap<String, Object>();

    // todo: set the current user context when the core api implements security
    // checks

    // Let implementing webscript do something useful
    executeWebScript(req, status, cache, model);

    // Return model
    return model;
  }",False,False,"The function of this method is to serve as the entry point for a webscript. It creates a model and calls the executeWebScript() method, allowing for custom logic to be implemented. It takes in a webscript request, status, and cache, and returns the webscript template model.",False,This code is the entry point for a web script. It creates a model and calls the executeWebScript() method to allow for custom logic implementation. The method returns the model.
4,"executeWebScript(WebScriptRequest,Status,Cache,Map<String,Object>)",execute web script req status cache model override this class to implement custom logic param req the webscript request param status the webscript param cache param model ,Method,"executeImpl(WebScriptRequest,Status,Cache)",,,,360,13,4,"/** 
 * Override this class to implement custom logic.
 * @param req The webscript request
 * @param status The webscript
 * @param cache
 * @param model
 */
","/**
   * Override this class to implement custom logic.
   * 
   * @param req
   *          The webscript request
   * @param status
   *          The webscript
   * @param cache
   * @param model
   */
  protected void executeWebScript(WebScriptRequest req, Status status, Cache cache, Map<String, Object> model) {
    // Override to make something useful
  }",False,False,"The method serves as a template for implementing custom logic in a web script. It takes in a web script request, status, cache, and model as parameters. The method can be overridden to perform specific actions.",False,"The given code is a method named ""executeWebScript"" that can be overridden to implement custom logic. It takes in a WebScriptRequest, Status, Cache, and a Map<String, Object> model as parameters. The purpose of this method is to perform some useful actions, but the specific implementation is left to the overriding class."
5,getProcessEngineInfo(),get process engine info returns the process engine info return the process engine info ,Method,,"org.activiti.rest.api.engine.ProcessEngineGet+executeWebScript(WebScriptRequest,Status,Cache,Map<String,Object>)",org.activiti.engine.ProcessEngines+getProcessEngineInfo(String) org.activiti.engine.ProcessEngines+getProcessEngineInfo(String) org.activiti.rest.Config+getEngine() org.activiti.rest.Config+getEngine(),org.activiti.rest.util.ActivitiWebScript+config,217,8,4,"/** 
 * Returns the process engine info.
 * @return The process engine info
 */
","/**
   * Returns the process engine info.
   * 
   * @return The process engine info
   */
  protected ProcessEngineInfo getProcessEngineInfo() {
    return ProcessEngines.getProcessEngineInfo(config.getEngine());
  }",False,False,This method returns the process engine info by calling the getProcessEngineInfo method from the ProcessEngines class with the engine configuration as a parameter.,True,"The code defines a protected method named ""getProcessEngineInfo"" that returns the process engine information. It retrieves the process engine info by calling the ""getProcessEngineInfo"" method from the ""ProcessEngines"" class, passing the engine configuration as a parameter."
6,getProcessEngine(),get process engine returns the process engine return the process engine ,Method,getIdentityService() getManagementService() getRuntimeService() getRepositoryService() getTaskService(),,org.activiti.engine.ProcessEngines+getProcessEngine(String) org.activiti.engine.ProcessEngines+getProcessEngine(String) org.activiti.rest.Config+getEngine() org.activiti.rest.Config+getEngine(),org.activiti.rest.util.ActivitiWebScript+config,195,8,4,"/** 
 * Returns the process engine.
 * @return The process engine
 */
","/**
   * Returns the process engine.
   * 
   * @return The process engine
   */
  protected ProcessEngine getProcessEngine() {
    return ProcessEngines.getProcessEngine(config.getEngine());
  }",False,False,This method serves to retrieve the process engine by calling the `getProcessEngine` method from the `ProcessEngines` class with the engine configuration obtained from the `config` object.,True,"The given code is a protected method named ""getProcessEngine"" that returns a ProcessEngine object. It retrieves the process engine based on the configuration provided and returns it."
7,getIdentityService(),get identity service returns the identity service return the identity service ,Method,"isUserInGroup(WebScriptRequest,String,String)","org.activiti.rest.api.identity.GroupGet+executeWebScript(WebScriptRequest,Status,Cache,Map<String,Object>) org.activiti.rest.api.identity.GroupUsersGet+executeWebScript(WebScriptRequest,Status,Cache,Map<String,Object>) org.activiti.rest.api.identity.UserGet+executeWebScript(WebScriptRequest,Status,Cache,Map<String,Object>) org.activiti.rest.api.identity.UserGroupsGet+executeWebScript(WebScriptRequest,Status,Cache,Map<String,Object>) org.activiti.rest.api.identity.UserGroupsGet+executeWebScript(WebScriptRequest,Status,Cache,Map<String,Object>) org.activiti.rest.api.tasks.TasksSummaryGet+executeWebScript(WebScriptRequest,Status,Cache,Map<String,Object>)",org.activiti.engine.ProcessEngine+getIdentityService() org.activiti.rest.util.ActivitiWebScript+getProcessEngine() org.activiti.rest.util.ActivitiWebScript+getProcessEngine() org.activiti.engine.ProcessEngine+getIdentityService(),,191,8,4,"/** 
 * Returns the identity service.
 * @return The identity service
 */
","/**
   * Returns the identity service.
   * 
   * @return The identity service
   */
  protected IdentityService getIdentityService() {
    return getProcessEngine().getIdentityService();
  }",False,False,This method serves to retrieve the identity service from the process engine.,True,"The code defines a protected method called ""getIdentityService"" that returns the identity service. This method is used to retrieve the identity service from the process engine. The identity service is responsible for managing user identities and authorizations in the system."
8,getManagementService(),get management service returns the management service return the management service ,Method,,"org.activiti.rest.api.management.TableDataGet+executeWebScript(WebScriptRequest,Status,Cache,Map<String,Object>) org.activiti.rest.api.management.TableGet+executeWebScript(WebScriptRequest,Status,Cache,Map<String,Object>) org.activiti.rest.api.management.TablesGet+executeWebScript(WebScriptRequest,Status,Cache,Map<String,Object>)",org.activiti.engine.ProcessEngine+getManagementService() org.activiti.rest.util.ActivitiWebScript+getProcessEngine() org.activiti.rest.util.ActivitiWebScript+getProcessEngine() org.activiti.engine.ProcessEngine+getManagementService(),,202,8,4,"/** 
 * Returns the management service.
 * @return The management service.
 */
","/**
   * Returns the management service.
   * 
   * @return The management service.
   */
  protected ManagementService getManagementService() {
    return getProcessEngine().getManagementService();
  }",False,False,This method returns the management service of the process engine.,True,"The code defines a protected method called ""getManagementService"" that returns the management service of a process engine. The method retrieves the management service by calling the ""getManagementService"" method of the process engine."
9,getRuntimeService(),get runtime service returns the process service return the process service ,Method,,"org.activiti.rest.api.process.ProcessInstancePost+executeWebScript(WebScriptRequest,Status,Cache,Map<String,Object>)",org.activiti.engine.ProcessEngine+getRuntimeService() org.activiti.rest.util.ActivitiWebScript+getProcessEngine() org.activiti.rest.util.ActivitiWebScript+getProcessEngine() org.activiti.engine.ProcessEngine+getRuntimeService(),,186,8,4,"/** 
 * Returns The process service.
 * @return The process service
 */
","/**
   * Returns The process service.
   * 
   * @return The process service
   */
  protected RuntimeService getRuntimeService() {
    return getProcessEngine().getRuntimeService();
  }",False,False,This method returns the process service by calling the getRuntimeService() method of the process engine.,True,"The code defines a protected method named ""getRuntimeService"" that returns the runtime service of a process engine. The method is used to retrieve the process engine's runtime service, which is responsible for managing and executing process instances."
10,getRepositoryService(),get repository service returns the repository service return the repository service ,Method,,"org.activiti.rest.api.process.ProcessDefinitionFormGet+executeWebScript(WebScriptRequest,Status,Cache,Map<String,Object>) org.activiti.rest.api.process.ProcessDefinitionGet+executeWebScript(WebScriptRequest,Status,Cache,Map<String,Object>) org.activiti.rest.api.process.ProcessDefinitionsGet+executeWebScript(WebScriptRequest,Status,Cache,Map<String,Object>)",org.activiti.engine.ProcessEngine+getRepositoryService() org.activiti.rest.util.ActivitiWebScript+getProcessEngine() org.activiti.rest.util.ActivitiWebScript+getProcessEngine() org.activiti.engine.ProcessEngine+getRepositoryService(),,200,8,4,"/** 
 * Returns The repository service.
 * @return The repository service
 */
","/**
   * Returns The repository service.
   *
   * @return The repository service
   */
  protected RepositoryService getRepositoryService() {
    return getProcessEngine().getRepositoryService();
  }",False,False,This method serves to retrieve the repository service from the process engine.,True,"The given code defines a protected method named ""getRepositoryService"" that returns the repository service. This method is used to retrieve the repository service from the process engine. The method's purpose is to provide access to the repository service for other parts of the code."
