index,name,document,type,inner invocations,external invocations,calls,visits,length,lines,modifier,commit,full text,moved,removed,gpt text,gpt response,code summary
1,processEngineName,process engine name ,Field,setProcessEngineName(String),,,,33,1,2,,private String processEngineName;,False,False,,False,
2,processService,process service ,Field,,,,,44,1,18,,private final ProcessService processService;,False,False,,False,
3,identityService,identity service ,Field,,,,,46,1,18,,private final IdentityService identityService;,False,False,,False,
4,taskService,task service ,Field,,,,,38,1,18,,private final TaskService taskService;,False,False,,False,
5,managementService,management service ,Field,,,,,50,1,18,,private final ManagementService managementService;,False,False,,False,
6,deployerManager,deployer manager ,Field,,,,,46,1,18,,private final DeployerManager deployerManager;,False,False,,False,
7,variableTypes,variable types ,Field,,,,,42,1,18,,private final VariableTypes variableTypes;,False,False,,False,
8,jobExecutor,job executor ,Field,,,,,38,1,18,,private final JobExecutor jobExecutor;,False,False,,False,
9,jobHandlers,job handlers ,Field,,,,,38,1,18,,private final JobHandlers jobHandlers;,False,False,,False,
10,idGenerator,id generator ,Field,,,,,38,1,18,,private final IdGenerator idGenerator;,False,False,,False,
11,commandExecutor,command executor ,Field,,,,,46,1,18,,private final CommandExecutor commandExecutor;,False,False,,False,
12,jobExecutorAutoActivate,job executor auto activate ,Field,setJobExecutorAutoActivate(boolean),,,,40,1,2,,private boolean jobExecutorAutoActivate;,True,True,,False,
13,dbSchemaStrategy,db schema strategy ,Field,setDbSchemaStrategy(DbSchemaStrategy),,,,42,1,2,,private DbSchemaStrategy dbSchemaStrategy;,False,False,,False,
14,commandContextFactory,command context factory ,Field,ProcessEngineConfiguration() ProcessEngineConfiguration(),,,,59,1,2,,private DefaultCommandContextFactory commandContextFactory;,False,False,,False,
15,persistenceSessionFactory,persistence session factory ,Field,setPersistenceSessionFactory(PersistenceSessionFactory),,,,60,1,2,,private PersistenceSessionFactory persistenceSessionFactory;,False,False,,False,
