index,name,document,type,inner invocations,external invocations,calls,visits,length,lines,modifier,commit,full text,moved,removed,gpt text,gpt response,code summary
1,logger,logger our class logger ,Field,,,,,114,4,26,"/** 
 * Our class logger.
 */
","/**
     * Our class logger.
     */
    private static final Logger logger = Logger.getLogger(CallSipImpl.class);",False,False,"/** 
 * Our class logger.
 */
",False,"/** 
 * Our class logger.
 */
"
2,conferenceAudioMixer,conference audio mixer the media device which performs audio mixing for this call and its call peer s when the local peer represented by this call is acting as a conference focus i e link conference focus is true ,Field,,,,,322,7,2,"/** 
 * The <tt>MediaDevice</tt> which performs audio mixing for this <tt>Call</tt> and its <tt>CallPeer</tt>s when the local peer represented by this <tt>Call</tt> is acting as a conference focus i.e. {@link #conferenceFocus} is <tt>true</tt>.
 */
","/**
     * The <tt>MediaDevice</tt> which performs audio mixing for this
     * <tt>Call</tt> and its <tt>CallPeer</tt>s when the local peer represented
     * by this <tt>Call</tt> is acting as a conference focus i.e.
     * {@link #conferenceFocus} is <tt>true</tt>.
     */
    private MediaDevice conferenceAudioMixer;",True,True,"/** 
 * The <tt>MediaDevice</tt> which performs audio mixing for this <tt>Call</tt> and its <tt>CallPeer</tt>s when the local peer represented by this <tt>Call</tt> is acting as a conference focus i.e. {@link #conferenceFocus} is <tt>true</tt>.
 */
",False,"/** 
 * The <tt>MediaDevice</tt> which performs audio mixing for this <tt>Call</tt> and its <tt>CallPeer</tt>s when the local peer represented by this <tt>Call</tt> is acting as a conference focus i.e. {@link #conferenceFocus} is <tt>true</tt>.
 */
"
3,conferenceFocus,conference focus the indicator which determines whether the local peer represented by this call is acting as a conference focus and is thus specifying the quot isfocus quot parameter in the contact headers of its outgoing sip signaling ,Field,setConferenceFocus(boolean) setConferenceFocus(boolean) setConferenceFocus(boolean) setConferenceFocus(boolean) setConferenceFocus(boolean),,,,315,7,2,"/** 
 * The indicator which determines whether the local peer represented by this <tt>Call</tt> is acting as a conference focus and is thus specifying the &quot;isfocus&quot; parameter in the Contact headers of its outgoing SIP signaling.
 */
","/**
     * The indicator which determines whether the local peer represented by this
     * <tt>Call</tt> is acting as a conference focus and is thus specifying the
     * &quot;isfocus&quot; parameter in the Contact headers of its outgoing SIP
     * signaling.
     */
    private boolean conferenceFocus = false;",True,True,"/** 
 * The indicator which determines whether the local peer represented by this <tt>Call</tt> is acting as a conference focus and is thus specifying the &quot;isfocus&quot; parameter in the Contact headers of its outgoing SIP signaling.
 */
",False,"/** 
 * The indicator which determines whether the local peer represented by this <tt>Call</tt> is acting as a conference focus and is thus specifying the &quot;isfocus&quot; parameter in the Contact headers of its outgoing SIP signaling.
 */
"
4,localVideoAllowed,local video allowed our video streaming policy ,Field,"setLocalVideoAllowed(boolean,MediaUseCase)",,,,93,4,2,"/** 
 * Our video streaming policy.
 */
","/**
     * Our video streaming policy.
     */
    private boolean localVideoAllowed = false;",True,True,"/** 
 * Our video streaming policy.
 */
",False,"/** 
 * Our video streaming policy.
 */
"
5,messageFactory,message factory a reference to the sip message factory instance that we should use when creating requests ,Field,CallSipImpl(OperationSetBasicTelephonySipImpl),,,,175,5,18,"/** 
 * A reference to the <tt>SipMessageFactory</tt> instance that we should use when creating requests.
 */
","/**
     * A reference to the <tt>SipMessageFactory</tt> instance that we should
     * use when creating requests.
     */
    private final SipMessageFactory messageFactory;",False,False,"/** 
 * A reference to the <tt>SipMessageFactory</tt> instance that we should use when creating requests.
 */
",False,"/** 
 * A reference to the <tt>SipMessageFactory</tt> instance that we should use when creating requests.
 */
"
6,parentOpSet,parent op set a reference to the operation set basic telephony sip impl that created us ,Field,CallSipImpl(OperationSetBasicTelephonySipImpl),,,,169,5,18,"/** 
 * A reference to the <tt>OperationSetBasicTelephonySipImpl</tt> that created us;
 */
","/**
     * A reference to the <tt>OperationSetBasicTelephonySipImpl</tt> that
     * created us;
     */
    private final OperationSetBasicTelephonySipImpl parentOpSet;",False,False,"/** 
 * A reference to the <tt>OperationSetBasicTelephonySipImpl</tt> that created us;
 */
",False,"/** 
 * A reference to the <tt>OperationSetBasicTelephonySipImpl</tt> that created us;
 */
"
7,localUserAudioLevelListeners,local user audio level listeners holds listeners registered for level changes in local audio ,Field,,,,,198,5,18,"/** 
 * Holds listeners registered for level changes in local audio.
 */
","/**
     * Holds listeners registered for level changes in local audio.
     */
    private final List<SoundLevelListener> localUserAudioLevelListeners
        = new ArrayList<SoundLevelListener>();",True,True,"/** 
 * Holds listeners registered for level changes in local audio.
 */
",False,"/** 
 * Holds listeners registered for level changes in local audio.
 */
"
8,mute,mute the indicator which determines whether this call is set to transmit silence instead of the actual media ,Field,isMute() setMute(boolean) setMute(boolean),,,,175,5,2,"/** 
 * The indicator which determines whether this <tt>Call</tt> is set to transmit ""silence"" instead of the actual media.
 */
","/**
     * The indicator which determines whether this <tt>Call</tt> is set
     * to transmit ""silence"" instead of the actual media.
     */
    private boolean mute = false;",True,True,"/** 
 * The indicator which determines whether this <tt>Call</tt> is set to transmit ""silence"" instead of the actual media.
 */
",False,"/** 
 * The indicator which determines whether this <tt>Call</tt> is set to transmit ""silence"" instead of the actual media.
 */
"
9,mediaUseCase,media use case device used in call will be choosen according to media use case ,Field,,,,,140,4,0,"/** 
 * Device used in call will be choosen according to <tt>MediaUseCase</tt>.
 */
","/**
     * Device used in call will be choosen according to <tt>MediaUseCase</tt>.
     */
    MediaUseCase mediaUseCase = MediaUseCase.ANY;",True,True,"/** 
 * Device used in call will be choosen according to <tt>MediaUseCase</tt>.
 */
",False,"/** 
 * Device used in call will be choosen according to <tt>MediaUseCase</tt>.
 */
"
10,localAudioLevelDelegator,local audio level delegator the listener that would actually subscribe for level events from the media handler if there s at least one listener in local user audio level listeners ,Field,,,,,460,13,18,"/** 
 * The listener that would actually subscribe for level events from the media handler if there's at least one listener in <tt>localUserAudioLevelListeners</tt>.
 */
","/**
     * The listener that would actually subscribe for level events from the
     * media handler if there's at least one listener in
     * <tt>localUserAudioLevelListeners</tt>.
     */
    private final SimpleAudioLevelListener localAudioLevelDelegator
        = new SimpleAudioLevelListener()
        {
            public void audioLevelChanged(int level)
            {
                fireLocalUserAudioLevelChangeEvent(level);
            }
        };",True,True,"/** 
 * The listener that would actually subscribe for level events from the media handler if there's at least one listener in <tt>localUserAudioLevelListeners</tt>.
 */
",False,"/** 
 * The listener that would actually subscribe for level events from the media handler if there's at least one listener in <tt>localUserAudioLevelListeners</tt>.
 */
"
11,CallSipImpl(OperationSetBasicTelephonySipImpl),call sip impl parent op set crates a call sip impl instance belonging to source provider and initiated by call creator param parent op set a reference to the operation set that s creating usand that we would be able to use for even dispatching ,Method,,,net.java.sip.communicator.impl.protocol.sip.OperationSetBasicTelephonySipImpl+getProtocolProvider() net.java.sip.communicator.impl.protocol.sip.OperationSetBasicTelephonySipImpl+getProtocolProvider() net.java.sip.communicator.impl.protocol.sip.ProtocolProviderServiceSipImpl+getMessageFactory() net.java.sip.communicator.impl.protocol.sip.CallSipImpl+getProtocolProvider() net.java.sip.communicator.impl.protocol.sip.CallSipImpl+getProtocolProvider() net.java.sip.communicator.impl.protocol.sip.ProtocolProviderServiceSipImpl+getMessageFactory() net.java.sip.communicator.service.protocol.ActiveCallsRepository+addCall(T) net.java.sip.communicator.impl.protocol.sip.OperationSetBasicTelephonySipImpl+getActiveCallsRepository() net.java.sip.communicator.impl.protocol.sip.OperationSetBasicTelephonySipImpl+getActiveCallsRepository() net.java.sip.communicator.service.protocol.ActiveCallsRepository+addCall(T),net.java.sip.communicator.impl.protocol.sip.CallSipImpl+messageFactory net.java.sip.communicator.impl.protocol.sip.CallSipImpl+messageFactory net.java.sip.communicator.impl.protocol.sip.CallSipImpl+parentOpSet net.java.sip.communicator.impl.protocol.sip.CallSipImpl+parentOpSet,718,17,4,"/** 
 * Crates a CallSipImpl instance belonging to <tt>sourceProvider</tt> and initiated by <tt>CallCreator</tt>.
 * @param parentOpSet a reference to the operation set that's creating usand that we would be able to use for even dispatching.
 */
","/**
     * Crates a CallSipImpl instance belonging to <tt>sourceProvider</tt> and
     * initiated by <tt>CallCreator</tt>.
     *
     * @param parentOpSet a reference to the operation set that's creating us
     * and that we would be able to use for even dispatching.
     */
    protected CallSipImpl(OperationSetBasicTelephonySipImpl parentOpSet)
    {
        super(parentOpSet.getProtocolProvider());
        this.messageFactory = getProtocolProvider().getMessageFactory();
        this.parentOpSet = parentOpSet;

        //let's add ourselves to the calls repo. we are doing it ourselves just
        //to make sure that no one ever forgets.
        parentOpSet.getActiveCallsRepository().addCall(this);
    }",False,False,"The function of this method is to create an instance of CallSipImpl, which is associated with a specific source provider and initiated by CallCreator. It also sets the message factory and parent operation set, and adds the instance to the active calls repository.",False,"The code defines a constructor for the CallSipImpl class, which is responsible for creating instances of the class. It takes an OperationSetBasicTelephonySipImpl object as a parameter and initializes various variables. Additionally, it adds the created instance to the active calls repository of the parent operation set."
12,addCallPeer(CallPeerSipImpl),add call peer call peer adds call peer to the list of peers in this call if the call peer is already included in the call the method has no effect param call peer the new call peer ,Method,"createCallPeerFor(Transaction,SipProvider)",,"java.util.Vector+contains(Object) net.java.sip.communicator.service.protocol.AbstractCall+getCallPeersVector() net.java.sip.communicator.service.protocol.AbstractCall+getCallPeersVector() java.util.Vector+contains(Object) net.java.sip.communicator.service.protocol.AbstractCallPeer+addCallPeerListener(CallPeerListener) net.java.sip.communicator.service.protocol.AbstractCallPeer+addCallPeerListener(CallPeerListener) java.util.Vector+size() net.java.sip.communicator.service.protocol.AbstractCall+getCallPeersVector() net.java.sip.communicator.service.protocol.AbstractCall+getCallPeersVector() java.util.Vector+size() net.java.sip.communicator.service.protocol.media.CallPeerMediaHandler+setLocalUserAudioLevelListener(SimpleAudioLevelListener) net.java.sip.communicator.impl.protocol.sip.CallPeerSipImpl+getMediaHandler() net.java.sip.communicator.impl.protocol.sip.CallPeerSipImpl+getMediaHandler() net.java.sip.communicator.service.protocol.media.CallPeerMediaHandler+setLocalUserAudioLevelListener(SimpleAudioLevelListener) java.util.Vector+add(E) net.java.sip.communicator.service.protocol.AbstractCall+getCallPeersVector() net.java.sip.communicator.service.protocol.AbstractCall+getCallPeersVector() java.util.Vector+add(E) net.java.sip.communicator.service.protocol.Call+fireCallPeerEvent(CallPeer,int) net.java.sip.communicator.service.protocol.Call+fireCallPeerEvent(CallPeer,int)",net.java.sip.communicator.impl.protocol.sip.CallSipImpl+localUserAudioLevelListeners net.java.sip.communicator.impl.protocol.sip.CallSipImpl+localAudioLevelDelegator net.java.sip.communicator.service.protocol.event.CallPeerEvent+CALL_PEER_ADDED,935,28,2,"/** 
 * Adds <tt>callPeer</tt> to the list of peers in this call. If the call peer is already included in the call, the method has no effect.
 * @param callPeer the new <tt>CallPeer</tt>
 */
","/**
     * Adds <tt>callPeer</tt> to the list of peers in this call.
     * If the call peer is already included in the call, the method has
     * no effect.
     *
     * @param callPeer the new <tt>CallPeer</tt>
     */
    private void addCallPeer(CallPeerSipImpl callPeer)
    {
        if (getCallPeersVector().contains(callPeer))
            return;

        callPeer.addCallPeerListener(this);

        synchronized(localUserAudioLevelListeners)
        {
            // if there's someone listening for audio level events then they'd
            // also like to know about the new peer.
            if(getCallPeersVector().size() == 0)
            {
                callPeer.getMediaHandler().setLocalUserAudioLevelListener(
                                localAudioLevelDelegator);
            }
        }

        getCallPeersVector().add(callPeer);
        fireCallPeerEvent(callPeer, CallPeerEvent.CALL_PEER_ADDED);
    }",True,True,"This method adds a new call peer to the list of peers in a call. If the call peer is already in the call, the method does nothing. It also adds a listener for audio level events and notifies any existing listeners about the new peer.",True,"This code adds a new call peer to a list of peers in a call. If the call peer is already in the list, the method does nothing. It also adds a listener for audio level events and fires a call peer event to notify other components of the addition."
