index,name,document,type,inner invocations,external invocations,calls,visits,length,lines,modifier,commit,full text,moved,removed,gpt text,gpt response,code summary
1,logger,logger ,Field,,,,,83,2,26,,"private static final Logger logger =
        Logger.getLogger(CallPeerPanel.class);",False,False,,False,
2,callStatusLabel,call status label ,Field,"setState(String,Icon) setState(String,Icon)",,,,52,1,18,,private final JLabel callStatusLabel = new JLabel();,True,True,,False,
3,securityStatusLabel,security status label ,Field,"CallPeerPanel(CallDialog,CallPeer)",,,,54,1,18,,private final SecurityStatusLabel securityStatusLabel;,True,True,,False,
4,muteStatusLabel,mute status label ,Field,,,,,52,1,18,,private final JLabel muteStatusLabel = new JLabel();,True,True,,False,
5,timeLabel,time label ,Field,,,,,71,1,18,,"private final JLabel timeLabel = new JLabel(""00:00:00"", JLabel.CENTER);",False,False,,False,
6,callStartTime,call start time this date is meant to be used in the gui call peer record which is added to the call list after a call ,Field,,,,,203,5,18,"/** 
 * This date is meant to be used in the GuiCallPeerRecord, which is added to the CallList after a call.
 */
","/**
     * This date is meant to be used in the GuiCallPeerRecord, which is
     * added to the CallList after a call.
     */
    private final Date callStartTime = new Date(System.currentTimeMillis());",False,True,"/** 
 * This date is meant to be used in the GuiCallPeerRecord, which is added to the CallList after a call.
 */
",False,"/** 
 * This date is meant to be used in the GuiCallPeerRecord, which is added to the CallList after a call.
 */
"
7,callDuration,call duration ,Field,"CallPeerPanel(CallDialog,CallPeer)",,,,26,1,2,,private Date callDuration;,False,True,,False,
8,timer,timer ,Field,"CallPeerPanel(CallDialog,CallPeer) CallPeerPanel(CallDialog,CallPeer) startCallTimer() stopCallTimer()",,,,20,1,2,,private Timer timer;,False,True,,False,
9,callType,call type ,Field,setCallType(String),,,,24,1,2,,private String callType;,False,True,,False,
10,peerName,peer name ,Field,"CallPeerPanel(CallDialog,CallPeer)",,,,30,1,18,,private final String peerName;,False,False,,False,
11,callPeer,call peer ,Field,"CallPeerPanel(CallDialog,CallPeer)",,,,32,1,18,,private final CallPeer callPeer;,False,False,,False,
