index,name,document,type,inner invocations,external invocations,calls,visits,length,lines,modifier,commit,full text,moved,removed,gpt text,gpt response,code summary
1,isMouseOver,is mouse over ,Field,setMouseOver(boolean),,,,36,1,2,,private boolean isMouseOver = false;,False,False,,False,
2,menu,menu ,Field,removeMenuItem(JComponent),,,,49,1,18,,private final JPopupMenu menu = new JPopupMenu();,False,False,,False,
3,menuItemsTable,menu items table ,Field,removeMenuItem(JComponent),,,,97,2,18,,"private final Map<String, Component> menuItemsTable =
        new Hashtable<String, Component>();",False,False,,False,
4,MoreButton(),more button ,Method,,,javax.swing.ImageIcon+ImageIcon(Image) net.java.sip.communicator.impl.gui.utils.ImageLoader+getImage(ImageID) net.java.sip.communicator.impl.gui.utils.ImageLoader+getImage(ImageID) javax.swing.JLabel+setVerticalTextPosition(int) javax.swing.JLabel+setVerticalTextPosition(int) javax.swing.JLabel+setHorizontalTextPosition(int) javax.swing.JLabel+setHorizontalTextPosition(int) javax.swing.JComponent+setToolTipText(String) javax.swing.JComponent+setToolTipText(String) net.java.sip.communicator.service.resources.ResourceManagementService+getI18NString(String) net.java.sip.communicator.impl.gui.GuiActivator+getResources() net.java.sip.communicator.impl.gui.GuiActivator+getResources() net.java.sip.communicator.service.resources.ResourceManagementService+getI18NString(String) java.awt.Component+addMouseListener(MouseListener) java.awt.Component+addMouseListener(MouseListener) java.awt.Component+addFocusListener(FocusListener) java.awt.Component+addFocusListener(FocusListener),net.java.sip.communicator.impl.gui.utils.ImageLoader+MORE_BUTTON javax.swing.SwingConstants+CENTER javax.swing.SwingConstants+BOTTOM javax.swing.SwingConstants+CENTER,442,15,1,,"public MoreButton()
    {
        super(new ImageIcon(ImageLoader.getImage(ImageLoader.MORE_BUTTON)),
            JLabel.CENTER);

        this.setVerticalTextPosition(SwingConstants.BOTTOM);
        this.setHorizontalTextPosition(SwingConstants.CENTER);

        this.setToolTipText(
            GuiActivator.getResources().getI18NString(""service.gui.MORE""));

        this.addMouseListener(this);

        this.addFocusListener(this);
    }",False,False,"This method creates a button with an image and text. It sets the vertical and horizontal text positions, adds a tooltip, and adds mouse and focus listeners to the button.",False,"The code defines a constructor for a button component that displays an image and text. It sets the vertical and horizontal text positions, adds a tooltip, and registers mouse and focus listeners for the button."
5,getComponent(),get component ,Method,,,,,61,4,1,,"public Object getComponent()
    {
        return this;
    }",False,False,The function of the method is to return the current object.,False,"The code defines a method named ""getComponent"" that returns an object. The method simply returns the current instance of the class it belongs to."
6,getConstraints(),get constraints ,Method,,,,,63,4,1,,"public String getConstraints()
    {
        return null;
    }",True,True,This method returns a null value.,False,"The code contains a method named ""getConstraints"" which returns a String. However, the method implementation is incomplete as it always returns null."
7,getContainer(),get container ,Method,,,,net.java.sip.communicator.service.gui.Container+CONTAINER_MAIN_TOOL_BAR,93,4,1,,"public Container getContainer()
    {
        return Container.CONTAINER_MAIN_TOOL_BAR;
    }",True,True,"The function of the method is to return the Container object named ""CONTAINER_MAIN_TOOL_BAR"".",False,"The code defines a method named ""getContainer"" that returns an instance of the ""Container"" class. The returned instance is specifically ""CONTAINER_MAIN_TOOL_BAR""."
8,getName(),get name ,Method,,,javax.swing.JLabel+getText() javax.swing.JLabel+getText(),,66,4,1,,"public String getName()
    {
        return this.getText();
    }",False,False,The function of the method is to return the name of an object by calling the getText() method.,False,"The code defines a method called ""getName"" that returns a string. The method retrieves the text associated with the current object and returns it as the result."
9,setMouseOver(boolean),set mouse over is mouse over ,Method,mouseEntered(MouseEvent) mouseExited(MouseEvent),,java.awt.Component+repaint() java.awt.Component+repaint(),net.java.sip.communicator.impl.gui.main.menus.MoreButton+isMouseOver net.java.sip.communicator.impl.gui.main.menus.MoreButton+isMouseOver,121,5,1,,"public void setMouseOver(boolean isMouseOver)
    {
        this.isMouseOver = isMouseOver;
        this.repaint();
    }",False,False,"This method sets the value of a boolean variable called ""isMouseOver"" and then calls the repaint() method.",False,"The code defines a method called ""setMouseOver"" that takes a boolean parameter. It sets the value of the ""isMouseOver"" variable to the provided parameter and then calls the ""repaint"" method. This method is likely used to update the state of the mouse hover in a graphical user interface."
10,setCurrentContact(Contact),set current contact contact ,Method,,,,,58,3,1,,"public void setCurrentContact(Contact contact)
    {
    }",True,True,This method sets the current contact to the specified contact.,False,"The code contains a method named ""setCurrentContact"" that takes a parameter of type ""Contact"". However, the method does not have any implementation or functionality specified within it."
