index,name,document,type,inner invocations,external invocations,calls,visits,length,lines,modifier,commit,full text,moved,removed,gpt text,gpt response,code summary
1,logger,logger ,Field,,,,,106,2,26,,"private static final Logger logger = Logger
           .getLogger(OperationSetMultiUserChatIcqImpl.class);",False,False,,False,
2,icqProvider,icq provider the currently valid icq protocol provider service implementation ,Field,OperationSetMultiUserChatIcqImpl(ProtocolProviderServiceIcqImpl),,,,144,4,2,"/** 
 * The currently valid ICQ protocol provider service implementation.
 */
","/**
    * The currently valid ICQ protocol provider service implementation.
    */
   private ProtocolProviderServiceIcqImpl icqProvider = null;",False,False,"/** 
 * The currently valid ICQ protocol provider service implementation.
 */
",False,"/** 
 * The currently valid ICQ protocol provider service implementation.
 */
"
3,invitationListeners,invitation listeners a list of listeners subscribed for invitations multi user chat events ,Field,,,,,141,4,2,"/** 
 * A list of listeners subscribed for invitations multi user chat events.
 */
","/**
    * A list of listeners subscribed for invitations multi user chat events.
    */
   private Vector invitationListeners = new Vector();",False,True,"/** 
 * A list of listeners subscribed for invitations multi user chat events.
 */
",False,"/** 
 * A list of listeners subscribed for invitations multi user chat events.
 */
"
4,invitationRejectionListeners,invitation rejection listeners a list of listeners subscribed for events indicating rejection of a multi user chat invitation sent by us ,Field,,,,,192,5,2,"/** 
 * A list of listeners subscribed for events indicating rejection of a multi user chat invitation sent by us.
 */
","/**
    * A list of listeners subscribed for events indicating rejection of a
    * multi user chat invitation sent by us.
    */
   private Vector invitationRejectionListeners = new Vector();",False,True,"/** 
 * A list of listeners subscribed for events indicating rejection of a multi user chat invitation sent by us.
 */
",False,"/** 
 * A list of listeners subscribed for events indicating rejection of a multi user chat invitation sent by us.
 */
"
5,presenceListeners,presence listeners listeners that will be notified of changes in our status in the room such as us being kicked banned or granted admin permissions ,Field,,,,,206,5,2,"/** 
 * Listeners that will be notified of changes in our status in the room such as us being kicked, banned, or granted admin permissions.
 */
","/**
    * Listeners that will be notified of changes in our status in the
    * room such as us being kicked, banned, or granted admin permissions.
    */
   private Vector presenceListeners = new Vector();",False,True,"/** 
 * Listeners that will be notified of changes in our status in the room such as us being kicked, banned, or granted admin permissions.
 */
",False,"/** 
 * Listeners that will be notified of changes in our status in the room such as us being kicked, banned, or granted admin permissions.
 */
"
6,chatRoomCache,chat room cache a list of the rooms that are currently open by this account note that we have not necessarily joined these rooms we might have simply been searching through them ,Field,getCurrentlyJoinedChatRooms() getCurrentlyJoinedChatRooms(ChatRoomMember),,,,247,6,2,"/** 
 * A list of the rooms that are currently open by this account. Note that we have not necessarily joined these rooms, we might have simply been searching through them.
 */
","/**
    * A list of the rooms that are currently open by this account. Note that
    * we have not necessarily joined these rooms, we might have simply been
    * searching through them.
    */
   private Hashtable chatRoomCache = new Hashtable();",False,False,"/** 
 * A list of the rooms that are currently open by this account. Note that we have not necessarily joined these rooms, we might have simply been searching through them.
 */
",False,"/** 
 * A list of the rooms that are currently open by this account. Note that we have not necessarily joined these rooms, we might have simply been searching through them.
 */
"
7,providerRegListener,provider reg listener the registration listener that would get notified when the underlying icq provider gets registered ,Field,,,,,218,6,2,"/** 
 * The registration listener that would get notified when the underlying ICQ provider gets registered.
 */
","/**
   * The registration listener that would get notified when the underlying
   * ICQ provider gets registered.
   */
   private RegistrationStateListener providerRegListener
       = new RegistrationStateListener();",False,False,"/** 
 * The registration listener that would get notified when the underlying ICQ provider gets registered.
 */
",False,"/** 
 * The registration listener that would get notified when the underlying ICQ provider gets registered.
 */
"
8,opSetPersPresence,op set pers presence a reference to the persistent presence operation set that we use to match incoming messages to contact s and vice versa ,Field,,,,,225,5,4,"/** 
 * A reference to the persistent presence operation set that we use to match incoming messages to <tt>Contact</tt>s and vice versa.
 */
","/**
   * A reference to the persistent presence operation set that we use
   * to match incoming messages to <tt>Contact</tt>s and vice versa.
   */
   protected OperationSetPersistentPresenceIcqImpl opSetPersPresence = null;",False,False,"/** 
 * A reference to the persistent presence operation set that we use to match incoming messages to <tt>Contact</tt>s and vice versa.
 */
",False,"/** 
 * A reference to the persistent presence operation set that we use to match incoming messages to <tt>Contact</tt>s and vice versa.
 */
"
9,invitations,invitations hash table that contains all invitations this is needed if the user wants to reject an invitation ,Field,,,,,174,5,2,"/** 
 * Hash table that contains all invitations, this is needed if the user wants to reject an invitation.
 */
","/**
    * Hash table that contains all invitations, this is needed if the user wants
    * to reject an invitation.
    */
   private Hashtable invitations = new Hashtable();",False,False,"/** 
 * Hash table that contains all invitations, this is needed if the user wants to reject an invitation.
 */
",False,"/** 
 * Hash table that contains all invitations, this is needed if the user wants to reject an invitation.
 */
"
10,DEFAULT_INVITATION,default invitation default invitation message ,Field,,,,,118,4,18,"/** 
 * Default Invitation message.
 */
","/**
    * Default Invitation message.
    */
   private final String DEFAULT_INVITATION = ""Please join my chat room!"";",False,False,"/** 
 * Default Invitation message.
 */
",False,"/** 
 * Default Invitation message.
 */
"
11,OperationSetMultiUserChatIcqImpl(ProtocolProviderServiceIcqImpl),operation set multi user chat icq impl icq provider instantiates the user operation set with a currently valid instance of the icq protocol provider param icq provider a currently valid instance of protocol provider service icq impl ,Method,,,net.java.sip.communicator.service.protocol.AbstractProtocolProviderService+addRegistrationStateChangeListener(RegistrationStateChangeListener) net.java.sip.communicator.service.protocol.AbstractProtocolProviderService+addRegistrationStateChangeListener(RegistrationStateChangeListener) net.java.sip.communicator.service.protocol.AbstractProtocolProviderService+getOperationSet(Class<? extends OperationSet>) net.java.sip.communicator.service.protocol.AbstractProtocolProviderService+getOperationSet(Class<? extends OperationSet>) net.java.sip.communicator.service.protocol.OperationSetPresence+addSubscriptionListener(SubscriptionListener) net.java.sip.communicator.service.protocol.OperationSetPresence+addSubscriptionListener(SubscriptionListener),net.java.sip.communicator.impl.protocol.icq.OperationSetMultiUserChatIcqImpl+icqProvider net.java.sip.communicator.impl.protocol.icq.OperationSetMultiUserChatIcqImpl+icqProvider net.java.sip.communicator.impl.protocol.icq.OperationSetMultiUserChatIcqImpl+providerRegListener,648,17,0,"/** 
 * Instantiates the user operation set with a currently valid instance of the Icq protocol provider.
 * @param icqProvider a currently valid instance ofProtocolProviderServiceIcqImpl.
 */
","/**
   * Instantiates the user operation set with a currently valid instance of
   * the Icq protocol provider.
   * @param icqProvider a currently valid instance of
   * ProtocolProviderServiceIcqImpl.
   */
   OperationSetMultiUserChatIcqImpl(ProtocolProviderServiceIcqImpl icqProvider)
   {
       this.icqProvider = icqProvider;
       icqProvider.addRegistrationStateChangeListener(providerRegListener);

       OperationSetPersistentPresence presenceOpSet
           = (OperationSetPersistentPresence) icqProvider
               .getOperationSet(OperationSetPersistentPresence.class);

       presenceOpSet.addSubscriptionListener(this);
   }",False,False,This method instantiates the user operation set with a currently valid instance of the Icq protocol provider. It also adds a registration state change listener and a subscription listener to the provider.,False,This code is a constructor for the OperationSetMultiUserChatIcqImpl class. It takes an instance of the ProtocolProviderServiceIcqImpl class as a parameter and initializes the icqProvider variable with it. It also adds a registration state change listener and a subscription listener to the icqProvider instance.
12,addInvitationListener(ChatRoomInvitationListener),add invitation listener listener adds a listener to invitation notifications param listener an invitation listener ,Method,,,java.util.Vector+contains(Object) java.util.Vector+contains(Object) java.util.Vector+add(E) java.util.Vector+add(E),net.java.sip.communicator.impl.protocol.icq.OperationSetMultiUserChatIcqImpl+invitationListeners net.java.sip.communicator.impl.protocol.icq.OperationSetMultiUserChatIcqImpl+invitationListeners net.java.sip.communicator.impl.protocol.icq.OperationSetMultiUserChatIcqImpl+invitationListeners,359,13,1,"/** 
 * Adds a listener to invitation notifications.
 * @param listener an invitation listener.
 */
","/**
   * Adds a listener to invitation notifications.
   *
   * @param listener an invitation listener.
   */
   public void addInvitationListener(ChatRoomInvitationListener listener)
   {
       synchronized (invitationListeners)
       {
           if (!invitationListeners.contains(listener))
               invitationListeners.add(listener);
       }
   }",True,True,"This method adds an invitation listener to a list of invitation listeners, ensuring that the listener is not already in the list before adding it.",True,"This code defines a method called ""addInvitationListener"" that adds a given ChatRoomInvitationListener to a list of invitation listeners. The method ensures that the listener is not already present in the list before adding it."
