index,name,document,type,inner invocations,external invocations,calls,visits,length,lines,modifier,commit,full text,moved,removed,gpt text,gpt response,code summary
1,logger,logger ,Field,,,,,108,2,26,,"private static final Logger logger = Logger
           .getLogger(OperationSetMultiUserChatYahooImpl.class);",False,False,,False,
2,invitationListeners,invitation listeners a list of listeners subscribed for invitations multi user chat events ,Field,,,,,205,5,2,"/** 
 * A list of listeners subscribed for invitations multi user chat events.
 */
","/**
    * A list of listeners subscribed for invitations multi user chat events.
    */
   private Vector<ChatRoomInvitationListener> invitationListeners 
       = new Vector<ChatRoomInvitationListener>();",False,True,"/** 
 * A list of listeners subscribed for invitations multi user chat events.
 */
",False,"/** 
 * A list of listeners subscribed for invitations multi user chat events.
 */
"
3,invitationRejectionListeners,invitation rejection listeners a list of listeners subscribed for events indicating rejection of a multi user chat invitation sent by us ,Field,,,,,286,7,2,"/** 
 * A list of listeners subscribed for events indicating rejection of a multi user chat invitation sent by us.
 */
","/**
    * A list of listeners subscribed for events indicating rejection of a multi
    * user chat invitation sent by us.
    */
   private Vector<ChatRoomInvitationRejectionListener> 
       invitationRejectionListeners 
           = new Vector<ChatRoomInvitationRejectionListener>();",False,True,"/** 
 * A list of listeners subscribed for events indicating rejection of a multi user chat invitation sent by us.
 */
",False,"/** 
 * A list of listeners subscribed for events indicating rejection of a multi user chat invitation sent by us.
 */
"
4,presenceListeners,presence listeners listeners that will be notified of changes in our status in the room such as us being kicked banned or granted admin permissions ,Field,,,,,284,6,2,"/** 
 * Listeners that will be notified of changes in our status in the room such as us being kicked, banned, or granted admin permissions.
 */
","/**
    * Listeners that will be notified of changes in our status in the room such
    * as us being kicked, banned, or granted admin permissions.
    */
   private Vector<LocalUserChatRoomPresenceListener> presenceListeners 
       = new Vector<LocalUserChatRoomPresenceListener>();",False,True,"/** 
 * Listeners that will be notified of changes in our status in the room such as us being kicked, banned, or granted admin permissions.
 */
",False,"/** 
 * Listeners that will be notified of changes in our status in the room such as us being kicked, banned, or granted admin permissions.
 */
"
5,chatRoomCache,chat room cache a list of the rooms that are currently open by this account ,Field,getCurrentlyJoinedChatRooms() getCurrentlyJoinedChatRooms(ChatRoomMember),,,,193,5,2,"/** 
 * A list of the rooms that are currently open by this account.
 */
","/**
    * A list of the rooms that are currently open by this account.
    */
   private Hashtable<String, ChatRoomYahooImpl> chatRoomCache 
       = new Hashtable<String, ChatRoomYahooImpl>();",False,False,"/** 
 * A list of the rooms that are currently open by this account.
 */
",False,"/** 
 * A list of the rooms that are currently open by this account.
 */
"
6,yahooProvider,yahoo provider the currently valid yahoo protocol provider service implementation ,Field,OperationSetMultiUserChatYahooImpl(ProtocolProviderServiceYahooImpl),,,,150,4,2,"/** 
 * The currently valid Yahoo protocol provider service implementation.
 */
","/**
    * The currently valid Yahoo protocol provider service implementation.
    */
   private ProtocolProviderServiceYahooImpl yahooProvider = null;",False,False,"/** 
 * The currently valid Yahoo protocol provider service implementation.
 */
",False,"/** 
 * The currently valid Yahoo protocol provider service implementation.
 */
"
7,opSetBasic,op set basic the operation set for the basic instant messaging provides some message format functions ,Field,,,,,187,5,2,"/** 
 * The operation set for the basic instant messaging, provides some  message format functions.
 */
","/**
    * The operation set for the basic instant messaging, provides some 
    * message format functions.
    */
   private OperationSetBasicInstantMessagingYahooImpl opSetBasic = null;",False,False,"/** 
 * The operation set for the basic instant messaging, provides some  message format functions.
 */
",False,"/** 
 * The operation set for the basic instant messaging, provides some  message format functions.
 */
"
8,messageDecoder,message decoder message decoder allows to convert yahoo formated messages which can contains some specials characters to html or to plain text ,Field,,,,,217,5,2,"/** 
 * Message decoder allows to convert Yahoo formated messages, which can contains some specials characters, to HTML or to plain text.
 */
","/**
    * Message decoder allows to convert Yahoo formated messages, which can
    * contains some specials characters, to HTML or to plain text.
    */
   private MessageDecoder messageDecoder = new MessageDecoder();",False,False,"/** 
 * Message decoder allows to convert Yahoo formated messages, which can contains some specials characters, to HTML or to plain text.
 */
",False,"/** 
 * Message decoder allows to convert Yahoo formated messages, which can contains some specials characters, to HTML or to plain text.
 */
"
9,OperationSetMultiUserChatYahooImpl(ProtocolProviderServiceYahooImpl),operation set multi user chat yahoo impl yahoo provider instantiates the user operation set with a currently valid instance of the yahoo protocol provider param yahoo provider a currently valid instance of protocol provider service yahoo impl ,Method,,,net.java.sip.communicator.service.protocol.AbstractProtocolProviderService+addRegistrationStateChangeListener(RegistrationStateChangeListener) net.java.sip.communicator.service.protocol.AbstractProtocolProviderService+addRegistrationStateChangeListener(RegistrationStateChangeListener) net.java.sip.communicator.impl.protocol.yahoo.OperationSetMultiUserChatYahooImpl.RegistrationStateListener+RegistrationStateListener() net.java.sip.communicator.service.protocol.AbstractProtocolProviderService+getOperationSet(Class<? extends OperationSet>) net.java.sip.communicator.service.protocol.AbstractProtocolProviderService+getOperationSet(Class<? extends OperationSet>) net.java.sip.communicator.service.protocol.AbstractProtocolProviderService+getOperationSet(Class<? extends OperationSet>) net.java.sip.communicator.service.protocol.AbstractProtocolProviderService+getOperationSet(Class<? extends OperationSet>) net.java.sip.communicator.service.protocol.OperationSetPresence+addSubscriptionListener(SubscriptionListener) net.java.sip.communicator.service.protocol.OperationSetPresence+addSubscriptionListener(SubscriptionListener),net.java.sip.communicator.impl.protocol.yahoo.OperationSetMultiUserChatYahooImpl+yahooProvider net.java.sip.communicator.impl.protocol.yahoo.OperationSetMultiUserChatYahooImpl+yahooProvider net.java.sip.communicator.impl.protocol.yahoo.OperationSetMultiUserChatYahooImpl+opSetBasic,899,25,0,"/** 
 * Instantiates the user operation set with a currently valid instance of the Yahoo protocol provider.
 * @param yahooProvider a currently valid instance of ProtocolProviderServiceYahooImpl.
 */
","/**
    * Instantiates the user operation set with a currently valid instance of
    * the Yahoo protocol provider.
    * 
    * @param yahooProvider
    *            a currently valid instance of
    *            ProtocolProviderServiceYahooImpl.
    */
   OperationSetMultiUserChatYahooImpl(
           ProtocolProviderServiceYahooImpl yahooProvider)
   {
       this.yahooProvider = yahooProvider;

       yahooProvider.addRegistrationStateChangeListener(
           new RegistrationStateListener());

       opSetBasic = (OperationSetBasicInstantMessagingYahooImpl) yahooProvider
               .getOperationSet(OperationSetBasicInstantMessaging.class);

       OperationSetPersistentPresence presenceOpSet
           = (OperationSetPersistentPresence) yahooProvider
               .getOperationSet(OperationSetPersistentPresence.class);

       presenceOpSet.addSubscriptionListener(this);
   }",False,False,"This method instantiates the user operation set with a currently valid instance of the Yahoo protocol provider. It also adds a registration state change listener, retrieves the operation sets for basic instant messaging and persistent presence, and adds a subscription listener.",False,This code is a constructor for the OperationSetMultiUserChatYahooImpl class. It takes a ProtocolProviderServiceYahooImpl instance as a parameter and initializes various variables and listeners. It also adds a subscription listener to the OperationSetPersistentPresence of the yahooProvider.
10,addInvitationListener(ChatRoomInvitationListener),add invitation listener listener adds a listener to invitation notifications param listener an invitation listener ,Method,,,java.util.Vector+contains(Object) java.util.Vector+contains(Object) java.util.Vector+add(E) java.util.Vector+add(E),net.java.sip.communicator.impl.protocol.yahoo.OperationSetMultiUserChatYahooImpl+invitationListeners net.java.sip.communicator.impl.protocol.yahoo.OperationSetMultiUserChatYahooImpl+invitationListeners net.java.sip.communicator.impl.protocol.yahoo.OperationSetMultiUserChatYahooImpl+invitationListeners,381,14,1,"/** 
 * Adds a listener to invitation notifications.
 * @param listener An invitation listener.
 */
","/**
    * Adds a listener to invitation notifications.
    * 
    * @param listener
    *            An invitation listener.
    */
   public void addInvitationListener(ChatRoomInvitationListener listener)
   {
       synchronized (invitationListeners)
       {
           if (!invitationListeners.contains(listener))
               invitationListeners.add(listener);
       }
   }",True,True,"This method adds a listener to invitation notifications. It takes an invitation listener as a parameter and adds it to the list of invitation listeners, ensuring that there are no duplicates.",True,"This code defines a method called ""addInvitationListener"" that adds a given ChatRoomInvitationListener to a list of invitation listeners. The method ensures that the listener is not already present in the list before adding it."
