index,name,document,type,inner invocations,external invocations,calls,visits,length,lines,modifier,commit,full text,moved,removed,gpt text,gpt response,code summary
1,textContent,text content the actual message content ,Field,"MessageZeroconfImpl(String,String,String,int)",,,,85,4,2,"/** 
 * The actual message content.
 */
","/**
     * The actual message content.
     */
    private String textContent = null;",False,True,"/** 
 * The actual message content.
 */
",False,"/** 
 * The actual message content.
 */
"
2,contentType,content type the content type of the message ,Field,"MessageZeroconfImpl(String,String,String,int)",,,,90,4,2,"/** 
 * The content type of the message.
 */
","/**
     * The content type of the message.
     */
    private String contentType = null;",True,True,"/** 
 * The content type of the message.
 */
",False,"/** 
 * The content type of the message.
 */
"
3,contentEncoding,content encoding the message encoding ut f8 if null ,Field,"MessageZeroconfImpl(String,String,String,int)",,,,99,4,2,"/** 
 * The message encoding. (UTF8 if null).
 */
","/**
     * The message encoding. (UTF8 if null).
     */
    private String contentEncoding = null;",False,True,"/** 
 * The message encoding. (UTF8 if null).
 */
",False,"/** 
 * The message encoding. (UTF8 if null).
 */
"
4,messageUID,message uid a string uniquely identifying the message ,Field,"MessageZeroconfImpl(String,String,String,int)",,,,98,4,2,"/** 
 * A String uniquely identifying the message
 */
","/**
     * A String uniquely identifying the message
     */
    private String messageUID = null;",True,True,"/** 
 * A String uniquely identifying the message
 */
",False,"/** 
 * A String uniquely identifying the message
 */
"
5,subject,subject the subject of the message most often is null ,Field,,,,,102,4,2,"/** 
 * The subject of the message. (most often is null)
 */
","/**
     * The subject of the message. (most often is null)
     */
    private String subject = null;",True,True,"/** 
 * The subject of the message. (most often is null)
 */
",False,"/** 
 * The subject of the message. (most often is null)
 */
"
6,type,type message type ,Field,"MessageZeroconfImpl(String,String,String,int)",,,,54,4,2,"/** 
 * Message Type.
 */
","/**
     * Message Type.
     */
    private int type;",False,False,"/** 
 * Message Type.
 */
",False,"/** 
 * Message Type.
 */
"
7,STREAM_OPEN,stream open message type indicating that a stream is being created ,Field,,,,,120,4,25,"/** 
 * Message type indicating that a stream is being created
 */
","/**
     * Message type indicating that a stream is being created
     */
    public static final int STREAM_OPEN = 0x1;",False,False,"/** 
 * Message type indicating that a stream is being created
 */
",False,"/** 
 * Message type indicating that a stream is being created
 */
"
8,MESSAGE,message normal chat message ,Field,,,,,81,4,25,"/** 
 * Normal chat message
 */
","/**
     * Normal chat message
     */
    public static final int MESSAGE = 0x2;",False,False,"/** 
 * Normal chat message
 */
",False,"/** 
 * Normal chat message
 */
"
9,TYPING,typing typing notification ,Field,,,,,80,4,25,"/** 
 * Typing notification
 */
","/**
     * Typing notification
     */
    public static final int TYPING = 0x3;",False,False,"/** 
 * Typing notification
 */
",False,"/** 
 * Typing notification
 */
"
10,STREAM_CLOSE,stream close message indicating that the stream is being closed ,Field,,,,,117,4,25,"/** 
 * Message indicating that the stream is being closed
 */
","/**
     * Message indicating that the stream is being closed
     */
    public static final int STREAM_CLOSE = 0x4;",False,False,"/** 
 * Message indicating that the stream is being closed
 */
",False,"/** 
 * Message indicating that the stream is being closed
 */
"
11,DELIVERED,delivered message indicating that the previsous message was delivered successfully ,Field,,,,,136,4,25,"/** 
 * Message indicating that the previsous message was delivered successfully
 */
","/**
     * Message indicating that the previsous message was delivered successfully
     */
    public static final int DELIVERED = 0x5;",False,False,"/** 
 * Message indicating that the previsous message was delivered successfully
 */
",False,"/** 
 * Message indicating that the previsous message was delivered successfully
 */
"
12,UNDEF,undef undefined message ,Field,,,,,77,4,25,"/** 
 * Undefined message
 */
","/**
     * Undefined message
     */
    public static final int UNDEF = 0x6;",False,False,"/** 
 * Undefined message
 */
",False,"/** 
 * Undefined message
 */
"
13,baloonColor,baloon color ,Field,setBaloonColor(int),,,,35,1,2,,private int baloonColor = 0x7BB5EE;,False,False,,False,
14,textColor,text color ,Field,setTextColor(int),,,,33,1,2,,private int textColor = 0x000000;,False,False,,False,
15,textFont,text font ,Field,setTextFont(String),,,,38,1,2,,"private String textFont = ""Helvetica"";",False,False,,False,
16,textSize,text size ,Field,setTextSize(int),,,,26,1,2,,private int textSize = 12;,False,False,,False,
17,contactID,contact id ,Field,setContactID(String),,,,25,1,2,,private String contactID;,False,False,,False,
