index,name,document,type,inner invocations,external invocations,calls,visits,length,lines,modifier,commit,full text,moved,removed,gpt text,gpt response,code summary
1,StateListener,state listener ,MemberClass,,,com.journeyapps.barcodescanner.BarcodeView.StateListener+previewReady(),,75,3,9,,"public static interface StateListener {
    public void previewReady();
  }",False,False,,False,
2,DecodeMode,decode mode ,Field,,,,,29,1,9,,public static enum DecodeMode,False,False,,False,
3,PreviewScaleMode,preview scale mode ,Field,,,,,35,1,9,,public static enum PreviewScaleMode,False,False,,False,
4,TAG,tag drop the preview inside the barcode view default it will fill all available space but sections may be cut off ,Field,,,,,68,1,26,"/** 
 * Drop the preview inside the BarcodeView (default). It will fill all available space, but sections may be cut off.
 */
",private static final String TAG = BarcodeView.class.getSimpleName();,True,True,"/** 
 * Drop the preview inside the BarcodeView (default). It will fill all available space, but sections may be cut off.
 */
",False,"/** 
 * Drop the preview inside the BarcodeView (default). It will fill all available space, but sections may be cut off.
 */
"
5,cameraInstance,camera instance ,Field,,,,,38,1,2,,private CameraInstance cameraInstance;,True,True,,False,
6,hasSurface,has surface ,Field,,,,,27,1,2,,private boolean hasSurface;,True,True,,False,
7,activity,activity ,Field,,,,,26,1,2,,private Activity activity;,True,True,,False,
8,decoderThread,decoder thread ,Field,setDecoder(Decoder) setDecoder(Decoder),,,,36,1,2,,private DecoderThread decoderThread;,False,True,,False,
9,resultHandler,result handler ,Field,,,,,30,1,2,,private Handler resultHandler;,False,True,,False,
10,decoder,decoder ,Field,setDecoder(Decoder),,,,24,1,2,,private Decoder decoder;,False,True,,False,
11,decodeMode,decode mode ,Field,decodeSingle(BarcodeCallback) decodeContinuous(BarcodeCallback) stopDecoding(),,,,48,1,2,,private DecodeMode decodeMode = DecodeMode.NONE;,False,False,,False,
12,callback,callback ,Field,decodeSingle(BarcodeCallback) decodeContinuous(BarcodeCallback) stopDecoding(),,,,40,1,2,,private BarcodeCallback callback = null;,False,False,,False,
13,surfaceView,surface view ,Field,,,,,32,1,2,,private SurfaceView surfaceView;,True,True,,False,
14,previewActive,preview active ,Field,,,,,38,1,2,,private boolean previewActive = false;,True,True,,False,
15,rotationListener,rotation listener ,Field,,,,,42,1,2,,private RotationListener rotationListener;,True,True,,False,
16,stateListeners,state listeners ,Field,,,,,63,1,2,,private List<StateListener> stateListeners = new ArrayList<>();,True,True,,False,
17,previewScaleMode,preview scale mode ,Field,setPreviewScaleMode(PreviewScaleMode),,,,66,1,2,,private PreviewScaleMode previewScaleMode = PreviewScaleMode.CROP;,True,True,,False,
18,containerRect,container rect ,Field,containerSized(Rect) pause(),,,,27,1,2,,private Rect containerRect;,True,True,,False,
