index,name,document,type,inner invocations,external invocations,calls,visits,length,lines,modifier,commit,full text,moved,removed,gpt text,gpt response,code summary
1,TAG,tag ,Field,,,,,70,1,26,,private static final String TAG = CameraManager.class.getSimpleName();,False,False,,False,
2,context,context ,Field,CameraManager(Context),,,,30,1,18,,private final Context context;,False,False,,False,
3,camera,camera ,Field,,,,,22,1,2,,private Camera camera;,False,False,,False,
4,cameraInfo,camera info ,Field,,,,,37,1,2,,private Camera.CameraInfo cameraInfo;,False,False,,False,
5,autoFocusManager,auto focus manager ,Field,,,,,42,1,2,,private AutoFocusManager autoFocusManager;,False,False,,False,
6,previewing,previewing ,Field,,,,,27,1,2,,private boolean previewing;,False,False,,False,
7,defaultParameters,default parameters ,Field,,,,,33,1,2,,private String defaultParameters;,False,False,,False,
8,requestedCameraId,requested camera id ,Field,,,,,72,1,2,,private int requestedCameraId = OpenCameraInterface.NO_REQUESTED_CAMERA;,True,True,,False,
9,invertScan,invert scan ,Field,setInvertScan(boolean),,,,35,1,2,,private boolean invertScan = false;,True,True,,False,
10,disableBarcodeSceneMode,disable barcode scene mode ,Field,setDisableBarcodeSceneMode(boolean),,,,47,1,2,,private boolean disableBarcodeSceneMode = true;,True,True,,False,
11,disableMetering,disable metering ,Field,setDisableMetering(boolean),,,,39,1,2,,private boolean disableMetering = true;,True,True,,False,
12,autoFocus,auto focus ,Field,setAutoFocus(boolean),,,,33,1,2,,private boolean autoFocus = true;,True,True,,False,
13,disableContinuousFocus,disable continuous focus ,Field,setDisableContinuousFocus(boolean),,,,46,1,2,,private boolean disableContinuousFocus = true;,True,True,,False,
14,rotated,rotated ,Field,,,,,24,1,2,,private boolean rotated;,False,False,,False,
15,desiredLandscapeSize,desired landscape size ,Field,,,,,35,1,2,,private Point desiredLandscapeSize;,False,False,,False,
16,desiredRotatedSize,desired rotated size ,Field,,,,,33,1,2,,private Point desiredRotatedSize;,False,False,,False,
17,requestedPreviewSize,requested preview size ,Field,,,,,35,1,2,,private Point requestedPreviewSize;,False,False,,False,
18,previewSize,preview size ,Field,,,,,26,1,2,,private Point previewSize;,False,False,,False,
19,previewCallback,preview callback preview frames are delivered here which we pass on to the registered handler make sure to clear the handler so it will only receive one message ,Field,,,,,215,5,18,"/** 
 * Preview frames are delivered here, which we pass on to the registered handler. Make sure to clear the handler so it will only receive one message.
 */
","/**
   * Preview frames are delivered here, which we pass on to the registered handler. Make sure to
   * clear the handler so it will only receive one message.
   */
  private final PreviewCallback previewCallback;",False,False,"/** 
 * Preview frames are delivered here, which we pass on to the registered handler. Make sure to clear the handler so it will only receive one message.
 */
",False,"/** 
 * Preview frames are delivered here, which we pass on to the registered handler. Make sure to clear the handler so it will only receive one message.
 */
"
20,CameraManager(Context),camera manager context ,Method,,,com.journeyapps.barcodescanner.camera.PreviewCallback+PreviewCallback(),com.journeyapps.barcodescanner.camera.CameraManager+context com.journeyapps.barcodescanner.camera.CameraManager+context com.journeyapps.barcodescanner.camera.CameraManager+previewCallback,360,11,1,,"public CameraManager(Context context) {
    this.context = context;
    previewCallback = new PreviewCallback();

    // 1. open(), set desired preview size and other parameters (any order)
    // 2. configure(), setPreviewDisplay(holder) (any order)
    // 3. startPreview()
    // 4. requestPreviewFrame (repeat)
    // 5. stopPreview()
    // 6. close()
  }",False,False,"The function of the method is to initialize a CameraManager object with a given Context, and set up the necessary steps for previewing camera frames, including opening the camera, configuring the preview display, starting and stopping the preview, and closing the camera.",False,"The code initializes a CameraManager object with a given context. It also creates a PreviewCallback object. The code includes comments outlining the steps involved in using the camera, such as opening, configuring, starting and stopping the preview, and closing the camera."
