index,name,document,type,inner invocations,external invocations,calls,visits,length,lines,modifier,commit,full text,moved,removed,gpt text,gpt response,code summary
1,logger,logger ,Field,,,,,71,1,8,,static Logger logger = LoggerFactory.getLogger(AuditHandlerTest.class);,False,False,,False,
2,server,server ,Field,,,,,30,1,8,,static Undertow server = null;,True,True,,False,
3,auditLogger,audit logger ,Field,,,,,130,1,16,,final ch.qos.logback.classic.Logger auditLogger = (ch.qos.logback.classic.Logger) LoggerFactory.getLogger(Constants.AUDIT_LOGGER);,True,True,,False,
4,mockAppender,mock appender ,Field,,,,,32,2,0,,"@Mock
    Appender mockAppender;",True,True,,False,
5,captorLoggingEvent,captor logging event ,Field,,,,,61,2,0,,"@Captor
    ArgumentCaptor<ILoggingEvent> captorLoggingEvent;",True,True,,False,
6,requiredKeys,required keys ,Field,,,,,300,5,0,,"String[] requiredKeys = { AuditHandler.TIMESTAMP,
                                Constants.CORRELATION_ID_STRING,
                                Constants.TRACEABILITY_ID_STRING,
                                AuditHandler.STATUS_CODE,
                                AuditHandler.RESPONSE_TIME };",True,True,,False,
7,setUp(),set up ,Method,,,com.networknt.audit.AuditHandlerTest+getTestHandler() com.networknt.audit.AuditHandlerTest+getTestHandler() com.networknt.audit.AuditHandler+AuditHandler() com.networknt.audit.AuditHandler+setNext(HttpHandler) com.networknt.audit.AuditHandler+setNext(HttpHandler) com.networknt.correlation.CorrelationHandler+CorrelationHandler() com.networknt.correlation.CorrelationHandler+setNext(HttpHandler) com.networknt.correlation.CorrelationHandler+setNext(HttpHandler) com.networknt.body.BodyHandler+BodyHandler() com.networknt.body.BodyHandler+setNext(HttpHandler) com.networknt.body.BodyHandler+setNext(HttpHandler) com.networknt.audit.ParameterHandler+ParameterHandler() com.networknt.audit.ParameterHandler+setNext(HttpHandler) com.networknt.audit.ParameterHandler+setNext(HttpHandler),com.networknt.audit.AuditHandlerTest+server com.networknt.audit.AuditHandlerTest+logger com.networknt.audit.AuditHandlerTest+server com.networknt.audit.AuditHandlerTest+server,987,29,9,,"@BeforeClass
    public static void setUp() {
        if(server == null) {
            logger.info(""starting server"");
            HttpHandler handler = getTestHandler();

            AuditHandler auditHandler = new AuditHandler();
            auditHandler.setNext(handler);
            handler = auditHandler;

            CorrelationHandler correlationHandler = new CorrelationHandler();
            correlationHandler.setNext(handler);
            handler = correlationHandler;

            BodyHandler bodyHandler = new BodyHandler();
            bodyHandler.setNext(handler);
            handler = bodyHandler;

            ParameterHandler parameterHandler = new ParameterHandler();
            parameterHandler.setNext(handler);
            handler = parameterHandler;

            server = Undertow.builder()
                    .addHttpListener(8080, ""localhost"")
                    .setHandler(handler)
                    .build();
            server.start();
        }
    }",False,False,The function of this method is to set up the necessary handlers for the server and start the server if it is not already running.,True,"The code is a setup method that is executed before the test class is run. It starts an Undertow server on localhost:8080 and sets up a chain of handlers for processing HTTP requests. The handlers include an AuditHandler, CorrelationHandler, BodyHandler, and ParameterHandler."
8,tearDown(),tear down ,Method,,,java.lang.Thread+sleep(long) java.lang.Thread+sleep(long),com.networknt.audit.AuditHandlerTest+server com.networknt.audit.AuditHandlerTest+server com.networknt.audit.AuditHandlerTest+logger,308,12,9,,"@AfterClass
    public static void tearDown() throws Exception {
        if(server != null) {
            try {
                Thread.sleep(100);
            } catch (InterruptedException ignored) {

            }
            server.stop();
            logger.info(""The server is stopped."");
        }
    }",True,True,This method is used to clean up resources after all test cases in a test class have been executed. It stops the server if it is running and logs a message indicating that the server has been stopped.,True,"The code defines a static method called ""tearDown"" that is executed after all test classes have finished running. It checks if a server instance exists, sleeps for 100 milliseconds, stops the server, and logs a message indicating that the server has been stopped."
9,getTestHandler(),get test handler ,Method,setUp(),,,,511,7,8,,"static RoutingHandler getTestHandler() {
        return Handlers.routing()
                .add(Methods.POST, ""/pet"", exchange -> exchange.getResponseSender().send(""OK""))
                .add(Methods.POST, ""/error"", exchange -> new ErrorStatusTestHandler().handleRequest(exchange))
                .add(Methods.POST, ""/error/{petId}"", exchange -> new ErrorStatusTestHandler().handleRequest(exchange))
                .add(Methods.POST, ""/pet/{petId}"", exchange -> exchange.getResponseSender().send(""OK""));
    }",False,False,"The function of the method is to return a RoutingHandler object that handles different HTTP POST requests for paths ""/pet"", ""/error"", ""/error/{petId}"", and ""/pet/{petId}"". The handler sends a response of ""OK"" for the ""/pet"" and ""/pet/{petId}"" paths, and delegates the handling of ""/error"" and ""/error/{petId}"" paths to an ErrorStatusTestHandler object.",True,"The code defines a static method called `getTestHandler()` that returns a `RoutingHandler` object. This handler is configured to handle HTTP POST requests for different paths (""/pet"", ""/error"", ""/error/{petId}"", ""/pet/{petId}"") and sends a response of ""OK"" for some paths or delegates the request to another handler for others."
10,beforeTest(),before test ,Method,,,,com.networknt.audit.AuditHandlerTest+auditLogger com.networknt.audit.AuditHandlerTest+mockAppender,144,5,1,,"@Before
    public void beforeTest() throws Exception {
        // inject the mock appender
        auditLogger.addAppender(mockAppender);
    }",True,True,This method is a setup method that is executed before each test. It injects a mock appender into the auditLogger.,True,"The code snippet is a method named ""beforeTest"" that is annotated with ""@Before"", indicating it is executed before each test. It adds a mock appender to the auditLogger, which suggests that it is setting up a test environment for auditing purposes."
