index,name,document,type,inner invocations,external invocations,calls,visits,length,lines,modifier,commit,full text,moved,removed,gpt text,gpt response,code summary
1,logger,logger ,Field,,,,,76,1,24,,static final Logger logger = LoggerFactory.getLogger(Http2ClientTest.class);,False,False,,False,
2,server,server ,Field,,,,,30,1,8,,static Undertow server = null;,False,False,,False,
3,sslContext,ssl context ,Field,,,,,29,1,8,,static SSLContext sslContext;,False,False,,False,
4,message,message ,Field,,,,,53,1,26,,"private static final String message = ""Hello World!"";",False,False,,False,
5,MESSAGE,message ,Field,,,,,48,1,25,,"public static final String MESSAGE = ""/message"";",False,False,,False,
6,POST,post ,Field,,,,,42,1,25,,"public static final String POST = ""/post"";",False,False,,False,
7,FORM,form ,Field,,,,,42,1,25,,"public static final String FORM = ""/form"";",False,False,,False,
8,TOKEN,token ,Field,,,,,51,1,25,,"public static final String TOKEN = ""/oauth2/token"";",False,False,,False,
9,API,api ,Field,,,,,40,1,25,,"public static final String API = ""/api"";",False,False,,False,
10,KEY,key ,Field,,,,,47,1,25,,"public static final String KEY = ""/oauth2/key"";",False,False,,False,
11,SERVER_KEY_STORE,server key store ,Field,,,,,69,1,26,,"private static final String SERVER_KEY_STORE = ""tls/server.keystore"";",False,False,,False,
12,SERVER_TRUST_STORE,server trust store ,Field,,,,,73,1,26,,"private static final String SERVER_TRUST_STORE = ""tls/server.truststore"";",False,False,,False,
13,CLIENT_KEY_STORE,client key store ,Field,,,,,69,1,26,,"private static final String CLIENT_KEY_STORE = ""tls/client.keystore"";",False,False,,False,
14,CLIENT_TRUST_STORE,client trust store ,Field,,,,,73,1,26,,"private static final String CLIENT_TRUST_STORE = ""tls/client.truststore"";",False,False,,False,
15,STORE_PASSWORD,store password ,Field,,,,,70,1,26,,"private static final char[] STORE_PASSWORD = ""password"".toCharArray();",False,False,,False,
16,worker,worker ,Field,,,,,33,1,10,,private static XnioWorker worker;,False,False,,False,
17,ADDRESS,address ,Field,,,,,33,1,26,,private static final URI ADDRESS;,False,False,,False,
18,sendMessage(HttpServerExchange),send message exchange ,Method,,,java.lang.String+length() java.lang.String+length(),com.networknt.client.Http2ClientTest+message com.networknt.client.Http2ClientTest+message,294,6,8,,"static void sendMessage(final HttpServerExchange exchange) {
        exchange.setStatusCode(StatusCodes.OK);
        exchange.getResponseHeaders().put(Headers.CONTENT_LENGTH, message.length() + """");
        final Sender sender = exchange.getResponseSender();
        sender.send(message);
    }",False,False,"This method sends a message as a response to an HTTP server exchange. It sets the status code to OK, sets the content length header, and sends the message using the response sender.",True,"The code defines a static method called `sendMessage` that takes an `HttpServerExchange` object as a parameter. It sets the status code of the exchange to OK, adds the content length header to the response, and sends the message using the response sender."
