index,name,document,type,inner invocations,external invocations,calls,visits,length,lines,modifier,commit,full text,moved,removed,gpt text,gpt response,code summary
1,mDialogView,m dialog view ,Field,,,,,25,1,2,,private View mDialogView;,False,False,,False,
2,mModalInAnim,m modal in anim ,Field,,,,,34,1,2,,private AnimationSet mModalInAnim;,False,False,,False,
3,mModalOutAnim,m modal out anim ,Field,,,,,35,1,2,,private AnimationSet mModalOutAnim;,False,False,,False,
4,mOverlayOutAnim,m overlay out anim ,Field,,,,,34,1,2,,private Animation mOverlayOutAnim;,False,False,,False,
5,mErrorInAnim,m error in anim ,Field,,,,,31,1,2,,private Animation mErrorInAnim;,False,False,,False,
6,mErrorXInAnim,m error x in anim ,Field,,,,,35,1,2,,private AnimationSet mErrorXInAnim;,False,False,,False,
7,mSuccessLayoutAnimSet,m success layout anim set ,Field,,,,,43,1,2,,private AnimationSet mSuccessLayoutAnimSet;,False,False,,False,
8,mSuccessBowAnim,m success bow anim ,Field,,,,,34,1,2,,private Animation mSuccessBowAnim;,False,False,,False,
9,mTitleTextView,m title text view ,Field,,,,,32,1,2,,private TextView mTitleTextView;,False,False,,False,
10,mContentTextView,m content text view ,Field,,,,,34,1,2,,private TextView mContentTextView;,False,False,,False,
11,mTitleText,m title text ,Field,,,,,26,1,2,,private String mTitleText;,False,False,,False,
12,mContentText,m content text ,Field,,,,,28,1,2,,private String mContentText;,False,False,,False,
13,mShowCancel,m show cancel ,Field,,,,,28,1,2,,private boolean mShowCancel;,False,False,,False,
14,mCancelText,m cancel text ,Field,,,,,27,1,2,,private String mCancelText;,False,False,,False,
15,mConfirmText,m confirm text ,Field,,,,,28,1,2,,private String mConfirmText;,False,False,,False,
16,mAlertType,m alert type ,Field,,,,,23,1,2,,private int mAlertType;,False,False,,False,
17,mErrorFrame,m error frame ,Field,,,,,32,1,2,,private FrameLayout mErrorFrame;,False,False,,False,
18,mSuccessFrame,m success frame ,Field,,,,,34,1,2,,private FrameLayout mSuccessFrame;,False,False,,False,
19,mProgressFrame,m progress frame ,Field,,,,,36,1,2,,private LinearLayout mProgressFrame;,False,False,,False,
20,mSuccessTick,m success tick ,Field,,,,,37,1,2,,private SuccessTickView mSuccessTick;,False,False,,False,
21,mErrorX,m error x ,Field,,,,,26,1,2,,private ImageView mErrorX;,False,False,,False,
22,mSuccessLeftMask,m success left mask ,Field,,,,,30,1,2,,private View mSuccessLeftMask;,False,False,,False,
23,mSuccessRightMask,m success right mask ,Field,,,,,31,1,2,,private View mSuccessRightMask;,False,False,,False,
24,mCustomImgDrawable,m custom img drawable ,Field,,,,,36,1,2,,private Drawable mCustomImgDrawable;,False,False,,False,
25,mCustomImage,m custom image ,Field,,,,,31,1,2,,private ImageView mCustomImage;,False,False,,False,
26,mConfirmButton,m confirm button ,Field,,,,,30,1,2,,private Button mConfirmButton;,False,False,,False,
27,mCancelButton,m cancel button ,Field,,,,,29,1,2,,private Button mCancelButton;,False,False,,False,
