index,name,document,type,inner invocations,external invocations,calls,visits,length,lines,modifier,commit,full text,moved,removed,gpt text,gpt response,code summary
1,id,id ,Field,"UDFInfo(Long,String,String,Integer,String,String,String,String,Boolean,Boolean,Long,Date,Date,Boolean) setId(Long)",,,,16,1,2,,private Long id;,False,False,,False,
2,createUser,create user ,Field,"UDFInfo(Long,String,String,Integer,String,String,String,String,Boolean,Boolean,Long,Date,Date,Boolean) setCreateUser(String)",,,,26,1,2,,private String createUser;,False,False,,False,
3,udfName,udf name ,Field,"UDFInfo(Long,String,String,Integer,String,String,String,String,Boolean,Boolean,Long,Date,Date,Boolean) setUdfName(String)",,,,23,1,2,,private String udfName;,False,False,,False,
4,udfType,udf type ,Field,"UDFInfo(Long,String,String,Integer,String,String,String,String,Boolean,Boolean,Long,Date,Date,Boolean) setUdfType(Integer)",,,,24,1,2,,private Integer udfType;,False,False,,False,
5,path,path ,Field,"UDFInfo(Long,String,String,Integer,String,String,String,String,Boolean,Boolean,Long,Date,Date,Boolean) setPath(String)",,,,20,1,2,,private String path;,True,True,,False,
6,registerFormat,register format ,Field,"UDFInfo(Long,String,String,Integer,String,String,String,String,Boolean,Boolean,Long,Date,Date,Boolean) setRegisterFormat(String)",,,,30,1,2,,private String registerFormat;,True,True,,False,
7,useFormat,use format ,Field,"UDFInfo(Long,String,String,Integer,String,String,String,String,Boolean,Boolean,Long,Date,Date,Boolean) setUseFormat(String)",,,,25,1,2,,private String useFormat;,True,True,,False,
8,description,description ,Field,"UDFInfo(Long,String,String,Integer,String,String,String,String,Boolean,Boolean,Long,Date,Date,Boolean) setDescription(String)",,,,27,1,2,,private String description;,True,True,,False,
9,isExpire,is expire ,Field,"UDFInfo(Long,String,String,Integer,String,String,String,String,Boolean,Boolean,Long,Date,Date,Boolean)",,,,25,1,2,,private Boolean isExpire;,False,False,,False,
10,isShared,is shared ,Field,"UDFInfo(Long,String,String,Integer,String,String,String,String,Boolean,Boolean,Long,Date,Date,Boolean)",,,,25,1,2,,private Boolean isShared;,False,False,,False,
11,treeId,tree id ,Field,"UDFInfo(Long,String,String,Integer,String,String,String,String,Boolean,Boolean,Long,Date,Date,Boolean) setTreeId(Long)",,,,20,1,2,,private Long treeId;,False,False,,False,
12,createTime,create time ,Field,"UDFInfo(Long,String,String,Integer,String,String,String,String,Boolean,Boolean,Long,Date,Date,Boolean) setCreateTime(Date)",,,,24,1,2,,private Date createTime;,False,False,,False,
13,updateTime,update time ,Field,"UDFInfo(Long,String,String,Integer,String,String,String,String,Boolean,Boolean,Long,Date,Date,Boolean) setUpdateTime(Date)",,,,24,1,2,,private Date updateTime;,False,False,,False,
14,isLoad,is load ,Field,"UDFInfo(Long,String,String,Integer,String,String,String,String,Boolean,Boolean,Long,Date,Date,Boolean)",,,,23,1,2,,private Boolean isLoad;,False,False,,False,
15,UDFInfo(),udf info ,Method,,,,,19,1,1,,public UDFInfo() {},False,False,This method serves as a constructor for the UDFInfo class.,True,"The code snippet defines a constructor method named UDFInfo, which does not take any parameters. It is used to create an instance of the UDFInfo class."
16,"UDFInfo(Long,String,String,Integer,String,String,String,String,Boolean,Boolean,Long,Date,Date,Boolean)",udf info id create user udf name udf type path register format use format description is expire is shared tree id create time update time is load ,Method,,,,org.apache.linkis.udf.entity.UDFInfo+id org.apache.linkis.udf.entity.UDFInfo+id org.apache.linkis.udf.entity.UDFInfo+createUser org.apache.linkis.udf.entity.UDFInfo+createUser org.apache.linkis.udf.entity.UDFInfo+udfName org.apache.linkis.udf.entity.UDFInfo+udfName org.apache.linkis.udf.entity.UDFInfo+udfType org.apache.linkis.udf.entity.UDFInfo+udfType org.apache.linkis.udf.entity.UDFInfo+path org.apache.linkis.udf.entity.UDFInfo+path org.apache.linkis.udf.entity.UDFInfo+registerFormat org.apache.linkis.udf.entity.UDFInfo+registerFormat org.apache.linkis.udf.entity.UDFInfo+useFormat org.apache.linkis.udf.entity.UDFInfo+useFormat org.apache.linkis.udf.entity.UDFInfo+description org.apache.linkis.udf.entity.UDFInfo+description org.apache.linkis.udf.entity.UDFInfo+isExpire org.apache.linkis.udf.entity.UDFInfo+isExpire org.apache.linkis.udf.entity.UDFInfo+isShared org.apache.linkis.udf.entity.UDFInfo+isShared org.apache.linkis.udf.entity.UDFInfo+treeId org.apache.linkis.udf.entity.UDFInfo+treeId org.apache.linkis.udf.entity.UDFInfo+createTime org.apache.linkis.udf.entity.UDFInfo+createTime org.apache.linkis.udf.entity.UDFInfo+updateTime org.apache.linkis.udf.entity.UDFInfo+updateTime org.apache.linkis.udf.entity.UDFInfo+isLoad org.apache.linkis.udf.entity.UDFInfo+isLoad,901,30,1,,"public UDFInfo(
            Long id,
            String createUser,
            String udfName,
            Integer udfType,
            String path,
            String registerFormat,
            String useFormat,
            String description,
            Boolean isExpire,
            Boolean isShared,
            Long treeId,
            Date createTime,
            Date updateTime,
            Boolean isLoad) {
        this.id = id;
        this.createUser = createUser;
        this.udfName = udfName;
        this.udfType = udfType;
        this.path = path;
        this.registerFormat = registerFormat;
        this.useFormat = useFormat;
        this.description = description;
        this.isExpire = isExpire;
        this.isShared = isShared;
        this.treeId = treeId;
        this.createTime = createTime;
        this.updateTime = updateTime;
        this.isLoad = isLoad;
    }",False,False,This method is a constructor for a class called UDFInfo. It initializes the instance variables of the class with the values passed as parameters to the constructor.,True,"This code defines a constructor for a class called UDFInfo, which takes in multiple parameters and assigns them to corresponding instance variables. The constructor is used to initialize the state of an object of the UDFInfo class."
17,getId(),get id ,Method,,"org.apache.linkis.udf.api.UDFApi+shareUDF(HttpServletRequest,JsonNode) org.apache.linkis.udf.api.UDFApi+shareUDF(HttpServletRequest,JsonNode) org.apache.linkis.udf.service.impl.UDFServiceImpl+addUDF(UDFInfo,String) org.apache.linkis.udf.service.impl.UDFServiceImpl+updateUDF(UDFInfo,String) org.apache.linkis.udf.service.impl.UDFServiceImpl+updateUDF(UDFInfo,String) org.apache.linkis.udf.service.impl.UDFServiceImpl+updateUDF(UDFInfo,String) org.apache.linkis.udf.service.impl.UDFServiceImpl+deleteUDF(Long,String)",,org.apache.linkis.udf.entity.UDFInfo+id,46,3,1,,"public Long getId() {
        return id;
    }",False,False,"This method returns the value of the ""id"" variable, which is of type Long.",True,"The code contains a method named ""getId"" that returns a Long value. It is likely used to retrieve the ID of an object or entity."
18,setId(Long),set id id ,Method,,"org.apache.linkis.udf.service.impl.UDFServiceImpl+updateUDF(UDFInfo,String) org.apache.linkis.udf.service.impl.UDFServiceImpl+createSharedUdfInfo(UDFInfo,Long,FsPath)",,org.apache.linkis.udf.entity.UDFInfo+id org.apache.linkis.udf.entity.UDFInfo+id,56,3,1,,"public void setId(Long id) {
        this.id = id;
    }",False,False,"This method sets the value of the ""id"" variable to the given ""id"" value.",True,"The code defines a method called ""setId"" that takes a Long value as a parameter and assigns it to the ""id"" variable of the current object. This method is used to set the value of the id property in an object."
19,getCreateUser(),get create user ,Method,,"org.apache.linkis.udf.api.UDFApi+setExpire(HttpServletRequest,JsonNode) org.apache.linkis.udf.api.UDFApi+updateSharedUsers(HttpServletRequest,JsonNode) org.apache.linkis.udf.service.impl.UDFServiceImpl+addUDF(UDFInfo,String) org.apache.linkis.udf.service.impl.UDFServiceImpl+updateUDF(UDFInfo,String) org.apache.linkis.udf.service.impl.UDFServiceImpl+deleteUDF(Long,String)",,org.apache.linkis.udf.entity.UDFInfo+createUser,64,3,1,,"public String getCreateUser() {
        return createUser;
    }",False,False,"The function of the given method is to retrieve and return the value of the variable ""createUser"" as a string.",True,"The code contains a method named ""getCreateUser"" which returns a String value. This method is used to retrieve the value of the ""createUser"" variable."
20,setCreateUser(String),set create user create user ,Method,,"org.apache.linkis.udf.api.UDFApi+addUDF(HttpServletRequest,JsonNode) org.apache.linkis.udf.api.UDFApi+updateUDF(HttpServletRequest,JsonNode)",,org.apache.linkis.udf.entity.UDFInfo+createUser org.apache.linkis.udf.entity.UDFInfo+createUser,90,3,1,,"public void setCreateUser(String createUser) {
        this.createUser = createUser;
    }",False,False,"This method sets the value of the ""createUser"" variable to the input value provided.",True,"The code defines a method named ""setCreateUser"" that takes a string parameter. It sets the value of the ""createUser"" variable to the provided string."
