index,name,document,type,inner invocations,external invocations,calls,visits,length,lines,modifier,commit,full text,moved,removed,gpt text,gpt response,code summary
1,DATE_PATTERN,date pattern ,Field,,,,,57,1,24,,"static final String DATE_PATTERN = ""yyyy-MM-dd_HH_mm_ss"";",False,True,,False,
2,sdf,sdf ,Field,,,,,58,1,0,,SimpleDateFormat sdf = new SimpleDateFormat(DATE_PATTERN);,True,True,,False,
3,layout,layout ,Field,,,,,53,1,0,,EchoLayout<Object> layout = new EchoLayout<Object>();,True,True,,False,
4,context,context ,Field,,,,,36,1,0,,Context context = new ContextBase();,True,True,,False,
5,rfa1,rfa1 ,Field,,,,,69,1,0,,RollingFileAppender<Object> rfa1 = new RollingFileAppender<Object>();,False,False,,False,
6,tbrp1,tbrp1 ,Field,,,,,76,1,0,,TimeBasedRollingPolicy<Object> tbrp1 = new TimeBasedRollingPolicy<Object>();,False,False,,False,
7,rfa2,rfa2 ,Field,,,,,69,1,0,,RollingFileAppender<Object> rfa2 = new RollingFileAppender<Object>();,False,False,,False,
8,tbrp2,tbrp2 ,Field,,,,,76,1,0,,TimeBasedRollingPolicy<Object> tbrp2 = new TimeBasedRollingPolicy<Object>();,False,False,,False,
9,cal,cal ,Field,,,,,38,1,0,,Calendar cal = Calendar.getInstance();,True,True,,False,
10,currentTime,current time ,Field,,,,,17,1,0,,long currentTime;,True,True,,False,
11,nextRolloverThreshold,next rollover threshold ,Field,,,,,27,1,0,,long nextRolloverThreshold;,True,True,,False,
12,expectedFilenameList,expected filename list ,Field,,,,,60,1,0,,List<String> expectedFilenameList = new ArrayList<String>();,True,True,,False,
