index,name,document,type,inner invocations,external invocations,calls,visits,length,lines,modifier,commit,full text,moved,removed,gpt text,gpt response,code summary
1,serialVersionUID,serial version uid ,Field,,,,,50,1,26,,private static final long serialVersionUID = 233L;,False,False,,False,
2,NUM_THREADS,num threads number of threads in the thread group ,Field,,,,,116,2,25,"/** 
 * Number of threads in the thread group 
 */
","/** Number of threads in the thread group */
    public final static String NUM_THREADS = ""ThreadGroup.num_threads"";",True,True,"/** 
 * Number of threads in the thread group 
 */
",False,"/** 
 * Number of threads in the thread group 
 */
"
3,RAMP_TIME,ramp time ramp up time ,Field,,,,,87,2,25,"/** 
 * Ramp-up time 
 */
","/** Ramp-up time */
    public final static String RAMP_TIME = ""ThreadGroup.ramp_time"";",False,False,"/** 
 * Ramp-up time 
 */
",False,"/** 
 * Ramp-up time 
 */
"
4,MAIN_CONTROLLER,main controller ,Field,,,,,75,1,25,,"public final static String MAIN_CONTROLLER = ""ThreadGroup.main_controller"";",True,True,,False,
5,SCHEDULER,scheduler whether scheduler is being used ,Field,,,,,106,2,25,"/** 
 * Whether scheduler is being used 
 */
","/** Whether scheduler is being used */
    public final static String SCHEDULER = ""ThreadGroup.scheduler"";",False,False,"/** 
 * Whether scheduler is being used 
 */
",False,"/** 
 * Whether scheduler is being used 
 */
"
6,START_TIME,start time scheduler absolute start time ,Field,,,,,106,2,25,"/** 
 * Scheduler absolute start time 
 */
","/** Scheduler absolute start time */
    public final static String START_TIME = ""ThreadGroup.start_time"";",False,False,"/** 
 * Scheduler absolute start time 
 */
",False,"/** 
 * Scheduler absolute start time 
 */
"
7,END_TIME,end time scheduler absolute end time ,Field,,,,,100,2,25,"/** 
 * Scheduler absolute end time 
 */
","/** Scheduler absolute end time */
    public final static String END_TIME = ""ThreadGroup.end_time"";",False,False,"/** 
 * Scheduler absolute end time 
 */
",False,"/** 
 * Scheduler absolute end time 
 */
"
8,DURATION,duration scheduler duration overrides end time ,Field,,,,,111,2,25,"/** 
 * Scheduler duration, overrides end time 
 */
","/** Scheduler duration, overrides end time */
    public final static String DURATION = ""ThreadGroup.duration"";",False,False,"/** 
 * Scheduler duration, overrides end time 
 */
",False,"/** 
 * Scheduler duration, overrides end time 
 */
"
9,DELAY,delay scheduler start delay overrides start time ,Field,,,,,110,2,25,"/** 
 * Scheduler start delay, overrides start time 
 */
","/** Scheduler start delay, overrides start time */
    public final static String DELAY = ""ThreadGroup.delay"";",False,False,"/** 
 * Scheduler start delay, overrides start time 
 */
",False,"/** 
 * Scheduler start delay, overrides start time 
 */
"
10,ON_SAMPLE_ERROR,on sample error action to be taken when a sampler error occurs ,Field,,,,,133,2,25,"/** 
 * Action to be taken when a Sampler error occurs 
 */
","/** Action to be taken when a Sampler error occurs */
    public final static String ON_SAMPLE_ERROR = ""ThreadGroup.on_sample_error"";",True,True,"/** 
 * Action to be taken when a Sampler error occurs 
 */
",False,"/** 
 * Action to be taken when a Sampler error occurs 
 */
"
