index,name,document,type,inner invocations,external invocations,calls,visits,length,lines,modifier,commit,full text,moved,removed,gpt text,gpt response,code summary
1,serialVersionUID,serial version uid ,Field,,,,,48,1,26,,private static final long serialVersionUID = 1L;,False,False,,False,
2,log,log ,Field,,,,,69,1,26,,private static final Logger log = LoggingManager.getLoggerForClass();,False,False,,False,
3,MAX_DISPLAY_SIZE,max display size ,Field,,,,,121,2,26,,"private static final int MAX_DISPLAY_SIZE =
        JMeterUtils.getPropDefault(""view.results.tree.max_size"", 200 * 1024);",False,True,,False,
4,dateFormat,date format ,Field,,,,,84,1,18,,"private final DateFormat dateFormat = new SimpleDateFormat(""yyyy-MM-dd HH:mm:ss z"");",True,True,,False,
5,NL,nl ,Field,,,,,38,1,26,,"private static final String NL = ""\n"";",True,True,,False,
6,XML_PFX,xml pfx ,Field,,,,,58,1,26,,"private static final byte[] XML_PFX = ""<?xml "".getBytes();",True,True,,False,
7,SERVER_ERROR_COLOR,server error color ,Field,,,,,57,1,25,,public static final Color SERVER_ERROR_COLOR = Color.red;,False,False,,False,
8,CLIENT_ERROR_COLOR,client error color ,Field,,,,,58,1,25,,public static final Color CLIENT_ERROR_COLOR = Color.blue;,False,False,,False,
9,REDIRECT_COLOR,redirect color ,Field,,,,,55,1,25,,public static final Color REDIRECT_COLOR = Color.green;,False,False,,False,
10,TEXT_HTML,text html ,Field,,,,,52,1,26,,"private static final String TEXT_HTML = ""text/html"";",True,True,,False,
11,HTML_COMMAND,html command ,Field,,,,,50,1,26,,"private static final String HTML_COMMAND = ""html"";",False,True,,False,
12,JSON_COMMAND,json command ,Field,,,,,50,1,26,,"private static final String JSON_COMMAND = ""json"";",False,True,,False,
13,XML_COMMAND,xml command ,Field,,,,,48,1,26,,"private static final String XML_COMMAND = ""xml"";",False,True,,False,
14,TEXT_COMMAND,text command ,Field,,,,,50,1,26,,"private static final String TEXT_COMMAND = ""text"";",False,True,,False,
15,STYLE_SERVER_ERROR,style server error ,Field,,,,,63,1,26,,"private static final String STYLE_SERVER_ERROR = ""ServerError"";",True,True,,False,
16,STYLE_CLIENT_ERROR,style client error ,Field,,,,,63,1,26,,"private static final String STYLE_CLIENT_ERROR = ""ClientError"";",True,True,,False,
17,STYLE_REDIRECT,style redirect ,Field,,,,,56,1,26,,"private static final String STYLE_REDIRECT = ""Redirect"";",True,True,,False,
