index,name,document,type,inner invocations,external invocations,calls,visits,length,lines,modifier,commit,full text,moved,removed,gpt text,gpt response,code summary
1,configService,config service ,Field,,,,,49,1,18,,private final ConfigurationService configService;,False,False,,False,
2,leaderElectionService,leader election service ,Field,,,,,58,1,18,,private final LeaderElectionService leaderElectionService;,False,False,,False,
3,serverService,server service ,Field,,,,,42,1,18,,private final ServerService serverService;,False,False,,False,
4,shardingService,sharding service ,Field,,,,,46,1,18,,private final ShardingService shardingService;,False,False,,False,
5,executionContextService,execution context service ,Field,,,,,62,1,18,,private final ExecutionContextService executionContextService;,True,True,,False,
6,executionService,execution service ,Field,,,,,48,1,18,,private final ExecutionService executionService;,False,False,,False,
7,failoverService,failover service ,Field,,,,,46,1,18,,private final FailoverService failoverService;,False,True,,False,
8,statisticsService,statistics service ,Field,,,,,50,1,18,,private final StatisticsService statisticsService;,False,False,,False,
9,offsetService,offset service ,Field,,,,,42,1,18,,private final OffsetService offsetService;,True,True,,False,
10,monitorService,monitor service ,Field,,,,,44,1,18,,private final MonitorService monitorService;,False,False,,False,
11,listenerManager,listener manager ,Field,,,,,46,1,18,,private final ListenerManager listenerManager;,False,False,,False,
12,elasticJobListeners,elastic job listeners ,Field,"SchedulerFacade(CoordinatorRegistryCenter,JobConfiguration,List<ElasticJobListener>) SchedulerFacade(CoordinatorRegistryCenter,JobConfiguration,List<ElasticJobListener>)",,,,59,1,18,,private final List<ElasticJobListener> elasticJobListeners;,True,True,,False,
