index,name,document,type,inner invocations,external invocations,calls,visits,length,lines,modifier,commit,full text,moved,removed,gpt text,gpt response,code summary
1,TAG,tag ,Field,,,,,93,1,26,,"private static final String TAG = ""com.beardedhen.androidbootstrap.BootstrapCircleThumbnail"";",False,False,,False,
2,bootstrapBrand,bootstrap brand ,Field,onRestoreInstanceState(Parcelable) initialise(AttributeSet) initialise(AttributeSet) setBootstrapBrand(BootstrapBrand),,,,38,1,2,,private BootstrapBrand bootstrapBrand;,True,True,,False,
3,borderWidth,border width ,Field,onRestoreInstanceState(Parcelable) initialise(AttributeSet) initialise(AttributeSet) initialise(AttributeSet) setBorderWidth(float),,,,26,1,2,,private float borderWidth;,False,True,,False,
4,borderColor,border color ,Field,onRestoreInstanceState(Parcelable) initialise(AttributeSet) setBootstrapBrand(BootstrapBrand) setBorderColor(int),,,,24,1,2,,private int borderColor;,True,True,,False,
5,imageRectF,image rect f ,Field,,,,,45,1,18,,private final RectF imageRectF = new RectF();,False,False,,False,
6,matrix,matrix ,Field,,,,,43,1,18,,private final Matrix matrix = new Matrix();,False,False,,False,
7,imagePaint,image paint ,Field,,,,,45,1,18,,private final Paint imagePaint = new Paint();,False,False,,False,
8,placeholderPaint,placeholder paint ,Field,,,,,51,1,18,,private final Paint placeholderPaint = new Paint();,False,False,,False,
9,borderPaint,border paint ,Field,,,,,46,1,18,,private final Paint borderPaint = new Paint();,False,False,,False,
10,sourceBitmap,source bitmap ,Field,,,,,28,1,2,,private Bitmap sourceBitmap;,True,True,,False,
11,BootstrapCircleThumbnail(Context),bootstrap circle thumbnail context ,Method,,,com.beardedhen.androidbootstrap.BootstrapCircleThumbnail+initialise(AttributeSet) com.beardedhen.androidbootstrap.BootstrapCircleThumbnail+initialise(AttributeSet),,106,4,1,,"public BootstrapCircleThumbnail(Context context) {
        super(context);
        initialise(null);
    }",False,False,The function of the method is to create a new instance of the BootstrapCircleThumbnail class and initialize it with a given context.,True,The code defines a constructor method for a class called BootstrapCircleThumbnail. It takes a Context object as a parameter and calls the superclass constructor. It then calls the initialise method with a null argument.
12,"BootstrapCircleThumbnail(Context,AttributeSet)",bootstrap circle thumbnail context attrs ,Method,,,com.beardedhen.androidbootstrap.BootstrapCircleThumbnail+initialise(AttributeSet) com.beardedhen.androidbootstrap.BootstrapCircleThumbnail+initialise(AttributeSet),,134,4,1,,"public BootstrapCircleThumbnail(Context context, AttributeSet attrs) {
        super(context, attrs);
        initialise(attrs);
    }",False,False,The function of this method is to create a BootstrapCircleThumbnail object by initializing its attributes with the provided context and attribute set.,True,"The code defines a constructor method for a class called BootstrapCircleThumbnail. It takes a Context and AttributeSet as parameters, and calls the initialise method with the given AttributeSet."
