index,name,document,type,inner invocations,external invocations,calls,visits,length,lines,modifier,commit,full text,moved,removed,gpt text,gpt response,code summary
1,UNSET,unset ,Field,,,,,36,1,26,,private static final int UNSET = -1;,True,True,,False,
2,SIZE_MULTIPLIER,size multiplier ,Field,,,,,50,1,26,,private static final int SIZE_MULTIPLIER = 1 << 1;,True,True,,False,
3,DISK_CACHE_STRATEGY,disk cache strategy ,Field,,,,,54,1,26,,private static final int DISK_CACHE_STRATEGY = 1 << 2;,True,True,,False,
4,PRIORITY,priority ,Field,,,,,43,1,26,,private static final int PRIORITY = 1 << 3;,True,True,,False,
5,ERROR_PLACEHOLDER,error placeholder ,Field,,,,,52,1,26,,private static final int ERROR_PLACEHOLDER = 1 << 4;,True,True,,False,
6,ERROR_ID,error id ,Field,,,,,43,1,26,,private static final int ERROR_ID = 1 << 5;,True,True,,False,
7,PLACEHOLDER,placeholder ,Field,,,,,46,1,26,,private static final int PLACEHOLDER = 1 << 6;,True,True,,False,
8,PLACEHOLDER_ID,placeholder id ,Field,,,,,49,1,26,,private static final int PLACEHOLDER_ID = 1 << 7;,True,True,,False,
9,IS_CACHEABLE,is cacheable ,Field,,,,,47,1,26,,private static final int IS_CACHEABLE = 1 << 8;,True,True,,False,
10,OVERRIDE,override ,Field,,,,,43,1,26,,private static final int OVERRIDE = 1 << 9;,True,True,,False,
11,SIGNATURE,signature ,Field,,,,,45,1,26,,private static final int SIGNATURE = 1 << 10;,True,True,,False,
12,TRANSFORMATION,transformation ,Field,,,,,50,1,26,,private static final int TRANSFORMATION = 1 << 11;,True,True,,False,
13,RESOURCE_CLASS,resource class ,Field,,,,,50,1,26,,private static final int RESOURCE_CLASS = 1 << 12;,True,True,,False,
14,FALLBACK,fallback ,Field,,,,,44,1,26,,private static final int FALLBACK = 1 << 13;,True,True,,False,
15,FALLBACK_ID,fallback id ,Field,,,,,47,1,26,,private static final int FALLBACK_ID = 1 << 14;,True,True,,False,
16,THEME,theme ,Field,,,,,41,1,26,,private static final int THEME = 1 << 15;,True,True,,False,
17,TRANSFORMATION_ALLOWED,transformation allowed ,Field,,,,,58,1,26,,private static final int TRANSFORMATION_ALLOWED = 1 << 16;,True,True,,False,
18,TRANSFORMATION_REQUIRED,transformation required ,Field,,,,,59,1,26,,private static final int TRANSFORMATION_REQUIRED = 1 << 17;,True,True,,False,
19,USE_UNLIMITED_SOURCE_GENERATORS_POOL,use unlimited source generators pool ,Field,,,,,72,1,26,,private static final int USE_UNLIMITED_SOURCE_GENERATORS_POOL = 1 << 18;,True,True,,False,
20,ONLY_RETRIEVE_FROM_CACHE,only retrieve from cache ,Field,,,,,60,1,26,,private static final int ONLY_RETRIEVE_FROM_CACHE = 1 << 19;,True,True,,False,
21,USE_ANIMATION_POOL,use animation pool ,Field,,,,,54,1,26,,private static final int USE_ANIMATION_POOL = 1 << 20;,True,True,,False,
22,skipMemoryCacheTrueOptions,skip memory cache true options ,Field,,,,,69,2,10,,"@Nullable
  private static RequestOptions skipMemoryCacheTrueOptions;",False,False,,False,
23,skipMemoryCacheFalseOptions,skip memory cache false options ,Field,,,,,70,2,10,,"@Nullable
  private static RequestOptions skipMemoryCacheFalseOptions;",False,False,,False,
24,fitCenterOptions,fit center options ,Field,,,,,59,2,10,,"@Nullable
  private static RequestOptions fitCenterOptions;",False,False,,False,
25,centerInsideOptions,center inside options ,Field,,,,,62,2,10,,"@Nullable
  private static RequestOptions centerInsideOptions;",False,False,,False,
26,centerCropOptions,center crop options ,Field,,,,,60,2,10,,"@Nullable
  private static RequestOptions centerCropOptions;",False,False,,False,
27,circleCropOptions,circle crop options ,Field,,,,,60,2,10,,"@Nullable
  private static RequestOptions circleCropOptions;",False,False,,False,
28,noTransformOptions,no transform options ,Field,,,,,61,2,10,,"@Nullable
  private static RequestOptions noTransformOptions;",False,False,,False,
29,noAnimationOptions,no animation options ,Field,,,,,61,2,10,,"@Nullable
  private static RequestOptions noAnimationOptions;",False,False,,False,
30,fields,fields ,Field,,,,,19,1,2,,private int fields;,True,True,,False,
31,sizeMultiplier,size multiplier ,Field,sizeMultiplier(float),,,,34,1,2,,private float sizeMultiplier = 1f;,True,True,,False,
32,diskCacheStrategy,disk cache strategy ,Field,diskCacheStrategy(DiskCacheStrategy),,,,85,2,2,,"@NonNull
  private DiskCacheStrategy diskCacheStrategy = DiskCacheStrategy.AUTOMATIC;",True,True,,False,
33,priority,priority ,Field,priority(Priority),,,,55,2,2,,"@NonNull
  private Priority priority = Priority.NORMAL;",True,True,,False,
34,errorPlaceholder,error placeholder ,Field,error(Drawable) error(int),,,,46,2,2,,"@Nullable
  private Drawable errorPlaceholder;",True,True,,False,
35,errorId,error id ,Field,error(Drawable) error(int),,,,20,1,2,,private int errorId;,False,True,,False,
36,placeholderDrawable,placeholder drawable ,Field,placeholder(Drawable),,,,49,2,2,,"@Nullable
  private Drawable placeholderDrawable;",True,True,,False,
37,placeholderId,placeholder id ,Field,placeholder(int),,,,26,1,2,,private int placeholderId;,True,True,,False,
38,isCacheable,is cacheable ,Field,skipMemoryCache(boolean),,,,35,1,2,,private boolean isCacheable = true;,True,True,,False,
39,overrideHeight,override height ,Field,"override(int,int)",,,,50,1,2,,private int overrideHeight = RequestOptions.UNSET;,True,True,,False,
40,overrideWidth,override width ,Field,"override(int,int)",,,,49,1,2,,private int overrideWidth = RequestOptions.UNSET;,True,True,,False,
41,signature,signature ,Field,signature(Key),,,,59,2,2,,"@NonNull
  private Key signature = EmptySignature.obtain();",True,True,,False,
42,isTransformationRequired,is transformation required ,Field,,,,,41,1,2,,private boolean isTransformationRequired;,True,True,,False,
43,isTransformationAllowed,is transformation allowed ,Field,,,,,47,1,2,,private boolean isTransformationAllowed = true;,True,True,,False,
44,fallbackDrawable,fallback drawable ,Field,fallback(Drawable),,,,46,2,2,,"@Nullable
  private Drawable fallbackDrawable;",True,True,,False,
45,fallbackId,fallback id ,Field,fallback(int),,,,23,1,2,,private int fallbackId;,True,True,,False,
46,options,options ,Field,,,,,51,2,2,,"@NonNull
  private Options options = new Options();",True,True,,False,
47,transformations,transformations ,Field,,,,,101,2,2,,"@NonNull
  private Map<Class<?>, Transformation<?>> transformations = new CachedHashCodeArrayMap<>();",True,True,,False,
48,resourceClass,resource class ,Field,decode(Class<?>),,,,57,2,2,,"@NonNull
  private Class<?> resourceClass = Object.class;",True,True,,False,
49,isLocked,is locked ,Field,,,,,25,1,2,,private boolean isLocked;,True,True,,False,
50,theme,theme ,Field,theme(Resources.Theme),,,,42,2,2,,"@Nullable
  private Resources.Theme theme;",True,True,,False,
51,isAutoCloneEnabled,is auto clone enabled ,Field,,,,,35,1,2,,private boolean isAutoCloneEnabled;,True,True,,False,
52,useUnlimitedSourceGeneratorsPool,use unlimited source generators pool ,Field,useUnlimitedSourceGeneratorsPool(boolean),,,,49,1,2,,private boolean useUnlimitedSourceGeneratorsPool;,True,True,,False,
53,onlyRetrieveFromCache,only retrieve from cache ,Field,onlyRetrieveFromCache(boolean),,,,38,1,2,,private boolean onlyRetrieveFromCache;,True,True,,False,
54,isScaleOnlyOrNoTransform,is scale only or no transform ,Field,,,,,48,1,2,,private boolean isScaleOnlyOrNoTransform = true;,True,True,,False,
55,useAnimationPool,use animation pool ,Field,,,,,33,1,2,,private boolean useAnimationPool;,True,True,,False,
