index,name,document,type,inner invocations,external invocations,calls,visits,length,lines,modifier,commit,full text,moved,removed,gpt text,gpt response,code summary
1,TAG,tag ,Field,,,,,67,1,26,,private static final String TAG = GifDecoder.class.getSimpleName();,False,False,,False,
2,STATUS_OK,status ok file read status no errors ,Field,,,,,90,4,25,"/** 
 * File read status: No errors.
 */
","/**
     * File read status: No errors.
     */
    public static final int STATUS_OK = 0;",False,False,"/** 
 * File read status: No errors.
 */
",False,"/** 
 * File read status: No errors.
 */
"
3,STATUS_FORMAT_ERROR,status format error file read status error decoding file may be partially decoded ,Field,,,,,136,4,25,"/** 
 * File read status: Error decoding file (may be partially decoded)
 */
","/**
     * File read status: Error decoding file (may be partially decoded)
     */
    public static final int STATUS_FORMAT_ERROR = 1;",False,False,"/** 
 * File read status: Error decoding file (may be partially decoded)
 */
",False,"/** 
 * File read status: Error decoding file (may be partially decoded)
 */
"
4,STATUS_OPEN_ERROR,status open error file read status unable to open source ,Field,,,,,110,4,25,"/** 
 * File read status: Unable to open source.
 */
","/**
     * File read status: Unable to open source.
     */
    public static final int STATUS_OPEN_ERROR = 2;",False,False,"/** 
 * File read status: Unable to open source.
 */
",False,"/** 
 * File read status: Unable to open source.
 */
"
5,MAX_STACK_SIZE,max stack size max decoder pixel stack size ,Field,,,,,101,4,28,"/** 
 * max decoder pixel stack size
 */
","/**
     * max decoder pixel stack size
     */
    protected static final int MAX_STACK_SIZE = 4096;",False,False,"/** 
 * max decoder pixel stack size
 */
",False,"/** 
 * max decoder pixel stack size
 */
"
6,DISPOSAL_UNSPECIFIED,disposal unspecified gif disposal method meaning take no action ,Field,,,,,116,4,26,"/** 
 * GIF Disposal Method meaning take no action
 */
","/**
     * GIF Disposal Method meaning take no action
     */
    private static final int DISPOSAL_UNSPECIFIED = 0;",False,False,"/** 
 * GIF Disposal Method meaning take no action
 */
",False,"/** 
 * GIF Disposal Method meaning take no action
 */
"
7,DISPOSAL_NONE,disposal none gif disposal method meaning leave canvas from previous frame ,Field,,,,,127,4,26,"/** 
 * GIF Disposal Method meaning leave canvas from previous frame
 */
","/**
     * GIF Disposal Method meaning leave canvas from previous frame
     */
    private static final int DISPOSAL_NONE = 1;",False,False,"/** 
 * GIF Disposal Method meaning leave canvas from previous frame
 */
",False,"/** 
 * GIF Disposal Method meaning leave canvas from previous frame
 */
"
8,DISPOSAL_BACKGROUND,disposal background gif disposal method meaning clear canvas to background color ,Field,,,,,133,4,26,"/** 
 * GIF Disposal Method meaning clear canvas to background color
 */
","/**
     * GIF Disposal Method meaning clear canvas to background color
     */
    private static final int DISPOSAL_BACKGROUND = 2;",False,False,"/** 
 * GIF Disposal Method meaning clear canvas to background color
 */
",False,"/** 
 * GIF Disposal Method meaning clear canvas to background color
 */
"
9,DISPOSAL_PREVIOUS,disposal previous gif disposal method meaning clear canvas to frame before last ,Field,,,,,132,4,26,"/** 
 * GIF Disposal Method meaning clear canvas to frame before last
 */
","/**
     * GIF Disposal Method meaning clear canvas to frame before last
     */
    private static final int DISPOSAL_PREVIOUS = 3;",False,False,"/** 
 * GIF Disposal Method meaning clear canvas to frame before last
 */
",False,"/** 
 * GIF Disposal Method meaning clear canvas to frame before last
 */
"
10,status,status global status code of gif data parsing ,Field,,,,,83,4,4,"/** 
 * Global status code of GIF data parsing
 */
","/**
     * Global status code of GIF data parsing
     */
    protected int status;",True,True,"/** 
 * Global status code of GIF data parsing
 */
",False,"/** 
 * Global status code of GIF data parsing
 */
"
11,width,width ,Field,,,,,20,1,4,,protected int width;,True,True,,False,
12,height,height ,Field,,,,,21,1,4,,protected int height;,True,True,,False,
13,gctFlag,gct flag ,Field,,,,,26,1,4,,protected boolean gctFlag;,True,True,,False,
14,gctSize,gct size ,Field,,,,,22,1,4,,protected int gctSize;,True,True,,False,
15,loopCount,loop count ,Field,,,,,28,1,4,,protected int loopCount = 1;,True,True,,False,
