index,name,document,type,inner invocations,external invocations,calls,visits,length,lines,modifier,commit,full text,moved,removed,gpt text,gpt response,code summary
1,mEntries,m entries map of the key cache header pairs ,Field,,,,,131,2,18,"/** 
 * Map of the Key, CacheHeader pairs 
 */
","/** Map of the Key, CacheHeader pairs */
    private final Map<String, CacheHeader> mEntries = new LinkedHashMap<>(16, .75f, true);",False,False,"/** 
 * Map of the Key, CacheHeader pairs 
 */
",False,"/** 
 * Map of the Key, CacheHeader pairs 
 */
"
2,mTotalSize,m total size total amount of space currently used by the cache in bytes ,Field,,,,,99,2,2,"/** 
 * Total amount of space currently used by the cache in bytes. 
 */
","/** Total amount of space currently used by the cache in bytes. */
    private long mTotalSize = 0;",False,False,"/** 
 * Total amount of space currently used by the cache in bytes. 
 */
",False,"/** 
 * Total amount of space currently used by the cache in bytes. 
 */
"
3,mRootDirectorySupplier,m root directory supplier the supplier for the root directory to use for the cache ,Field,,,,,119,2,18,"/** 
 * The supplier for the root directory to use for the cache. 
 */
","/** The supplier for the root directory to use for the cache. */
    private final FileSupplier mRootDirectorySupplier;",False,False,"/** 
 * The supplier for the root directory to use for the cache. 
 */
",False,"/** 
 * The supplier for the root directory to use for the cache. 
 */
"
4,mMaxCacheSizeInBytes,m max cache size in bytes the maximum size of the cache in bytes ,Field,,,,,90,2,18,"/** 
 * The maximum size of the cache in bytes. 
 */
","/** The maximum size of the cache in bytes. */
    private final int mMaxCacheSizeInBytes;",False,False,"/** 
 * The maximum size of the cache in bytes. 
 */
",False,"/** 
 * The maximum size of the cache in bytes. 
 */
"
5,DEFAULT_DISK_USAGE_BYTES,default disk usage bytes default maximum disk usage in bytes ,Field,,,,,116,2,26,"/** 
 * Default maximum disk usage in bytes. 
 */
","/** Default maximum disk usage in bytes. */
    private static final int DEFAULT_DISK_USAGE_BYTES = 5 * 1024 * 1024;",True,True,"/** 
 * Default maximum disk usage in bytes. 
 */
",False,"/** 
 * Default maximum disk usage in bytes. 
 */
"
6,HYSTERESIS_FACTOR,hysteresis factor high water mark percentage for the cache ,Field,,,,,115,2,24,"/** 
 * High water mark percentage for the cache 
 */
","/** High water mark percentage for the cache */
    @VisibleForTesting static final float HYSTERESIS_FACTOR = 0.9f;",True,True,"/** 
 * High water mark percentage for the cache 
 */
",False,"/** 
 * High water mark percentage for the cache 
 */
"
7,CACHE_MAGIC,cache magic magic number for current version of cache file format ,Field,,,,,116,2,26,"/** 
 * Magic number for current version of cache file format. 
 */
","/** Magic number for current version of cache file format. */
    private static final int CACHE_MAGIC = 0x20150306;",False,True,"/** 
 * Magic number for current version of cache file format. 
 */
",False,"/** 
 * Magic number for current version of cache file format. 
 */
"
8,"DiskBasedCache(File,int)",disk based cache root directory max cache size in bytes constructs an instance of the disk based cache at the specified directory param root directory the root directory of the cache param max cache size in bytes the maximum size of the cache in bytes note that the cache maybriefly exceed this size on disk when writing a new entry that pushes it over the limit until the ensuing pruning completes ,Method,,,+() +get(),com.android.volley.toolbox.DiskBasedCache+mRootDirectorySupplier,768,18,1,"/** 
 * Constructs an instance of the DiskBasedCache at the specified directory.
 * @param rootDirectory The root directory of the cache.
 * @param maxCacheSizeInBytes The maximum size of the cache in bytes. Note that the cache maybriefly exceed this size on disk when writing a new entry that pushes it over the limit until the ensuing pruning completes.
 */
","/**
     * Constructs an instance of the DiskBasedCache at the specified directory.
     *
     * @param rootDirectory The root directory of the cache.
     * @param maxCacheSizeInBytes The maximum size of the cache in bytes. Note that the cache may
     *     briefly exceed this size on disk when writing a new entry that pushes it over the limit
     *     until the ensuing pruning completes.
     */
    public DiskBasedCache(final File rootDirectory, int maxCacheSizeInBytes) {
        mRootDirectorySupplier =
                new FileSupplier() {
                    @Override
                    public File get() {
                        return rootDirectory;
                    }
                };
        mMaxCacheSizeInBytes = maxCacheSizeInBytes;
    }",False,False,This method constructs an instance of the DiskBasedCache class with a specified root directory and maximum cache size in bytes.,False,The code defines a constructor for a DiskBasedCache class that takes a root directory and maximum cache size as parameters. It initializes the root directory supplier and maximum cache size variables with the provided values.
9,"DiskBasedCache(FileSupplier,int)",disk based cache root directory supplier max cache size in bytes constructs an instance of the disk based cache at the specified directory param root directory supplier the supplier for the root directory of the cache param max cache size in bytes the maximum size of the cache in bytes note that the cache maybriefly exceed this size on disk when writing a new entry that pushes it over the limit until the ensuing pruning completes ,Method,,,,com.android.volley.toolbox.DiskBasedCache+mRootDirectorySupplier com.android.volley.toolbox.DiskBasedCache+mMaxCacheSizeInBytes,632,12,1,"/** 
 * Constructs an instance of the DiskBasedCache at the specified directory.
 * @param rootDirectorySupplier The supplier for the root directory of the cache.
 * @param maxCacheSizeInBytes The maximum size of the cache in bytes. Note that the cache maybriefly exceed this size on disk when writing a new entry that pushes it over the limit until the ensuing pruning completes.
 */
","/**
     * Constructs an instance of the DiskBasedCache at the specified directory.
     *
     * @param rootDirectorySupplier The supplier for the root directory of the cache.
     * @param maxCacheSizeInBytes The maximum size of the cache in bytes. Note that the cache may
     *     briefly exceed this size on disk when writing a new entry that pushes it over the limit
     *     until the ensuing pruning completes.
     */
    public DiskBasedCache(FileSupplier rootDirectorySupplier, int maxCacheSizeInBytes) {
        mRootDirectorySupplier = rootDirectorySupplier;
        mMaxCacheSizeInBytes = maxCacheSizeInBytes;
    }",False,False,The function of this method is to construct an instance of the DiskBasedCache class with a specified root directory and maximum cache size in bytes.,False,This code defines a constructor for a DiskBasedCache class that takes a supplier for the root directory and the maximum cache size in bytes as parameters. The constructor initializes the instance variables with the provided values.
10,DiskBasedCache(File),disk based cache root directory constructs an instance of the disk based cache at the specified directory using the default maximum cache size of 5 mb param root directory the root directory of the cache ,Method,,,,com.android.volley.toolbox.DiskBasedCache+DEFAULT_DISK_USAGE_BYTES,319,9,1,"/** 
 * Constructs an instance of the DiskBasedCache at the specified directory using the default maximum cache size of 5MB.
 * @param rootDirectory The root directory of the cache.
 */
","/**
     * Constructs an instance of the DiskBasedCache at the specified directory using the default
     * maximum cache size of 5MB.
     *
     * @param rootDirectory The root directory of the cache.
     */
    public DiskBasedCache(File rootDirectory) {
        this(rootDirectory, DEFAULT_DISK_USAGE_BYTES);
    }",False,False,The function of this method is to construct an instance of the DiskBasedCache class with a specified root directory and a default maximum cache size of 5MB.,False,The code is a constructor for a DiskBasedCache object that takes a root directory as a parameter. It initializes the cache with a default maximum size of 5MB.
