index,name,document,type,inner invocations,external invocations,calls,visits,length,lines,modifier,commit,full text,moved,removed,gpt text,gpt response,code summary
1,TAG,tag ,Field,,,,,54,1,26,,"private static final String TAG = ""ActionBarSherlock"";",False,False,,False,
2,DEBUG,debug ,Field,,,,,42,1,26,,private static final boolean DEBUG = true;,False,False,,False,
3,DEFAULT_FEATURES,default features window features which are enabled by default ,Field,,,,,137,2,28,"/** 
 * Window features which are enabled by default. 
 */
","/** Window features which are enabled by default. */
    protected static final int DEFAULT_FEATURES = (1 << Window.FEATURE_ACTION_BAR);",True,True,"/** 
 * Window features which are enabled by default. 
 */
",False,"/** 
 * Window features which are enabled by default. 
 */
"
4,OnCreatePanelMenuListener,on create panel menu listener activity interface for menu creation callback ,MemberClass,,,"com.actionbarsherlock.ActionBarSherlock.OnCreatePanelMenuListener+onCreatePanelMenu(int,Menu)",,179,4,1,"/** 
 * Activity interface for menu creation callback. 
 */
","/** Activity interface for menu creation callback. */
    public interface OnCreatePanelMenuListener {
        public boolean onCreatePanelMenu(int featureId, Menu menu);
    }",False,False,"/** 
 * Activity interface for menu creation callback. 
 */
",False,"/** 
 * Activity interface for menu creation callback. 
 */
"
5,OnMenuItemSelectedListener,on menu item selected listener activity interface for menu item selection callback ,MemberClass,,,"com.actionbarsherlock.ActionBarSherlock.OnMenuItemSelectedListener+onMenuItemSelected(int,MenuItem)",,191,4,1,"/** 
 * Activity interface for menu item selection callback. 
 */
","/** Activity interface for menu item selection callback. */
    public interface OnMenuItemSelectedListener {
        public boolean onMenuItemSelected(int featureId, MenuItem item);
    }",False,False,"/** 
 * Activity interface for menu item selection callback. 
 */
",False,"/** 
 * Activity interface for menu item selection callback. 
 */
"
6,OnPreparePanelListener,on prepare panel listener activity interface for menu preparation callback ,MemberClass,,,"com.actionbarsherlock.ActionBarSherlock.OnPreparePanelListener+onPreparePanel(int,View,Menu)",,187,4,1,"/** 
 * Activity interface for menu preparation callback. 
 */
","/** Activity interface for menu preparation callback. */
    public interface OnPreparePanelListener {
        public boolean onPreparePanel(int featureId, View view, Menu menu);
    }",False,False,"/** 
 * Activity interface for menu preparation callback. 
 */
",False,"/** 
 * Activity interface for menu preparation callback. 
 */
"
7,OnActionModeFinishedListener,on action mode finished listener activity interface for action mode finished callback ,MemberClass,,,com.actionbarsherlock.ActionBarSherlock.OnActionModeFinishedListener+onActionModeFinished(ActionMode),,180,4,1,"/** 
 * Activity interface for action mode finished callback. 
 */
","/** Activity interface for action mode finished callback. */
    public interface OnActionModeFinishedListener {
        public void onActionModeFinished(ActionMode mode);
    }",False,False,"/** 
 * Activity interface for action mode finished callback. 
 */
",False,"/** 
 * Activity interface for action mode finished callback. 
 */
"
8,OnActionModeStartedListener,on action mode started listener activity interface for action mode started callback ,MemberClass,,,com.actionbarsherlock.ActionBarSherlock.OnActionModeStartedListener+onActionModeStarted(ActionMode),,177,4,1,"/** 
 * Activity interface for action mode started callback. 
 */
","/** Activity interface for action mode started callback. */
    public interface OnActionModeStartedListener {
        public void onActionModeStarted(ActionMode mode);
    }",False,False,"/** 
 * Activity interface for action mode started callback. 
 */
",False,"/** 
 * Activity interface for action mode started callback. 
 */
"
9,wrap(Activity),wrap activity wrap an existing activity with a custom action bar implementation param activity activity to wrap return instance to interact with the action bar ,Method,,,"com.actionbarsherlock.ActionBarSherlock+ActionBarSherlock(Activity,boolean)",,321,9,9,"/** 
 * Wrap an existing activity with a custom action bar implementation.
 * @param activity Activity to wrap.
 * @return Instance to interact with the action bar.
 */
","/**
     * Wrap an existing activity with a custom action bar implementation.
     *
     * @param activity Activity to wrap.
     * @return Instance to interact with the action bar.
     */
    public static ActionBarSherlock wrap(Activity activity) {
        return new ActionBarSherlock(activity, false);
    }",False,False,This method wraps an existing activity with a custom action bar implementation and returns an instance to interact with the action bar.,True,"The code is a method called ""wrap"" that takes an activity as a parameter and returns an instance of the ActionBarSherlock class. This method is used to wrap an existing activity with a custom action bar implementation."
10,asDelegateFor(Activity),as delegate for activity act as a delegate for another class which is providing the services of an action bar along with its normal responsibility param activity owning activity return instance to interact with the action bar ,Method,,,"com.actionbarsherlock.ActionBarSherlock+ActionBarSherlock(Activity,boolean)",,392,10,9,"/** 
 * Act as a delegate for another class which is providing the services of an action bar along with its normal responsibility.
 * @param activity Owning activity.
 * @return Instance to interact with the action bar.
 */
","/**
     * Act as a delegate for another class which is providing the services
     * of an action bar along with its normal responsibility.
     *
     * @param activity Owning activity.
     * @return Instance to interact with the action bar.
     */
    public static ActionBarSherlock asDelegateFor(Activity activity) {
        return new ActionBarSherlock(activity, true);
    }",False,False,This method serves as a delegate for another class that provides the services of an action bar along with its normal responsibility. It takes an activity as a parameter and returns an instance to interact with the action bar.,True,"This code defines a static method called ""asDelegateFor"" that takes an activity as a parameter and returns an instance of the ActionBarSherlock class. This method acts as a delegate for another class that provides the services of an action bar, allowing the caller to interact with the action bar through the returned instance."
