index,name,document,type,inner invocations,external invocations,calls,visits,length,lines,modifier,commit,full text,moved,removed,gpt text,gpt response,code summary
1,getFolderPipelineTest(),get folder pipeline test ,Method,,,"io.jenkins.blueocean.service.embedded.BaseTest+get(String) io.jenkins.blueocean.service.embedded.BaseTest+get(String) io.jenkins.blueocean.service.embedded.BaseTest+validatePipeline(Job,Map) io.jenkins.blueocean.service.embedded.BaseTest+validatePipeline(Job,Map)",io.jenkins.blueocean.service.embedded.BaseTest+j,320,8,1,,"@Test
    public void getFolderPipelineTest() throws IOException {
        MockFolder folder = j.createFolder(""folder1"");
        Project p = folder.createProject(FreeStyleProject.class, ""test1"");

        Map response = get(""/organizations/jenkins/pipelines/folder1/test1"");
        validatePipeline(p, response);
    }",False,False,"The function of the method is to test the ""getFolderPipeline"" functionality. It creates a mock folder and project, then calls the ""get"" method to retrieve information about the pipeline and validates the response.",True,"The code is a unit test method that tests the functionality of the ""getFolderPipelineTest"" method. It creates a mock folder and project, then calls the ""get"" method with a specific URL to retrieve information about the pipeline. Finally, it validates the pipeline by comparing the response with the expected pipeline."
2,getNestedFolderPipelineTest(),get nested folder pipeline test ,Method,,,"io.jenkins.blueocean.service.embedded.BaseTest+get(String,Class<T>) io.jenkins.blueocean.service.embedded.BaseTest+get(String,Class<T>) org.junit.Assert+assertEquals(long,long) org.junit.Assert+assertEquals(long,long) java.util.List+size() java.util.List+size() io.jenkins.blueocean.service.embedded.BaseTest+get(String) io.jenkins.blueocean.service.embedded.BaseTest+get(String) io.jenkins.blueocean.service.embedded.BaseTest+validatePipeline(Job,Map) io.jenkins.blueocean.service.embedded.BaseTest+validatePipeline(Job,Map) io.jenkins.blueocean.service.embedded.BaseTest+get(String,Class<T>) io.jenkins.blueocean.service.embedded.BaseTest+get(String,Class<T>) org.junit.Assert+assertEquals(long,long) org.junit.Assert+assertEquals(long,long) java.util.List+size() java.util.List+size() io.jenkins.blueocean.service.embedded.BaseTest+validatePipeline(Job,Map) io.jenkins.blueocean.service.embedded.BaseTest+validatePipeline(Job,Map) java.util.List+get(int) java.util.List+get(int) io.jenkins.blueocean.service.embedded.BaseTest+get(String,Class<T>) io.jenkins.blueocean.service.embedded.BaseTest+get(String,Class<T>) org.junit.Assert+assertEquals(long,long) org.junit.Assert+assertEquals(long,long) java.util.List+size() java.util.List+size() org.junit.Assert+assertEquals(Object,Object) org.junit.Assert+assertEquals(Object,Object) java.util.Map+get(Object) java.util.List+get(int) java.util.List+get(int) java.util.Map+get(Object) org.junit.Assert+assertEquals(Object,Object) org.junit.Assert+assertEquals(Object,Object) java.util.Map+get(Object) java.util.List+get(int) java.util.List+get(int) java.util.Map+get(Object) io.jenkins.blueocean.service.embedded.BaseTest+get(String) io.jenkins.blueocean.service.embedded.BaseTest+get(String) org.junit.Assert+assertEquals(Object,Object) org.junit.Assert+assertEquals(Object,Object) java.util.Map+get(Object) java.util.Map+get(Object) org.junit.Assert+assertEquals(Object,Object) org.junit.Assert+assertEquals(Object,Object) java.util.Map+get(Object) java.util.Map+get(Object) org.junit.Assert+assertEquals(Object,Object) org.junit.Assert+assertEquals(Object,Object) java.util.Map+get(Object) java.util.Map+get(Object) org.junit.Assert+assertEquals(Object,Object) org.junit.Assert+assertEquals(Object,Object) java.util.Map+get(Object) java.util.Map+get(Object) org.junit.Assert+assertEquals(Object,Object) org.junit.Assert+assertEquals(Object,Object) java.util.Map+get(Object) java.util.Map+get(Object)",io.jenkins.blueocean.service.embedded.BaseTest+j,1638,32,1,,"@Test
    public void getNestedFolderPipelineTest() throws IOException {
        MockFolder folder1 = j.createFolder(""folder1"");
        Project p1 = folder1.createProject(FreeStyleProject.class, ""test1"");
        MockFolder folder2 = folder1.createProject(MockFolder.class, ""folder2"");
        MockFolder folder3 = folder1.createProject(MockFolder.class, ""folder3"");
        Project p2 = folder2.createProject(FreeStyleProject.class, ""test2"");

        List<Map> topFolders = get(""/organizations/jenkins/pipelines/"", List.class);

        Assert.assertEquals(1, topFolders.size());

        Map response = get(""/organizations/jenkins/pipelines/folder1/pipelines/folder2/test2"");
        validatePipeline(p2, response);

        List<Map> pipelines = get(""/organizations/jenkins/pipelines/folder1/pipelines/folder2/pipelines/"", List.class);
        Assert.assertEquals(1, pipelines.size());
        validatePipeline(p2, pipelines.get(0));

        pipelines = get(""/organizations/jenkins/pipelines/folder1/pipelines/"", List.class);
        Assert.assertEquals(3, pipelines.size());
        Assert.assertEquals(""folder2"", pipelines.get(0).get(""name""));
        Assert.assertEquals(""folder1/folder2"", pipelines.get(0).get(""fullName""));

        response = get(""/organizations/jenkins/pipelines/folder1"");
        Assert.assertEquals(""folder1"", response.get(""name""));
        Assert.assertEquals(""folder1"", response.get(""displayName""));
        Assert.assertEquals(2, response.get(""numberOfFolders""));
        Assert.assertEquals(1, response.get(""numberOfPipelines""));
        Assert.assertEquals(""folder1"", response.get(""fullName""));

    }",False,False,"The function of this method is to test the functionality of the ""getNestedFolderPipeline"" method. It creates mock folders and projects, makes API calls to retrieve pipeline information, and asserts the expected results.",True,"The code is a unit test for a method called `getNestedFolderPipelineTest()`. It creates a folder structure with projects and folders, and then makes various API calls to retrieve information about the pipelines and folders. It asserts the expected results for the retrieved data."
3,getPipelinesTest(),get pipelines test ,Method,,,"io.jenkins.blueocean.service.embedded.BaseTest+get(String,Class<T>) io.jenkins.blueocean.service.embedded.BaseTest+get(String,Class<T>) org.junit.Assert+assertEquals(long,long) org.junit.Assert+assertEquals(long,long) java.util.List+size() java.util.List+size() io.jenkins.blueocean.service.embedded.BaseTest+validatePipeline(Job,Map) io.jenkins.blueocean.service.embedded.BaseTest+validatePipeline(Job,Map) java.util.List+get(int) java.util.List+get(int) io.jenkins.blueocean.service.embedded.BaseTest+validatePipeline(Job,Map) io.jenkins.blueocean.service.embedded.BaseTest+validatePipeline(Job,Map) java.util.List+get(int) java.util.List+get(int)",io.jenkins.blueocean.service.embedded.BaseTest+j io.jenkins.blueocean.service.embedded.BaseTest+j io.jenkins.blueocean.service.embedded.BaseTest+j,591,17,1,,"@Test
    public void getPipelinesTest() throws Exception {

        Project p2 = j.createFreeStyleProject(""pipeline2"");
        Project p1 = j.createFreeStyleProject(""pipeline1"");

        List<Map> responses = get(""/search/?q=type:pipeline"", List.class);
        Assert.assertEquals(2, responses.size());
        validatePipeline(p1, responses.get(0));
        validatePipeline(p2, responses.get(1));

        p1.getBuildersList().add(new Shell(""echo hello!\nsleep 1""));
        FreeStyleBuild b = (FreeStyleBuild) p1.scheduleBuild2(0).get();
        j.assertBuildStatusSuccess(b);


    }",False,False,"The function of this method is to test the ""getPipelines"" functionality. It creates two free-style projects, sends a search request to retrieve a list of pipelines, validates the response, adds a shell command to one of the projects, schedules a build, and asserts that the build is successful.",True,"The code is a test method that verifies the functionality of the `getPipelinesTest` method. It creates two free-style projects, performs a search query, validates the response, adds a shell command to one of the projects, schedules a build, and asserts the build status as successful."
4,getPipelineTest(),get pipeline test ,Method,,,"io.jenkins.blueocean.service.embedded.BaseTest+get(String) io.jenkins.blueocean.service.embedded.BaseTest+get(String) io.jenkins.blueocean.service.embedded.BaseTest+validatePipeline(Job,Map) io.jenkins.blueocean.service.embedded.BaseTest+validatePipeline(Job,Map)",io.jenkins.blueocean.service.embedded.BaseTest+j,254,7,1,,"@Test
    public void getPipelineTest() throws IOException {
        Project p = j.createFreeStyleProject(""pipeline1"");

        Map<String,Object> response = get(""/organizations/jenkins/pipelines/pipeline1"");
        validatePipeline(p, response);
    }",False,False,"The function of the method is to test the ""getPipelineTest"" by creating a free-style project, getting the pipeline information for the project, and validating the pipeline against the response.",True,"The code is a unit test method that tests the functionality of the ""getPipelineTest"" method. It creates a new free-style project called ""pipeline1"" and then calls the ""get"" method to retrieve information about the pipeline. The retrieved information is then validated using the ""validatePipeline"" method."
5,deletePipelineTest(),delete pipeline test todo latest stapler change broke delete disabled for now ,Method,,,io.jenkins.blueocean.service.embedded.BaseTest+delete(String) io.jenkins.blueocean.service.embedded.BaseTest+delete(String) org.junit.Assert+assertNull(Object) org.junit.Assert+assertNull(Object),io.jenkins.blueocean.service.embedded.BaseTest+j io.jenkins.blueocean.service.embedded.BaseTest+j,324,9,1,"/** 
 * TODO: latest stapler change broke delete, disabled for now 
 */
","/** TODO: latest stapler change broke delete, disabled for now */
//    @Test
    public void deletePipelineTest() throws IOException {
        Project p = j.createFreeStyleProject(""pipeline1"");

        delete(""/organizations/jenkins/pipelines/pipeline1/"");

        Assert.assertNull(j.jenkins.getItem(p.getName()));
    }",False,False,"The function of this method is to test the deletion of a pipeline in Jenkins. It creates a new project, deletes the pipeline, and then asserts that the pipeline no longer exists in Jenkins.",True,"The code is a test method named ""deletePipelineTest"" that tests the deletion of a pipeline in Jenkins. It creates a free-style project named ""pipeline1"", deletes it using a specific URL, and then asserts that the project no longer exists in Jenkins. However, the test is currently disabled due to a recent change in the stapler library."
6,getFreeStyleJobTest(),get free style job test ,Method,,,"io.jenkins.blueocean.service.embedded.BaseTest+get(String,Class<T>) io.jenkins.blueocean.service.embedded.BaseTest+get(String,Class<T>) org.junit.Assert+assertEquals(Object,Object) org.junit.Assert+assertEquals(Object,Object) java.util.List+size() java.util.List+size() java.util.List+get(int) java.util.List+get(int) io.jenkins.blueocean.service.embedded.BaseTest+validatePipeline(Job,Map) io.jenkins.blueocean.service.embedded.BaseTest+validatePipeline(Job,Map)",io.jenkins.blueocean.service.embedded.BaseTest+j io.jenkins.blueocean.service.embedded.BaseTest+j io.jenkins.blueocean.service.embedded.BaseTest+j,682,18,1,,"@Test
    public void getFreeStyleJobTest() throws Exception {
        Project p1 = j.createFreeStyleProject(""pipeline1"");
        Project p2 = j.createFreeStyleProject(""pipeline2"");
        p1.getBuildersList().add(new Shell(""echo hello!\nsleep 1""));
        FreeStyleBuild b = (FreeStyleBuild) p1.scheduleBuild2(0).get();
        j.assertBuildStatusSuccess(b);

        List<Map> resp = get(""/organizations/jenkins/pipelines/"", List.class);
        Project[] projects = {p1,p2};

        Assert.assertEquals(projects.length, resp.size());

        for(int i=0; i<projects.length; i++){
            Map p = resp.get(i);
            validatePipeline(projects[i], p);
        }
    }",False,False,"The function of this method is to test the ""getFreeStyleJob"" method. It creates two free-style projects, adds a shell command to one of them, schedules a build, asserts the build status, retrieves a list of pipelines, and validates each pipeline against its corresponding project.",True,"The code is a unit test for the `getFreeStyleJobTest` method. It creates two free-style projects, adds a shell command to one of them, schedules a build, and asserts that the build is successful. It then retrieves a list of pipelines and validates each pipeline against the corresponding project."
7,findPipelinesTest(),find pipelines test ,Method,,,"io.jenkins.blueocean.service.embedded.BaseTest+get(String,Class<T>) io.jenkins.blueocean.service.embedded.BaseTest+get(String,Class<T>) org.junit.Assert+assertEquals(Object,Object) org.junit.Assert+assertEquals(Object,Object) java.util.List+size() java.util.List+size() java.util.List+get(int) java.util.List+get(int) io.jenkins.blueocean.service.embedded.BaseTest+validatePipeline(Job,Map) io.jenkins.blueocean.service.embedded.BaseTest+validatePipeline(Job,Map)",io.jenkins.blueocean.service.embedded.BaseTest+j io.jenkins.blueocean.service.embedded.BaseTest+j,531,15,1,,"@Test
    public void findPipelinesTest() throws IOException {
        FreeStyleProject p1 = j.createFreeStyleProject(""pipeline2"");
        FreeStyleProject p2 = j.createFreeStyleProject(""pipeline3"");

        List<Map> resp = get(""/search?q=type:pipeline;organization:jenkins"", List.class);
        Project[] projects = {p1,p2};

        Assert.assertEquals(projects.length, resp.size());

        for(int i=0; i<projects.length; i++){
            Map p = resp.get(i);
            validatePipeline(projects[i], p);
        }
    }",False,False,"The function of this method is to test the functionality of finding pipelines in Jenkins. It creates two FreeStyle projects, makes a search request for pipelines with a specific organization, and then validates the pipelines returned in the response.",True,"The code is a JUnit test method that tests the functionality of finding pipelines in Jenkins. It creates two FreeStyle projects, makes a GET request to search for pipelines with specific criteria, and then validates the response by comparing it with the created projects."
8,getPipelineWithLastSuccessfulRun(),get pipeline with last successful run ,Method,,,"io.jenkins.blueocean.service.embedded.BaseTest+get(String) io.jenkins.blueocean.service.embedded.BaseTest+get(String) io.jenkins.blueocean.service.embedded.BaseTest+validatePipeline(Job,Map) io.jenkins.blueocean.service.embedded.BaseTest+validatePipeline(Job,Map)",io.jenkins.blueocean.service.embedded.BaseTest+j io.jenkins.blueocean.service.embedded.BaseTest+j,417,10,1,,"@Test
    public void getPipelineWithLastSuccessfulRun() throws Exception {
        FreeStyleProject p = j.createFreeStyleProject(""pipeline4"");
        p.getBuildersList().add(new Shell(""echo hello!\nsleep 1""));
        FreeStyleBuild b = p.scheduleBuild2(0).get();
        j.assertBuildStatusSuccess(b);
        Map resp = get(""/organizations/jenkins/pipelines/pipeline4/"");

        validatePipeline(p, resp);
    }",False,False,"The function of the method is to test the functionality of the ""getPipelineWithLastSuccessfulRun"" method. It creates a FreeStyleProject, adds a Shell builder, schedules a build, asserts the build status, and validates the pipeline response.",True,"The code is a unit test that verifies the functionality of the ""getPipelineWithLastSuccessfulRun"" method. It creates a FreeStyleProject, adds a Shell builder to it, schedules a build, and then validates the pipeline by calling the ""validatePipeline"" function with the project and response as parameters."
9,getPipelineRunWithTestResult(),get pipeline run with test result ,Method,,,"org.junit.Assert+assertEquals(Object,Object) org.junit.Assert+assertEquals(Object,Object) io.jenkins.blueocean.service.embedded.BaseTest+get(String) io.jenkins.blueocean.service.embedded.BaseTest+get(String) io.jenkins.blueocean.service.embedded.BaseTest+get(String) io.jenkins.blueocean.service.embedded.BaseTest+get(String) io.jenkins.blueocean.service.embedded.BaseTest+get(String) io.jenkins.blueocean.service.embedded.BaseTest+get(String)",io.jenkins.blueocean.service.embedded.BaseTest+j io.jenkins.blueocean.service.embedded.BaseTest+j,1545,23,1,,"@Test
    public void getPipelineRunWithTestResult() throws Exception {
        FreeStyleProject p = j.createFreeStyleProject(""pipeline4"");
        p.getBuildersList().add(new Shell(""echo '<?xml version=\""1.0\"" encoding=\""UTF-8\""?>\n"" +
            ""<testsuite xmlns:xsi=\""http://www.w3.org/2001/XMLSchema-instance\"" xsi:schemaLocation=\""https://maven.apache.org/surefire/maven-surefire-plugin/xsd/surefire-test-report.xsd\"" name=\""io.jenkins.blueocean.jsextensions.JenkinsJSExtensionsTest\"" time=\""35.7\"" tests=\""1\"" errors=\""0\"" skipped=\""0\"" failures=\""0\"">\n"" +
            ""  <properties>\n"" +
            ""  </properties>\n"" +
            ""  <testcase name=\""test\"" classname=\""io.jenkins.blueocean.jsextensions.JenkinsJSExtensionsTest\"" time=\""34.09\""/>\n"" +
            ""</testsuite>' > test-result.xml""));

        p.getPublishersList().add(new JUnitResultArchiver(""*.xml""));
        FreeStyleBuild b = p.scheduleBuild2(0).get();
        TestResultAction resultAction = b.getAction(TestResultAction.class);
        Assert.assertEquals(""io.jenkins.blueocean.jsextensions.JenkinsJSExtensionsTest"",resultAction.getResult().getSuites().iterator().next().getName());
        j.assertBuildStatusSuccess(b);
        Map resp = get(""/organizations/jenkins/pipelines/pipeline4/runs/""+b.getId());

        //discover TestResultAction super classes
        get(""/classes/hudson.tasks.junit.TestResultAction/"");

        // get junit rest report
        get(""/organizations/jenkins/pipelines/pipeline4/runs/""+b.getId()+""/testReport/result/"");
    }",False,False,"The function of the given method is to test the ""getPipelineRunWithTestResult"" method. It creates a FreeStyleProject, adds a Shell builder to it, archives the JUnit test result, schedules a build, asserts the test result, and makes HTTP GET requests to retrieve test result information.",True,"The code creates a FreeStyleProject and adds a Shell builder to it, which generates a test result XML file. The JUnitResultArchiver is then added to the project to archive the XML file. Finally, the code retrieves the test result and the JUnit REST report for the project."
10,getPipelineRunTest(),get pipeline run test ,Method,,,"io.jenkins.blueocean.service.embedded.BaseTest+get(String) io.jenkins.blueocean.service.embedded.BaseTest+get(String) io.jenkins.blueocean.service.embedded.BaseTest+validateRun(Run,Map) io.jenkins.blueocean.service.embedded.BaseTest+validateRun(Run,Map)",io.jenkins.blueocean.service.embedded.BaseTest+j io.jenkins.blueocean.service.embedded.BaseTest+j,411,9,1,,"@Test
    public void getPipelineRunTest() throws Exception {
        FreeStyleProject p = j.createFreeStyleProject(""pipeline4"");
        p.getBuildersList().add(new Shell(""echo hello!\nsleep 1""));
        FreeStyleBuild b = p.scheduleBuild2(0).get();
        j.assertBuildStatusSuccess(b);
        Map resp = get(""/organizations/jenkins/pipelines/pipeline4/runs/""+b.getId());
        validateRun(b,resp);
    }",False,False,"The function of the given method is to test the ""getPipelineRun"" functionality. It creates a FreeStyleProject, adds a Shell builder, schedules a build, asserts the build status, and then retrieves and validates the run details using a specific URL.",True,"The code is a unit test method that tests the functionality of the ""getPipelineRunTest"" method. It creates a FreeStyleProject, adds a Shell builder to it, schedules a build, and then validates the response received from the ""/organizations/jenkins/pipelines/pipeline4/runs/"" endpoint by comparing it with the expected run."
