index,name,document,type,inner invocations,external invocations,calls,visits,length,lines,modifier,commit,full text,moved,removed,gpt text,gpt response,code summary
1,logger,logger ,Field,,,,,82,1,26,,private static final Logger logger = Logger.getLogger(VRAppState.class.getName());,False,False,,False,
2,vrBinding,vr binding the underlying system vr api by default set to link vr constants setting vrapi openvr value ,Field,,,,,184,4,1,"/** 
 * The underlying system VR API. By default set to  {@link VRConstants#SETTING_VRAPI_OPENVR_VALUE}.
 */
","/**
     * The underlying system VR API. By default set to {@link VRConstants#SETTING_VRAPI_OPENVR_VALUE}.
     */
    public int vrBinding = VRConstants.SETTING_VRAPI_OPENVR_VALUE;",True,True,"/** 
 * The underlying system VR API. By default set to  {@link VRConstants#SETTING_VRAPI_OPENVR_VALUE}.
 */
",False,"/** 
 * The underlying system VR API. By default set to  {@link VRConstants#SETTING_VRAPI_OPENVR_VALUE}.
 */
"
3,DISABLE_VR,disable vr is the application has not to start within vr mode default is false ,Field,,,,,144,4,1,"/** 
 * Is the application has not to start within VR mode (default is <code>false</code>).
 */
","/**
     * Is the application has not to start within VR mode (default is <code>false</code>).
     */
    public boolean DISABLE_VR = false;",False,False,"/** 
 * Is the application has not to start within VR mode (default is <code>false</code>).
 */
",False,"/** 
 * Is the application has not to start within VR mode (default is <code>false</code>).
 */
"
4,VRhardware,v rhardware ,Field,,,,,43,1,2,,private VRAPI VRhardware            = null;,False,False,,False,
5,guiManager,gui manager ,Field,,,,,43,1,2,,private VRGuiManager guiManager     = null;,True,True,,False,
6,mouseManager,mouse manager ,Field,,,,,43,1,2,,private VRMouseManager mouseManager = null;,True,True,,False,
7,viewmanager,viewmanager ,Field,,,,,43,1,2,,private VRViewManager viewmanager   = null;,True,True,,False,
8,OS,os ,Field,,,,,18,1,2,,private String OS;,False,True,,False,
9,dummyCam,dummy cam ,Field,,,,,24,1,2,,private Camera dummyCam;,True,True,,False,
10,observer,observer ,Field,,,,,32,1,2,,private Spatial observer = null;,True,True,,False,
11,VRSupportedOS,vr supported os ,Field,,,,,30,1,2,,private boolean VRSupportedOS;,False,True,,False,
12,forceVR,force vr ,Field,,,,,43,1,2,,private boolean forceVR            = false;,True,True,,False,
13,disableSwapBuffers,disable swap buffers ,Field,,,,,42,1,2,,private boolean disableSwapBuffers = true;,True,True,,False,
14,disableVR,disable vr ,Field,,,,,43,1,2,,private boolean disableVR          = false;,False,True,,False,
15,seated,seated ,Field,,,,,23,1,2,,private boolean seated;,True,True,,False,
16,nogui,nogui ,Field,,,,,22,1,2,,private boolean nogui;,True,True,,False,
17,instanceVR,instance vr ,Field,,,,,43,1,2,,private boolean instanceVR         = false;,False,True,,False,
18,defaultFOV,default fov ,Field,,,,,42,1,2,,private float defaultFOV           = 108f;,True,True,,False,
19,defaultAspect,default aspect ,Field,,,,,40,1,2,,private float defaultAspect        = 1f;,True,True,,False,
20,fFar,f far ,Field,,,,,28,1,2,,private float fFar  = 1000f;,False,False,,False,
21,fNear,f near ,Field,,,,,27,1,2,,private float fNear = 0.1f;,False,False,,False,
22,xWin,x win ,Field,,,,,27,1,2,,private int xWin    = 1920;,False,False,,False,
23,yWin,y win ,Field,,,,,27,1,2,,private int yWin    = 1080;,False,False,,False,
24,resMult,res mult ,Field,,,,,27,1,2,,private float resMult = 1f;,False,False,,False,
25,useCompositor,use compositor ,Field,,,,,37,1,2,,private boolean useCompositor = true;,True,True,,False,
26,compositorOS,compositor os ,Field,,,,,29,1,2,,private boolean compositorOS;,True,True,,False,
27,tempq,tempq ,Field,,,,,44,1,2,,private Quaternion tempq = new Quaternion();,False,False,,False,
28,application,application ,Field,,,,,44,1,2,,private Application application      = null;,False,False,,False,
29,stateManager,state manager ,Field,,,,,44,1,2,,private AppStateManager stateManager = null;,False,False,,False,
30,settings,settings ,Field,,,,,44,1,2,,private AppSettings settings         = null;,False,False,,False,
