index,name,document,type,inner invocations,external invocations,calls,visits,length,lines,modifier,commit,full text,moved,removed,gpt text,gpt response,code summary
1,mListeners,m listeners ,Field,,,,,77,1,0,,ArrayList<AsyncServerSocket> mListeners = new ArrayList<AsyncServerSocket>();,False,False,,False,
2,stop(),stop ,Method,,com.koushikdutta.async.test.HttpServerTests+tearDown() com.koushikdutta.async.test.MultipartTests+tearDown() com.koushikdutta.async.test.TimeoutTests+tearDown() com.koushikdutta.async.test.WebSocketTests+tearDown(),com.koushikdutta.async.AsyncServerSocket+stop() com.koushikdutta.async.AsyncServerSocket+stop(),com.koushikdutta.async.http.server.AsyncHttpServer+mListeners com.koushikdutta.async.http.server.AsyncHttpServer+mListeners,176,7,1,,"public void stop() {
        if (mListeners != null) {
            for (AsyncServerSocket listener: mListeners) {
                listener.stop();
            }
        }
    }",False,False,The function of this method is to stop all the listeners in the mListeners list by calling the stop() method on each listener.,True,The `stop()` method is used to stop all the listeners in the `mListeners` list. It checks if the list is not null and then iterates through each listener to call its `stop()` method.
3,"onRequest(AsyncHttpServerRequest,AsyncHttpServerResponse)",on request request response ,Method,,,"com.koushikdutta.async.http.Headers+get(String) com.koushikdutta.async.http.server.AsyncHttpServerRequest+getHeaders() com.koushikdutta.async.http.server.AsyncHttpServerRequest+getHeaders() com.koushikdutta.async.http.Headers+get(String) java.lang.String+split(String) java.lang.String+split(String) java.lang.String+equalsIgnoreCase(String) java.lang.String+equalsIgnoreCase(String) java.lang.String+trim() java.lang.String+trim() java.lang.String+equalsIgnoreCase(String) java.lang.String+equalsIgnoreCase(String) com.koushikdutta.async.http.Headers+get(String) com.koushikdutta.async.http.server.AsyncHttpServerRequest+getHeaders() com.koushikdutta.async.http.server.AsyncHttpServerRequest+getHeaders() com.koushikdutta.async.http.Headers+get(String) com.koushikdutta.async.http.server.AsyncHttpServerResponse+code(int) com.koushikdutta.async.http.server.AsyncHttpServerResponse+code(int) com.koushikdutta.async.http.server.AsyncHttpServerResponse+end() com.koushikdutta.async.http.server.AsyncHttpServerResponse+end() com.koushikdutta.async.http.Headers+get(String) com.koushikdutta.async.http.server.AsyncHttpServerRequest+getHeaders() com.koushikdutta.async.http.server.AsyncHttpServerRequest+getHeaders() com.koushikdutta.async.http.Headers+get(String) android.text.TextUtils+equals(CharSequence,CharSequence) android.text.TextUtils+equals(CharSequence,CharSequence) com.koushikdutta.async.http.server.AsyncHttpServerResponse+code(int) com.koushikdutta.async.http.server.AsyncHttpServerResponse+code(int) com.koushikdutta.async.http.server.AsyncHttpServerResponse+end() com.koushikdutta.async.http.server.AsyncHttpServerResponse+end() com.koushikdutta.async.http.server.AsyncHttpServer.WebSocketRequestCallback+onConnected(WebSocket,AsyncHttpServerRequest) com.koushikdutta.async.http.server.AsyncHttpServer.WebSocketRequestCallback+onConnected(WebSocket,AsyncHttpServerRequest) com.koushikdutta.async.http.WebSocketImpl+WebSocketImpl(AsyncHttpServerRequest,AsyncHttpServerResponse) java.util.regex.Matcher+replaceAll(String) com.koushikdutta.async.http.server.AsyncHttpServerRequest+getMatcher() com.koushikdutta.async.http.server.AsyncHttpServerRequest+getMatcher() java.util.regex.Matcher+replaceAll(String) com.koushikdutta.async.http.server.AsyncHttpServer+getAssetStream(Context,String) com.koushikdutta.async.http.server.AsyncHttpServer+getAssetStream(Context,String) com.koushikdutta.async.http.server.AsyncHttpServerResponse+code(int) com.koushikdutta.async.http.server.AsyncHttpServerResponse+code(int) com.koushikdutta.async.http.server.AsyncHttpServerResponse+end() com.koushikdutta.async.http.server.AsyncHttpServerResponse+end() com.koushikdutta.async.http.Headers+set(String,String) com.koushikdutta.async.http.server.AsyncHttpServerResponse+getHeaders() com.koushikdutta.async.http.server.AsyncHttpServerResponse+getHeaders() com.koushikdutta.async.http.Headers+set(String,String) java.lang.String+valueOf(Object) java.lang.String+valueOf(Object) com.koushikdutta.async.http.server.AsyncHttpServerResponse+code(int) com.koushikdutta.async.http.server.AsyncHttpServerResponse+code(int) com.koushikdutta.async.http.Headers+add(String,String) com.koushikdutta.async.http.server.AsyncHttpServerResponse+getHeaders() com.koushikdutta.async.http.server.AsyncHttpServerResponse+getHeaders() com.koushikdutta.async.http.Headers+add(String,String) com.koushikdutta.async.http.server.AsyncHttpServer+getContentType(String) com.koushikdutta.async.http.server.AsyncHttpServer+getContentType(String) com.koushikdutta.async.Util+pump(InputStream,DataSink,CompletedCallback) com.koushikdutta.async.Util+pump(InputStream,DataSink,CompletedCallback) +() +onCompleted(Exception) java.util.regex.Matcher+replaceAll(String) com.koushikdutta.async.http.server.AsyncHttpServerRequest+getMatcher() com.koushikdutta.async.http.server.AsyncHttpServerRequest+getMatcher() java.util.regex.Matcher+replaceAll(String) com.koushikdutta.async.http.server.AsyncHttpServer+getAssetStream(Context,String) com.koushikdutta.async.http.server.AsyncHttpServer+getAssetStream(Context,String) com.koushikdutta.async.http.server.AsyncHttpServerResponse+code(int) com.koushikdutta.async.http.server.AsyncHttpServerResponse+code(int) com.koushikdutta.async.http.server.AsyncHttpServerResponse+end() com.koushikdutta.async.http.server.AsyncHttpServerResponse+end() com.koushikdutta.async.util.StreamUtility+closeQuietly(Closeable[]) com.koushikdutta.async.util.StreamUtility+closeQuietly(Closeable[]) com.koushikdutta.async.http.Headers+set(String,String) com.koushikdutta.async.http.server.AsyncHttpServerResponse+getHeaders() com.koushikdutta.async.http.server.AsyncHttpServerResponse+getHeaders() com.koushikdutta.async.http.Headers+set(String,String) java.lang.String+valueOf(Object) java.lang.String+valueOf(Object) com.koushikdutta.async.http.server.AsyncHttpServerResponse+code(int) com.koushikdutta.async.http.server.AsyncHttpServerResponse+code(int) com.koushikdutta.async.http.Headers+add(String,String) com.koushikdutta.async.http.server.AsyncHttpServerResponse+getHeaders() com.koushikdutta.async.http.server.AsyncHttpServerResponse+getHeaders() com.koushikdutta.async.http.Headers+add(String,String) com.koushikdutta.async.http.server.AsyncHttpServer+getContentType(String) com.koushikdutta.async.http.server.AsyncHttpServer+getContentType(String) com.koushikdutta.async.http.server.AsyncHttpServerResponse+writeHead() com.koushikdutta.async.http.server.AsyncHttpServerResponse+writeHead() com.koushikdutta.async.http.server.AsyncHttpServerResponse+end() com.koushikdutta.async.http.server.AsyncHttpServerResponse+end()",android.util.Pair+second android.util.Pair+second android.util.Pair+first android.util.Pair+second android.util.Pair+second android.util.Pair+first,123,3,4,,"protected boolean onRequest(AsyncHttpServerRequest request, AsyncHttpServerResponse response) {
        return false;
    }",False,False,"The function onRequest serves to handle an incoming HTTP request and generate an HTTP response. It returns false, indicating that the request was not successfully processed.",True,"The code defines a protected method called ""onRequest"" that takes an AsyncHttpServerRequest object and an AsyncHttpServerResponse object as parameters. The method returns a boolean value of false."
4,"onRequest(HttpServerRequestCallback,AsyncHttpServerRequest,AsyncHttpServerResponse)",on request callback request response ,Method,,,"com.koushikdutta.async.http.server.HttpServerRequestCallback+onRequest(AsyncHttpServerRequest,AsyncHttpServerResponse) com.koushikdutta.async.http.server.HttpServerRequestCallback+onRequest(AsyncHttpServerRequest,AsyncHttpServerResponse)",,215,4,4,,"protected void onRequest(HttpServerRequestCallback callback, AsyncHttpServerRequest request, AsyncHttpServerResponse response) {
        if (callback != null)
            callback.onRequest(request, response);
    }",False,False,This method serves to handle an HTTP server request by invoking the provided callback function with the given request and response objects.,True,"The code defines a protected method called ""onRequest"" that takes three parameters: a callback, a request object, and a response object. If the callback is not null, it invokes the ""onRequest"" method of the callback object, passing in the request and response objects as arguments."
5,onUnknownBody(Headers),on unknown body headers ,Method,,,com.koushikdutta.async.http.server.UnknownRequestBody+UnknownRequestBody(String) com.koushikdutta.async.http.Headers+get(String) com.koushikdutta.async.http.Headers+get(String) com.koushikdutta.async.http.server.AsyncHttpServer+onUnknownBody(Headers) com.koushikdutta.async.http.server.AsyncHttpServer+onUnknownBody(Headers),,137,3,4,,"protected AsyncHttpRequestBody onUnknownBody(Headers headers) {
        return new UnknownRequestBody(headers.get(""Content-Type""));
    }",False,False,"The function of the method is to create and return an instance of the UnknownRequestBody class, using the ""Content-Type"" value from the provided Headers object.",True,"The given code snippet defines a protected method named ""onUnknownBody"" that takes in a parameter of type ""Headers"" and returns an object of type ""AsyncHttpRequestBody"". This method creates and returns a new instance of ""UnknownRequestBody"" by passing the value of the ""Content-Type"" header to its constructor."
6,mListenCallback,m listen callback ,Field,,,,,6471,158,0,,"ListenCallback mListenCallback = new ListenCallback() {
        @Override
        public void onAccepted(final AsyncSocket socket) {
            AsyncHttpServerRequestImpl req = new AsyncHttpServerRequestImpl() {
                HttpServerRequestCallback match;
                String fullPath;
                String path;
                boolean responseComplete;
                boolean requestComplete;
                AsyncHttpServerResponseImpl res;
                boolean hasContinued;

                @Override
                protected AsyncHttpRequestBody onUnknownBody(Headers headers) {
                    return AsyncHttpServer.this.onUnknownBody(headers);
                }

                @Override
                protected void onHeadersReceived() {
                    Headers headers = getHeaders();

                    // should the negotiation of 100 continue be here, or in the request impl?
                    // probably here, so AsyncResponse can negotiate a 100 continue.
                    if (!hasContinued && ""100-continue"".equals(headers.get(""Expect""))) {
                        pause();
//                        System.out.println(""continuing..."");
                        Util.writeAll(mSocket, ""HTTP/1.1 100 Continue\r\n\r\n"".getBytes(), new CompletedCallback() {
                            @Override
                            public void onCompleted(Exception ex) {
                                resume();
                                if (ex != null) {
                                    report(ex);
                                    return;
                                }
                                hasContinued = true;
                                onHeadersReceived();
                            }
                        });
                        return;
                    }
//                    System.out.println(headers.toHeaderString());
                    
                    String statusLine = getStatusLine();
                    String[] parts = statusLine.split("" "");
                    fullPath = parts[1];
                    path = fullPath.split(""\\?"")[0];
                    method = parts[0];
                    synchronized (mActions) {
                        ArrayList<Pair> pairs = mActions.get(method);
                        if (pairs != null) {
                            for (Pair p: pairs) {
                                Matcher m = p.regex.matcher(path);
                                if (m.matches()) {
                                    mMatcher = m;
                                    match = p.callback;
                                    break;
                                }
                            }
                        }
                    }
                    res = new AsyncHttpServerResponseImpl(socket, this) {
                        @Override
                        protected void report(Exception e) {
                            super.report(e);
                            if (e != null) {
                                socket.setDataCallback(new NullDataCallback());
                                socket.setEndCallback(new NullCompletedCallback());
                                socket.close();
                            }
                        }

                        @Override
                        protected void onEnd() {
                            super.onEnd();
                            mSocket.setEndCallback(null);
                            responseComplete = true;
                            // reuse the socket for a subsequent request.
                            handleOnCompleted();
                        }
                    };
                    
                    boolean handled = onRequest(this, res);

                    if (match == null && !handled) {
                        res.code(404);
                        res.end();
                        return;
                    }

                    if (!getBody().readFullyOnRequest()) {
                        onRequest(match, this, res);
                    }
                    else if (requestComplete) {
                        onRequest(match, this, res);
                    }
                }

                @Override
                public void onCompleted(Exception e) {
                    // if the protocol was switched off http, ignore this request/response.
                    if (res.code() == 101)
                        return;
                    requestComplete = true;
                    super.onCompleted(e);
                    // no http pipelining, gc trashing if the socket dies
                    // while the request is being sent and is paused or something
                    mSocket.setDataCallback(new NullDataCallback() {
                        @Override
                        public void onDataAvailable(DataEmitter emitter, ByteBufferList bb) {
                            super.onDataAvailable(emitter, bb);
                            mSocket.close();
                        }
                    });
                    handleOnCompleted();

                    if (getBody().readFullyOnRequest()) {
                        onRequest(match, this, res);
                    }
                }
                
                private void handleOnCompleted() {
                    if (requestComplete && responseComplete) {
                        if (HttpUtil.isKeepAlive(Protocol.HTTP_1_1, getHeaders())) {
                            onAccepted(socket);
                        }
                        else {
                            socket.close();
                        }
                    }
                }

                @Override
                public String getPath() {
                    return path;
                }

                @Override
                public Multimap getQuery() {
                    String[] parts = fullPath.split(""\\?"", 2);
                    if (parts.length < 2)
                        return new Multimap();
                    return Multimap.parseQuery(parts[1]);
                }
            };
            req.setSocket(socket);
            socket.resume();
        }

        @Override
        public void onCompleted(Exception error) {
            report(error);
        }

        @Override
        public void onListening(AsyncServerSocket socket) {
            mListeners.add(socket);
        }
    };",False,False,,False,
7,"listen(AsyncServer,int)",listen server port ,Method,listen(int),com.koushikdutta.async.test.TimeoutTests+setUp(),"com.koushikdutta.async.AsyncServer+listen(InetAddress,int,ListenCallback) com.koushikdutta.async.AsyncServer+listen(InetAddress,int,ListenCallback)",com.koushikdutta.async.http.server.AsyncHttpServer+mListenCallback,128,3,1,,"public AsyncServerSocket listen(AsyncServer server, int port) {
        return server.listen(null, port, mListenCallback);
    }",False,False,The function of the method is to listen for incoming connections on a specified port using an AsyncServer object. It returns an AsyncServerSocket object.,True,"The given code defines a method named ""listen"" that takes an AsyncServer object and a port number as parameters. It then calls the ""listen"" method of the AsyncServer object with a null argument, the port number, and a callback function named ""mListenCallback"". The method returns an AsyncServerSocket object."
8,report(Exception),report ex ,Method,,,com.koushikdutta.async.callback.CompletedCallback+onCompleted(Exception) com.koushikdutta.async.callback.CompletedCallback+onCompleted(Exception),com.koushikdutta.async.http.server.AsyncHttpServer+mCompletedCallback com.koushikdutta.async.http.server.AsyncHttpServer+mCompletedCallback,129,4,2,,"private void report(Exception ex) {
        if (mCompletedCallback != null)
            mCompletedCallback.onCompleted(ex);
    }",False,False,"This method reports an exception by calling the onCompleted method of the mCompletedCallback object, if it is not null.",False,"The code defines a private method called ""report"" that takes an Exception as a parameter. It checks if a callback object called ""mCompletedCallback"" is not null, and if so, it invokes the ""onCompleted"" method of the callback object, passing the Exception as an argument."
9,listen(int),listen port ,Method,,com.koushikdutta.async.test.RedirectTests+setUp(),"com.koushikdutta.async.http.server.AsyncHttpServer+listen(AsyncServer,int) com.koushikdutta.async.http.server.AsyncHttpServer+listen(AsyncServer,int) com.koushikdutta.async.AsyncServer+getDefault() com.koushikdutta.async.AsyncServer+getDefault()",,104,3,1,,"public AsyncServerSocket listen(int port) {
        return listen(AsyncServer.getDefault(), port);
    }",False,False,The function of this method is to listen for incoming connections on a specific port using the default AsyncServer. It returns an AsyncServerSocket object.,True,"The given code defines a method named ""listen"" that takes an integer parameter ""port"" and returns an object of type ""AsyncServerSocket"". This method internally calls another ""listen"" method from the ""AsyncServer"" class with the default server instance and the provided port number."
10,"listenSecure(int,SSLContext)",listen secure port ssl context ,Method,,com.koushikdutta.async.test.SSLTests+testKeys(),"com.koushikdutta.async.AsyncServer+listen(InetAddress,int,ListenCallback) com.koushikdutta.async.AsyncServer+getDefault() com.koushikdutta.async.AsyncServer+getDefault() com.koushikdutta.async.AsyncServer+listen(InetAddress,int,ListenCallback) +() +onAccepted(AsyncSocket)",,1001,25,1,,"public void listenSecure(final int port, final SSLContext sslContext) {
        AsyncServer.getDefault().listen(null, port, new ListenCallback() {
            @Override
            public void onAccepted(AsyncSocket socket) {
                AsyncSSLSocketWrapper.handshake(socket, null, port, sslContext.createSSLEngine(), null, null, false,
                new AsyncSSLSocketWrapper.HandshakeCallback() {
                    @Override
                    public void onHandshakeCompleted(Exception e, AsyncSSLSocket socket) {
                        if (socket != null)
                            mListenCallback.onAccepted(socket);
                    }
                });
            }

            @Override
            public void onListening(AsyncServerSocket socket) {
                mListenCallback.onListening(socket);
            }

            @Override
            public void onCompleted(Exception ex) {
                mListenCallback.onCompleted(ex);
            }
        });
    }",False,False,"The function of this method is to listen for incoming connections on a specified port using SSL/TLS encryption. It uses the provided SSLContext to create an SSL engine for the handshake process. Once the handshake is completed, the accepted socket is passed to the callback for further processing.",True,"This code defines a method called ""listenSecure"" that listens for incoming connections on a specified port using SSL/TLS encryption. It uses an SSLContext to create an SSL engine and performs a handshake with the client before accepting the connection."
