index,project name,commit hash,parent hash,extract type,origin class,new class,commit message,url,data path,split number
46,Activiti_Activiti,16e4a7f94b20ff6ff79c4be2238a17e2468713b4,ae2b65700df426e32b1b824b3b2f369230d00e0c,extractClass,com.activiti.service.editor.ModelServiceImpl,com.activiti.service.editor.ModelServiceImpl com.activiti.service.editor.ModelImageService ,App deployment refactoring ,https://github.com/Activiti/Activiti/commit/16e4a7f94b20ff6ff79c4be2238a17e2468713b4,god_class_refactor_examples/46+Activiti_Activiti+16e4a+ModelServiceImpl+ModelImageService.csv,1
53,Activiti_Activiti,b12bf8c6bfcb77765613e19b79198ee9a8842afe,b8bfda4eff7fcc9b0362fc74225e60f3b912518a,extractSuperclass,org.activiti.engine.impl.persistence.entity.IdentityInfoEntityImpl,org.activiti.engine.impl.persistence.entity.IdentityInfoEntityImpl org.activiti.engine.impl.persistence.entity.AbstractEntity ,"Two new experimental flags: execution tree caching and related entity counting (#971)  * Porting https://github.com/Activiti/Activiti/tree/entity-cache-proposal branch to the latest state of v6: introducing two new experimental flags to 1) cache execution trees during the lifetime of a command and 2) keep a count on executions to avoid deletes.  This commit contains the basics to get the -Pcheck running and the optimization config working. However, still needs a general rollout. Also, timers/suspended/DL jobs not yet done.    * Entity-caching v2: adding support for timer/suspended/DL job count on execution.    * More work on entity cache/count experiment:  * Moving Entity interface to impl.persistence.entity class (not specific to db)  * Introduced abstract superclass for all entities  * All entities now have a isInserted/isUpdated/isDeleted method  * Which is then used in a heuristic little check to avoid checking for historic activity instances (when execution is inserted, no need to check db for historic activity instances, can never happen)    * More work on entity cache/count functionality: fixes for new job types    * Small fixes.    * Implemented execution caching for all queries.    * Added simple global switch to disable localization on queries    * Entity counting: added simple unit test + fixed v5 test run + added upgrade scripts  ",https://github.com/Activiti/Activiti/commit/b12bf8c6bfcb77765613e19b79198ee9a8842afe,god_class_refactor_examples/53+Activiti_Activiti+b12bf+IdentityInfoEntityImpl+AbstractEntity.csv,1
79,Activiti_Activiti,30899a552baa9b443ed1a0fa16eedc7ed3e05a13,88216679a73214201b9e52803b555807a8af9f31,extractSuperclass,org.activiti.engine.impl.asyncexecutor.DefaultAsyncJobExecutor,org.activiti.engine.impl.asyncexecutor.DefaultAsyncJobExecutor org.activiti.engine.impl.asyncexecutor.AbstractAsyncJobExecutor ,(2) DefaultAsyncJobExecutor refactoring. ,https://github.com/Activiti/Activiti/commit/30899a552baa9b443ed1a0fa16eedc7ed3e05a13,god_class_refactor_examples/79+Activiti_Activiti+30899+DefaultAsyncJobExecutor+AbstractAsyncJobExecutor.csv,1
168,Activiti_Activiti,0036b74af8e1e6bcbdda06179693c310ce164a15,7d364a9de320b94f01b3c5d7ead06553cf600b14,extractClass,org.activiti.engine.impl.bpmn.parser.BpmnParse,org.activiti.engine.impl.bpmn.parser.BpmnParse org.activiti.engine.impl.bpmn.parser.handler.AbstractBpmnParseHandler org.activiti.engine.impl.bpmn.parser.handler.ErrorEventDefinitionParseHandler ,"ACT-1553: Refactor BpmnParse to use separate handlers for each bpmn element (first cut, working, but needs some extra cleanup love) ",https://github.com/Activiti/Activiti/commit/0036b74af8e1e6bcbdda06179693c310ce164a15,god_class_refactor_examples/168+Activiti_Activiti+0036b+BpmnParse+ErrorEventDefinitionParseHandler.csv,2
193,Activiti_Activiti,6ed56300662f449a6eeae96277e484c3e5d71629,99ee22fde09a3a17e4a85b9a6dccbaf3e5ceaded,extractSubclass,org.activiti.engine.impl.jobexecutor.JobExecutor,org.activiti.engine.impl.jobexecutor.JobExecutor org.activiti.engine.impl.jobexecutor.DefaultJobExecutor ,ACT-34 merging branch ,https://github.com/Activiti/Activiti/commit/6ed56300662f449a6eeae96277e484c3e5d71629,god_class_refactor_examples/193+Activiti_Activiti+6ed56+JobExecutor+DefaultJobExecutor.csv,1
236,Activiti_Activiti,3237ea8ad276e3f5ffaa149faece52c1c63a6aa5,f3851069424e8edfa209ea635ad731c359c3dfd3,extractClass,org.activiti.cycle.CycleLink,org.activiti.cycle.CycleLink org.activiti.cycle.CycleLinkTarget ,Added new class CycleLinkTarget. Copied methods from SessionUtil class in CycleServiceDbXStream class. Marked methods as deprecated in SessionUtil class. Changed CycleLink class. ,https://github.com/Activiti/Activiti/commit/3237ea8ad276e3f5ffaa149faece52c1c63a6aa5,god_class_refactor_examples/236+Activiti_Activiti+3237e+CycleLink+CycleLinkTarget.csv,1
238,Activiti_Activiti,c09b87988749ea1b2de3d5fa6c527c5ee0614998,98b691e0e0ee26fd52648d7be79361410dc623f5,extractClass,org.activiti.rest.util.ActivitiWebScript,org.activiti.rest.util.ActivitiWebScript org.activiti.rest.util.ActivitiRequest ,"Implemented ACT-140 ""REST API for Show process definition diagram"" & REST API refactor to make streaming binary code common - Moved common binary streaming code from ContentGet to ActivitiStreamingWebScript  - New Class ActivitiRequest that now wrapps the getMandatory[String/PathParam/Int] code so it can be used in both Activiti base webscript classes - Now extend the activitiStreamingWebscript (in web-application-context.xml) & ActivitiStreamingWebScript (in XxxGet.java) for webscripts that return test and/or binary data such as images   ",https://github.com/Activiti/Activiti/commit/c09b87988749ea1b2de3d5fa6c527c5ee0614998,god_class_refactor_examples/238+Activiti_Activiti+c09b8+ActivitiWebScript+ActivitiRequest.csv,1
252,Activiti_Activiti,51bcbd6a942fbe30237c4245f035411802d5d901,7262dc3913045001cbc658a8474e9d295980c345,extractClass,org.activiti.impl.cfg.ProcessEngineConfiguration,org.activiti.impl.cfg.ProcessEngineConfiguration org.activiti.impl.cfg.ProcessEngineFactory ,ACT-33: Refactor ProcessEngineConfiguration to separate out factory reponsibility ,https://github.com/Activiti/Activiti/commit/51bcbd6a942fbe30237c4245f035411802d5d901,god_class_refactor_examples/252+Activiti_Activiti+51bcb+ProcessEngineConfiguration+ProcessEngineFactory.csv,1
263,airbnb_lottie-android,c5a6daf095c34700cc5b04aa1404f854354ff8bc,1c9921e5b2057f3df73ad3bd1e3b2d1b3562a192,extractClass,com.airbnb.lottie.LottieComposition,com.airbnb.lottie.LottieComposition com.airbnb.lottie.LottieComposition.Factory ,Pull out LottieComposition factory methods into inner class (#137)  This is part of issue #3. Pulled static factory methods out of LottieComposition into a static inner class. Made all fields final and initialized them all in the constructor.  This will make it easier for follow up refactors where we'll modularize the parsing logic and make it pluggable.  Also upgraded the Espresso tests to JUnit 4 so it no longer uses the deprecated ActivityInstrumentationTestCase2,https://github.com/airbnb/lottie-android/commit/c5a6daf095c34700cc5b04aa1404f854354ff8bc,god_class_refactor_examples/263+airbnb_lottie-android+c5a6d+LottieComposition+Factory.csv,1
297,apache_incubator-linkis,334012801fb93fe367599dfba037beb85a5b56f5,7fdc91a742d33657b97735a6a00c20a6e764e4b9,extractClass,org.apache.linkis.udf.entity.UDFInfo,org.apache.linkis.udf.entity.UDFInfo org.apache.linkis.udf.entity.UDFVersion ,1.The udf module adds version management function and stores udf resources to bml-server. 2.modify ps dependency linkis-message-scheduler to linkis-rpc. close #1422 ,https://github.com/apache/incubator-linkis/commit/334012801fb93fe367599dfba037beb85a5b56f5,god_class_refactor_examples/297+apache_incubator-linkis+33401+UDFInfo+UDFVersion.csv,1
