index,project name,project path,commit hash,parent hash,extract type,origin class,new class,commit message,url,data path,class path
13,abel533_Mapper,D:\Top1kProjects\abel533_Mapper,0586a42d5e36d8eab6a6e85f1a19d96adf861094,5fda159c7bcf1ec423ba27bd1bb4bacdcdd4b521,Extract Class,com.github.abel533.mapper.MapperHelper,com.github.abel533.mapper.MapperTemplate,refactor,https://github.com/abel533/Mapper/commit/0586a42d5e36d8eab6a6e85f1a19d96adf861094,refactor_example_position/13+MapperHelper+MapperTemplate.csv,src/main/java/com/github/abel533/mapper/MapperHelper.java
104,Activiti_Activiti,D:\Top1kProjects\Activiti_Activiti,16e4a7f94b20ff6ff79c4be2238a17e2468713b4,ae2b65700df426e32b1b824b3b2f369230d00e0c,Extract Class,com.activiti.service.editor.ModelServiceImpl,com.activiti.service.editor.ModelImageService,"App deployment refactoring
",https://github.com/Activiti/Activiti/commit/16e4a7f94b20ff6ff79c4be2238a17e2468713b4,refactor_example_position/104+ModelServiceImpl+ModelImageService.csv,modules/activiti-ui/activiti-app-logic/src/main/java/com/activiti/service/editor/ModelServiceImpl.java
111,Activiti_Activiti,D:\Top1kProjects\Activiti_Activiti,b12bf8c6bfcb77765613e19b79198ee9a8842afe,b8bfda4eff7fcc9b0362fc74225e60f3b912518a,Extract Superclass,org.activiti.engine.impl.persistence.entity.IdentityInfoEntityImpl,org.activiti.engine.impl.persistence.entity.AbstractEntity,"Two new experimental flags: execution tree caching and related entity counting (#971)

* Porting https://github.com/Activiti/Activiti/tree/entity-cache-proposal branch to the latest state of v6: introducing two new experimental flags to 1) cache execution trees during the lifetime of a command and 2) keep a count on executions to avoid deletes.
This commit contains the basics to get the -Pcheck running and the optimization config working. However, still needs a general rollout. Also, timers/suspended/DL jobs not yet done.

* Entity-caching v2: adding support for timer/suspended/DL job count on execution.

* More work on entity cache/count experiment:
* Moving Entity interface to impl.persistence.entity class (not specific to db)
* Introduced abstract superclass for all entities
* All entities now have a isInserted/isUpdated/isDeleted method
* Which is then used in a heuristic little check to avoid checking for historic activity instances (when execution is inserted, no need to check db for historic activity instances, can never happen)

* More work on entity cache/count functionality: fixes for new job types

* Small fixes.

* Implemented execution caching for all queries.

* Added simple global switch to disable localization on queries

* Entity counting: added simple unit test + fixed v5 test run + added upgrade scripts
",https://github.com/Activiti/Activiti/commit/b12bf8c6bfcb77765613e19b79198ee9a8842afe,refactor_example_position/111+IdentityInfoEntityImpl+AbstractEntity.csv,modules/activiti-engine/src/main/java/org/activiti/engine/impl/persistence/entity/IdentityInfoEntityImpl.java
144,Activiti_Activiti,D:\Top1kProjects\Activiti_Activiti,30899a552baa9b443ed1a0fa16eedc7ed3e05a13,88216679a73214201b9e52803b555807a8af9f31,Extract Superclass,org.activiti.engine.impl.asyncexecutor.DefaultAsyncJobExecutor,org.activiti.engine.impl.asyncexecutor.AbstractAsyncJobExecutor,"(2) DefaultAsyncJobExecutor refactoring.
",https://github.com/Activiti/Activiti/commit/30899a552baa9b443ed1a0fa16eedc7ed3e05a13,refactor_example_position/144+DefaultAsyncJobExecutor+AbstractAsyncJobExecutor.csv,modules/activiti-engine/src/main/java/org/activiti/engine/impl/asyncexecutor/DefaultAsyncJobExecutor.java
383,Activiti_Activiti,D:\Top1kProjects\Activiti_Activiti,b79e02e3b46b742ed1c631416aead855cc0eab0e,ea46e5ed9be1cbaec6d797c6c82447e498d5e9ba,Extract Class,org.activiti.rest.api.task.TaskResponse,org.activiti.rest.api.legacy.task.LegacyTaskResponse,Added single task REST-resource and test,https://github.com/Activiti/Activiti/commit/b79e02e3b46b742ed1c631416aead855cc0eab0e,refactor_example_position/383+TaskResponse+LegacyTaskResponse.csv,modules/activiti-rest/src/main/java/org/activiti/rest/api/task/TaskResponse.java
423,Activiti_Activiti,D:\Top1kProjects\Activiti_Activiti,6ed56300662f449a6eeae96277e484c3e5d71629,99ee22fde09a3a17e4a85b9a6dccbaf3e5ceaded,Extract Subclass,org.activiti.engine.impl.jobexecutor.JobExecutor,org.activiti.engine.impl.jobexecutor.DefaultJobExecutor,"ACT-34 merging branch
",https://github.com/Activiti/Activiti/commit/6ed56300662f449a6eeae96277e484c3e5d71629,refactor_example_position/423+JobExecutor+DefaultJobExecutor.csv,modules/activiti-engine/src/main/java/org/activiti/engine/impl/jobexecutor/JobExecutor.java
555,Activiti_Activiti,D:\Top1kProjects\Activiti_Activiti,97e87a8189391d99bf34e2ce02152c276d4c987d,313efd4f0663f3413a5693a00596a9c81166579a,Extract Class,org.activiti.spring.ProcessEngineFactoryBean,org.activiti.engine.ProcessEngineConfiguration,"ACT-378 simplify configuration (on trunk)
",https://github.com/Activiti/Activiti/commit/97e87a8189391d99bf34e2ce02152c276d4c987d,refactor_example_position/555+ProcessEngineFactoryBean+ProcessEngineConfiguration.csv,modules/activiti-spring/src/main/java/org/activiti/spring/ProcessEngineFactoryBean.java
591,Activiti_Activiti,D:\Top1kProjects\Activiti_Activiti,c09b87988749ea1b2de3d5fa6c527c5ee0614998,98b691e0e0ee26fd52648d7be79361410dc623f5,Extract Class,org.activiti.rest.util.ActivitiWebScript,org.activiti.rest.util.ActivitiRequest,"Implemented ACT-140 ""REST API for Show process definition diagram"" & REST API refactor to make streaming binary code common
- Moved common binary streaming code from ContentGet to ActivitiStreamingWebScript 
- New Class ActivitiRequest that now wrapps the getMandatory[String/PathParam/Int] code so it can be used in both Activiti base webscript classes
- Now extend the activitiStreamingWebscript (in web-application-context.xml) & ActivitiStreamingWebScript (in XxxGet.java) for webscripts that return test and/or binary data such as images


",https://github.com/Activiti/Activiti/commit/c09b87988749ea1b2de3d5fa6c527c5ee0614998,refactor_example_position/591+ActivitiWebScript+ActivitiRequest.csv,modules/activiti-rest/src/main/java/org/activiti/rest/util/ActivitiWebScript.java
617,Activiti_Activiti,D:\Top1kProjects\Activiti_Activiti,51bcbd6a942fbe30237c4245f035411802d5d901,7262dc3913045001cbc658a8474e9d295980c345,Extract Class,org.activiti.impl.cfg.ProcessEngineConfiguration,org.activiti.impl.cfg.ProcessEngineFactory,"ACT-33: Refactor ProcessEngineConfiguration to separate out factory reponsibility
",https://github.com/Activiti/Activiti/commit/51bcbd6a942fbe30237c4245f035411802d5d901,refactor_example_position/617+ProcessEngineConfiguration+ProcessEngineFactory.csv,modules/activiti-engine/src/main/java/org/activiti/impl/cfg/ProcessEngineConfiguration.java
636,actorapp_actor-platform,D:\Top1kProjects\actorapp_actor-platform,859c2500f904bbbc0240ea9540605dec4f23af37,3f086a77ad6907fec15eb21074d3bd762fbf8b5e,Extract Class,im.actor.sdk.controllers.conversation.ChatActivity,im.actor.sdk.controllers.conversation.ChatFragment,"wip(android): VERY BIG ChatActivity refactoring
",https://github.com/actorapp/actor-platform/commit/859c2500f904bbbc0240ea9540605dec4f23af37,refactor_example_position/636+ChatActivity+ChatFragment.csv,actor-sdk/sdk-core-android/android-sdk/src/main/java/im/actor/sdk/controllers/conversation/ChatActivity.java
