index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,mFillFormatter,Field,,,,,66,1,2,,private FillFormatter mFillFormatter = new DefaultFillFormatter();,False
2,"RealmLineDataSet(RealmResults<T>,String,String)",Method,,,,,146,3,1,,"public RealmLineDataSet(RealmResults<T> result, String yValuesField, String xIndexField) {
        super(result, yValuesField, xIndexField);
    }",False
3,build(RealmResults<T>),Method,,,"java.util.List+add(E) java.util.List+add(E) com.github.mikephil.charting.data.Entry+Entry(float,int)",com.github.mikephil.charting.data.realm.RealmBaseDataSet+mValues com.github.mikephil.charting.data.realm.RealmBaseDataSet+mValuesField com.github.mikephil.charting.data.realm.RealmBaseDataSet+mIndexField,299,9,1,,"@Override
    public void build(RealmResults<T> results) {

        for (T object : results) {

            DynamicRealmObject dynamicObject = new DynamicRealmObject(object);
            mValues.add(new Entry(dynamicObject.getFloat(mValuesField), dynamicObject.getInt(mIndexField)));
        }
    }",False
4,getCubicIntensity(),Method,,,,,75,4,1,,"@Override
    public float getCubicIntensity() {
        return 0.2f;
    }",False
5,isDrawCubicEnabled(),Method,,,,,79,4,1,,"@Override
    public boolean isDrawCubicEnabled() {
        return false;
    }",False
6,getCircleSize(),Method,,,,,69,4,1,,"@Override
    public float getCircleSize() {
        return 10;
    }",False
7,getCircleColor(int),Method,,,,android.graphics.Color+BLACK,86,4,1,,"@Override
    public int getCircleColor(int index) {
        return Color.BLACK;
    }",False
8,isDrawCirclesEnabled(),Method,,,,,81,4,1,,"@Override
    public boolean isDrawCirclesEnabled() {
        return false;
    }",False
9,getCircleHoleColor(),Method,,,,,71,4,1,,"@Override
    public int getCircleHoleColor() {
        return 0;
    }",False
10,isDrawCircleHoleEnabled(),Method,,,,,84,4,1,,"@Override
    public boolean isDrawCircleHoleEnabled() {
        return false;
    }",False
11,getDashPathEffect(),Method,,,,,84,4,1,,"@Override
    public DashPathEffect getDashPathEffect() {
        return null;
    }",False
12,isDashedLineEnabled(),Method,,,,,80,4,1,,"@Override
    public boolean isDashedLineEnabled() {
        return false;
    }",False
13,getFillFormatter(),Method,,,,com.github.mikephil.charting.data.realm.RealmLineDataSet+mFillFormatter,92,4,1,,"@Override
    public FillFormatter getFillFormatter() {
        return mFillFormatter;
    }",False
14,getFillColor(),Method,,,,,65,4,1,,"@Override
    public int getFillColor() {
        return 0;
    }",True
15,getFillAlpha(),Method,,,,,65,4,1,,"@Override
    public int getFillAlpha() {
        return 0;
    }",True
16,getLineWidth(),Method,,,,,67,4,1,,"@Override
    public float getLineWidth() {
        return 5;
    }",True
17,isDrawFilledEnabled(),Method,,,,,80,4,1,,"@Override
    public boolean isDrawFilledEnabled() {
        return false;
    }",True
18,setDrawFilled(boolean),Method,,,,,65,4,1,,"@Override
    public void setDrawFilled(boolean enabled) {

    }",True
19,isVerticalHighlightIndicatorEnabled(),Method,,,,,96,4,1,,"@Override
    public boolean isVerticalHighlightIndicatorEnabled() {
        return false;
    }",True
20,isHorizontalHighlightIndicatorEnabled(),Method,,,,,98,4,1,,"@Override
    public boolean isHorizontalHighlightIndicatorEnabled() {
        return false;
    }",True
21,getHighlightLineWidth(),Method,,,,,76,4,1,,"@Override
    public float getHighlightLineWidth() {
        return 0;
    }",True
22,getDashPathEffectHighlight(),Method,,,,,93,4,1,,"@Override
    public DashPathEffect getDashPathEffectHighlight() {
        return null;
    }",True
23,getHighLightColor(),Method,,,,,70,4,1,,"@Override
    public int getHighLightColor() {
        return 0;
    }",True
