index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,mTypeface,Field,,,,,73,2,2,"/** 
 * the typeface to use for the labels 
 */
","/** the typeface to use for the labels */
    private Typeface mTypeface;",True
2,mTextSize,Field,AxisBase(),,,,68,2,2,"/** 
 * the size of the label text 
 */
","/** the size of the label text */
    private float mTextSize = 10f;",True
3,mTextColor,Field,,,,,70,2,2,"/** 
 * the text color to use 
 */
","/** the text color to use */
    private int mTextColor = Color.BLACK;",True
4,mGridColor,Field,,,,,36,1,2,,private int mGridColor = Color.GRAY;,False
5,mAxisLineColor,Field,,,,,40,1,2,,private int mAxisLineColor = Color.GRAY;,False
6,mAxisLineWidth,Field,,,,,34,1,2,,private float mAxisLineWidth = 1f;,False
7,mEnabled,Field,,,,,96,2,4,"/** 
 * flag that indicates if this axis is enabled or not 
 */
","/** flag that indicates if this axis is enabled or not */
    protected boolean mEnabled = true;",False
8,mDrawGridLines,Field,,,,,115,2,4,"/** 
 * flag indicating if the grid lines for this axis should be drawn 
 */
","/** flag indicating if the grid lines for this axis should be drawn */
    protected boolean mDrawGridLines = true;",False
9,mDrawAxisLine,Field,,,,,117,2,4,"/** 
 * flag that indicates if the line alongside the axis is drawn or not 
 */
","/** flag that indicates if the line alongside the axis is drawn or not */
    protected boolean mDrawAxisLine = true;",False
10,mXOffset,Field,AxisBase(),,,,98,2,4,"/** 
 * the offset in pixels this axis labels have on the x-axis 
 */
","/** the offset in pixels this axis labels have on the x-axis */
    protected float mXOffset = 5f;",True
11,mYOffset,Field,AxisBase(),,,,98,2,4,"/** 
 * the offset in pixels this axis labels have on the Y-axis 
 */
","/** the offset in pixels this axis labels have on the Y-axis */
    protected float mYOffset = 5f;",True
12,AxisBase(),Method,,,com.github.mikephil.charting.utils.Utils+convertDpToPixel(float) com.github.mikephil.charting.utils.Utils+convertDpToPixel(float) com.github.mikephil.charting.utils.Utils+convertDpToPixel(float) com.github.mikephil.charting.utils.Utils+convertDpToPixel(float) com.github.mikephil.charting.utils.Utils+convertDpToPixel(float) com.github.mikephil.charting.utils.Utils+convertDpToPixel(float),com.github.mikephil.charting.components.AxisBase+mTextSize com.github.mikephil.charting.components.AxisBase+mTextSize com.github.mikephil.charting.components.AxisBase+mXOffset com.github.mikephil.charting.components.AxisBase+mXOffset com.github.mikephil.charting.components.AxisBase+mYOffset com.github.mikephil.charting.components.AxisBase+mYOffset,214,6,1,"/** 
 * default constructor 
 */
","/** default constructor */
    public AxisBase() {
        this.mTextSize = Utils.convertDpToPixel(10f);
        this.mXOffset = Utils.convertDpToPixel(5f);
        this.mYOffset = Utils.convertDpToPixel(5f);
    }",False
13,setTextSize(float),Method,,com.xxmassdeveloper.mpchartexample.RadarChartActivitry+onCreate(Bundle) com.xxmassdeveloper.mpchartexample.RadarChartActivitry+onCreate(Bundle),com.github.mikephil.charting.utils.Utils+convertDpToPixel(float) com.github.mikephil.charting.utils.Utils+convertDpToPixel(float),com.github.mikephil.charting.components.AxisBase+mTextSize,321,15,1,"/** 
 * sets the size of the label text in pixels min = 6f, max = 24f, default 10f
 * @param size
 */
","/**
     * sets the size of the label text in pixels min = 6f, max = 24f, default
     * 10f
     * 
     * @param size
     */
    public void setTextSize(float size) {

        if (size > 24f)
            size = 24f;
        if (size < 6f)
            size = 6f;

        mTextSize = Utils.convertDpToPixel(size);
    }",True
