index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,LegendPosition,Field,,,,,26,1,1,,public enum LegendPosition,False
2,LegendForm,Field,,,,,22,1,1,,public enum LegendForm,False
3,mEnabled,Field,,,,,96,2,2,"/** 
 * flag indicating if the legend should be drawn or not 
 */
","/** flag indicating if the legend should be drawn or not */
    private boolean mEnabled = true;",False
4,mColors,Field,"Legend(int[],String[]) Legend(ArrayList<Integer>,ArrayList<String>)",,,,51,2,2,"/** 
 * the legend colors 
 */
","/** the legend colors */
    private int[] mColors;",False
5,mLabels,Field,"Legend(int[],String[]) Legend(ArrayList<Integer>,ArrayList<String>) setLegendLabels(String[])",,,,54,2,2,"/** 
 * the legend labels 
 */
","/** the legend labels */
    private String[] mLabels;",False
6,mPosition,Field,,,,,136,2,2,"/** 
 * the position relative to the chart the legend is drawn on 
 */
","/** the position relative to the chart the legend is drawn on */
    private LegendPosition mPosition = LegendPosition.BELOW_CHART_LEFT;",False
7,mShape,Field,,,,,103,2,2,"/** 
 * the shape/form the legend colors are drawn in 
 */
","/** the shape/form the legend colors are drawn in */
    private LegendForm mShape = LegendForm.SQUARE;",False
8,mTypeface,Field,,,,,85,2,2,"/** 
 * the typeface used for the legend labels 
 */
","/** the typeface used for the legend labels */
    private Typeface mTypeface = null;",True
9,mTextSize,Field,,,,,76,2,2,"/** 
 * the text size of the legend labels 
 */
","/** the text size of the legend labels */
    private float mTextSize = 10f;",True
10,mTextColor,Field,,,,,70,2,2,"/** 
 * the text color to use 
 */
","/** the text color to use */
    private int mTextColor = Color.BLACK;",True
11,mFormSize,Field,,,,,76,2,2,"/** 
 * the size of the legend forms/shapes 
 */
","/** the size of the legend forms/shapes */
    private float mFormSize = 8f;",False
12,mXEntrySpace,Field,,,,,125,4,2,"/** 
 * the space between the legend entries on a horizontal axis, default 6f
 */
","/**
     * the space between the legend entries on a horizontal axis, default 6f
     */
    private float mXEntrySpace = 6f;",False
13,mYEntrySpace,Field,,,,,123,4,2,"/** 
 * the space between the legend entries on a vertical axis, default 5f
 */
","/**
     * the space between the legend entries on a vertical axis, default 5f
     */
    private float mYEntrySpace = 5f;",False
14,mFormToTextSpace,Field,setFormToTextSpace(float),,,,231,6,2,"/** 
 * the space between the legend entries on a vertical axis, default 2f private float mYEntrySpace = 2f; /** the space between the form and the actual label/text
 */
","/**
     * the space between the legend entries on a vertical axis, default 2f
     * private float mYEntrySpace = 2f; /** the space between the form and the
     * actual label/text
     */
    private float mFormToTextSpace = 5f;",False
15,mStackSpace,Field,,,,,94,2,2,"/** 
 * the space that should be left between stacked forms 
 */
","/** the space that should be left between stacked forms */
    private float mStackSpace = 3f;",False
16,mXOffset,Field,Legend(),,,,98,2,4,"/** 
 * the offset in pixels this axis labels have on the x-axis 
 */
","/** the offset in pixels this axis labels have on the x-axis */
    protected float mXOffset = 5f;",True
17,mYOffset,Field,Legend(),,,,98,2,4,"/** 
 * the offset in pixels this axis labels have on the Y-axis 
 */
","/** the offset in pixels this axis labels have on the Y-axis */
    protected float mYOffset = 6f;",True
