index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,mHighlightWidth,Field,,,,,83,2,4,"/** 
 * the width of the highlighning line 
 */
","/** the width of the highlighning line */
    protected float mHighlightWidth = 3f;",False
2,mCirclePaintInner,Field,,,,,96,2,4,"/** 
 * paint for the inner circle of the value indicators 
 */
","/** paint for the inner circle of the value indicators */
    protected Paint mCirclePaintInner;",True
3,mFillFormatter,Field,,,,,37,1,2,,private FillFormatter mFillFormatter;,False
4,LineChart(Context),Method,,,,,65,3,1,,"public LineChart(Context context) {
        super(context);
    }",False
5,"LineChart(Context,AttributeSet)",Method,,,,,92,3,1,,"public LineChart(Context context, AttributeSet attrs) {
        super(context, attrs);
    }",False
6,"LineChart(Context,AttributeSet,int)",Method,,,,,116,3,1,,"public LineChart(Context context, AttributeSet attrs, int defStyle) {
        super(context, attrs, defStyle);
    }",False
7,init(),Method,,,"com.github.mikephil.charting.charts.BarLineChartBase+init() com.github.mikephil.charting.charts.LineChart.DefaultFillFormatter+DefaultFillFormatter() android.graphics.Paint+Paint(int) android.graphics.Paint+setStyle(Style) android.graphics.Paint+setStyle(Style) android.graphics.Paint+setColor(int) android.graphics.Paint+setColor(int) android.graphics.Paint+Paint(int) android.graphics.Paint+setStyle(Style) android.graphics.Paint+setStyle(Style) android.graphics.Paint+setStrokeWidth(float) android.graphics.Paint+setStrokeWidth(float) android.graphics.Paint+setColor(int) android.graphics.Paint+setColor(int) android.graphics.Color+rgb(int,int,int) android.graphics.Color+rgb(int,int,int)",com.github.mikephil.charting.charts.LineChart+mFillFormatter com.github.mikephil.charting.charts.LineChart+mCirclePaintInner android.graphics.Paint+ANTI_ALIAS_FLAG com.github.mikephil.charting.charts.LineChart+mCirclePaintInner android.graphics.Paint.Style+FILL com.github.mikephil.charting.charts.LineChart+mCirclePaintInner android.graphics.Color+WHITE com.github.mikephil.charting.charts.Chart+mHighlightPaint android.graphics.Paint+ANTI_ALIAS_FLAG com.github.mikephil.charting.charts.Chart+mHighlightPaint android.graphics.Paint.Style+STROKE com.github.mikephil.charting.charts.Chart+mHighlightPaint com.github.mikephil.charting.charts.Chart+mHighlightPaint,504,15,4,,"@Override
    protected void init() {
        super.init();

        mFillFormatter = new DefaultFillFormatter();

        mCirclePaintInner = new Paint(Paint.ANTI_ALIAS_FLAG);
        mCirclePaintInner.setStyle(Paint.Style.FILL);
        mCirclePaintInner.setColor(Color.WHITE);

        mHighlightPaint = new Paint(Paint.ANTI_ALIAS_FLAG);
        mHighlightPaint.setStyle(Paint.Style.STROKE);
        mHighlightPaint.setStrokeWidth(2f);
        mHighlightPaint.setColor(Color.rgb(255, 187, 115));
    }",False
8,calcMinMax(boolean),Method,,,com.github.mikephil.charting.charts.BarLineChartBase+calcMinMax(boolean) com.github.mikephil.charting.data.ChartData+getYValCount() com.github.mikephil.charting.data.ChartData+getYValCount(),com.github.mikephil.charting.charts.Chart+mDeltaX com.github.mikephil.charting.charts.Chart+mData com.github.mikephil.charting.charts.Chart+mDeltaX,409,13,4,,"@Override
    protected void calcMinMax(boolean fixedValues) {
        super.calcMinMax(fixedValues);

        // // if there is only one value in the chart
        // if (mOriginalData.getYValCount() == 1
        // || mOriginalData.getYValCount() <= mOriginalData.getDataSetCount()) {
        // mDeltaX = 1;
        // }

        if (mDeltaX == 0 && mData.getYValCount() > 0)
            mDeltaX = 1;
    }",False
9,drawHighlights(),Method,,,"com.github.mikephil.charting.data.ChartData+getDataSetByIndex(int) com.github.mikephil.charting.data.ChartData+getDataSetByIndex(int) com.github.mikephil.charting.utils.Highlight+getDataSetIndex() com.github.mikephil.charting.utils.Highlight+getDataSetIndex() android.graphics.Paint+setColor(int) android.graphics.Paint+setColor(int) com.github.mikephil.charting.data.BarLineScatterCandleRadarDataSet+getHighLightColor() com.github.mikephil.charting.data.BarLineScatterCandleRadarDataSet+getHighLightColor() com.github.mikephil.charting.utils.Highlight+getXIndex() com.github.mikephil.charting.utils.Highlight+getXIndex() com.github.mikephil.charting.data.DataSet+getYValForXIndex(int) com.github.mikephil.charting.data.DataSet+getYValForXIndex(int) com.github.mikephil.charting.renderer.Transformer+pointValuesToPixel(float[]) com.github.mikephil.charting.renderer.Transformer+pointValuesToPixel(float[]) android.graphics.Canvas+drawLines(float[],Paint) android.graphics.Canvas+drawLines(float[],Paint)",com.github.mikephil.charting.charts.Chart+mIndicesToHightlight com.github.mikephil.charting.charts.Chart+mData com.github.mikephil.charting.charts.Chart+mIndicesToHightlight com.github.mikephil.charting.charts.Chart+mHighlightPaint com.github.mikephil.charting.charts.Chart+mIndicesToHightlight com.github.mikephil.charting.charts.Chart+mDeltaX com.github.mikephil.charting.charts.Chart+mPhaseX com.github.mikephil.charting.charts.Chart+mPhaseY com.github.mikephil.charting.charts.Chart+mYChartMax com.github.mikephil.charting.charts.Chart+mYChartMin com.github.mikephil.charting.charts.Chart+mDeltaX com.github.mikephil.charting.charts.Chart+mTrans com.github.mikephil.charting.charts.Chart+mDrawCanvas com.github.mikephil.charting.charts.Chart+mHighlightPaint,1014,31,4,,"@Override
    protected void drawHighlights() {

        for (int i = 0; i < mIndicesToHightlight.length; i++) {

            LineDataSet set = mData.getDataSetByIndex(mIndicesToHightlight[i]
                    .getDataSetIndex());

            if (set == null)
                continue;

            mHighlightPaint.setColor(set.getHighLightColor());

            int xIndex = mIndicesToHightlight[i].getXIndex(); // get the
                                                              // x-position

            if (xIndex > mDeltaX * mPhaseX)
                continue;

            float y = set.getYValForXIndex(xIndex) * mPhaseY; // get the
                                                              // y-position

            float[] pts = new float[] {
                    xIndex, mYChartMax, xIndex, mYChartMin, 0, y, mDeltaX, y
            };

            mTrans.pointValuesToPixel(pts);
            // draw the highlight lines
            mDrawCanvas.drawLines(pts, mHighlightPaint);
        }
    }",True
10,CPoint,MemberClass,,,"com.github.mikephil.charting.charts.LineChart.CPoint+CPoint(float,float)",com.github.mikephil.charting.charts.LineChart.CPoint+x com.github.mikephil.charting.charts.LineChart.CPoint+y com.github.mikephil.charting.charts.LineChart.CPoint+dx com.github.mikephil.charting.charts.LineChart.CPoint+dy com.github.mikephil.charting.charts.LineChart.CPoint+x com.github.mikephil.charting.charts.LineChart.CPoint+y,436,21,4,"/** 
 * Class needed for saving the points when drawing cubic-lines.
 * @author Philipp Jahoda
 */
","/**
     * Class needed for saving the points when drawing cubic-lines.
     * 
     * @author Philipp Jahoda
     */
    protected class CPoint {

        public float x = 0f;
        public float y = 0f;

        /** x-axis distance */
        public float dx = 0f;

        /** y-axis distance */
        public float dy = 0f;

        public CPoint(float x, float y) {
            this.x = x;
            this.y = y;
        }
    }",True
11,drawDataSet(int),Method,,,"java.util.ArrayList+get(int) com.github.mikephil.charting.data.ChartData+getDataSets() com.github.mikephil.charting.data.ChartData+getDataSets() java.util.ArrayList+get(int) com.github.mikephil.charting.data.DataSet+getYVals() com.github.mikephil.charting.data.DataSet+getYVals() java.util.ArrayList+size() java.util.ArrayList+size() android.graphics.Paint+setStrokeWidth(float) android.graphics.Paint+setStrokeWidth(float) com.github.mikephil.charting.data.LineRadarDataSet+getLineWidth() com.github.mikephil.charting.data.LineRadarDataSet+getLineWidth() android.graphics.Paint+setPathEffect(PathEffect) android.graphics.Paint+setPathEffect(PathEffect) com.github.mikephil.charting.data.LineDataSet+getDashPathEffect() com.github.mikephil.charting.data.LineDataSet+getDashPathEffect() com.github.mikephil.charting.data.LineDataSet+isDrawCubicEnabled() com.github.mikephil.charting.data.LineDataSet+isDrawCubicEnabled() com.github.mikephil.charting.charts.LineChart+drawCubic(LineDataSet,ArrayList<Entry>) com.github.mikephil.charting.charts.LineChart+drawCubic(LineDataSet,ArrayList<Entry>) com.github.mikephil.charting.charts.LineChart+drawLinear(LineDataSet,ArrayList<Entry>) com.github.mikephil.charting.charts.LineChart+drawLinear(LineDataSet,ArrayList<Entry>) android.graphics.Paint+setPathEffect(PathEffect) android.graphics.Paint+setPathEffect(PathEffect)",com.github.mikephil.charting.charts.Chart+mData com.github.mikephil.charting.charts.Chart+mRenderPaint com.github.mikephil.charting.charts.Chart+mRenderPaint com.github.mikephil.charting.charts.Chart+mRenderPaint,645,23,4,,"@Override
    protected void drawDataSet(int index) {

        LineDataSet dataSet = mData.getDataSets().get(index);
        ArrayList<Entry> entries = dataSet.getYVals();

        if (entries.size() < 1)
            return;

        mRenderPaint.setStrokeWidth(dataSet.getLineWidth());
        mRenderPaint.setPathEffect(dataSet.getDashPathEffect());

        // if drawing cubic lines is enabled
        if (dataSet.isDrawCubicEnabled()) {
            drawCubic(dataSet, entries);

            // draw normal (straight) lines
        } else {
            drawLinear(dataSet, entries);
        }

        mRenderPaint.setPathEffect(null);
    }",False
