index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,mMatrixValueToPx,Field,,,,,106,2,4,"/** 
 * matrix to map the values to the screen pixels 
 */
","/** matrix to map the values to the screen pixels */
    protected Matrix mMatrixValueToPx = new Matrix();",False
2,mMatrixOffset,Field,,,,,112,2,4,"/** 
 * matrix for handling the different offsets of the chart 
 */
","/** matrix for handling the different offsets of the chart */
    protected Matrix mMatrixOffset = new Matrix();",False
3,mMatrixTouch,Field,,,,,91,2,20,"/** 
 * matrix used for touch events 
 */
","/** matrix used for touch events */
    protected final Matrix mMatrixTouch = new Matrix();",True
4,mInvertYAxis,Field,,,,,119,2,2,"/** 
 * if set to true, the y-axis is inverted and low values start at the top 
 */
","/** if set to true, the y-axis is inverted and low values start at the top */
    private boolean mInvertYAxis = false;",True
5,mMinScaleY,Field,,,,,75,2,2,"/** 
 * minimum scale value on the y-axis 
 */
","/** minimum scale value on the y-axis */
    private float mMinScaleY = 1f;",True
6,mMinScaleX,Field,,,,,75,2,2,"/** 
 * minimum scale value on the x-axis 
 */
","/** minimum scale value on the x-axis */
    private float mMinScaleX = 1f;",True
7,mScaleX,Field,,,,,86,2,2,"/** 
 * contains the current scale factor of the x-axis 
 */
","/** contains the current scale factor of the x-axis */
    private float mScaleX = 1f;",True
8,mScaleY,Field,,,,,86,2,2,"/** 
 * contains the current scale factor of the y-axis 
 */
","/** contains the current scale factor of the y-axis */
    private float mScaleY = 1f;",True
9,mTransOffsetX,Field,,,,,117,2,2,"/** 
 * offset that allows the chart to be dragged over its bounds on the x-axis 
 */
","/** offset that allows the chart to be dragged over its bounds on the x-axis */
    private float mTransOffsetX = 0f;",True
10,mTransOffsetY,Field,,,,,117,2,2,"/** 
 * offset that allows the chart to be dragged over its bounds on the x-axis 
 */
","/** offset that allows the chart to be dragged over its bounds on the x-axis */
    private float mTransOffsetY = 0f;",True
11,Transformer(),Method,,,,,29,3,1,,"public Transformer() {

    }",False
12,prepareMatrixValuePx(ChartInterface),Method,,"com.github.mikephil.charting.charts.BarLineChartBase+prepareMatrix() com.github.mikephil.charting.charts.BarLineChartBase+notifyDataSetChanged() com.github.mikephil.charting.charts.Chart+setOffsets(float,float,float,float)","com.github.mikephil.charting.interfaces.ChartInterface+getWidth() com.github.mikephil.charting.interfaces.ChartInterface+getWidth() com.github.mikephil.charting.interfaces.ChartInterface+getOffsetRight() com.github.mikephil.charting.interfaces.ChartInterface+getOffsetRight() com.github.mikephil.charting.interfaces.ChartInterface+getOffsetLeft() com.github.mikephil.charting.interfaces.ChartInterface+getOffsetLeft() com.github.mikephil.charting.interfaces.ChartInterface+getDeltaX() com.github.mikephil.charting.interfaces.ChartInterface+getDeltaX() com.github.mikephil.charting.interfaces.ChartInterface+getHeight() com.github.mikephil.charting.interfaces.ChartInterface+getHeight() com.github.mikephil.charting.interfaces.ChartInterface+getOffsetTop() com.github.mikephil.charting.interfaces.ChartInterface+getOffsetTop() com.github.mikephil.charting.interfaces.ChartInterface+getOffsetBottom() com.github.mikephil.charting.interfaces.ChartInterface+getOffsetBottom() com.github.mikephil.charting.interfaces.ChartInterface+getDeltaY() com.github.mikephil.charting.interfaces.ChartInterface+getDeltaY() android.graphics.Matrix+reset() android.graphics.Matrix+reset() android.graphics.Matrix+postTranslate(float,float) android.graphics.Matrix+postTranslate(float,float) com.github.mikephil.charting.interfaces.ChartInterface+getYChartMin() com.github.mikephil.charting.interfaces.ChartInterface+getYChartMin() android.graphics.Matrix+postScale(float,float) android.graphics.Matrix+postScale(float,float)",com.github.mikephil.charting.renderer.Transformer+mMatrixValueToPx com.github.mikephil.charting.renderer.Transformer+mMatrixValueToPx com.github.mikephil.charting.renderer.Transformer+mMatrixValueToPx,701,18,1,"/** 
 * Prepares the matrix that transforms values to pixels. Calculates the scale factors from the charts size and offsets.
 * @param chart
 */
","/**
     * Prepares the matrix that transforms values to pixels. Calculates the
     * scale factors from the charts size and offsets.
     * 
     * @param chart
     */
    public void prepareMatrixValuePx(ChartInterface chart) {

        float scaleX = (float) ((chart.getWidth() - chart.getOffsetRight() - chart
                .getOffsetLeft()) / chart.getDeltaX());
        float scaleY = (float) ((chart.getHeight() - chart.getOffsetTop() - chart
                .getOffsetBottom()) / chart.getDeltaY());

        // setup all matrices
        mMatrixValueToPx.reset();
        mMatrixValueToPx.postTranslate(0, -chart.getYChartMin());
        mMatrixValueToPx.postScale(scaleX, -scaleY);
    }",False
13,"prepareMatrixValuePx(ChartInterface,float,float)",Method,,,"android.graphics.Matrix+reset() android.graphics.Matrix+reset() android.graphics.Matrix+postTranslate(float,float) android.graphics.Matrix+postTranslate(float,float) com.github.mikephil.charting.interfaces.ChartInterface+getYChartMin() com.github.mikephil.charting.interfaces.ChartInterface+getYChartMin() android.graphics.Matrix+postScale(float,float) android.graphics.Matrix+postScale(float,float)",com.github.mikephil.charting.renderer.Transformer+mMatrixValueToPx com.github.mikephil.charting.renderer.Transformer+mMatrixValueToPx com.github.mikephil.charting.renderer.Transformer+mMatrixValueToPx,399,13,1,"/** 
 * Prepares the transformation matrix with the specified scales.
 * @param chart
 * @param scaleX
 * @param scaleY
 */
","/**
     * Prepares the transformation matrix with the specified scales.
     * 
     * @param chart
     * @param scaleX
     * @param scaleY
     */
    public void prepareMatrixValuePx(ChartInterface chart, float scaleX, float scaleY) {

        mMatrixValueToPx.reset();
        mMatrixValueToPx.postTranslate(0, -chart.getYChartMin());
        mMatrixValueToPx.postScale(scaleX, -scaleY);
    }",False
