index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,mCircleColors,Field,setCircleColors(int[]),,,,123,2,2,"/** 
 * arraylist representing all colors that are used for the circles 
 */
","/** arraylist representing all colors that are used for the circles */
    private ArrayList<Integer> mCircleColors = null;",False
2,mFillColor,Field,,,,,113,2,2,"/** 
 * the color that is used for filling the line surface 
 */
","/** the color that is used for filling the line surface */
    private int mFillColor = Color.rgb(140, 234, 255);",True
3,mFillAlpha,Field,,,,,82,2,2,"/** 
 * transparency used for filling line surface 
 */
","/** transparency used for filling line surface */
    private int mFillAlpha = 85;",True
4,mCircleSize,Field,,,,,91,2,2,"/** 
 * the radius of the circle-shaped value indicators 
 */
","/** the radius of the circle-shaped value indicators */
    private float mCircleSize = 4f;",False
5,mLineWidth,Field,,,,,75,2,2,"/** 
 * the width of the drawn data lines 
 */
","/** the width of the drawn data lines */
    private float mLineWidth = 1f;",True
6,mCubicIntensity,Field,,,,,86,2,2,"/** 
 * sets the intensity of the cubic lines 
 */
","/** sets the intensity of the cubic lines */
    private float mCubicIntensity = 0.2f;",False
7,mDashPathEffect,Field,,,,,122,2,2,"/** 
 * the path effect of this DataSet that makes dashed lines possible 
 */
","/** the path effect of this DataSet that makes dashed lines possible */
    private DashPathEffect mDashPathEffect = null;",False
8,mDrawCircles,Field,setDrawCircles(boolean),,,,83,2,2,"/** 
 * if true, drawing circles is enabled 
 */
","/** if true, drawing circles is enabled */
    private boolean mDrawCircles = true;",False
9,mDrawFilled,Field,,,,,91,2,2,"/** 
 * if true, the data will also be drawn filled 
 */
","/** if true, the data will also be drawn filled */
    private boolean mDrawFilled = false;",True
10,mDrawCubic,Field,,,,,95,2,2,"/** 
 * if true, cubic lines are drawn instead of linear 
 */
","/** if true, cubic lines are drawn instead of linear */
    private boolean mDrawCubic = false;",False
11,"LineDataSet(ArrayList<Entry>,String)",Method,,,"java.util.ArrayList+ArrayList() java.util.ArrayList+add(int,E) java.util.ArrayList+add(int,E) android.graphics.Color+rgb(int,int,int) android.graphics.Color+rgb(int,int,int)",com.github.mikephil.charting.data.LineDataSet+mCircleColors com.github.mikephil.charting.data.LineDataSet+mCircleColors,430,13,1,,"public LineDataSet(ArrayList<Entry> yVals, String label) {
        super(yVals, label);

        // mCircleSize = Utils.convertDpToPixel(4f);
        // mLineWidth = Utils.convertDpToPixel(1f);

        mCircleColors = new ArrayList<Integer>();

        // default colors
        // mColors.add(Color.rgb(192, 255, 140));
        // mColors.add(Color.rgb(255, 247, 140));
        mCircleColors.add(Color.rgb(140, 234, 255));
    }",False
12,copy(),Method,,,"java.util.ArrayList+ArrayList() java.util.ArrayList+size() java.util.ArrayList+size() java.util.ArrayList+add(E) java.util.ArrayList+add(E) com.github.mikephil.charting.data.Entry+copy() java.util.ArrayList+get(int) java.util.ArrayList+get(int) com.github.mikephil.charting.data.Entry+copy() com.github.mikephil.charting.data.LineDataSet+LineDataSet(ArrayList<Entry>,String) com.github.mikephil.charting.data.DataSet+getLabel() com.github.mikephil.charting.data.DataSet+getLabel()",com.github.mikephil.charting.data.DataSet+mYVals com.github.mikephil.charting.data.DataSet+mYVals com.github.mikephil.charting.data.DataSet+mColors com.github.mikephil.charting.data.DataSet+mColors com.github.mikephil.charting.data.LineDataSet+mLineWidth com.github.mikephil.charting.data.LineDataSet+mLineWidth com.github.mikephil.charting.data.LineDataSet+mCircleSize com.github.mikephil.charting.data.LineDataSet+mCircleSize com.github.mikephil.charting.data.LineDataSet+mCircleColors com.github.mikephil.charting.data.LineDataSet+mCircleColors com.github.mikephil.charting.data.LineDataSet+mDashPathEffect com.github.mikephil.charting.data.LineDataSet+mDashPathEffect com.github.mikephil.charting.data.LineDataSet+mDrawCircles com.github.mikephil.charting.data.LineDataSet+mDrawCircles com.github.mikephil.charting.data.LineDataSet+mDrawFilled com.github.mikephil.charting.data.LineDataSet+mDrawFilled com.github.mikephil.charting.data.LineDataSet+mDrawCubic com.github.mikephil.charting.data.LineDataSet+mDrawCubic com.github.mikephil.charting.data.BarLineScatterCandleDataSet+mHighLightColor com.github.mikephil.charting.data.BarLineScatterCandleDataSet+mHighLightColor,685,22,1,,"@Override
    public DataSet copy() {

        ArrayList<Entry> yVals = new ArrayList<Entry>();

        for (int i = 0; i < mYVals.size(); i++) {
            yVals.add(mYVals.get(i).copy());
        }

        LineDataSet copied = new LineDataSet(yVals, getLabel());
        copied.mColors = mColors;
        copied.mLineWidth = mLineWidth;
        copied.mCircleSize = mCircleSize;
        copied.mCircleColors = mCircleColors;
        copied.mDashPathEffect = mDashPathEffect;
        copied.mDrawCircles = mDrawCircles;
        copied.mDrawFilled = mDrawFilled;
        copied.mDrawCubic = mDrawCubic;
        copied.mHighLightColor = mHighLightColor;

        return copied;
    }",False
