index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,REVISION,Field,,,,,40,1,26,,static private final int REVISION = 242;,False
2,VERSION_NAME,Field,,,,,121,2,10,"/** 
 * This might be replaced by main() if there's a lib/version.txt file. 
 */
","/** This might be replaced by main() if there's a lib/version.txt file. */
  static private String VERSION_NAME = ""0242"";",False
3,DEBUG,Field,,,,,100,2,9,"/** 
 * True if heavy debugging error/log messages are enabled 
 */
","/** True if heavy debugging error/log messages are enabled */
  static public boolean DEBUG = false;",False
4,platformNames,Field,,,,,83,2,8,,"static HashMap<Integer, String> platformNames =
    new HashMap<Integer, String>();",True
5,platformIndices,Field,,,,,81,1,8,,"static HashMap<String, Integer> platformIndices = new HashMap<String, Integer>();",True
6,nativeBits,Field,,,,,61,2,8,"/** 
 * How many bits this machine is 
 */
","/** How many bits this machine is */
  static int nativeBits;",True
7,nativeArch,Field,,,,,57,1,8,,"static String nativeArch = System.getProperty(""os.arch"");",True
8,commandLine,Field,,,,,35,1,10,,static private boolean commandLine;,False
9,preferencesFrame,Field,,,,,34,1,0,,PreferencesFrame preferencesFrame;,False
10,contributionManagerFrame,Field,,,,,51,1,0,,ContributionManagerDialog contributionManagerFrame;,True
11,untitledFolder,Field,,,,,27,1,8,,static File untitledFolder;,False
12,editors,Field,,,,,134,3,4,"/** 
 * List of currently active editors. 
 */
","/** List of currently active editors. */
  protected List<Editor> editors =
    Collections.synchronizedList(new ArrayList<Editor>());",False
13,activeEditor,Field,,,,,30,1,4,,protected Editor activeEditor;,False
14,defaultFileMenu,Field,,,,,109,2,9,"/** 
 * A lone file menu to be used when all sketch windows are closed. 
 */
","/** A lone file menu to be used when all sketch windows are closed. */
  static public JMenu defaultFileMenu;",False
15,nextMode,Field,,,,,130,5,2,"/** 
 * Starts with the last mode used with the environment, or the default mode if not used.
 */
","/**
   * Starts with the last mode used with the environment,
   * or the default mode if not used.
   */
  private Mode nextMode;",False
16,coreModes,Field,,,,,101,2,2,"/** 
 * The built-in modes. coreModes[0] will be considered the 'default'. 
 */
","/** The built-in modes. coreModes[0] will be considered the 'default'. */
  private Mode[] coreModes;",False
17,modeContribs,Field,,,,,51,1,4,,protected ArrayList<ModeContribution> modeContribs;,False
18,exampleContribs,Field,,,,,58,1,4,,protected ArrayList<ExamplesContribution> exampleContribs;,False
19,sketchbookMenu,Field,,,,,29,1,2,,private JMenu sketchbookMenu;,False
20,recent,Field,,,,,22,1,2,,private Recent recent;,False
21,openChooser,Field,,,,,33,1,2,,private JFileChooser openChooser;,False
22,sketchbookFolder,Field,,,,,39,1,12,,static protected File sketchbookFolder;,False
23,main(String[]),Method,,processing.mode.java.JavaMode+main(String[]),java.awt.EventQueue+invokeLater(Runnable) java.awt.EventQueue+invokeLater(Runnable) +() +run(),,479,13,9,,"static public void main(final String[] args) {
    EventQueue.invokeLater(new Runnable() {
        public void run() {
          try {
            createAndShowGUI(args);
          } catch (Throwable t) {
            showBadnessTrace(""It was not meant to be"",
                             ""A serious problem happened during startup. Please report:\n"" +
                             ""http://github.com/processing/processing/issues/new"", t, true);
          }
        }
    });
  }",False
