index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,DELETION_FLAG,Field,,,,,66,1,25,,"static public final String DELETION_FLAG = ""flagged_for_deletion"";",False
2,DOUBLE_CLICK_SECONDARY,Field,,,,,131,2,26,,"static private final String DOUBLE_CLICK_SECONDARY =
      ""Click ‚Äö√Ñ√∂‚àö‚Ä†‚àö‚àÇ‚Äö√†√∂‚àö¬¢¬¨¬®¬¨¬Æ¬¨¬®¬¨¬¢‚Äö√Ñ√∂‚àö‚Ä†‚àö‚àÇ¬¨¬®¬¨¬¢‚Äö√Ñ√∂‚àö√ë‚àö‚àÇ‚Äö√†√∂‚àö√´‚Äö√†√∂‚Äö√†√á¬¨¬®¬¨¬Æ¬¨¬®¬¨√Ü‚Äö√Ñ√∂‚àö‚Ä†‚àö‚àÇ‚Äö√†√∂‚àö¬±‚Äö√Ñ√∂‚àö√ë‚àö‚àÇ‚Äö√†√∂‚àö√´‚Äö√†√∂‚Äö√†¬¥Yes‚Äö√Ñ√∂‚àö‚Ä†‚àö‚àÇ‚Äö√†√∂‚àö¬¢¬¨¬®¬¨¬Æ¬¨¬®¬¨¬¢‚Äö√Ñ√∂‚àö‚Ä†‚àö‚àÇ¬¨¬®¬¨¬¢‚Äö√Ñ√∂‚àö√ë‚àö‚àÇ‚Äö√†√∂‚àö√´‚Äö√†√∂‚Äö√†√á¬¨¬®¬¨¬Æ¬¨¬®¬¨√Ü‚Äö√Ñ√∂‚àö‚Ä†‚àö‚àÇ‚Äö√†√∂‚àö¬∞‚Äö√†√∂‚àö√Ü‚Äö√†√∂‚Äö√†√®‚âà√≠¬¨¬© to install this library to your sketchbook..."";",False
3,DISCOVERY_INTERNAL_ERROR_MESSAGE,Field,,,,,157,2,26,,"static private final String DISCOVERY_INTERNAL_ERROR_MESSAGE =
        ""An internal error occured while searching for contributions in the downloaded file."";",False
4,DISCOVERY_NONE_FOUND_ERROR_MESSAGE,Field,,,,,152,2,26,,"static private final String DISCOVERY_NONE_FOUND_ERROR_MESSAGE =
      ""Maybe it's just us, but it looks like there are no contributions in this file."";",False
5,ERROR_OVERWRITING_PROPERTIES_MESSAGE,Field,,,,,111,2,26,,"static private final String ERROR_OVERWRITING_PROPERTIES_MESSAGE =
      ""Error overwriting .properties file."";",False
6,ANY_CATEGORY,Field,,,,,41,1,24,,"static final String ANY_CATEGORY = ""Any"";",True
7,ICON_WIDTH,Field,,,,,75,2,24,"/** 
 * Width of each contribution icon. 
 */
","/** Width of each contribution icon. */
  static final int ICON_WIDTH = 25;",True
8,ICON_HEIGHT,Field,,,,,77,2,24,"/** 
 * Height of each contribution icon. 
 */
","/** Height of each contribution icon. */
  static final int ICON_HEIGHT = 20;",True
9,dialog,Field,,,,,14,1,0,,JFrame dialog;,True
10,filterField,Field,,,,,24,1,0,,FilterField filterField;,True
