index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,UPDATE_FREQUENCY,Field,,,,,64,1,26,,private static final int UPDATE_FREQUENCY = 24 * 60 * 60 * 1000;,False
2,DEFAULT_REPOSITORIES,Field,,,,,92,1,26,,"private static final String DEFAULT_REPOSITORIES = ""http://dl.xposed.info/repo/full.xml.gz"";",False
3,mInstance,Field,,,,,43,1,10,,private static RepoLoader mInstance = null;,False
4,mListeners,Field,,,,,75,1,18,,private final List<RepoListener> mListeners = new CopyOnWriteArrayList<>();,True
5,mLocalReleaseTypesCache,Field,,,,,81,1,18,,"private final Map<String, ReleaseType> mLocalReleaseTypesCache = new HashMap<>();",False
6,mApp,Field,,,,,30,1,2,,private XposedApp mApp = null;,True
7,mPref,Field,,,,,32,1,2,,private SharedPreferences mPref;,True
8,mModulePref,Field,,,,,38,1,2,,private SharedPreferences mModulePref;,False
9,mConMgr,Field,,,,,36,1,2,,private ConnectivityManager mConMgr;,True
10,mIsLoading,Field,,,,,35,1,2,,private boolean mIsLoading = false;,True
11,mReloadTriggeredOnce,Field,,,,,45,1,2,,private boolean mReloadTriggeredOnce = false;,True
12,mRepositories,Field,,,,,51,1,2,,"private Map<Long, Repository> mRepositories = null;",False
13,mGlobalReleaseType,Field,,,,,39,1,2,,private ReleaseType mGlobalReleaseType;,False
14,mSwipeRefreshLayout,Field,setSwipeRefreshLayout(SwipeRefreshLayout),,,,47,1,2,,private SwipeRefreshLayout mSwipeRefreshLayout;,True
15,RepoLoader(),Method,,,"de.robv.android.xposed.installer.XposedApp+getInstance() de.robv.android.xposed.installer.XposedApp+getInstance() de.robv.android.xposed.installer.XposedApp+getPreferences() de.robv.android.xposed.installer.XposedApp+getPreferences() de.robv.android.xposed.installer.repo.RepoDb+init(Context,RepoLoader) de.robv.android.xposed.installer.repo.RepoDb+init(Context,RepoLoader) de.robv.android.xposed.installer.util.RepoLoader+refreshRepositories() de.robv.android.xposed.installer.util.RepoLoader+refreshRepositories()",de.robv.android.xposed.installer.util.RepoLoader+mInstance de.robv.android.xposed.installer.util.RepoLoader+mApp de.robv.android.xposed.installer.util.RepoLoader+mPref de.robv.android.xposed.installer.util.RepoLoader+mApp de.robv.android.xposed.installer.util.RepoLoader+mModulePref de.robv.android.xposed.installer.util.RepoLoader+mApp de.robv.android.xposed.installer.util.RepoLoader+mConMgr de.robv.android.xposed.installer.util.RepoLoader+mApp de.robv.android.xposed.installer.util.RepoLoader+mGlobalReleaseType de.robv.android.xposed.installer.util.RepoLoader+mApp,539,11,2,,"private RepoLoader() {
        mInstance = this;
        mApp = XposedApp.getInstance();
        mPref = mApp.getSharedPreferences(""repo"", Context.MODE_PRIVATE);
        mModulePref = mApp.getSharedPreferences(""module_settings"", Context.MODE_PRIVATE);
        mConMgr = (ConnectivityManager) mApp.getSystemService(Context.CONNECTIVITY_SERVICE);
        mGlobalReleaseType = ReleaseType.fromString(XposedApp.getPreferences().getString(""release_type_global"", ""stable""));

        RepoDb.init(mApp, this);
        refreshRepositories();
    }",False
16,getInstance(),Method,,"de.robv.android.xposed.installer.DownloadDetailsActivity+onOptionsItemSelected(MenuItem) de.robv.android.xposed.installer.DownloadDetailsSettingsFragment+onPreferenceChange(Preference,Object) de.robv.android.xposed.installer.DownloadDetailsVersionsFragment+onActivityCreated(Bundle) de.robv.android.xposed.installer.DownloadFragment+onCreate(Bundle) de.robv.android.xposed.installer.ModulesBookmark+onCreate(Bundle) de.robv.android.xposed.installer.SettingsActivity+SettingsFragment.onPreferenceChange(Preference,Object) de.robv.android.xposed.installer.XposedApp+updateProgressIndicator(SwipeRefreshLayout) de.robv.android.xposed.installer.XposedApp+onActivityCreated(Activity,Bundle)",de.robv.android.xposed.installer.util.RepoLoader+RepoLoader(),de.robv.android.xposed.installer.util.RepoLoader+mInstance de.robv.android.xposed.installer.util.RepoLoader+mInstance,146,5,41,,"public static synchronized RepoLoader getInstance() {
        if (mInstance == null)
            new RepoLoader();
        return mInstance;
    }",False
