index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,INCORRECT_TENANT_ID,Field,,,,,72,1,26,,"private static final String INCORRECT_TENANT_ID = ""Incorrect tenantId "";",False
2,INCORRECT_DEVICE_PROFILE_ID,Field,,,,,87,1,26,,"private static final String INCORRECT_DEVICE_PROFILE_ID = ""Incorrect deviceProfileId "";",False
3,INCORRECT_DEVICE_PROFILE_NAME,Field,,,,,91,1,26,,"private static final String INCORRECT_DEVICE_PROFILE_NAME = ""Incorrect deviceProfileName "";",False
4,LOCATION,Field,,,,,70,1,26,,"private static final Location LOCATION = new Location("""", """", -1, -1);",True
5,ATTRIBUTES_PROTO_SCHEMA,Field,,,,,80,1,26,,"private static final String ATTRIBUTES_PROTO_SCHEMA = ""attributes proto schema"";",True
6,TELEMETRY_PROTO_SCHEMA,Field,,,,,78,1,26,,"private static final String TELEMETRY_PROTO_SCHEMA = ""telemetry proto schema"";",True
7,RPC_REQUEST_PROTO_SCHEMA,Field,,,,,82,1,26,,"private static final String RPC_REQUEST_PROTO_SCHEMA = ""rpc request proto schema"";",True
8,RPC_RESPONSE_PROTO_SCHEMA,Field,,,,,84,1,26,,"private static final String RPC_RESPONSE_PROTO_SCHEMA = ""rpc response proto schema"";",True
9,invalidSchemaProvidedMessage(String),Method,,,,,158,3,10,,"private static String invalidSchemaProvidedMessage(String schemaName) {
        return ""[Transport Configuration] invalid "" + schemaName + "" provided!"";
    }",True
10,queueService,Field,,,,,67,2,2,,"@Autowired(required = false)
    private QueueService queueService;",True
11,deviceProfileDao,Field,,,,,57,2,2,,"@Autowired
    private DeviceProfileDao deviceProfileDao;",False
12,deviceDao,Field,,,,,43,2,2,,"@Autowired
    private DeviceDao deviceDao;",False
13,deviceService,Field,,,,,51,2,2,,"@Autowired
    private DeviceService deviceService;",False
14,tenantDao,Field,,,,,43,2,2,,"@Autowired
    private TenantDao tenantDao;",True
15,cacheManager,Field,,,,,49,2,2,,"@Autowired
    private CacheManager cacheManager;",False
16,otaPackageService,Field,,,,,59,2,2,,"@Autowired
    private OtaPackageService otaPackageService;",True
17,ruleChainService,Field,,,,,57,2,2,,"@Autowired
    private RuleChainService ruleChainService;",True
18,dashboardService,Field,,,,,57,2,2,,"@Autowired
    private DashboardService dashboardService;",True
19,findOrCreateLock,Field,,,,,58,1,18,,private final Lock findOrCreateLock = new ReentrantLock();,False
20,"findDeviceProfileById(TenantId,DeviceProfileId)",Method,,,"org.thingsboard.server.dao.service.Validator+validateId(UUIDBased,String) org.thingsboard.server.dao.service.Validator+validateId(UUIDBased,String) org.thingsboard.server.dao.Dao+findById(TenantId,UUID) org.thingsboard.server.dao.Dao+findById(TenantId,UUID) org.thingsboard.server.common.data.id.UUIDBased+getId() org.thingsboard.server.common.data.id.UUIDBased+getId()",org.thingsboard.server.dao.device.DeviceProfileServiceImpl+INCORRECT_DEVICE_PROFILE_ID org.thingsboard.server.dao.device.DeviceProfileServiceImpl+deviceProfileDao,444,7,1,,"@Cacheable(cacheNames = DEVICE_PROFILE_CACHE, key = ""{#deviceProfileId.id}"")
    @Override
    public DeviceProfile findDeviceProfileById(TenantId tenantId, DeviceProfileId deviceProfileId) {
        log.trace(""Executing findDeviceProfileById [{}]"", deviceProfileId);
        Validator.validateId(deviceProfileId, INCORRECT_DEVICE_PROFILE_ID + deviceProfileId);
        return deviceProfileDao.findById(tenantId, deviceProfileId.getId());
    }",False
21,"findDeviceProfileByName(TenantId,String)",Method,,,"org.thingsboard.server.dao.service.Validator+validateString(String,String) org.thingsboard.server.dao.service.Validator+validateString(String,String) org.thingsboard.server.dao.device.DeviceProfileDao+findByName(TenantId,String) org.thingsboard.server.dao.device.DeviceProfileDao+findByName(TenantId,String)",org.thingsboard.server.dao.device.DeviceProfileServiceImpl+INCORRECT_DEVICE_PROFILE_NAME org.thingsboard.server.dao.device.DeviceProfileServiceImpl+deviceProfileDao,352,6,1,,"@Override
    public DeviceProfile findDeviceProfileByName(TenantId tenantId, String profileName) {
        log.trace(""Executing findDeviceProfileByName [{}][{}]"", tenantId, profileName);
        Validator.validateString(profileName, INCORRECT_DEVICE_PROFILE_NAME + profileName);
        return deviceProfileDao.findByName(tenantId, profileName);
    }",False
22,"findDeviceProfileInfoById(TenantId,DeviceProfileId)",Method,,,"org.thingsboard.server.dao.service.Validator+validateId(UUIDBased,String) org.thingsboard.server.dao.service.Validator+validateId(UUIDBased,String) org.thingsboard.server.dao.device.DeviceProfileDao+findDeviceProfileInfoById(TenantId,UUID) org.thingsboard.server.dao.device.DeviceProfileDao+findDeviceProfileInfoById(TenantId,UUID) org.thingsboard.server.common.data.id.UUIDBased+getId() org.thingsboard.server.common.data.id.UUIDBased+getId()",org.thingsboard.server.dao.device.DeviceProfileServiceImpl+INCORRECT_DEVICE_PROFILE_ID org.thingsboard.server.dao.device.DeviceProfileServiceImpl+deviceProfileDao,477,7,1,,"@Cacheable(cacheNames = DEVICE_PROFILE_CACHE, key = ""{'info', #deviceProfileId.id}"")
    @Override
    public DeviceProfileInfo findDeviceProfileInfoById(TenantId tenantId, DeviceProfileId deviceProfileId) {
        log.trace(""Executing findDeviceProfileById [{}]"", deviceProfileId);
        Validator.validateId(deviceProfileId, INCORRECT_DEVICE_PROFILE_ID + deviceProfileId);
        return deviceProfileDao.findDeviceProfileInfoById(tenantId, deviceProfileId.getId());
    }",False
