index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,keyStore,Field,"CertificateGeneratingX509ExtendedKeyManager(X509ExtendedKeyManager,KeyStore,char[])",,,,32,1,18,,private final KeyStore keyStore;,True
2,password,Field,"CertificateGeneratingX509ExtendedKeyManager(X509ExtendedKeyManager,KeyStore,char[])",,,,30,1,18,,private final char[] password;,True
3,existingCertificateAuthority,Field,,,,,64,1,18,,private final CertificateAuthority existingCertificateAuthority;,True
4,"CertificateGeneratingX509ExtendedKeyManager(X509ExtendedKeyManager,KeyStore,char[])",Method,,,com.github.tomakehurst.wiremock.http.ssl.CertificateGeneratingX509ExtendedKeyManager+findExistingCertificateAuthority() com.github.tomakehurst.wiremock.http.ssl.CertificateGeneratingX509ExtendedKeyManager+findExistingCertificateAuthority(),com.github.tomakehurst.wiremock.http.ssl.CertificateGeneratingX509ExtendedKeyManager+keyStore com.github.tomakehurst.wiremock.http.ssl.CertificateGeneratingX509ExtendedKeyManager+keyStore com.github.tomakehurst.wiremock.http.ssl.CertificateGeneratingX509ExtendedKeyManager+password com.github.tomakehurst.wiremock.http.ssl.CertificateGeneratingX509ExtendedKeyManager+password com.github.tomakehurst.wiremock.http.ssl.CertificateGeneratingX509ExtendedKeyManager+existingCertificateAuthority,305,6,1,,"public CertificateGeneratingX509ExtendedKeyManager(X509ExtendedKeyManager keyManager, KeyStore keyStore, char[] keyPassword) {
        super(keyManager);
        this.keyStore = keyStore;
        this.password = keyPassword;
        existingCertificateAuthority = findExistingCertificateAuthority();
    }",False
5,getPrivateKey(String),Method,getCertChainAndKey(String),com.github.tomakehurst.wiremock.http.ssl.CertificateGeneratingX509ExtendedKeyManagerChooseEngineServerAliasTest+generatesAndReturnsNewAliasForWorkingPrivateKey() com.github.tomakehurst.wiremock.http.ssl.CertificateGeneratingX509ExtendedKeyManagerChooseEngineServerAliasTest+generatesAndReturnsNewAliasForWorkingPrivateKey(),com.github.tomakehurst.wiremock.http.ssl.DelegatingX509ExtendedKeyManager+getPrivateKey(String) com.github.tomakehurst.wiremock.http.ssl.CertificateGeneratingX509ExtendedKeyManager+getDynamicPrivateKey(String) com.github.tomakehurst.wiremock.http.ssl.CertificateGeneratingX509ExtendedKeyManager+getDynamicPrivateKey(String),,199,5,1,,"@Override
    public PrivateKey getPrivateKey(String alias) {
        PrivateKey original = super.getPrivateKey(alias);
        return original == null ? getDynamicPrivateKey(alias) : original;
    }",False
6,getDynamicPrivateKey(String),Method,getPrivateKey(String),,"java.security.KeyStore+getKey(String,char[]) java.security.KeyStore+getKey(String,char[])",com.github.tomakehurst.wiremock.http.ssl.CertificateGeneratingX509ExtendedKeyManager+keyStore com.github.tomakehurst.wiremock.http.ssl.CertificateGeneratingX509ExtendedKeyManager+password,271,7,2,,"private PrivateKey getDynamicPrivateKey(String alias) {
        try {
            return (PrivateKey) keyStore.getKey(alias, password);
        } catch (KeyStoreException | NoSuchAlgorithmException | UnrecoverableKeyException e) {
            return null;
        }
    }",True
7,getCertificateChain(String),Method,"chooseServerAlias(String,String,List<SNIHostName>) getCertChainAndKey(String)",com.github.tomakehurst.wiremock.http.ssl.CertificateGeneratingX509ExtendedKeyManagerChooseEngineServerAliasTest+generatesAndReturnsNewAliasForWorkingPrivateKey() com.github.tomakehurst.wiremock.http.ssl.CertificateGeneratingX509ExtendedKeyManagerChooseEngineServerAliasTest+generatesAndReturnsNewAliasForWorkingPrivateKey() com.github.tomakehurst.wiremock.http.ssl.CertificateGeneratingX509ExtendedKeyManagerChooseEngineServerAliasTest+generatesAndReturnsNewAliasForWorkingPrivateKey(),com.github.tomakehurst.wiremock.http.ssl.DelegatingX509ExtendedKeyManager+getCertificateChain(String) com.github.tomakehurst.wiremock.http.ssl.CertificateGeneratingX509ExtendedKeyManager+getDynamicCertificateChain(String) com.github.tomakehurst.wiremock.http.ssl.CertificateGeneratingX509ExtendedKeyManager+getDynamicCertificateChain(String),,293,9,1,,"@Override
    public X509Certificate[] getCertificateChain(String alias) {
        X509Certificate[] original = super.getCertificateChain(alias);
        if (original == null) {
            return getDynamicCertificateChain(alias);
        } else {
            return original;
        }
    }",False
8,getDynamicCertificateChain(String),Method,getCertificateChain(String),,java.security.KeyStore+getCertificateChain(String) java.security.KeyStore+getCertificateChain(String) com.github.tomakehurst.wiremock.http.ssl.CertificateGeneratingX509ExtendedKeyManager+areX509Certificates(Certificate[]) com.github.tomakehurst.wiremock.http.ssl.CertificateGeneratingX509ExtendedKeyManager+areX509Certificates(Certificate[]) com.github.tomakehurst.wiremock.http.ssl.CertificateGeneratingX509ExtendedKeyManager+convertToX509(Certificate[]) com.github.tomakehurst.wiremock.http.ssl.CertificateGeneratingX509ExtendedKeyManager+convertToX509(Certificate[]),com.github.tomakehurst.wiremock.http.ssl.CertificateGeneratingX509ExtendedKeyManager+keyStore,434,12,2,,"private X509Certificate[] getDynamicCertificateChain(String alias) {
        try {
            Certificate[] fromKeyStore = keyStore.getCertificateChain(alias);
            if (fromKeyStore != null && areX509Certificates(fromKeyStore)) {
                return convertToX509(fromKeyStore);
            } else {
                return null;
            }
        } catch (KeyStoreException e) {
            return null;
        }
    }",True
9,areX509Certificates(Certificate[]),Method,getDynamicCertificateChain(String),,,,165,3,10,,"private static boolean areX509Certificates(Certificate[] fromKeyStore) {
        return fromKeyStore.length == 0 || fromKeyStore[0] instanceof X509Certificate;
    }",True
10,convertToX509(Certificate[]),Method,getDynamicCertificateChain(String),,,,307,7,10,,"private static X509Certificate[] convertToX509(Certificate[] fromKeyStore) {
        X509Certificate[] result = new X509Certificate[fromKeyStore.length];
        for (int i = 0; i < fromKeyStore.length; i++) {
            result[i] = (X509Certificate) fromKeyStore[i];
        }
        return result;
    }",True
