index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,CLASS_RULE,Field,,,,,119,3,25,,"@ClassRule
  public static final HBaseClassTestRule CLASS_RULE =
      HBaseClassTestRule.forClass(TestBulkLoad.class);",False
2,testFolder,Field,,,,,78,2,9,,"@ClassRule
  public static TemporaryFolder testFolder = new TemporaryFolder();",True
3,TEST_UTIL,Field,,,,,73,1,10,,private static HBaseTestingUtility TEST_UTIL = new HBaseTestingUtility();,True
4,log,Field,,,,,40,1,18,,private final WAL log = mock(WAL.class);,True
5,conf,Field,,,,,63,1,18,,private final Configuration conf = HBaseConfiguration.create();,True
6,random,Field,,,,,43,1,18,,private final Random random = new Random();,True
7,randomBytes,Field,,,,,49,1,18,,private final byte[] randomBytes = new byte[100];,True
8,family1,Field,,,,,56,1,18,,"private final byte[] family1 = Bytes.toBytes(""family1"");",False
9,family2,Field,,,,,56,1,18,,"private final byte[] family2 = Bytes.toBytes(""family2"");",True
10,family3,Field,,,,,56,1,18,,"private final byte[] family3 = Bytes.toBytes(""family3"");",True
11,name,Field,,,,,46,2,1,,"@Rule
  public TestName name = new TestName();",True
12,before(),Method,,,java.util.Random+nextBytes(byte[]) java.util.Random+nextBytes(byte[]),org.apache.hadoop.hbase.regionserver.TestBulkLoad+random org.apache.hadoop.hbase.regionserver.TestBulkLoad+randomBytes,158,5,1,,"@Before
  public void before() throws IOException {
    random.nextBytes(randomBytes);
    // Mockito.when(log.append(htd, info, key, edits, inMemstore));
  }",True
