index,name,document,type,inner invocations,external invocations,calls,visits,length,lines,modifier,commit,full text,moved,removed,gpt text,gpt response,code summary
1,LOG,log ,Field,,,,,83,1,26,,private static final Logger LOG = LoggerFactory.getLogger(MetaTableAccessor.class);,False,False,,False,
2,METALOG,metalog ,Field,,,,,94,1,26,,"private static final Logger METALOG = LoggerFactory.getLogger(""org.apache.hadoop.hbase.META"");",False,False,,False,
3,MetaTableAccessor(),meta table accessor ,Method,,,,,33,2,2,,"private MetaTableAccessor() {
  }",False,False,This method serves as a private constructor for the MetaTableAccessor class.,False,The code snippet shows a private constructor for a class named MetaTableAccessor. This constructor is empty and does not take any parameters. It is likely used to prevent the instantiation of the class from outside its own scope.
4,REPLICATION_PARENT_QUALIFIER,replication parent qualifier ,Field,,,,,103,2,25,,"@VisibleForTesting
  public static final byte[] REPLICATION_PARENT_QUALIFIER = Bytes.toBytes(""parent"");",True,True,,False,
5,ESCAPE_BYTE,escape byte ,Field,,,,,52,1,26,,private static final byte ESCAPE_BYTE = (byte) 0xFF;,True,True,,False,
6,SEPARATED_BYTE,separated byte ,Field,,,,,48,1,26,,private static final byte SEPARATED_BYTE = 0x00;,True,True,,False,
7,"fullScanRegions(Connection,ClientMetaTableAccessor.Visitor)",full scan regions connection visitor performs a full scan of hbase meta for regions param connection connection we re using param visitor visitor invoked against each row in regions family ,Method,,,"org.apache.hadoop.hbase.MetaTableAccessor+scanMeta(Connection,byte[],byte[],QueryType,Visitor) org.apache.hadoop.hbase.MetaTableAccessor+scanMeta(Connection,byte[],byte[],QueryType,Visitor)",,394,9,9,"/** 
 * Performs a full scan of <code>hbase:meta</code> for regions.
 * @param connection connection we're using
 * @param visitor Visitor invoked against each row in regions family.
 */
","/**
   * Performs a full scan of <code>hbase:meta</code> for regions.
   * @param connection connection we're using
   * @param visitor Visitor invoked against each row in regions family.
   */
  public static void fullScanRegions(Connection connection,
    final ClientMetaTableAccessor.Visitor visitor) throws IOException {
    scanMeta(connection, null, null, QueryType.REGION, visitor);
  }",False,False,"This method performs a full scan of the ""hbase:meta"" table for regions. It takes a connection and a visitor as parameters, and invokes the visitor against each row in the regions family.",False,"The given code is a method named ""fullScanRegions"" that performs a full scan of the ""hbase:meta"" table for regions. It takes a connection and a visitor as parameters, where the visitor is invoked against each row in the regions family."
8,fullScanRegions(Connection),full scan regions connection performs a full scan of hbase meta for regions param connection connection we re using ,Method,,org.apache.hadoop.hbase.master.TestMasterOperationsForRegionReplicas+testCreateTableWithMultipleReplicas() org.apache.hadoop.hbase.util.hbck.OfflineMetaRebuildTestCore+scanMeta(),"org.apache.hadoop.hbase.MetaTableAccessor+fullScan(Connection,QueryType) org.apache.hadoop.hbase.MetaTableAccessor+fullScan(Connection,QueryType)",,265,7,9,"/** 
 * Performs a full scan of <code>hbase:meta</code> for regions.
 * @param connection connection we're using
 */
","/**
   * Performs a full scan of <code>hbase:meta</code> for regions.
   * @param connection connection we're using
   */
  public static List<Result> fullScanRegions(Connection connection) throws IOException {
    return fullScan(connection, QueryType.REGION);
  }",False,False,"The function performs a full scan of the ""hbase:meta"" table in HBase to retrieve information about regions. It takes a connection as input and returns a list of results.",False,"The given code is a method named ""fullScanRegions"" that performs a full scan of the ""hbase:meta"" table in HBase to retrieve information about regions. It takes a connection object as a parameter and returns a list of Result objects."
9,"fullScanTables(Connection,ClientMetaTableAccessor.Visitor)",full scan tables connection visitor performs a full scan of hbase meta for tables param connection connection we re using param visitor visitor invoked against each row in tables family ,Method,,,"org.apache.hadoop.hbase.MetaTableAccessor+scanMeta(Connection,byte[],byte[],QueryType,Visitor) org.apache.hadoop.hbase.MetaTableAccessor+scanMeta(Connection,byte[],byte[],QueryType,Visitor)",,390,9,9,"/** 
 * Performs a full scan of <code>hbase:meta</code> for tables.
 * @param connection connection we're using
 * @param visitor Visitor invoked against each row in tables family.
 */
","/**
   * Performs a full scan of <code>hbase:meta</code> for tables.
   * @param connection connection we're using
   * @param visitor Visitor invoked against each row in tables family.
   */
  public static void fullScanTables(Connection connection,
    final ClientMetaTableAccessor.Visitor visitor) throws IOException {
    scanMeta(connection, null, null, QueryType.TABLE, visitor);
  }",False,False,"The function of this method is to perform a full scan of the ""hbase:meta"" table for tables. It takes a connection and a visitor as parameters, and invokes the visitor against each row in the tables family.",False,"The function `fullScanTables` performs a full scan of the `hbase:meta` table in HBase for tables. It takes a connection and a visitor as parameters, where the visitor is invoked against each row in the tables family."
10,"fullScan(Connection,QueryType)",full scan connection type performs a full scan of hbase meta param connection connection we re using param type scanned part of meta return list of link result ,Method,fullScanRegions(Connection),,"org.apache.hadoop.hbase.ClientMetaTableAccessor.CollectAllVisitor+CollectAllVisitor() org.apache.hadoop.hbase.MetaTableAccessor+scanMeta(Connection,byte[],byte[],QueryType,Visitor) org.apache.hadoop.hbase.MetaTableAccessor+scanMeta(Connection,byte[],byte[],QueryType,Visitor) org.apache.hadoop.hbase.ClientMetaTableAccessor.CollectingVisitor+getResults() org.apache.hadoop.hbase.ClientMetaTableAccessor.CollectingVisitor+getResults()",,459,11,10,"/** 
 * Performs a full scan of <code>hbase:meta</code>.
 * @param connection connection we're using
 * @param type scanned part of meta
 * @return List of {@link Result}
 */
","/**
   * Performs a full scan of <code>hbase:meta</code>.
   * @param connection connection we're using
   * @param type scanned part of meta
   * @return List of {@link Result}
   */
  private static List<Result> fullScan(Connection connection, QueryType type) throws IOException {
    ClientMetaTableAccessor.CollectAllVisitor v = new ClientMetaTableAccessor.CollectAllVisitor();
    scanMeta(connection, null, null, type, v);
    return v.getResults();
  }",False,False,"This method performs a full scan of the ""hbase:meta"" table using the given connection and query type. It returns a list of Result objects obtained from the scan.",False,"The given code is a private method named ""fullScan"" that performs a full scan of the ""hbase:meta"" table. It takes a connection and a query type as parameters and returns a list of Result objects. The method uses the ClientMetaTableAccessor.CollectAllVisitor class to collect all the results from the scan."
11,getMetaHTable(Connection),get meta h table connection callers should call close on the returned link table instance param connection connection we re using to access meta return an link table for hbase meta throws null pointer exception if code connection is code null ,Method,"getRegionLocation(Connection,byte[]) getCatalogFamilyRow(Connection,RegionInfo) getRegionResult(Connection,byte[]) scanByRegionEncodedName(Connection,String) scanMeta(Connection,byte[],byte[],QueryType,Filter,int,ClientMetaTableAccessor.Visitor) getClosestRegionInfo(Connection,TableName,byte[]) getTableState(Connection,TableName) putToMetaTable(Connection,Put) putsToMetaTable(Connection,List<Put>) deleteFromMetaTable(Connection,List<Delete>) addSplitsToParent(Connection,RegionInfo,RegionInfo,RegionInfo) getReplicationBarrierResult(Connection,TableName,byte[],byte[]) getReplicationBarrier(Connection,byte[])",org.apache.hadoop.hbase.master.TestMetaFixer+testMergeWithMergedChildRegion() org.apache.hadoop.hbase.TestMetaTableAccessor+testMetaLocationsForRegionReplicas() org.apache.hadoop.hbase.TestMetaTableAccessor+testMetaLocationForRegionReplicasIsRemovedAtTableDeletion() org.apache.hadoop.hbase.TestMetaTableAccessor+testMetaLocationForRegionReplicasIsAddedAtTableCreation() org.apache.hadoop.hbase.TestMetaTableAccessor+testMetaLocationForRegionReplicasIsAddedAtRegionSplit() org.apache.hadoop.hbase.TestMetaTableAccessor+testMetaLocationForRegionReplicasIsAddedAtRegionMerge() org.apache.hadoop.hbase.TestMetaTableAccessor+testMastersSystemTimeIsUsedInUpdateLocations() org.apache.hadoop.hbase.TestMetaTableAccessor+testMastersSystemTimeIsUsedInMergeRegions() org.apache.hadoop.hbase.TestMetaTableAccessor+testEmptyMetaDaughterLocationDuringSplit() org.apache.hadoop.hbase.util.TestHBaseFsckCleanReplicationBarriers+testCleanReplicationBarrierWithDeletedTable(),"java.util.Objects+requireNonNull(T,String) java.util.Objects+requireNonNull(T,String) org.apache.hadoop.hbase.client.Connection+isClosed() org.apache.hadoop.hbase.client.Connection+isClosed() java.io.IOException+IOException(String) org.apache.hadoop.hbase.client.Connection+getTable(TableName) org.apache.hadoop.hbase.client.Connection+getTable(TableName)",org.apache.hadoop.hbase.TableName+META_TABLE_NAME,665,14,9,"/** 
 * Callers should call close on the returned  {@link Table} instance.
 * @param connection connection we're using to access Meta
 * @return An {@link Table} for <code>hbase:meta</code>
 * @throws NullPointerException if {@code connection} is {@code null}
 */
","/**
   * Callers should call close on the returned {@link Table} instance.
   * @param connection connection we're using to access Meta
   * @return An {@link Table} for <code>hbase:meta</code>
   * @throws NullPointerException if {@code connection} is {@code null}
   */
  public static Table getMetaHTable(final Connection connection) throws IOException {
    // We used to pass whole CatalogTracker in here, now we just pass in Connection
    Objects.requireNonNull(connection, ""Connection cannot be null"");
    if (connection.isClosed()) {
      throw new IOException(""connection is closed"");
    }
    return connection.getTable(TableName.META_TABLE_NAME);
  }",False,False,"This method returns a Table instance for accessing the ""hbase:meta"" table. Callers should remember to close the returned Table instance. It throws a NullPointerException if the connection parameter is null, and an IOException if the connection is closed.",False,This code defines a method called `getMetaHTable` that takes a `Connection` object as a parameter and returns a `Table` object for accessing the `hbase:meta` table. The method checks if the connection is null or closed and throws appropriate exceptions if necessary.
12,"getRegion(Connection,byte[])",get region connection region name gets the region info and assignment for the specified region param connection connection we re using param region name region to lookup return location and region info for region name deprecated use link get region location connection byte instead ,Method,,"org.apache.hadoop.hbase.master.MasterRpcServices+unassignRegion(RpcController,UnassignRegionRequest) org.apache.hadoop.hbase.master.TestMaster+testMasterOpsWhileSplitting() org.apache.hadoop.hbase.TestMetaTableAccessor+testGetRegion() org.apache.hadoop.hbase.TestMetaTableAccessor+testGettingTableRegions(Connection,TableName,int) org.apache.hadoop.hbase.TestMetaTableAccessor+testGetRegion(Connection,RegionInfo)","org.apache.hadoop.hbase.MetaTableAccessor+getRegionLocation(Connection,byte[]) org.apache.hadoop.hbase.MetaTableAccessor+getRegionLocation(Connection,byte[]) org.apache.hadoop.hbase.HRegionLocation+getRegion() org.apache.hadoop.hbase.HRegionLocation+getRegion() org.apache.hadoop.hbase.HRegionLocation+getServerName() org.apache.hadoop.hbase.HRegionLocation+getServerName()",,615,13,9,"/** 
 * Gets the region info and assignment for the specified region.
 * @param connection connection we're using
 * @param regionName Region to lookup.
 * @return Location and RegionInfo for <code>regionName</code>
 * @deprecated use {@link #getRegionLocation(Connection,byte[])} instead
 */
","/**
   * Gets the region info and assignment for the specified region.
   * @param connection connection we're using
   * @param regionName Region to lookup.
   * @return Location and RegionInfo for <code>regionName</code>
   * @deprecated use {@link #getRegionLocation(Connection, byte[])} instead
   */
  @Deprecated
  public static Pair<RegionInfo, ServerName> getRegion(Connection connection, byte[] regionName)
    throws IOException {
    HRegionLocation location = getRegionLocation(connection, regionName);
    return location == null ? null : new Pair<>(location.getRegion(), location.getServerName());
  }",False,False,"This method retrieves the region information and assignment for a specified region. It takes a connection and a region name as parameters, and returns the location and region info for the specified region. It is deprecated and suggests using a different method instead.",False,"This code defines a deprecated method called ""getRegion"" that takes a connection and a region name as input and returns the location and region information for that region. It suggests using the ""getRegionLocation"" method instead."
