index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,A,Field,,,,,37,1,26,,"private static final String A  = ""A"";",True
2,B,Field,,,,,36,1,26,,"private static final String B = ""B"";",True
3,BOLT_NAME,Field,,,,,48,1,26,,"private static final String BOLT_NAME  = ""bolt"";",True
4,SPOUT_NAME,Field,,,,,49,1,26,,"private static final String SPOUT_NAME = ""spout"";",True
5,DEFAULT_CONTAINER_PADDING,Field,,,,,56,1,26,,private static final int DEFAULT_CONTAINER_PADDING = 10;,True
6,spoutParallelism,Field,setUp() setUp(),,,,29,1,2,,private int spoutParallelism;,True
7,boltParallelism,Field,setUp() setUp(),,,,28,1,2,,private int boltParallelism;,True
8,totalInstances,Field,setUp(),,,,31,1,2,,private Integer totalInstances;,True
9,topologyConfig,Field,setUp(),,,,52,1,2,,private com.twitter.heron.api.Config topologyConfig;,True
10,topology,Field,setUp(),,,,38,1,2,,private TopologyAPI.Topology topology;,True
11,instanceDefaultResources,Field,setUp(),,,,42,1,2,,private Resource instanceDefaultResources;,True
12,"getTopology(int,int,com.twitter.heron.api.Config)",Method,,,"com.twitter.heron.spi.utils.TopologyTests+createTopology(String,Config,String,String,int,int) com.twitter.heron.spi.utils.TopologyTests+createTopology(String,Config,String,String,int,int)",com.twitter.heron.packing.roundrobin.ResourceCompliantRRPackingTest+SPOUT_NAME com.twitter.heron.packing.roundrobin.ResourceCompliantRRPackingTest+BOLT_NAME,293,6,10,,"private static TopologyAPI.Topology getTopology(
      int spoutParallelism, int boltParallelism,
      com.twitter.heron.api.Config topologyConfig) {
    return TopologyTests.createTopology(""testTopology"", topologyConfig, SPOUT_NAME, BOLT_NAME,
        spoutParallelism, boltParallelism);
  }",True
