index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,mBackgroundColorResource,Field,setBackgroundColorResource(int) getBackgroundColor(Context),,,,37,1,2,,private int mBackgroundColorResource;,True
2,mBackgroundColorCode,Field,setBackgroundColor(String),,,,36,1,2,,private String mBackgroundColorCode;,True
3,mBackgroundColor,Field,setBackgroundColor(int),,,,41,1,2,,private int mBackgroundColor = Color.RED;,True
4,mTextColorResource,Field,setTextColorResource(int) getTextColor(Context),,,,31,1,2,,private int mTextColorResource;,True
5,mTextColorCode,Field,setTextColor(String),,,,30,1,2,,private String mTextColorCode;,True
6,mTextColor,Field,setTextColor(int),,,,37,1,2,,private int mTextColor = Color.WHITE;,True
7,mText,Field,setText(CharSequence),,,,27,1,2,,private CharSequence mText;,True
8,mBorderColorResource,Field,setBorderColorResource(int) getBorderColor(Context),,,,33,1,2,,private int mBorderColorResource;,True
9,mBorderColorCode,Field,setBorderColor(String),,,,32,1,2,,private String mBorderColorCode;,True
10,mBorderColor,Field,setBorderColor(int),,,,39,1,2,,private int mBorderColor = Color.WHITE;,True
11,mBorderWidth,Field,setBorderWidth(int),,,,29,1,2,,private int mBorderWidth = 0;,True
12,mGravity,Field,setGravity(int),,,,49,1,2,,private int mGravity = Gravity.TOP | Gravity.END;,False
13,mHideOnSelect,Field,setHideOnSelect(boolean),,,,30,1,2,,private boolean mHideOnSelect;,False
14,mTextViewRef,Field,setTextView(TextView),,,,45,1,2,,private WeakReference<TextView> mTextViewRef;,False
15,mIsHidden,Field,,,,,34,1,2,,private boolean mIsHidden = false;,False
16,mAnimationDuration,Field,setAnimationDuration(int),,,,37,1,2,,private int mAnimationDuration = 200;,False
17,setBackgroundColorResource(int),Method,,com.ashokvarma.bottomnavigation.sample.HomeActivity+refresh(),com.ashokvarma.bottomnavigation.BadgeItem+refreshDrawable() com.ashokvarma.bottomnavigation.BadgeItem+refreshDrawable(),com.ashokvarma.bottomnavigation.BadgeItem+mBackgroundColorResource com.ashokvarma.bottomnavigation.BadgeItem+mBackgroundColorResource,303,9,1,"/** 
 * @param colorResource resource for background color
 * @return this, to allow builder pattern
 */
","/**
     * @param colorResource resource for background color
     * @return this, to allow builder pattern
     */
    public BadgeItem setBackgroundColorResource(@ColorRes int colorResource) {
        this.mBackgroundColorResource = colorResource;
        refreshDrawable();
        return this;
    }",True
18,setBackgroundColor(String),Method,,,com.ashokvarma.bottomnavigation.BadgeItem+refreshDrawable() com.ashokvarma.bottomnavigation.BadgeItem+refreshDrawable(),com.ashokvarma.bottomnavigation.BadgeItem+mBackgroundColorCode com.ashokvarma.bottomnavigation.BadgeItem+mBackgroundColorCode,284,9,1,"/** 
 * @param colorCode color code for background color
 * @return this, to allow builder pattern
 */
","/**
     * @param colorCode color code for background color
     * @return this, to allow builder pattern
     */
    public BadgeItem setBackgroundColor(@Nullable String colorCode) {
        this.mBackgroundColorCode = colorCode;
        refreshDrawable();
        return this;
    }",True
19,setBackgroundColor(int),Method,,,com.ashokvarma.bottomnavigation.BadgeItem+refreshDrawable() com.ashokvarma.bottomnavigation.BadgeItem+refreshDrawable(),com.ashokvarma.bottomnavigation.BadgeItem+mBackgroundColor com.ashokvarma.bottomnavigation.BadgeItem+mBackgroundColor,240,9,1,"/** 
 * @param color background color
 * @return this, to allow builder pattern
 */
","/**
     * @param color background color
     * @return this, to allow builder pattern
     */
    public BadgeItem setBackgroundColor(int color) {
        this.mBackgroundColor = color;
        refreshDrawable();
        return this;
    }",True
