index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,DEFAULT_MAX_SIZE,Field,,,,,63,1,26,,private static final long   DEFAULT_MAX_SIZE  = Long.MAX_VALUE;,False
2,DEFAULT_MAX_COUNT,Field,,,,,66,1,26,,private static final int    DEFAULT_MAX_COUNT = Integer.MAX_VALUE;,False
3,CACHE_PREFIX,Field,,,,,55,1,26,,"private static final String CACHE_PREFIX      = ""cdu_"";",False
4,TYPE_BYTE,Field,,,,,54,1,26,,"private static final String TYPE_BYTE         = ""by_"";",False
5,TYPE_STRING,Field,,,,,54,1,26,,"private static final String TYPE_STRING       = ""st_"";",False
6,TYPE_JSON_OBJECT,Field,,,,,54,1,26,,"private static final String TYPE_JSON_OBJECT  = ""jo_"";",False
7,TYPE_JSON_ARRAY,Field,,,,,54,1,26,,"private static final String TYPE_JSON_ARRAY   = ""ja_"";",False
8,TYPE_BITMAP,Field,,,,,54,1,26,,"private static final String TYPE_BITMAP       = ""bi_"";",False
9,TYPE_DRAWABLE,Field,,,,,54,1,26,,"private static final String TYPE_DRAWABLE     = ""dr_"";",False
10,TYPE_PARCELABLE,Field,,,,,54,1,26,,"private static final String TYPE_PARCELABLE   = ""pa_"";",False
11,TYPE_SERIALIZABLE,Field,,,,,54,1,26,,"private static final String TYPE_SERIALIZABLE = ""se_"";",False
12,CACHE_MAP,Field,,,,,77,1,26,,"private static final Map<String, CacheDiskUtils> CACHE_MAP = new HashMap<>();",False
13,mCacheKey,Field,,,,,41,1,18,,private final String           mCacheKey;,False
14,mCacheDir,Field,,,,,41,1,18,,private final File             mCacheDir;,False
15,mMaxSize,Field,,,,,40,1,18,,private final long             mMaxSize;,False
16,mMaxCount,Field,,,,,41,1,18,,private final int              mMaxCount;,False
17,mDiskCacheManager,Field,,,,,49,1,2,,private       DiskCacheManager mDiskCacheManager;,False
18,getInstance(),Method,,com.blankj.utilcode.util.CacheDiskStaticUtils+getDefaultCacheDiskUtils() com.blankj.utilcode.util.CacheDoubleUtils+getInstance(),"com.blankj.utilcode.util.CacheDiskUtils+getInstance(String,long,int) com.blankj.utilcode.util.CacheDiskUtils+getInstance(String,long,int)",com.blankj.utilcode.util.CacheDiskUtils+DEFAULT_MAX_SIZE com.blankj.utilcode.util.CacheDiskUtils+DEFAULT_MAX_COUNT,398,11,9,"/** 
 * Return the single  {@link CacheDiskUtils} instance.<p>cache directory: /data/data/package/cache/cacheUtils</p> <p>cache size: unlimited</p> <p>cache count: unlimited</p>
 * @return the single {@link CacheDiskUtils} instance
 */
","/**
     * Return the single {@link CacheDiskUtils} instance.
     * <p>cache directory: /data/data/package/cache/cacheUtils</p>
     * <p>cache size: unlimited</p>
     * <p>cache count: unlimited</p>
     *
     * @return the single {@link CacheDiskUtils} instance
     */
    public static CacheDiskUtils getInstance() {
        return getInstance("""", DEFAULT_MAX_SIZE, DEFAULT_MAX_COUNT);
    }",False
19,getInstance(String),Method,,,"com.blankj.utilcode.util.CacheDiskUtils+getInstance(String,long,int) com.blankj.utilcode.util.CacheDiskUtils+getInstance(String,long,int)",com.blankj.utilcode.util.CacheDiskUtils+DEFAULT_MAX_SIZE com.blankj.utilcode.util.CacheDiskUtils+DEFAULT_MAX_COUNT,470,12,9,"/** 
 * Return the single  {@link CacheDiskUtils} instance.<p>cache directory: /data/data/package/cache/cacheUtils</p> <p>cache size: unlimited</p> <p>cache count: unlimited</p>
 * @param cacheName The name of cache.
 * @return the single {@link CacheDiskUtils} instance
 */
","/**
     * Return the single {@link CacheDiskUtils} instance.
     * <p>cache directory: /data/data/package/cache/cacheUtils</p>
     * <p>cache size: unlimited</p>
     * <p>cache count: unlimited</p>
     *
     * @param cacheName The name of cache.
     * @return the single {@link CacheDiskUtils} instance
     */
    public static CacheDiskUtils getInstance(final String cacheName) {
        return getInstance(cacheName, DEFAULT_MAX_SIZE, DEFAULT_MAX_COUNT);
    }",False
20,"getInstance(long,int)",Method,,,"com.blankj.utilcode.util.CacheDiskUtils+getInstance(String,long,int) com.blankj.utilcode.util.CacheDiskUtils+getInstance(String,long,int)",,448,11,9,"/** 
 * Return the single  {@link CacheDiskUtils} instance.<p>cache directory: /data/data/package/cache/cacheUtils</p>
 * @param maxSize  The max size of cache, in bytes.
 * @param maxCount The max count of cache.
 * @return the single {@link CacheDiskUtils} instance
 */
","/**
     * Return the single {@link CacheDiskUtils} instance.
     * <p>cache directory: /data/data/package/cache/cacheUtils</p>
     *
     * @param maxSize  The max size of cache, in bytes.
     * @param maxCount The max count of cache.
     * @return the single {@link CacheDiskUtils} instance
     */
    public static CacheDiskUtils getInstance(final long maxSize, final int maxCount) {
        return getInstance("""", maxSize, maxCount);
    }",False
21,"getInstance(String,long,int)",Method,"getInstance() getInstance(String) getInstance(long,int)",,"com.blankj.utilcode.util.CacheDiskUtils+isSpace(String) com.blankj.utilcode.util.CacheDiskUtils+isSpace(String) java.io.File+File(String,String) com.blankj.utilcode.util.Utils+getApp() com.blankj.utilcode.util.Utils+getApp() com.blankj.utilcode.util.CacheDiskUtils+getInstance(File,long,int) com.blankj.utilcode.util.CacheDiskUtils+getInstance(File,long,int)",,641,14,9,"/** 
 * Return the single  {@link CacheDiskUtils} instance.<p>cache directory: /data/data/package/cache/cacheName</p>
 * @param cacheName The name of cache.
 * @param maxSize   The max size of cache, in bytes.
 * @param maxCount  The max count of cache.
 * @return the single {@link CacheDiskUtils} instance
 */
","/**
     * Return the single {@link CacheDiskUtils} instance.
     * <p>cache directory: /data/data/package/cache/cacheName</p>
     *
     * @param cacheName The name of cache.
     * @param maxSize   The max size of cache, in bytes.
     * @param maxCount  The max count of cache.
     * @return the single {@link CacheDiskUtils} instance
     */
    public static CacheDiskUtils getInstance(String cacheName, final long maxSize, final int maxCount) {
        if (isSpace(cacheName)) cacheName = ""cacheUtils"";
        File file = new File(Utils.getApp().getCacheDir(), cacheName);
        return getInstance(file, maxSize, maxCount);
    }",False
22,getInstance(File),Method,,,"com.blankj.utilcode.util.CacheDiskUtils+getInstance(File,long,int) com.blankj.utilcode.util.CacheDiskUtils+getInstance(File,long,int)",com.blankj.utilcode.util.CacheDiskUtils+DEFAULT_MAX_SIZE com.blankj.utilcode.util.CacheDiskUtils+DEFAULT_MAX_COUNT,412,11,9,"/** 
 * Return the single  {@link CacheDiskUtils} instance.<p>cache size: unlimited</p> <p>cache count: unlimited</p>
 * @param cacheDir The directory of cache.
 * @return the single {@link CacheDiskUtils} instance
 */
","/**
     * Return the single {@link CacheDiskUtils} instance.
     * <p>cache size: unlimited</p>
     * <p>cache count: unlimited</p>
     *
     * @param cacheDir The directory of cache.
     * @return the single {@link CacheDiskUtils} instance
     */
    public static CacheDiskUtils getInstance(@NonNull final File cacheDir) {
        return getInstance(cacheDir, DEFAULT_MAX_SIZE, DEFAULT_MAX_COUNT);
    }",False
23,"getInstance(File,long,int)",Method,"getInstance(String,long,int) getInstance(File)",,"java.io.File+getAbsoluteFile() java.io.File+getAbsoluteFile() java.util.Map+get(Object) java.util.Map+get(Object) java.util.Map+get(Object) java.util.Map+get(Object) com.blankj.utilcode.util.CacheDiskUtils+CacheDiskUtils(String,File,long,int) java.util.Map+put(K,V) java.util.Map+put(K,V)",com.blankj.utilcode.util.CacheDiskUtils+CACHE_MAP com.blankj.utilcode.util.CacheDiskUtils+CACHE_MAP com.blankj.utilcode.util.CacheDiskUtils+CACHE_MAP,1014,24,9,"/** 
 * Return the single  {@link CacheDiskUtils} instance.
 * @param cacheDir The directory of cache.
 * @param maxSize  The max size of cache, in bytes.
 * @param maxCount The max count of cache.
 * @return the single {@link CacheDiskUtils} instance
 */
","/**
     * Return the single {@link CacheDiskUtils} instance.
     *
     * @param cacheDir The directory of cache.
     * @param maxSize  The max size of cache, in bytes.
     * @param maxCount The max count of cache.
     * @return the single {@link CacheDiskUtils} instance
     */
    public static CacheDiskUtils getInstance(@NonNull final File cacheDir,
                                             final long maxSize,
                                             final int maxCount) {
        final String cacheKey = cacheDir.getAbsoluteFile() + ""_"" + maxSize + ""_"" + maxCount;
        CacheDiskUtils cache = CACHE_MAP.get(cacheKey);
        if (cache == null) {
            synchronized (CacheDiskUtils.class) {
                cache = CACHE_MAP.get(cacheKey);
                if (cache == null) {
                    cache = new CacheDiskUtils(cacheKey, cacheDir, maxSize, maxCount);
                    CACHE_MAP.put(cacheKey, cache);
                }
            }
        }
        return cache;
    }",False
24,"CacheDiskUtils(String,File,long,int)",Method,,,,com.blankj.utilcode.util.CacheDiskUtils+mCacheKey com.blankj.utilcode.util.CacheDiskUtils+mCacheDir com.blankj.utilcode.util.CacheDiskUtils+mMaxSize com.blankj.utilcode.util.CacheDiskUtils+mMaxCount,313,9,2,,"private CacheDiskUtils(final String cacheKey,
                           final File cacheDir,
                           final long maxSize,
                           final int maxCount) {
        mCacheKey = cacheKey;
        mCacheDir = cacheDir;
        mMaxSize = maxSize;
        mMaxCount = maxCount;
    }",False
25,getDiskCacheManager(),Method,"realPutBytes(String,byte[],int) realGetBytes(String,byte[]) getCacheSize() getCacheCount() remove(String) clear()",,"java.io.File+exists() java.io.File+exists() com.blankj.utilcode.util.CacheDiskUtils.DiskCacheManager+DiskCacheManager(File,long,int) java.io.File+mkdirs() java.io.File+mkdirs() com.blankj.utilcode.util.CacheDiskUtils.DiskCacheManager+DiskCacheManager(File,long,int) java.io.File+getAbsolutePath() java.io.File+getAbsolutePath()",com.blankj.utilcode.util.CacheDiskUtils+mCacheDir com.blankj.utilcode.util.CacheDiskUtils+mDiskCacheManager com.blankj.utilcode.util.CacheDiskUtils+mDiskCacheManager com.blankj.utilcode.util.CacheDiskUtils+mCacheDir com.blankj.utilcode.util.CacheDiskUtils+mMaxSize com.blankj.utilcode.util.CacheDiskUtils+mMaxCount com.blankj.utilcode.util.CacheDiskUtils+mCacheDir com.blankj.utilcode.util.CacheDiskUtils+mDiskCacheManager com.blankj.utilcode.util.CacheDiskUtils+mCacheDir com.blankj.utilcode.util.CacheDiskUtils+mMaxSize com.blankj.utilcode.util.CacheDiskUtils+mMaxCount com.blankj.utilcode.util.CacheDiskUtils+mCacheDir com.blankj.utilcode.util.CacheDiskUtils+mDiskCacheManager,555,14,2,,"private DiskCacheManager getDiskCacheManager() {
        if (mCacheDir.exists()) {
            if (mDiskCacheManager == null) {
                mDiskCacheManager = new DiskCacheManager(mCacheDir, mMaxSize, mMaxCount);
            }
        } else {
            if (mCacheDir.mkdirs()) {
                mDiskCacheManager = new DiskCacheManager(mCacheDir, mMaxSize, mMaxCount);
            } else {
                Log.e(""CacheDiskUtils"", ""can't make dirs in "" + mCacheDir.getAbsolutePath());
            }
        }
        return mDiskCacheManager;
    }",False
26,toString(),Method,,"com.blankj.utilcode.util.CacheDoubleUtils+getInstance(CacheMemoryUtils,CacheDiskUtils)",java.lang.Integer+toHexString(int) java.lang.Integer+toHexString(int) java.lang.Object+hashCode() java.lang.Object+hashCode(),com.blankj.utilcode.util.CacheDiskUtils+mCacheKey,112,4,1,,"@Override
    public String toString() {
        return mCacheKey + ""@"" + Integer.toHexString(hashCode());
    }",False
27,"put(String,byte[])",Method,,"com.blankj.utilcode.util.CacheDiskStaticUtils+put(String,byte[],CacheDiskUtils) com.blankj.utilcode.util.CacheDiskUtilsTest+setUp()","com.blankj.utilcode.util.CacheDiskUtils+put(String,byte[],int) com.blankj.utilcode.util.CacheDiskUtils+put(String,byte[],int)",,227,9,1,"/** 
 * Put bytes in cache.
 * @param key   The key of cache.
 * @param value The value of cache.
 */
","/**
     * Put bytes in cache.
     *
     * @param key   The key of cache.
     * @param value The value of cache.
     */
    public void put(@NonNull final String key, final byte[] value) {
        put(key, value, -1);
    }",False
28,"put(String,byte[],int)",Method,"put(String,byte[])","com.blankj.utilcode.util.CacheDiskStaticUtils+put(String,byte[],int,CacheDiskUtils) com.blankj.utilcode.util.CacheDoubleUtils+put(String,byte[],int) com.blankj.utilcode.util.CacheDiskUtilsTest+setUp()","com.blankj.utilcode.util.CacheDiskUtils+realPutBytes(String,byte[],int) com.blankj.utilcode.util.CacheDiskUtils+realPutBytes(String,byte[],int)",com.blankj.utilcode.util.CacheDiskUtils+TYPE_BYTE,339,10,1,"/** 
 * Put bytes in cache.
 * @param key      The key of cache.
 * @param value    The value of cache.
 * @param saveTime The save time of cache, in seconds.
 */
","/**
     * Put bytes in cache.
     *
     * @param key      The key of cache.
     * @param value    The value of cache.
     * @param saveTime The save time of cache, in seconds.
     */
    public void put(@NonNull final String key, final byte[] value, final int saveTime) {
        realPutBytes(TYPE_BYTE + key, value, saveTime);
    }",False
29,"realPutBytes(String,byte[],int)",Method,"put(String,byte[],int) put(String,String,int) put(String,JSONObject,int) put(String,JSONArray,int) put(String,Bitmap,int) put(String,Drawable,int) put(String,Parcelable,int) put(String,Serializable,int)",,"com.blankj.utilcode.util.CacheDiskUtils+getDiskCacheManager() com.blankj.utilcode.util.CacheDiskUtils+getDiskCacheManager() com.blankj.utilcode.util.CacheDiskUtils.DiskCacheHelper+newByteArrayWithTime(int,byte[]) com.blankj.utilcode.util.CacheDiskUtils.DiskCacheHelper+newByteArrayWithTime(int,byte[]) com.blankj.utilcode.util.CacheDiskUtils.DiskCacheManager+getFileBeforePut(String) com.blankj.utilcode.util.CacheDiskUtils.DiskCacheManager+getFileBeforePut(String) com.blankj.utilcode.util.CacheDiskUtils+writeFileFromBytes(File,byte[]) com.blankj.utilcode.util.CacheDiskUtils+writeFileFromBytes(File,byte[]) com.blankj.utilcode.util.CacheDiskUtils.DiskCacheManager+updateModify(File) com.blankj.utilcode.util.CacheDiskUtils.DiskCacheManager+updateModify(File) com.blankj.utilcode.util.CacheDiskUtils.DiskCacheManager+put(File) com.blankj.utilcode.util.CacheDiskUtils.DiskCacheManager+put(File)",,499,10,2,,"private void realPutBytes(final String key, byte[] value, int saveTime) {
        if (value == null) return;
        DiskCacheManager diskCacheManager = getDiskCacheManager();
        if (diskCacheManager == null) return;
        if (saveTime >= 0) value = DiskCacheHelper.newByteArrayWithTime(saveTime, value);
        File file = diskCacheManager.getFileBeforePut(key);
        writeFileFromBytes(file, value);
        diskCacheManager.updateModify(file);
        diskCacheManager.put(file);
    }",False
