index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,DeviceUtils(),Method,,,java.lang.UnsupportedOperationException+UnsupportedOperationException(String),,107,3,2,,"private DeviceUtils() {
        throw new UnsupportedOperationException(""u can't instantiate me..."");
    }",False
2,isDeviceRooted(),Method,,,java.io.File+exists() java.io.File+File(String) java.io.File+exists(),,614,17,9,"/** 
 * Return whether device is rooted.
 * @return {@code true}: yes<br> {@code false}: no
 */
","/**
     * Return whether device is rooted.
     *
     * @return {@code true}: yes<br>{@code false}: no
     */
    public static boolean isDeviceRooted() {
        String su = ""su"";
        String[] locations = {""/system/bin/"", ""/system/xbin/"", ""/sbin/"", ""/system/sd/xbin/"",
                ""/system/bin/failsafe/"", ""/data/local/xbin/"", ""/data/local/bin/"", ""/data/local/"",
                ""/system/sbin/"", ""/usr/bin/"", ""/vendor/bin/""};
        for (String location : locations) {
            if (new File(location + su).exists()) {
                return true;
            }
        }
        return false;
    }",False
3,isAdbEnabled(),Method,,,com.blankj.utilcode.util.Utils+getApp() com.blankj.utilcode.util.Utils+getApp(),,372,12,9,"/** 
 * Return whether ADB is enabled.
 * @return {@code true}: yes<br> {@code false}: no
 */
","/**
     * Return whether ADB is enabled.
     *
     * @return {@code true}: yes<br>{@code false}: no
     */
    @RequiresApi(api = Build.VERSION_CODES.JELLY_BEAN_MR1)
    public static boolean isAdbEnabled() {
        return Settings.Secure.getInt(
                Utils.getApp().getContentResolver(),
                Settings.Global.ADB_ENABLED, 0
        ) > 0;
    }",False
4,getSDKVersionName(),Method,,,,,222,8,9,"/** 
 * Return the version name of device's system.
 * @return the version name of device's system
 */
","/**
     * Return the version name of device's system.
     *
     * @return the version name of device's system
     */
    public static String getSDKVersionName() {
        return android.os.Build.VERSION.RELEASE;
    }",False
5,getSDKVersionCode(),Method,,,,,211,8,9,"/** 
 * Return version code of device's system.
 * @return version code of device's system
 */
","/**
     * Return version code of device's system.
     *
     * @return version code of device's system
     */
    public static int getSDKVersionCode() {
        return android.os.Build.VERSION.SDK_INT;
    }",False
6,getAndroidID(),Method,,,com.blankj.utilcode.util.Utils+getApp() com.blankj.utilcode.util.Utils+getApp(),,370,13,9,"/** 
 * Return the android id of device.
 * @return the android id of device
 */
","/**
     * Return the android id of device.
     *
     * @return the android id of device
     */
    @SuppressLint(""HardwareIds"")
    public static String getAndroidID() {
        String id = Settings.Secure.getString(
                Utils.getApp().getContentResolver(),
                Settings.Secure.ANDROID_ID
        );
        return id == null ? """" : id;
    }",False
7,getMacAddress(),Method,,,com.blankj.utilcode.util.DeviceUtils+getMacAddress(String[]) com.blankj.utilcode.util.DeviceUtils+getMacAddress(String[]),,422,11,9,"/** 
 * Return the MAC address. <p>Must hold  {@code <uses-permission android:name=""android.permission.ACCESS_WIFI_STATE"" />}, {@code <uses-permission android:name=""android.permission.INTERNET"" />}</p>
 * @return the MAC address
 */
","/**
     * Return the MAC address.
     * <p>Must hold {@code <uses-permission android:name=""android.permission.ACCESS_WIFI_STATE"" />},
     * {@code <uses-permission android:name=""android.permission.INTERNET"" />}</p>
     *
     * @return the MAC address
     */
    @RequiresPermission(allOf = {ACCESS_WIFI_STATE, INTERNET})
    public static String getMacAddress() {
        return getMacAddress((String[]) null);
    }",False
8,getMacAddress(String),Method,,,"com.blankj.utilcode.util.DeviceUtils+getMacAddressByNetworkInterface() com.blankj.utilcode.util.DeviceUtils+getMacAddressByNetworkInterface() com.blankj.utilcode.util.DeviceUtils+isAddressNotInExcepts(String,String[]) com.blankj.utilcode.util.DeviceUtils+isAddressNotInExcepts(String,String[]) com.blankj.utilcode.util.DeviceUtils+getMacAddressByInetAddress() com.blankj.utilcode.util.DeviceUtils+getMacAddressByInetAddress() com.blankj.utilcode.util.DeviceUtils+isAddressNotInExcepts(String,String[]) com.blankj.utilcode.util.DeviceUtils+isAddressNotInExcepts(String,String[]) com.blankj.utilcode.util.DeviceUtils+getMacAddressByWifiInfo() com.blankj.utilcode.util.DeviceUtils+getMacAddressByWifiInfo() com.blankj.utilcode.util.DeviceUtils+isAddressNotInExcepts(String,String[]) com.blankj.utilcode.util.DeviceUtils+isAddressNotInExcepts(String,String[]) com.blankj.utilcode.util.DeviceUtils+getMacAddressByFile() com.blankj.utilcode.util.DeviceUtils+getMacAddressByFile() com.blankj.utilcode.util.DeviceUtils+isAddressNotInExcepts(String,String[]) com.blankj.utilcode.util.DeviceUtils+isAddressNotInExcepts(String,String[])",,1019,27,9,"/** 
 * Return the MAC address. <p>Must hold  {@code <uses-permission android:name=""android.permission.ACCESS_WIFI_STATE"" />}, {@code <uses-permission android:name=""android.permission.INTERNET"" />}</p>
 * @return the MAC address
 */
","/**
     * Return the MAC address.
     * <p>Must hold {@code <uses-permission android:name=""android.permission.ACCESS_WIFI_STATE"" />},
     * {@code <uses-permission android:name=""android.permission.INTERNET"" />}</p>
     *
     * @return the MAC address
     */
    @RequiresPermission(allOf = {ACCESS_WIFI_STATE, INTERNET})
    public static String getMacAddress(final String... excepts) {
        String macAddress = getMacAddressByNetworkInterface();
        if (isAddressNotInExcepts(macAddress, excepts)) {
            return macAddress;
        }
        macAddress = getMacAddressByInetAddress();
        if (isAddressNotInExcepts(macAddress, excepts)) {
            return macAddress;
        }
        macAddress = getMacAddressByWifiInfo();
        if (isAddressNotInExcepts(macAddress, excepts)) {
            return macAddress;
        }
        macAddress = getMacAddressByFile();
        if (isAddressNotInExcepts(macAddress, excepts)) {
            return macAddress;
        }
        return """";
    }",False
9,"isAddressNotInExcepts(String,String)",Method,,,java.lang.String+equals(Object) java.lang.String+equals(Object) java.lang.String+equals(Object) java.lang.String+equals(Object),,377,11,10,,"private static boolean isAddressNotInExcepts(final String address, final String... excepts) {
        if (excepts == null || excepts.length == 0) {
            return !""02:00:00:00:00:00"".equals(address);
        }
        for (String filter : excepts) {
            if (address.equals(filter)) {
                return false;
            }
        }
        return true;
    }",False
10,getMacAddressByWifiInfo(),Method,getMacAddress(String),,com.blankj.utilcode.util.Utils+getApp() com.blankj.utilcode.util.Utils+getApp() java.lang.Throwable+printStackTrace() java.lang.Throwable+printStackTrace(),,560,14,10,,"@SuppressLint({""MissingPermission"", ""HardwareIds""})
    private static String getMacAddressByWifiInfo() {
        try {
            final WifiManager wifi = (WifiManager) Utils.getApp()
                    .getApplicationContext().getSystemService(Context.WIFI_SERVICE);
            if (wifi != null) {
                final WifiInfo info = wifi.getConnectionInfo();
                if (info != null) return info.getMacAddress();
            }
        } catch (Exception e) {
            e.printStackTrace();
        }
        return ""02:00:00:00:00:00"";
    }",False
