index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,getParameterSize(List<String>),Method,getRootExecutionContext(String),org.cf.smalivm.opcode.InvokeOp+buildNonLocalCalleeContext(MethodState),java.lang.String+equals(Object) java.lang.String+equals(Object) java.lang.String+equals(Object) java.lang.String+equals(Object),,242,8,9,,"public static int getParameterSize(List<String> parameterTypes) {
        int result = 0;
        for (String type : parameterTypes) {
            result += type.equals(""J"") || type.equals(""D"") ? 2 : 1;
        }

        return result;
    }",False
2,buildLocalClasses(List<BuilderClassDef>),Method,"VirtualMachine(List<BuilderClassDef>,int,int,int)",,java.util.HashSet+HashSet(Collection) java.util.Set+add(E) java.util.Set+add(E),,350,9,10,,"private static Set<String> buildLocalClasses(List<BuilderClassDef> classDefs) {
        Set<String> result = new HashSet<String>(classDefs.size());
        for (BuilderClassDef classDef : classDefs) {
            String className = ReferenceUtil.getReferenceString(classDef);
            result.add(className);
        }

        return result;
    }",True
3,buildMethodDescriptorToBuilderMethod(List<BuilderClassDef>),Method,"VirtualMachine(List<BuilderClassDef>,int,int,int)",,java.util.HashMap+HashMap(Map),,522,11,10,,"private static Map<String, BuilderMethod> buildMethodDescriptorToBuilderMethod(List<BuilderClassDef> classDefs) {
        Map<String, BuilderMethod> result = new HashMap<String, BuilderMethod>(classDefs.size());
        for (BuilderClassDef classDef : classDefs) {
            for (BuilderMethod method : classDef.getMethods()) {
                String methodDescriptor = ReferenceUtil.getMethodDescriptor(method);
                result.put(methodDescriptor, method);
            }
        }

        return result;
    }",True
4,buildMethodDescriptorToParameterTypes(List<BuilderClassDef>),Method,"VirtualMachine(List<BuilderClassDef>,int,int,int)",,"java.util.HashMap+HashMap(Map) java.util.ArrayList+ArrayList(int) java.util.List+size() java.util.List+size() java.util.List+add(E) java.util.List+add(E) java.util.List+add(int,E) java.util.List+add(int,E) java.util.Map+put(K,V) java.util.Map+put(K,V)",,1243,24,10,,"private static Map<String, List<String>> buildMethodDescriptorToParameterTypes(List<BuilderClassDef> classDefs) {
        Map<String, List<String>> result = new HashMap<String, List<String>>(classDefs.size());
        for (BuilderClassDef classDef : classDefs) {
            for (BuilderMethod method : classDef.getMethods()) {
                List<? extends BuilderMethodParameter> builderParameters = method.getParameters();
                List<String> parameterTypes = new ArrayList<String>(builderParameters.size());
                for (BuilderMethodParameter builderParameter : builderParameters) {
                    parameterTypes.add(builderParameter.getType());
                }

                int accessFlags = method.getAccessFlags();
                boolean isStatic = ((accessFlags & AccessFlags.STATIC.getValue()) != 0);
                if (!isStatic) {
                    // First ""parameter"" for non-static methods is instance ref
                    parameterTypes.add(0, method.getDefiningClass());
                }

                String methodDescriptor = ReferenceUtil.getMethodDescriptor(method);
                result.put(methodDescriptor, parameterTypes);
            }
        }

        return result;
    }",True
5,buildMethodDescriptorToTryCatchList(List<BuilderClassDef>),Method,"VirtualMachine(List<BuilderClassDef>,int,int,int)",,java.util.HashMap+HashMap(),,843,17,10,,"private static Map<String, List<? extends TryBlock<? extends ExceptionHandler>>> buildMethodDescriptorToTryCatchList(
                    List<BuilderClassDef> classDefs) {
        Map<String, List<? extends TryBlock<? extends ExceptionHandler>>> result = new HashMap<String, List<? extends TryBlock<? extends ExceptionHandler>>>();
        for (BuilderClassDef classDef : classDefs) {
            for (BuilderMethod method : classDef.getMethods()) {
                String methodDescriptor = ReferenceUtil.getMethodDescriptor(method);
                MethodImplementation implementation = method.getImplementation();
                if (implementation == null) {
                    continue;
                }
                result.put(methodDescriptor, implementation.getTryBlocks());
            }
        }

        return result;

    }",True
6,getClassNameFromMethodDescriptor(String),Method,"execute(String,ExecutionContext,ExecutionContext,int[]) getRootExecutionContext(String)",,"java.lang.String+split(String,int) java.lang.String+split(String,int)",,138,3,10,,"private static String getClassNameFromMethodDescriptor(String methodDescriptor) {
        return methodDescriptor.split(""->"", 2)[0];
    }",False
7,"getMutableParameterConsensus(TIntList,ExecutionGraph,int)",Method,"collapseMultiverse(String,ExecutionGraph,ExecutionContext,ExecutionContext,int[])",,org.cf.smalivm.context.ExecutionGraph+getNodePile(int) org.cf.smalivm.context.ExecutionGraph+getNodePile(int) org.cf.smalivm.context.MethodState+peekParameter(int) org.cf.smalivm.context.ExecutionContext+getMethodState() org.cf.smalivm.context.ExecutionNode+getContext() org.cf.smalivm.context.ExecutionNode+getContext() org.cf.smalivm.context.ExecutionContext+getMethodState() org.cf.smalivm.context.MethodState+peekParameter(int) org.cf.smalivm.context.ExecutionGraph+getNodePile(int) org.cf.smalivm.context.ExecutionGraph+getNodePile(int) org.cf.smalivm.context.MethodState+peekParameter(int) org.cf.smalivm.context.ExecutionContext+getMethodState() org.cf.smalivm.context.ExecutionNode+getContext() org.cf.smalivm.context.ExecutionNode+getContext() org.cf.smalivm.context.ExecutionContext+getMethodState() org.cf.smalivm.context.MethodState+peekParameter(int) org.cf.smalivm.type.UnknownValue+UnknownValue(String) org.cf.smalivm.type.TypeUtil+getValueType(Object) org.cf.smalivm.type.TypeUtil+getValueType(Object),org.cf.smalivm.VirtualMachine+log org.cf.smalivm.VirtualMachine+log,976,22,10,,"private static Object getMutableParameterConsensus(TIntList addressList, ExecutionGraph graph, int parameterIndex) {
        ExecutionNode firstNode = graph.getNodePile(addressList.get(0)).get(0);
        Object value = firstNode.getContext().getMethodState().peekParameter(parameterIndex);
        int[] addresses = addressList.toArray();
        for (int address : addresses) {
            List<ExecutionNode> nodes = graph.getNodePile(address);
            for (ExecutionNode node : nodes) {
                Object otherValue = node.getContext().getMethodState().peekParameter(parameterIndex);

                if (value != otherValue) {
                    if (log.isTraceEnabled()) {
                        log.trace(""No conensus value for parameterIndex #"" + parameterIndex + "", returning unknown"");
                    }

                    return new UnknownValue(TypeUtil.getValueType(value));
                }
            }

        }

        return value;
    }",False
8,log,Field,,,,,96,1,26,,private static final Logger log = LoggerFactory.getLogger(VirtualMachine.class.getSimpleName());,False
9,DEFAULT_MAX_ADDRESS_VISITS,Field,,,,,58,1,26,,private static final int DEFAULT_MAX_ADDRESS_VISITS = 500;,False
10,DEFAULT_MAX_METHOD_VISITS,Field,,,,,86,1,26,,private static final int DEFAULT_MAX_METHOD_VISITS = DEFAULT_MAX_ADDRESS_VISITS * 500;,False
