index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,mNextLoadEnable,Field,,,,,40,1,2,,private boolean mNextLoadEnable = false;,False
2,mLoadingMoreEnable,Field,,,,,43,1,2,,private boolean mLoadingMoreEnable = false;,False
3,mFirstOnlyEnable,Field,isFirstOnly(boolean),,,,40,1,2,,private boolean mFirstOnlyEnable = true;,False
4,mOpenAnimationEnable,Field,openLoadAnimation(int) openLoadAnimation(BaseAnimation) openLoadAnimation(),,,,45,1,2,,private boolean mOpenAnimationEnable = false;,False
5,mEmptyEnable,Field,,,,,29,1,2,,private boolean mEmptyEnable;,False
6,mHeadAndEmptyEnable,Field,,,,,36,1,2,,private boolean mHeadAndEmptyEnable;,False
7,mFootAndEmptyEnable,Field,,,,,36,1,2,,private boolean mFootAndEmptyEnable;,False
8,mInterpolator,Field,,,,,62,1,2,,private Interpolator mInterpolator = new LinearInterpolator();,False
9,mDuration,Field,,,,,28,1,2,,private int mDuration = 300;,False
10,mLastPosition,Field,,,,,31,1,2,,private int mLastPosition = -1;,False
11,onRecyclerViewItemClickListener,Field,setOnRecyclerViewItemClickListener(OnRecyclerViewItemClickListener),,,,72,1,2,,private OnRecyclerViewItemClickListener onRecyclerViewItemClickListener;,False
12,onRecyclerViewItemLongClickListener,Field,setOnRecyclerViewItemLongClickListener(OnRecyclerViewItemLongClickListener),,,,80,1,2,,private OnRecyclerViewItemLongClickListener onRecyclerViewItemLongClickListener;,False
13,mRequestLoadMoreListener,Field,setOnLoadMoreListener(RequestLoadMoreListener),,,,57,1,2,,private RequestLoadMoreListener mRequestLoadMoreListener;,False
14,mCustomAnimation,Field,openLoadAnimation(BaseAnimation),,,,58,2,2,,"@AnimationType
    private BaseAnimation mCustomAnimation;",False
15,mSelectAnimation,Field,,,,,64,1,2,,private BaseAnimation mSelectAnimation = new AlphaInAnimation();,False
16,mHeaderView,Field,addHeaderView(View),,,,25,1,2,,private View mHeaderView;,False
17,mFooterView,Field,addFooterView(View),,,,25,1,2,,private View mFooterView;,False
18,pageSize,Field,"openLoadMore(int,boolean) setPageSize(int) getPageSize()",,,,26,1,2,,private int pageSize = -1;,False
19,mContentView,Field,,,,,26,1,2,,private View mContentView;,False
20,mEmptyView,Field,,,,,91,4,2,"/** 
 * View to show if there are no items to show.
 */
","/**
     * View to show if there are no items to show.
     */
    private View mEmptyView;",False
21,TAG,Field,,,,,75,1,28,,protected static final String TAG = BaseQuickAdapter.class.getSimpleName();,False
22,mContext,Field,"onCreateViewHolder(ViewGroup,int)",,,,27,1,4,,protected Context mContext;,False
23,mLayoutResId,Field,"BaseQuickAdapter(int,List<T>)",,,,27,1,4,,protected int mLayoutResId;,False
24,mLayoutInflater,Field,"onCreateViewHolder(ViewGroup,int)",,,,41,1,4,,protected LayoutInflater mLayoutInflater;,False
25,mData,Field,"BaseQuickAdapter(int,List<T>) setNewData(List<T>) addData(List<T>)",,,,24,1,4,,protected List<T> mData;,False
26,HEADER_VIEW,Field,,,,,52,1,28,,protected static final int HEADER_VIEW = 0x00000111;,False
27,LOADING_VIEW,Field,,,,,53,1,28,,protected static final int LOADING_VIEW = 0x00000222;,False
28,FOOTER_VIEW,Field,,,,,52,1,28,,protected static final int FOOTER_VIEW = 0x00000333;,False
29,EMPTY_VIEW,Field,,,,,51,1,28,,protected static final int EMPTY_VIEW = 0x00000555;,False
30,mLoadingView,Field,setLoadingView(View),,,,26,1,2,,private View mLoadingView;,False
31,ALPHAIN,Field,,,,,104,4,25,"/** 
 * Use with  {@link #openLoadAnimation}
 */
","/**
     * Use with {@link #openLoadAnimation}
     */
    public static final int ALPHAIN = 0x00000001;",False
32,SCALEIN,Field,,,,,104,4,25,"/** 
 * Use with  {@link #openLoadAnimation}
 */
","/**
     * Use with {@link #openLoadAnimation}
     */
    public static final int SCALEIN = 0x00000002;",False
33,SLIDEIN_BOTTOM,Field,,,,,111,4,25,"/** 
 * Use with  {@link #openLoadAnimation}
 */
","/**
     * Use with {@link #openLoadAnimation}
     */
    public static final int SLIDEIN_BOTTOM = 0x00000003;",False
34,SLIDEIN_LEFT,Field,,,,,109,4,25,"/** 
 * Use with  {@link #openLoadAnimation}
 */
","/**
     * Use with {@link #openLoadAnimation}
     */
    public static final int SLIDEIN_LEFT = 0x00000004;",False
35,SLIDEIN_RIGHT,Field,,,,,110,4,25,"/** 
 * Use with  {@link #openLoadAnimation}
 */
","/**
     * Use with {@link #openLoadAnimation}
     */
    public static final int SLIDEIN_RIGHT = 0x00000005;",False
36,NO_TOGGLE_VIEW,Field,,,,,44,1,26,,private static final int NO_TOGGLE_VIEW = 0;,True
37,mToggleViewId,Field,,,,,43,1,2,,private int mToggleViewId = NO_TOGGLE_VIEW;,True
38,mItemTouchHelper,Field,,,,,41,1,2,,private ItemTouchHelper mItemTouchHelper;,True
39,itemDragEnabled,Field,,,,,40,1,2,,private boolean itemDragEnabled = false;,True
40,itemSwipeEnabled,Field,,,,,41,1,2,,private boolean itemSwipeEnabled = false;,True
41,mOnItemDragListener,Field,,,,,47,1,2,,private OnItemDragListener mOnItemDragListener;,True
42,mOnItemSwipeListener,Field,,,,,49,1,2,,private OnItemSwipeListener mOnItemSwipeListener;,True
43,mDragOnLongPress,Field,,,,,40,1,2,,private boolean mDragOnLongPress = true;,True
44,mOnToggleViewTouchListener,Field,,,,,56,1,2,,private View.OnTouchListener mOnToggleViewTouchListener;,True
45,mOnToggleViewLongClickListener,Field,,,,,64,1,2,,private View.OnLongClickListener mOnToggleViewLongClickListener;,True
46,ERROR_NOT_SAME_ITEMTOUCHHELPER,Field,,,,,125,1,26,,"private static final String ERROR_NOT_SAME_ITEMTOUCHHELPER = ""Item drag and item swipe should pass the same ItemTouchHelper"";",True
47,"setOnLoadMoreListener(int,RequestLoadMoreListener)",Method,,,com.chad.library.adapter.base.BaseQuickAdapter+setOnLoadMoreListener(RequestLoadMoreListener) com.chad.library.adapter.base.BaseQuickAdapter+setOnLoadMoreListener(RequestLoadMoreListener),,545,12,1,"/** 
 * call the method will not enable the loadMore funcation and the params pageSize is invalid more infomation see {@link  public void openLoadMore(int pageSize, boolean enable),@link  public void setOnLoadMoreListener(RequestLoadMoreListener requestLoadMoreListener)} method
 * @param pageSize
 * @param requestLoadMoreListener
 */
","/**
     * call the method will not enable the loadMore funcation and the params pageSize is invalid
     * more infomation see{@link  public void openLoadMore(int pageSize, boolean enable),@link  public void setOnLoadMoreListener(RequestLoadMoreListener requestLoadMoreListener)} method
     *
     * @param pageSize
     * @param requestLoadMoreListener
     */
    @Deprecated
    public void setOnLoadMoreListener(int pageSize, RequestLoadMoreListener requestLoadMoreListener) {

        setOnLoadMoreListener(requestLoadMoreListener);
    }",False
48,setOnLoadMoreListener(RequestLoadMoreListener),Method,"setOnLoadMoreListener(int,RequestLoadMoreListener)",com.chad.baserecyclerviewadapterhelper.PullToRefreshUseActivity+initAdapter(),,com.chad.library.adapter.base.BaseQuickAdapter<T>+mRequestLoadMoreListener com.chad.library.adapter.base.BaseQuickAdapter+mRequestLoadMoreListener,155,3,1,,"public void setOnLoadMoreListener(RequestLoadMoreListener requestLoadMoreListener) {
        this.mRequestLoadMoreListener = requestLoadMoreListener;
    }",False
49,setDuration(int),Method,,,,com.chad.library.adapter.base.BaseQuickAdapter+mDuration,210,8,1,"/** 
 * Sets the duration of the animation.
 * @param duration The length of the animation, in milliseconds.
 */
","/**
     * Sets the duration of the animation.
     *
     * @param duration The length of the animation, in milliseconds.
     */
    public void setDuration(int duration) {
        mDuration = duration;
    }",False
50,"openLoadMore(int,boolean)",Method,,com.chad.baserecyclerviewadapterhelper.PullToRefreshUseActivity+run() com.chad.baserecyclerviewadapterhelper.PullToRefreshUseActivity+initAdapter(),,com.chad.library.adapter.base.BaseQuickAdapter<T>+pageSize com.chad.library.adapter.base.BaseQuickAdapter+pageSize com.chad.library.adapter.base.BaseQuickAdapter+mNextLoadEnable,310,11,1,"/** 
 * when adapter's data size than pageSize and enable is true,the loading more function is enable,or disable
 * @param pageSize
 * @param enable
 */
","/**
     * when adapter's data size than pageSize and enable is true,the loading more function is enable,or disable
     *
     * @param pageSize
     * @param enable
     */
    public void openLoadMore(int pageSize, boolean enable) {
        this.pageSize = pageSize;
        mNextLoadEnable = enable;

    }",False
51,openLoadMore(boolean),Method,,,,com.chad.library.adapter.base.BaseQuickAdapter+mNextLoadEnable,341,10,1,"/** 
 * call the method before you should call setPageSize() method to setting up the enablePagerSize value,whether it will  invalid enable the loading more data function if enable's value is true,or disable
 * @param enable
 */
","/**
     * call the method before you should call setPageSize() method to setting up the enablePagerSize value,whether it will  invalid
     * enable the loading more data function if enable's value is true,or disable
     *
     * @param enable
     */
    public void openLoadMore(boolean enable) {
        mNextLoadEnable = enable;

    }",False
52,setPageSize(int),Method,,,,com.chad.library.adapter.base.BaseQuickAdapter<T>+pageSize com.chad.library.adapter.base.BaseQuickAdapter+pageSize,264,9,1,"/** 
 * setting up the size to decide the loading more data funcation whether enable enable if the data size than pageSize,or diable
 * @param pageSize
 */
","/**
     * setting up the size to decide the loading more data funcation whether enable
     * enable if the data size than pageSize,or diable
     *
     * @param pageSize
     */
    public void setPageSize(int pageSize) {
        this.pageSize = pageSize;
    }",False
