index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,serialVersionUID,Field,,,,,66,1,26,,private static final long serialVersionUID = 6896857630400910200L;,False
2,MAX_JAR_FILE_SIZE_BYTES,Field,,,,,67,1,26,,"private static final long MAX_JAR_FILE_SIZE_BYTES = 1_000_000_000;
",False
3,MAX_UNPACKED_FILE_SIZE_BYTES,Field,,,,,73,2,26,,"private static final long MAX_UNPACKED_FILE_SIZE_BYTES = 1_000_000;
    
",False
4,typeLoader,Field,State.close(),,,,59,1,16,,final LuytenTypeLoader typeLoader = new LuytenTypeLoader();,False
5,languageLookup,Field,,,,,77,1,16,,"final Map<String, Language> languageLookup = new HashMap<String, Language>();",True
6,base,Field,,,,,17,1,8,,static File base;,False
7,metadataSystem,Field,,,,,63,1,0,,MetadataSystem metadataSystem = new MetadataSystem(typeLoader);,False
8,tree,Field,,,,,11,1,0,,JTree tree;,False
9,house,Field,,,,,18,1,0,,JTabbedPane house;,False
10,file,Field,,,,,10,1,0,,File file;,False
11,jsp,Field,,,,,15,1,0,,JSplitPane jsp;,False
12,settings,Field,,,,,28,1,0,,DecompilerSettings settings;,False
13,decompilationOptions,Field,,,,,42,1,0,,DecompilationOptions decompilationOptions;,False
14,frame,Field,,,,,19,1,8,,static Model frame;,False
15,theme,Field,,,,,12,1,0,,Theme theme;,False
16,flattenSwitchBlocks,Field,,,,,30,1,0,,JCheckBox flattenSwitchBlocks;,True
17,forceExplicitImports,Field,,,,,31,1,0,,JCheckBox forceExplicitImports;,True
18,forceExplicitTypes,Field,,,,,29,1,0,,JCheckBox forceExplicitTypes;,True
19,showSyntheticMembers,Field,,,,,31,1,0,,JCheckBox showSyntheticMembers;,True
20,excludeNestedTypes,Field,,,,,29,1,0,,JCheckBox excludeNestedTypes;,True
21,retainRedundantCasts,Field,,,,,31,1,0,,JCheckBox retainRedundantCasts;,True
22,showDebugInfo,Field,,,,,24,1,0,,JCheckBox showDebugInfo;,True
23,java,Field,,,,,26,1,0,,JRadioButtonMenuItem java;,True
24,bytecode,Field,,,,,30,1,0,,JRadioButtonMenuItem bytecode;,True
25,bytecodeAST,Field,,,,,33,1,0,,JRadioButtonMenuItem bytecodeAST;,True
26,bar,Field,,,,,17,1,0,,JProgressBar bar;,False
27,label,Field,,,,,13,1,0,,JLabel label;,False
28,hmap,Field,,,,,49,1,0,,HashSet<OpenFile> hmap = new HashSet<OpenFile>();,False
29,open,Field,,,,,21,1,0,,boolean open = false;,False
30,languagesGroup,Field,,,,,35,1,2,,private ButtonGroup languagesGroup;,True
31,state,Field,FileClose.actionPerformed(ActionEvent),,,,20,1,2,,private State state;,False
32,findBox,Field,,,,,24,1,2,,private FindBox findBox;,True
33,configSaver,Field,,,,,32,1,2,,private ConfigSaver configSaver;,False
34,windowPosition,Field,,,,,38,1,2,,private WindowPosition windowPosition;,True
35,luytenPrefs,Field,,,,,38,1,2,,private LuytenPreferences luytenPrefs;,False
36,Model(),Method,,,com.modcrafting.luyten.Model+setup() com.modcrafting.luyten.Model+setup(),com.modcrafting.luyten.Model+frame,61,4,1,,"public Model() {
        frame = this;
        setup();
    }",False
37,Model(String),Method,,,com.modcrafting.luyten.Model+setup() com.modcrafting.luyten.Model+setup() java.io.File+File(String) com.modcrafting.luyten.Model.FileLoad+loadFile(File) com.modcrafting.luyten.Model.FileLoad+FileLoad(boolean) com.modcrafting.luyten.Model.FileLoad+loadFile(File),com.modcrafting.luyten.Model+frame com.modcrafting.luyten.Model+file com.modcrafting.luyten.Model+file,145,6,1,,"public Model(String string) {
        frame = this;
        setup();
        file = new File(string);
		new FileLoad(false).loadFile(file);
    }",False
