index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,LOGGER,Field,,,,,80,1,28,,protected static final Logger LOGGER = LoggerFactory.getLogger(BpmnParse.class);,False
2,PROPERTYNAME_DOCUMENTATION,Field,,,,,72,1,25,,"public static final String PROPERTYNAME_DOCUMENTATION = ""documentation"";",False
3,PROPERTYNAME_INITIAL,Field,,,,,60,1,25,,"public static final String PROPERTYNAME_INITIAL = ""initial"";",False
4,PROPERTYNAME_INITIATOR_VARIABLE_NAME,Field,,,,,90,1,25,,"public static final String PROPERTYNAME_INITIATOR_VARIABLE_NAME = ""initiatorVariableName"";",False
5,PROPERTYNAME_CONDITION,Field,,,,,64,1,25,,"public static final String PROPERTYNAME_CONDITION = ""condition"";",False
6,PROPERTYNAME_CONDITION_TEXT,Field,,,,,73,1,25,,"public static final String PROPERTYNAME_CONDITION_TEXT = ""conditionText"";",False
7,PROPERTYNAME_VARIABLE_DECLARATIONS,Field,,,,,87,1,25,,"public static final String PROPERTYNAME_VARIABLE_DECLARATIONS = ""variableDeclarations"";",False
8,PROPERTYNAME_TIMER_DECLARATION,Field,,,,,80,1,25,,"public static final String PROPERTYNAME_TIMER_DECLARATION = ""timerDeclarations"";",False
9,PROPERTYNAME_ISEXPANDED,Field,,,,,66,1,25,,"public static final String PROPERTYNAME_ISEXPANDED = ""isExpanded"";",False
10,PROPERTYNAME_START_TIMER,Field,,,,,67,1,25,,"public static final String PROPERTYNAME_START_TIMER = ""timerStart"";",False
11,PROPERTYNAME_COMPENSATION_HANDLER_ID,Field,,,,,88,1,25,,"public static final String PROPERTYNAME_COMPENSATION_HANDLER_ID = ""compensationHandler"";",False
12,PROPERTYNAME_IS_FOR_COMPENSATION,Field,,,,,82,1,25,,"public static final String PROPERTYNAME_IS_FOR_COMPENSATION = ""isForCompensation"";",False
13,PROPERTYNAME_ERROR_EVENT_DEFINITIONS,Field,,,,,90,1,25,,"public static final String PROPERTYNAME_ERROR_EVENT_DEFINITIONS = ""errorEventDefinitions"";",False
14,PROPERTYNAME_EVENT_SUBSCRIPTION_DECLARATION,Field,,,,,92,1,25,,"public static final String PROPERTYNAME_EVENT_SUBSCRIPTION_DECLARATION = ""eventDefinitions"";",False
15,POTENTIAL_STARTER,Field,,,,,69,1,28,,"protected static final String POTENTIAL_STARTER = ""potentialStarter"";",False
16,CANDIDATE_STARTER_USERS_EXTENSION,Field,,,,,90,1,28,,"protected static final String CANDIDATE_STARTER_USERS_EXTENSION = ""candidateStarterUsers"";",False
17,CANDIDATE_STARTER_GROUPS_EXTENSION,Field,,,,,92,1,28,,"protected static final String CANDIDATE_STARTER_GROUPS_EXTENSION = ""candidateStarterGroups"";",False
18,ATTRIBUTEVALUE_T_FORMAL_EXPRESSION,Field,,,,,111,1,28,,"protected static final String ATTRIBUTEVALUE_T_FORMAL_EXPRESSION = BpmnParser.BPMN20_NS + "":tFormalExpression"";",False
19,name,Field,name(String),,,,22,1,4,,protected String name;,False
20,streamSource,Field,setStreamSource(StreamSource) setStreamSource(StreamSource) setStreamSource(StreamSource),,,,36,1,4,,protected StreamSource streamSource;,False
21,bpmnModel,Field,,,,,30,1,4,,protected BpmnModel bpmnModel;,False
22,targetNamespace,Field,createIOSpecification(org.activiti.bpmn.model.IOSpecification) createIOSpecification(org.activiti.bpmn.model.IOSpecification),,,,33,1,4,,protected String targetNamespace;,False
23,deployment,Field,deployment(DeploymentEntity),,,,117,2,4,"/** 
 * The deployment to which the parsed process definitions will be added. 
 */
","/** The deployment to which the parsed process definitions will be added. */
  protected DeploymentEntity deployment;",False
24,processDefinitions,Field,,,,,172,2,4,"/** 
 * The end result of the parsing: a list of process definition. 
 */
","/** The end result of the parsing: a list of process definition. */
  protected List<ProcessDefinitionEntity> processDefinitions = new ArrayList<ProcessDefinitionEntity>();",False
25,sequenceFlows,Field,,,,,127,2,4,"/** 
 * A map for storing sequence flow based on their id during parsing. 
 */
","/** A map for storing sequence flow based on their id during parsing. */
  protected Map<String, TransitionImpl> sequenceFlows;",False
26,messages,Field,createMessages() createOperations() createOperations() createOperations() createOperations(),,,,417,9,4,"/** 
 * Mapping containing values stored during the first phase of parsing since other elements can reference these messages. All the map's elements are defined outside the process definition(s), which means that this map doesn't need to be re-initialized for each new process definition.
 */
","/**
   * Mapping containing values stored during the first phase of parsing since
   * other elements can reference these messages.
   * 
   * All the map's elements are defined outside the process definition(s), which
   * means that this map doesn't need to be re-initialized for each new process
   * definition.
   */
  protected Map<String, MessageDefinition> messages = new HashMap<String, MessageDefinition>();",False
27,structures,Field,createItemDefinitions() addStructure(StructureDefinition),,,,99,1,4,,"protected Map<String, StructureDefinition> structures = new HashMap<String, StructureDefinition>();",False
28,interfaceImplementations,Field,createOperations() addService(BpmnInterfaceImplementation),,,,129,1,4,,"protected Map<String, BpmnInterfaceImplementation> interfaceImplementations = new HashMap<String, BpmnInterfaceImplementation>();",False
29,operationImplementations,Field,createOperations() addOperation(OperationImplementation),,,,121,1,4,,"protected Map<String, OperationImplementation> operationImplementations = new HashMap<String, OperationImplementation>();",False
30,itemDefinitions,Field,initializeXSDItemDefinitions() createMessages() createMessages() createIOSpecification(org.activiti.bpmn.model.IOSpecification) createIOSpecification(org.activiti.bpmn.model.IOSpecification),,,,94,1,4,,"protected Map<String, ItemDefinition> itemDefinitions = new HashMap<String, ItemDefinition>();",False
31,bpmnInterfaces,Field,,,,,91,1,4,,"protected Map<String, BpmnInterface> bpmnInterfaces = new HashMap<String, BpmnInterface>();",False
32,operations,Field,"createServiceTask(ServiceTask,ScopeImpl) createServiceTask(ServiceTask,ScopeImpl) createSendTask(SendTask,ScopeImpl) createSendTask(SendTask,ScopeImpl)",,,,79,1,4,,"protected Map<String, Operation> operations = new HashMap<String, Operation>();",False
33,importers,Field,getImporter(Import) getImporter(Import) getImporter(Import),,,,82,1,4,,"protected Map<String, XMLImporter> importers = new HashMap<String, XMLImporter>();",False
34,prefixs,Field,,,,,70,1,4,,"protected Map<String, String> prefixs = new HashMap<String, String>();",False
35,expressionManager,Field,BpmnParse(BpmnParser) createDataInputAssociation(DataAssociation) createDataInputAssociation(DataAssociation) createDataOutputAssociation(DataAssociation) parseDataOutputAssociation(Element),,,,46,1,4,,protected ExpressionManager expressionManager;,False
36,parseListeners,Field,BpmnParse(BpmnParser),,,,49,1,4,,protected List<BpmnParseListener> parseListeners;,False
37,activityBehaviorFactory,Field,BpmnParse(BpmnParser) setActivityBehaviorFactory(ActivityBehaviorFactory),,,,58,1,4,,protected ActivityBehaviorFactory activityBehaviorFactory;,False
38,listenerFactory,Field,BpmnParse(BpmnParser) setListenerFactory(ListenerFactory),,,,42,1,4,,protected ListenerFactory listenerFactory;,False
