index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,getStatusBarHeight(),Method,,,,,259,5,9,,"public static int getStatusBarHeight() {
    Resources resources = UETool.getApplication().getResources();
    int resId = resources.getIdentifier(""status_bar_height"", ""dimen"", ""android"");
    return resId > 0 ? resources.getDimensionPixelSize(resId) : 0;
  }",False
2,enableFullscreen(Window),Method,,me.ele.uetool.TransparentActivity+onCreate(Bundle),"me.ele.uetool.Util+addSystemUiFlag(Window,int) me.ele.uetool.Util+addSystemUiFlag(Window,int)",,147,5,9,,"public static void enableFullscreen(@NonNull Window window) {
    if (Build.VERSION.SDK_INT >= 21) {
      addSystemUiFlag(window, 1280);
    }
  }",False
3,"addSystemUiFlag(Window,int)",Method,enableFullscreen(Window),,,,206,6,10,,"private static void addSystemUiFlag(Window window, int flag) {
    View view = window.getDecorView();
    if (view != null) {
      view.setSystemUiVisibility(view.getSystemUiVisibility() | flag);
    }
  }",False
4,"setStatusBarColor(Window,int)",Method,,me.ele.uetool.TransparentActivity+onCreate(Bundle),,,161,5,9,,"public static void setStatusBarColor(@NonNull Window window, int color) {
    if (Build.VERSION.SDK_INT >= 21) {
      window.setStatusBarColor(color);
    }
  }",False
5,px2dip(float),Method,getDraweeViewCornerRadius(DraweeView),"me.ele.uetool.Element+getAttrs() me.ele.uetool.Element+getAttrs() me.ele.uetool.Element+getAttrs() me.ele.uetool.Element+getAttrs() me.ele.uetool.Element+getAttrs() me.ele.uetool.Element+getAttrs() me.ele.uetool.function.CollectViewsLayout+drawLineWithText(Canvas,int,int,int,int) me.ele.uetool.function.CollectViewsLayout+drawLineWithText(Canvas,int,int,int,int)",,,174,4,9,,"public static int px2dip(float pxValue) {
    float scale = UETool.getApplication().getResources().getDisplayMetrics().density;
    return (int) (pxValue / scale + 0.5F);
  }",False
6,dip2px(float),Method,,"me.ele.uetool.function.RelativePositionLayout+getLineEndPointSpace() me.ele.uetool.function.ViewAttrDialog+EditTextViewHolder.onTextChanged(CharSequence,int,int,int) me.ele.uetool.function.ViewAttrDialog+EditTextViewHolder.onTextChanged(CharSequence,int,int,int) me.ele.uetool.function.ViewAttrDialog+EditTextViewHolder.onTextChanged(CharSequence,int,int,int) me.ele.uetool.function.ViewAttrDialog+EditTextViewHolder.onTextChanged(CharSequence,int,int,int) me.ele.uetool.function.ViewAttrDialog+EditTextViewHolder.onTextChanged(CharSequence,int,int,int) me.ele.uetool.function.ViewAttrDialog+EditTextViewHolder.onTextChanged(CharSequence,int,int,int) me.ele.uetool.function.ViewAttrDialog+EditTextViewHolder.onTextChanged(CharSequence,int,int,int) me.ele.uetool.function.ViewAttrDialog+EditTextViewHolder.onTextChanged(CharSequence,int,int,int) me.ele.uetool.function.ViewAttrDialog+EditTextViewHolder.onTextChanged(CharSequence,int,int,int) me.ele.uetool.function.ViewAttrDialog+EditTextViewHolder.onTextChanged(CharSequence,int,int,int) me.ele.uetool.function.ViewAttrDialog+EditTextViewHolder.onTextChanged(CharSequence,int,int,int) me.ele.uetool.function.ViewAttrDialog+EditTextViewHolder.onTextChanged(CharSequence,int,int,int) me.ele.uetool.suspend.UETSubMenu+UETSubMenu(Context,AttributeSet,int) me.ele.uetool.suspend.UETSubMenu+UETSubMenu(Context,AttributeSet,int)",,,174,4,9,,"public static int dip2px(float dpValue) {
    float scale = UETool.getApplication().getResources().getDisplayMetrics().density;
    return (int) (dpValue * scale + 0.5F);
  }",False
7,sp2px(float),Method,,,,,158,4,9,,"public static int sp2px(float sp) {
    return (int) TypedValue.applyDimension(2, sp,
        UETool.getApplication().getResources().getDisplayMetrics());
  }",False
8,px2sp(float),Method,,me.ele.uetool.Element+getAttrs(),,,201,5,9,,"public static int px2sp(float pxValue) {
    final float fontScale =
        UETool.getApplication().getResources().getDisplayMetrics().scaledDensity;
    return (int) (pxValue / fontScale + 0.5f);
  }",False
9,getScreenWidth(),Method,,,,,123,3,9,,"public static int getScreenWidth() {
    return UETool.getApplication().getResources().getDisplayMetrics().widthPixels;
  }",False
10,getScreenHeight(),Method,,me.ele.uetool.function.ViewAttrDialog+show(Element),,,125,3,9,,"public static int getScreenHeight() {
    return UETool.getApplication().getResources().getDisplayMetrics().heightPixels;
  }",False
