index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,delegate,Field,,,,,43,1,2,,private NamespacedOpenShiftClient delegate;,False
2,"activate(Map<String,Object>)",Method,,,java.util.Map+containsKey(Object) java.util.Map+containsKey(Object) java.util.Map+get(Object) java.util.Map+get(Object) java.util.Map+containsKey(Object) java.util.Map+containsKey(Object) java.util.Map+get(Object) java.util.Map+get(Object) java.util.Map+containsKey(Object) java.util.Map+containsKey(Object) java.util.Map+get(Object) java.util.Map+get(Object) java.util.Map+containsKey(Object) java.util.Map+containsKey(Object) java.util.Map+get(Object) java.util.Map+get(Object) java.util.Map+containsKey(Object) java.util.Map+containsKey(Object) java.util.Map+get(Object) java.util.Map+get(Object) java.util.Map+containsKey(Object) java.util.Map+containsKey(Object) java.util.Map+get(Object) java.util.Map+get(Object) java.util.Map+containsKey(Object) java.util.Map+containsKey(Object) java.util.Map+get(Object) java.util.Map+get(Object) java.util.Map+containsKey(Object) java.util.Map+containsKey(Object) java.util.Map+get(Object) java.util.Map+get(Object) java.util.Map+containsKey(Object) java.util.Map+containsKey(Object) java.util.Map+get(Object) java.util.Map+get(Object) java.util.Map+containsKey(Object) java.util.Map+containsKey(Object) java.util.Map+get(Object) java.util.Map+get(Object) java.util.Map+containsKey(Object) java.util.Map+containsKey(Object) java.util.Map+get(Object) java.util.Map+get(Object) java.util.Map+containsKey(Object) java.util.Map+containsKey(Object) java.util.Map+get(Object) java.util.Map+get(Object) java.util.Map+containsKey(Object) java.util.Map+containsKey(Object) java.util.Map+get(Object) java.util.Map+get(Object) java.util.Map+containsKey(Object) java.util.Map+containsKey(Object) java.util.Map+get(Object) java.util.Map+get(Object) java.util.Map+containsKey(Object) java.util.Map+containsKey(Object) java.lang.Integer+parseInt(String) java.lang.Integer+parseInt(String) java.util.Map+get(Object) java.util.Map+get(Object) java.util.Map+containsKey(Object) java.util.Map+containsKey(Object) java.lang.Integer+parseInt(String) java.lang.Integer+parseInt(String) java.util.Map+get(Object) java.util.Map+get(Object) java.util.Map+containsKey(Object) java.util.Map+containsKey(Object) java.lang.Integer+parseInt(String) java.lang.Integer+parseInt(String) java.util.Map+get(Object) java.util.Map+get(Object) java.util.Map+containsKey(Object) java.util.Map+containsKey(Object) java.util.Map+get(Object) java.util.Map+get(Object) java.util.Map+containsKey(Object) java.util.Map+containsKey(Object) java.util.Map+get(Object) java.util.Map+get(Object) java.util.Map+containsKey(Object) java.util.Map+containsKey(Object) java.util.Map+get(Object) java.util.Map+get(Object) java.lang.String+split(String) java.lang.String+split(String) java.util.Map+containsKey(Object) java.util.Map+containsKey(Object) java.util.Map+get(Object) java.util.Map+get(Object) io.fabric8.kubernetes.client.utils.URLUtils+join(String[]) io.fabric8.kubernetes.client.utils.URLUtils+join(String[]) java.util.Map+containsKey(Object) java.util.Map+containsKey(Object) java.lang.Integer+parseInt(String) java.lang.Integer+parseInt(String) java.util.Map+get(Object) java.util.Map+get(Object) java.util.Map+containsKey(Object) java.util.Map+containsKey(Object) java.lang.Long+parseLong(String) java.lang.Long+parseLong(String) java.util.Map+get(Object) java.util.Map+get(Object) java.util.Map+containsKey(Object) java.util.Map+containsKey(Object) java.lang.Long+parseLong(String) java.lang.Long+parseLong(String) java.util.Map+get(Object) java.util.Map+get(Object) io.fabric8.kubernetes.client.KubernetesClientBuilder+withConfig(Config) io.fabric8.kubernetes.client.KubernetesClientBuilder+KubernetesClientBuilder() io.fabric8.kubernetes.client.KubernetesClientBuilder+withConfig(Config),io.fabric8.openshift.client.osgi.ManagedOpenShiftClient+delegate,5022,87,1,,"@Activate
  public void activate(Map<String, Object> properties) {
    final OpenShiftConfigBuilder builder = new OpenShiftConfigBuilder();

    if (properties.containsKey(KUBERNETES_MASTER_SYSTEM_PROPERTY)) {
      builder.withMasterUrl((String) properties.get(KUBERNETES_MASTER_SYSTEM_PROPERTY));
    }
    if (properties.containsKey(KUBERNETES_API_VERSION_SYSTEM_PROPERTY)) {
      builder.withApiVersion((String) properties.get(KUBERNETES_API_VERSION_SYSTEM_PROPERTY));
    }
    if (properties.containsKey(KUBERNETES_NAMESPACE_SYSTEM_PROPERTY)) {
      builder.withNamespace((String) properties.get(KUBERNETES_NAMESPACE_SYSTEM_PROPERTY));
    }
    if (properties.containsKey(KUBERNETES_CA_CERTIFICATE_FILE_SYSTEM_PROPERTY)) {
      builder.withCaCertFile((String) properties.get(KUBERNETES_CA_CERTIFICATE_FILE_SYSTEM_PROPERTY));
    }
    if (properties.containsKey(KUBERNETES_CA_CERTIFICATE_DATA_SYSTEM_PROPERTY)) {
      builder.withCaCertData((String) properties.get(KUBERNETES_CA_CERTIFICATE_DATA_SYSTEM_PROPERTY));
    }
    if (properties.containsKey(KUBERNETES_CLIENT_CERTIFICATE_FILE_SYSTEM_PROPERTY)) {
      builder.withClientCertFile((String) properties.get(KUBERNETES_CLIENT_CERTIFICATE_FILE_SYSTEM_PROPERTY));
    }
    if (properties.containsKey(KUBERNETES_CLIENT_CERTIFICATE_DATA_SYSTEM_PROPERTY)) {
      builder.withClientCertData((String) properties.get(KUBERNETES_CLIENT_CERTIFICATE_DATA_SYSTEM_PROPERTY));
    }
    if (properties.containsKey(KUBERNETES_CLIENT_KEY_FILE_SYSTEM_PROPERTY)) {
      builder.withClientKeyFile((String) properties.get(KUBERNETES_CLIENT_KEY_FILE_SYSTEM_PROPERTY));
    }
    if (properties.containsKey(KUBERNETES_CLIENT_KEY_DATA_SYSTEM_PROPERTY)) {
      builder.withClientKeyData((String) properties.get(KUBERNETES_CLIENT_KEY_DATA_SYSTEM_PROPERTY));
    }
    if (properties.containsKey(KUBERNETES_CLIENT_KEY_ALGO_SYSTEM_PROPERTY)) {
      builder.withClientKeyAlgo((String) properties.get(KUBERNETES_CLIENT_KEY_ALGO_SYSTEM_PROPERTY));
    }
    if (properties.containsKey(KUBERNETES_CLIENT_KEY_PASSPHRASE_SYSTEM_PROPERTY)) {
      builder.withClientKeyPassphrase((String) properties.get(KUBERNETES_CLIENT_KEY_PASSPHRASE_SYSTEM_PROPERTY));
    }
    if (properties.containsKey(KUBERNETES_AUTH_BASIC_USERNAME_SYSTEM_PROPERTY)) {
      builder.withUsername((String) properties.get(KUBERNETES_AUTH_BASIC_USERNAME_SYSTEM_PROPERTY));
    }
    if (properties.containsKey(KUBERNETES_AUTH_BASIC_PASSWORD_SYSTEM_PROPERTY)) {
      builder.withPassword((String) properties.get(KUBERNETES_AUTH_BASIC_PASSWORD_SYSTEM_PROPERTY));
    }
    if (properties.containsKey(KUBERNETES_OAUTH_TOKEN_SYSTEM_PROPERTY)) {
      builder.withOauthToken((String) properties.get(KUBERNETES_OAUTH_TOKEN_SYSTEM_PROPERTY));
    }
    if (properties.containsKey(KUBERNETES_WATCH_RECONNECT_INTERVAL_SYSTEM_PROPERTY)) {
      builder.withWatchReconnectInterval(
          Integer.parseInt((String) properties.get(KUBERNETES_WATCH_RECONNECT_INTERVAL_SYSTEM_PROPERTY)));
    }
    if (properties.containsKey(KUBERNETES_WATCH_RECONNECT_LIMIT_SYSTEM_PROPERTY)) {
      builder
          .withWatchReconnectLimit(Integer.parseInt((String) properties.get(KUBERNETES_WATCH_RECONNECT_LIMIT_SYSTEM_PROPERTY)));
    }
    if (properties.containsKey(KUBERNETES_REQUEST_TIMEOUT_SYSTEM_PROPERTY)) {
      builder.withRequestTimeout(Integer.parseInt((String) properties.get(KUBERNETES_REQUEST_TIMEOUT_SYSTEM_PROPERTY)));
    }
    if (properties.containsKey(KUBERNETES_HTTP_PROXY)) {
      builder.withHttpProxy((String) properties.get(KUBERNETES_HTTP_PROXY));
    }
    if (properties.containsKey(KUBERNETES_HTTPS_PROXY)) {
      builder.withHttpsProxy((String) properties.get(KUBERNETES_HTTPS_PROXY));
    }
    if (properties.containsKey(KUBERNETES_NO_PROXY)) {
      String noProxyProperty = (String) properties.get(KUBERNETES_NO_PROXY);
      builder.withNoProxy(noProxyProperty.split("",""));
    }
    if (properties.containsKey(OPENSHIFT_URL_SYSTEM_PROPERTY)) {
      builder.withOpenShiftUrl((String) properties.get(OPENSHIFT_URL_SYSTEM_PROPERTY));
    } else {
      builder.withOpenShiftUrl(URLUtils.join(builder.getMasterUrl(), ""oapi"", builder.getOapiVersion()));
    }
    if (properties.containsKey(OPENSHIFT_BUILD_TIMEOUT_SYSTEM_PROPERTY)) {
      builder.withBuildTimeout(Integer.parseInt((String) properties.get(OPENSHIFT_BUILD_TIMEOUT_SYSTEM_PROPERTY)));
    } else {
      builder.withBuildTimeout(DEFAULT_BUILD_TIMEOUT);
    }
    if (properties.containsKey(KUBERNETES_WEBSOCKET_TIMEOUT_SYSTEM_PROPERTY)) {
      builder.withWebsocketTimeout(Long.parseLong((String) properties.get(KUBERNETES_WEBSOCKET_TIMEOUT_SYSTEM_PROPERTY)));
    }
    if (properties.containsKey(KUBERNETES_WEBSOCKET_PING_INTERVAL_SYSTEM_PROPERTY)) {
      builder.withWebsocketPingInterval(
          Long.parseLong((String) properties.get(KUBERNETES_WEBSOCKET_PING_INTERVAL_SYSTEM_PROPERTY)));
    }

    delegate = new KubernetesClientBuilder().withConfig(builder.build()).build().adapt(NamespacedOpenShiftClient.class);
  }",False
3,deactivate(),Method,,,io.fabric8.kubernetes.client.Client+close() io.fabric8.kubernetes.client.Client+close(),io.fabric8.openshift.client.osgi.ManagedOpenShiftClient+delegate,66,4,1,,"@Deactivate
  public void deactivate() {
    delegate.close();
  }",False
4,getOpenshiftUrl(),Method,,,io.fabric8.openshift.client.OpenShiftClient+getOpenshiftUrl() io.fabric8.openshift.client.OpenShiftClient+getOpenshiftUrl(),io.fabric8.openshift.client.osgi.ManagedOpenShiftClient+delegate,85,4,1,,"@Override
  public URL getOpenshiftUrl() {
    return delegate.getOpenshiftUrl();
  }",False
5,config(),Method,,,io.fabric8.openshift.client.OpenShiftClient+config() io.fabric8.openshift.client.OpenShiftClient+config(),io.fabric8.openshift.client.osgi.ManagedOpenShiftClient+delegate,90,4,1,,"@Override
  public OpenShiftConfigAPIGroupDSL config() {
    return delegate.config();
  }",False
6,console(),Method,,,io.fabric8.openshift.client.OpenShiftClient+console() io.fabric8.openshift.client.OpenShiftClient+console(),io.fabric8.openshift.client.osgi.ManagedOpenShiftClient+delegate,93,4,1,,"@Override
  public OpenShiftConsoleAPIGroupDSL console() {
    return delegate.console();
  }",False
7,clusterAutoscaling(),Method,,,io.fabric8.openshift.client.OpenShiftClient+clusterAutoscaling() io.fabric8.openshift.client.OpenShiftClient+clusterAutoscaling(),io.fabric8.openshift.client.osgi.ManagedOpenShiftClient+delegate,126,4,1,,"@Override
  public OpenShiftClusterAutoscalingAPIGroupDSL clusterAutoscaling() {
    return delegate.clusterAutoscaling();
  }",False
8,hive(),Method,,,io.fabric8.openshift.client.OpenShiftClient+hive() io.fabric8.openshift.client.OpenShiftClient+hive(),io.fabric8.openshift.client.osgi.ManagedOpenShiftClient+delegate,84,4,1,,"@Override
  public OpenShiftHiveAPIGroupDSL hive() {
    return delegate.hive();
  }",False
9,operator(),Method,,,io.fabric8.openshift.client.OpenShiftClient+operator() io.fabric8.openshift.client.OpenShiftClient+operator(),io.fabric8.openshift.client.osgi.ManagedOpenShiftClient+delegate,96,4,1,,"@Override
  public OpenShiftOperatorAPIGroupDSL operator() {
    return delegate.operator();
  }",False
10,operatorHub(),Method,,,io.fabric8.openshift.client.OpenShiftClient+operatorHub() io.fabric8.openshift.client.OpenShiftClient+operatorHub(),io.fabric8.openshift.client.osgi.ManagedOpenShiftClient+delegate,105,4,1,,"@Override
  public OpenShiftOperatorHubAPIGroupDSL operatorHub() {
    return delegate.operatorHub();
  }",False
