index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,LOG,Field,,,,,90,1,26,,private static final Logger LOG = LoggerFactory.getLogger(CasioGB6900DeviceSupport.class);,False
2,mCasioCharacteristics,Field,,,,,122,1,18,,private final ArrayList<BluetoothGattCharacteristic> mCasioCharacteristics = new ArrayList<BluetoothGattCharacteristic>();,False
3,mHandlerThread,Field,,,,,49,1,2,,private CasioHandlerThread mHandlerThread = null;,False
4,mBufferMusicSpec,Field,,,,,42,1,2,,private MusicSpec mBufferMusicSpec = null;,False
5,mBufferMusicStateSpec,Field,,,,,52,1,2,,private MusicStateSpec mBufferMusicStateSpec = null;,False
6,mBtGatt,Field,,,,,37,1,2,,private BluetoothGatt mBtGatt = null;,False
7,mModel,Field,,,,,79,1,2,,private CasioConstants.Model mModel = CasioConstants.Model.MODEL_CASIO_GENERIC;,False
8,mFirstConnect,Field,,,,,38,1,2,,private boolean mFirstConnect = false;,False
9,mCasioSleepTime,Field,,,,,46,1,26,,private static final int mCasioSleepTime = 50;,False
10,CasioGB6900DeviceSupport(),Method,,,nodomain.freeyourgadget.gadgetbridge.service.btle.AbstractBTLEDeviceSupport+addSupportedService(UUID) nodomain.freeyourgadget.gadgetbridge.service.btle.AbstractBTLEDeviceSupport+addSupportedService(UUID) nodomain.freeyourgadget.gadgetbridge.service.btle.AbstractBTLEDeviceSupport+addSupportedService(UUID) nodomain.freeyourgadget.gadgetbridge.service.btle.AbstractBTLEDeviceSupport+addSupportedService(UUID) nodomain.freeyourgadget.gadgetbridge.service.btle.AbstractBTLEDeviceSupport+addSupportedService(UUID) nodomain.freeyourgadget.gadgetbridge.service.btle.AbstractBTLEDeviceSupport+addSupportedService(UUID) nodomain.freeyourgadget.gadgetbridge.service.btle.AbstractBTLEDeviceSupport+addSupportedService(UUID) nodomain.freeyourgadget.gadgetbridge.service.btle.AbstractBTLEDeviceSupport+addSupportedService(UUID) nodomain.freeyourgadget.gadgetbridge.service.btle.AbstractBTLEDeviceSupport+addSupportedService(UUID) nodomain.freeyourgadget.gadgetbridge.service.btle.AbstractBTLEDeviceSupport+addSupportedService(UUID) nodomain.freeyourgadget.gadgetbridge.service.btle.AbstractBTLEDeviceSupport+addSupportedService(UUID) nodomain.freeyourgadget.gadgetbridge.service.btle.AbstractBTLEDeviceSupport+addSupportedService(UUID) nodomain.freeyourgadget.gadgetbridge.service.btle.AbstractBTLEDeviceSupport+addSupportedService(UUID) nodomain.freeyourgadget.gadgetbridge.service.btle.AbstractBTLEDeviceSupport+addSupportedService(UUID) nodomain.freeyourgadget.gadgetbridge.service.btle.AbstractBTLEDeviceSupport+addSupportedService(UUID) nodomain.freeyourgadget.gadgetbridge.service.btle.AbstractBTLEDeviceSupport+addSupportedService(UUID) nodomain.freeyourgadget.gadgetbridge.service.btle.AbstractBTLEDeviceSupport+addSupportedService(UUID) nodomain.freeyourgadget.gadgetbridge.service.btle.AbstractBTLEDeviceSupport+addSupportedService(UUID) nodomain.freeyourgadget.gadgetbridge.service.btle.AbstractBTLEDeviceSupport+addSupportedService(UUID) nodomain.freeyourgadget.gadgetbridge.service.btle.AbstractBTLEDeviceSupport+addSupportedService(UUID) nodomain.freeyourgadget.gadgetbridge.service.btle.AbstractBTLEDeviceSupport+addSupportedService(UUID) nodomain.freeyourgadget.gadgetbridge.service.btle.AbstractBTLEDeviceSupport+addSupportedService(UUID) nodomain.freeyourgadget.gadgetbridge.service.btle.AbstractBTLEDeviceSupport+addSupportedService(UUID) nodomain.freeyourgadget.gadgetbridge.service.btle.AbstractBTLEDeviceSupport+addSupportedService(UUID) java.lang.Object+Object() java.lang.Object+Object() java.lang.Object+Object() java.lang.String+getBytes() java.lang.String+getBytes() java.lang.Object+Object() nodomain.freeyourgadget.gadgetbridge.service.btle.AbstractBTLEDeviceSupport+addSupportedServerService(BluetoothGattService) nodomain.freeyourgadget.gadgetbridge.service.btle.AbstractBTLEDeviceSupport+addSupportedServerService(BluetoothGattService),nodomain.freeyourgadget.gadgetbridge.service.devices.casio.CasioGB6900DeviceSupport+LOG nodomain.freeyourgadget.gadgetbridge.service.btle.GattService+UUID_SERVICE_IMMEDIATE_ALERT nodomain.freeyourgadget.gadgetbridge.devices.casio.CasioConstants+CASIO_VIRTUAL_SERVER_SERVICE nodomain.freeyourgadget.gadgetbridge.devices.casio.CasioConstants+ALERT_SERVICE_UUID nodomain.freeyourgadget.gadgetbridge.devices.casio.CasioConstants+CASIO_IMMEDIATE_ALERT_SERVICE_UUID nodomain.freeyourgadget.gadgetbridge.devices.casio.CasioConstants+CURRENT_TIME_SERVICE_UUID nodomain.freeyourgadget.gadgetbridge.devices.casio.CasioConstants+WATCH_CTRL_SERVICE_UUID nodomain.freeyourgadget.gadgetbridge.devices.casio.CasioConstants+WATCH_FEATURES_SERVICE_UUID nodomain.freeyourgadget.gadgetbridge.devices.casio.CasioConstants+CASIO_PHONE_ALERT_STATUS_SERVICE nodomain.freeyourgadget.gadgetbridge.devices.casio.CasioConstants+MORE_ALERT_SERVICE_UUID nodomain.freeyourgadget.gadgetbridge.devices.casio.CasioConstants+TX_POWER_SERVICE_UUID nodomain.freeyourgadget.gadgetbridge.devices.casio.CasioConstants+LINK_LOSS_SERVICE nodomain.freeyourgadget.gadgetbridge.devices.casio.CasioConstants+IMMEDIATE_ALERT_SERVICE_UUID nodomain.freeyourgadget.gadgetbridge.devices.casio.CasioConstants+WATCH_CTRL_SERVICE_UUID nodomain.freeyourgadget.gadgetbridge.devices.casio.CasioConstants+KEY_CONTAINER_CHARACTERISTIC_UUID nodomain.freeyourgadget.gadgetbridge.devices.casio.CasioConstants+NAME_OF_APP_CHARACTERISTIC_UUID nodomain.freeyourgadget.gadgetbridge.devices.casio.CasioConstants+MUSIC_MESSAGE nodomain.freeyourgadget.gadgetbridge.devices.casio.CasioConstants+CCC_DESCRIPTOR_UUID,2344,32,1,,"public CasioGB6900DeviceSupport() {
        super(LOG);
        addSupportedService(GattService.UUID_SERVICE_IMMEDIATE_ALERT);
        addSupportedService(CasioConstants.CASIO_VIRTUAL_SERVER_SERVICE);
        addSupportedService(CasioConstants.ALERT_SERVICE_UUID);
        addSupportedService(CasioConstants.CASIO_IMMEDIATE_ALERT_SERVICE_UUID);
        addSupportedService(CasioConstants.CURRENT_TIME_SERVICE_UUID);
        addSupportedService(CasioConstants.WATCH_CTRL_SERVICE_UUID);
        addSupportedService(CasioConstants.WATCH_FEATURES_SERVICE_UUID);
        addSupportedService(CasioConstants.CASIO_PHONE_ALERT_STATUS_SERVICE);
        addSupportedService(CasioConstants.MORE_ALERT_SERVICE_UUID);
        addSupportedService(CasioConstants.TX_POWER_SERVICE_UUID);
        addSupportedService(CasioConstants.LINK_LOSS_SERVICE);
        addSupportedService(CasioConstants.IMMEDIATE_ALERT_SERVICE_UUID);

        BluetoothGattService casioGATTService = new BluetoothGattService(CasioConstants.WATCH_CTRL_SERVICE_UUID, BluetoothGattService.SERVICE_TYPE_PRIMARY);
        BluetoothGattCharacteristic bluetoothGATTCharacteristic = new BluetoothGattCharacteristic(CasioConstants.KEY_CONTAINER_CHARACTERISTIC_UUID, BluetoothGattCharacteristic.PROPERTY_WRITE_NO_RESPONSE, BluetoothGattCharacteristic.PERMISSION_WRITE);
        bluetoothGATTCharacteristic.setValue(new byte[0]);

        BluetoothGattCharacteristic bluetoothGATTCharacteristic2 = new BluetoothGattCharacteristic(CasioConstants.NAME_OF_APP_CHARACTERISTIC_UUID, BluetoothGattCharacteristic.PROPERTY_READ, BluetoothGattCharacteristic.PERMISSION_READ | BluetoothGattCharacteristic.PERMISSION_READ_ENCRYPTED);
        bluetoothGATTCharacteristic2.setValue(CasioConstants.MUSIC_MESSAGE.getBytes());

        BluetoothGattDescriptor bluetoothGattDescriptor = new BluetoothGattDescriptor(CasioConstants.CCC_DESCRIPTOR_UUID, BluetoothGattDescriptor.PERMISSION_READ | BluetoothGattDescriptor.PERMISSION_WRITE);
        bluetoothGattDescriptor.setValue(BluetoothGattDescriptor.ENABLE_NOTIFICATION_VALUE);

        bluetoothGATTCharacteristic2.addDescriptor(bluetoothGattDescriptor);

        casioGATTService.addCharacteristic(bluetoothGATTCharacteristic);
        casioGATTService.addCharacteristic(bluetoothGATTCharacteristic2);

        addSupportedServerService(casioGATTService);
    }",False
